Date,Open,High,Low,Close,Volume
2023-07-22,1.306,1.316,1.252,1.259,4681.448828059995
2023-07-23,1.26,1.293,1.252,1.2771,4468.138168410003
2023-07-24,1.277,1.283,1.199,1.235,16135.011654080005
2023-07-25,1.236,1.256,1.225,1.236,8831.82018451999
2023-07-26,1.236,1.283,1.219,1.268,7101.323600949996
2023-07-27,1.268,1.3,1.257,1.278,6529.95525417
2023-07-28,1.277,1.325,1.276,1.297,21122.216191000007
2023-07-29,1.296,1.332,1.283,1.302,7830.76818305001
2023-07-30,1.303,1.5,1.2518,1.285,23739.81159544999
2023-07-31,1.284,1.3,1.2517,1.278,14541.86558096999
2023-08-01,1.281,1.287,1.237,1.285,20501.750766769976
2023-08-02,1.286,1.291,1.174,1.174,14383.63917216
2023-08-03,1.1757,1.209,1.1524,1.16,47506.9965804701
2023-08-04,1.16,1.182,1.1513,1.152,7010.495038589996
2023-08-05,1.152,1.211,1.119,1.167,64767.663549689976
2023-08-06,1.166,1.2189,1.161,1.203,41781.60114496
2023-08-07,1.206,1.248,1.147,1.185,32131.454629799973
2023-08-08,1.185,1.231,1.17,1.217,16949.797258570008
2023-08-09,1.218,1.224,1.19,1.219,26546.906815350005
2023-08-10,1.219,1.221,1.1757,1.179,227966.15316545992
2023-08-11,1.18,1.201,1.171,1.187,12753.78557907
2023-08-12,1.185,1.203,1.183,1.188,5332.673060769998
2023-08-13,1.186,1.217,1.182,1.206,8195.3487493
2023-08-14,1.205,1.225,1.196,1.204,9664.355807060003
2023-08-15,1.202,1.203,1.058,1.124,66318.31687380001
2023-08-16,1.123,1.141,1.052,1.086,20567.418785340004
2023-08-17,1.083,1.113,0.978,1.082,57013.50634065993
2023-08-18,1.081,1.13,1.052,1.124,51809.98420831999
2023-08-19,1.128,1.2,1.1251,1.141,67149.93777522992
2023-08-20,1.142,1.172,1.136,1.147,11653.662142280014
2023-08-21,1.148,1.17,1.0691,1.137,23727.274106670044
2023-08-22,1.1364,1.162,1.0904,1.155,22887.098357530034
2023-08-23,1.152,1.163,1.128,1.138,6997.891865770009
2023-08-24,1.139,1.157,1.113,1.1296,18089.903042969992
2023-08-25,1.132,1.178,1.122,1.147,35620.86557383001
2023-08-26,1.144,1.172,1.142,1.156,19784.13797884003
2023-08-27,1.158,1.171,1.134,1.138,19509.184710569996
2023-08-28,1.14,1.257,1.11,1.2323,129934.80511257003
2023-08-29,1.238,1.246,1.175,1.208,64431.32765396986
2023-08-30,1.208,1.222,1.172,1.193,14719.006115800004
2023-08-31,1.192,1.211,1.1341,1.157,13370.386537509998
2023-09-01,1.158,1.162,1.101,1.121,14113.140928190021
2023-09-02,1.121,1.155,1.115,1.143,3516.9564004999975
2023-09-03,1.144,1.144,1.106,1.122,20833.37469080999
2023-09-04,1.123,1.228,1.1176,1.129,65309.576913779965
2023-09-05,1.128,1.135,1.112,1.121,9804.872012849995
2023-09-06,1.125,1.132,1.093,1.128,29173.22606388
2023-09-07,1.128,1.149,1.118,1.1376,39759.518711750046
2023-09-08,1.1387,1.15,1.113,1.133,14087.993723869999
2023-09-09,1.135,1.15,1.1319,1.147,11461.667214350005
2023-09-10,1.1433,1.153,1.104,1.128,14510.69858041999
2023-09-11,1.129,1.139,1.084,1.1139,16138.995666670005
2023-09-12,1.117,1.8,1.1151,1.189,1451257.76989282
2023-09-13,1.188,1.359,1.188,1.3007,404539.01678095065
2023-09-14,1.3068,1.3176,1.242,1.252,100714.50142091009
2023-09-15,1.251,1.325,1.216,1.323,106294.18163847995
2023-09-16,1.323,1.35,1.289,1.294,220287.01740557989
2023-09-17,1.294,1.296,1.181,1.203,153486.21908182962
2023-09-18,1.202,1.247,1.187,1.201,60254.28242495002
2023-09-19,1.201,1.416,1.193,1.318,813356.0503743895
2023-09-20,1.3189,1.3778,1.28,1.3778,120884.58629262981
2023-09-21,1.3512,1.368,1.276,1.316,30956.782451200022
2023-09-22,1.316,1.373,1.299,1.352,54226.47934085995
2023-09-23,1.35,1.363,1.305,1.32,17503.423317299996
2023-09-24,1.319,1.329,1.289,1.298,16613.719976920012
2023-09-25,1.298,1.365,1.284,1.349,68310.59566865013
2023-09-26,1.35,1.376,1.326,1.356,40502.17364550999
2023-09-27,1.355,1.38,1.32,1.343,37554.971084120036
2023-09-28,1.341,1.359,1.319,1.347,22852.492845550005
2023-09-29,1.351,1.351,1.28,1.298,39006.78659654
2023-09-30,1.3,1.312,1.281,1.2851,15293.267756269997
2023-10-01,1.28,1.333,1.278,1.318,27240.493504109993
2023-10-02,1.324,1.325,1.21,1.224,37061.82144724002
2023-10-03,1.2225,1.233,1.188,1.191,21333.32449372999
2023-10-04,1.191,1.2051,1.147,1.196,40083.78718944995
2023-10-05,1.197,1.2043,1.177,1.197,46384.85307881993
2023-10-06,1.193,1.213,1.141,1.163,88417.38330972007
2023-10-07,1.1662,1.213,1.161,1.199,31804.643619759987
2023-10-08,1.199,1.221,1.1804,1.193,29428.854247030013
2023-10-09,1.193,1.204,1.121,1.155,26642.992606729968
2023-10-10,1.155,1.162,1.14,1.1524,19854.553477319998
2023-10-11,1.1536,1.159,1.12,1.145,27982.546728480036
2023-10-12,1.144,1.15,1.122,1.127,7583.757699230005
2023-10-13,1.131,1.1524,1.1181,1.135,23398.032376369978
2023-10-14,1.137,1.1559,1.121,1.133,5913.630967810003
2023-10-15,1.131,1.166,1.128,1.155,5868.3429920399985
2023-10-16,1.155,1.2115,1.154,1.175,11142.627479560004
2023-10-17,1.175,1.18,1.117,1.123,25537.832184109997
2023-10-18,1.119,1.136,1.101,1.111,14734.886923789998
2023-10-19,1.109,1.1251,1.092,1.1007,13282.38505675
2023-10-20,1.107,1.1616,1.1007,1.144,7381.31435188
2023-10-21,1.146,1.185,1.14,1.16,28106.734827670032
2023-10-22,1.159,1.181,1.138,1.172,7189.7082379500025
2023-10-23,1.173,1.236,1.163,1.229,23064.14417148001
2023-10-24,1.231,1.34,1.223,1.305,89244.92763051981
2023-10-25,1.305,1.379,1.2919,1.3537,68655.28695834996
2023-10-26,1.35,1.4559,1.3006,1.352,34637.74287189008
2023-10-27,1.35,1.357,1.32,1.339,23090.405089840002
2023-10-28,1.3429,1.395,1.338,1.354,26194.532283400014
2023-10-29,1.353,1.4474,1.3388,1.386,48797.35761036003
2023-10-30,1.388,1.406,1.315,1.335,45063.55660528998
2023-10-31,1.3335,1.429,1.3045,1.362,59825.309399569924
2023-11-01,1.354,1.4174,1.3137,1.388,72854.88139655002
2023-11-02,1.389,1.425,1.315,1.343,58259.345167599895
2023-11-03,1.339,1.34,1.277,1.326,28812.80332917002
2023-11-04,1.326,1.394,1.323,1.378,13199.75614434999
2023-11-05,1.378,1.517,1.373,1.44,77728.87137987008
2023-11-06,1.436,1.8281,1.409,1.472,61033.34312923
2023-11-07,1.471,1.555,1.407,1.446,436111.0403424388
2023-11-08,1.444,1.491,1.433,1.448,519993.87072903774
2023-11-09,1.446,1.541,1.284,1.435,284343.4227662997
2023-11-10,1.423,1.553,1.423,1.533,95740.28366462988
2023-11-11,1.54,1.567,1.49,1.513,53632.597140280086
2023-11-12,1.511,1.587,1.4459,1.535,66996.62440557998
2023-11-13,1.532,1.572,1.4527,1.459,145925.8651589706
2023-11-14,1.466,1.479,1.336,1.404,53771.19610198992
2023-11-15,1.397,1.4764,1.394,1.46,58972.960341909886
2023-11-16,1.458,1.498,1.324,1.347,75175.22684716983
2023-11-17,1.345,1.39,1.306,1.384,61963.17212933983
2023-11-18,1.382,1.382,1.2777,1.332,48866.23729133995
2023-11-19,1.329,1.379,1.303,1.375,18333.98289027001
2023-11-20,1.374,1.423,0.7465,1.368,102061.45393166011
2023-11-21,1.37,1.4,1.211,1.2212,112710.9575727097
2023-11-22,1.22,1.34,1.218,1.294,40651.77146107004
2023-11-23,1.2988,1.338,1.2839,1.337,56594.51073392002
2023-11-24,1.3375,1.5,1.3298,1.397,69842.76999887968
2023-11-25,1.389,1.437,1.388,1.4287,65920.89176665997
2023-11-26,1.4247,1.453,1.313,1.434,92190.42248728985
2023-11-27,1.433,1.446,1.3151,1.35,82583.24827708962
2023-11-28,1.35,1.781,1.323,1.6195,345252.3316237105
2023-11-29,1.623,1.8267,1.45,1.609,254553.9432731308
2023-11-30,1.609,1.8972,1.4912,1.536,80833.7392205999
2023-12-01,1.535,1.582,1.5277,1.549,37144.85011218001
2023-12-02,1.55,1.568,1.496,1.561,66999.06283659996
2023-12-03,1.5561,1.608,1.4965,1.525,83940.13818731991
2023-12-04,1.527,1.635,1.45,1.6055,164081.6352343398
2023-12-05,1.612,1.672,1.5837,1.656,50494.15011954994
2023-12-06,1.657,1.685,1.5805,1.614,60189.663584359834
2023-12-07,1.617,1.9,1.58,1.68,199099.5640741797
2023-12-08,1.6748,2.1,1.66,1.707,82092.80512368023
2023-12-09,1.705,1.9263,1.642,1.661,57348.209004169905
2023-12-10,1.659,2.209,1.6059,1.649,48574.16355684999
2023-12-11,1.6483,1.654,1.4191,1.54,104404.33846710029
2023-12-12,1.537,1.586,1.5064,1.561,38977.81157991
2023-12-13,1.563,1.579,1.466,1.571,24810.261691670028
2023-12-14,1.571,1.637,1.523,1.628,70883.24025617
2023-12-15,1.629,1.657,1.5869,1.601,125636.12453746979
2023-12-16,1.605,1.691,1.593,1.661,62838.982346130026
2023-12-17,1.663,1.677,1.566,1.575,75311.40941939998
2023-12-18,1.576,1.608,1.459,1.605,66636.02634018981
2023-12-19,1.605,1.804,1.605,1.668,250473.15639206913
2023-12-20,1.667,1.86,1.665,1.82,189684.0338827196
2023-12-21,1.822,1.939,1.795,1.888,192376.40987763967
2023-12-22,1.888,1.949,1.818,1.901,120608.87853735984
2023-12-23,1.902,1.917,1.8101,1.881,40841.493039369925
2023-12-24,1.885,1.9492,1.822,1.884,174420.31902177038
2023-12-25,1.883,2.15,1.882,2.129,265939.35271782
2023-12-26,2.128,2.835,2.089,2.276,830158.5342313668
2023-12-27,2.281,2.5536,2.055,2.386,289519.3311775104
2023-12-28,2.382,3.2615,2.287,2.2908,207872.31852315916
2023-12-29,2.293,2.552,2.222,2.478,116590.47894967017
2023-12-30,2.484,2.494,2.29,2.295,62615.74308575001
2023-12-31,2.298,2.333,2.235,2.322,78291.95791141009
2024-01-01,2.319,2.3597,2.13,2.33,88530.45494931994
2024-01-02,2.33,2.389,2.189,2.257,92258.44386749004
2024-01-03,2.2521,2.413,1.72,2.018,286403.77371720184
2024-01-04,2.02,2.4,2.007,2.124,147928.78001649986
2024-01-05,2.122,2.142,1.911,1.996,128348.86461794023
2024-01-06,1.996,1.996,1.809,1.908,93694.22716548984
2024-01-07,1.912,1.973,1.762,1.769,75202.25963553997
2024-01-08,1.772,1.893,1.635,1.853,104434.63529552062
2024-01-09,1.8565,1.874,1.656,1.724,95828.1558357897
2024-01-10,1.716,1.9167,1.68,1.8751,92451.80589843006
2024-01-11,1.878,2.1231,1.855,2.038,155402.10800259965
2024-01-12,2.038,2.08,1.882,1.943,91691.34228988002
2024-01-13,1.951,2.009,1.895,1.963,45510.23931514991
