Date,Open,High,Low,Close,Volume
2023-07-22,2.75,2.77,2.65,2.74,461.43841554999995
2023-07-23,2.74,2.74,2.49,2.66,419.5341933
2023-07-24,2.64,2.67,2.52,2.55,218.28187536
2023-07-25,2.66,2.74,2.53,2.67,202.91258413999998
2023-07-26,2.65,3.0,2.64,2.98,1341.4436443700004
2023-07-27,2.98,3.48,2.8,2.9,1901.34112907
2023-07-28,2.79,2.94,2.77,2.89,336.78335491999997
2023-07-29,2.89,2.89,2.78,2.78,177.85623357999998
2023-07-30,2.85,2.85,2.84,2.84,9.36
2023-07-31,2.85,2.85,2.77,2.83,262.1771407
2023-08-01,2.77,2.82,2.67,2.81,563.98068355
2023-08-02,2.81,2.81,2.76,2.76,26.490350779999996
2023-08-03,2.76,2.84,2.75,2.75,562.90423921
2023-08-04,2.74,2.84,2.5,2.75,3018.4632400000005
2023-08-05,2.58,2.72,2.5,2.53,157.50478999999999
2023-08-06,2.66,2.67,2.16,2.53,747.0602749100002
2023-08-07,2.51,2.51,2.27,2.42,371.06951033
2023-08-08,2.42,2.42,2.25,2.35,628.5420701600001
2023-08-09,2.28,2.66,2.28,2.57,237.03752403999997
2023-08-10,2.57,2.6,2.31,2.33,716.13590196
2023-08-11,2.43,2.46,2.34,2.45,20.07317
2023-08-12,2.46,2.46,2.4,2.42,200.631197
2023-08-13,2.55,2.55,2.38,2.38,50.64639429
2023-08-14,2.48,2.51,2.31,2.38,817.26160831
2023-08-15,2.39,2.49,2.37,2.49,873.4345209300001
2023-08-16,2.37,2.49,2.37,2.49,284.79441284999996
2023-08-17,2.49,2.59,2.38,2.55,941.9185078600001
2023-08-18,2.45,2.69,2.45,2.68,534.8330970600001
2023-08-19,2.66,2.81,2.55,2.69,677.3649553899999
2023-08-20,2.84,2.87,2.65,2.65,198.73217306
2023-08-21,2.75,2.83,2.66,2.71,880.8651152599999
2023-08-22,2.66,2.71,2.5,2.5,838.4896802699999
2023-08-23,2.65,2.65,2.51,2.62,284.93642884
2023-08-24,2.62,2.62,2.5,2.58,145.62442022
2023-08-25,2.5,2.56,2.4,2.41,181.53042187000003
2023-08-26,2.41,2.49,2.37,2.46,454.14133401999993
2023-08-27,2.45,2.46,2.37,2.37,792.5264127199999
2023-08-28,2.41,2.42,2.29,2.41,168.04579879000002
2023-08-29,2.3,2.38,2.25,2.38,334.19123569
2023-08-30,2.38,2.38,2.21,2.29,823.32111805
2023-08-31,2.37,2.37,2.2,2.33,449.94832702
2023-09-01,2.33,2.33,2.2,2.2,63.319622
2023-09-02,2.2,2.36,2.17,2.36,225.52426555
2023-09-03,2.21,2.35,2.19,2.35,324.39796206000005
2023-09-04,2.35,2.36,2.2,2.21,500.99234430999996
2023-09-05,2.26,2.34,2.17,2.28,672.8507910600001
2023-09-06,2.27,2.27,2.08,2.08,803.13565325
2023-09-07,2.08,2.17,2.04,2.04,965.9501053899997
2023-09-08,2.15,2.2,2.03,2.17,488.96447107999995
2023-09-09,2.09,2.16,2.07,2.14,44.44895899
2023-09-10,2.12,2.14,2.04,2.11,144.46126
2023-09-11,2.03,2.03,2.0,2.0,1167.3504078
2023-09-12,2.03,2.17,2.01,2.06,385.8502739
2023-09-13,2.05,2.19,2.01,2.01,225.22613008
2023-09-14,2.12,2.21,2.02,2.14,171.58869862999998
2023-09-15,2.21,2.21,1.97,2.1,790.1795243899999
2023-09-16,2.01,2.07,1.95,2.07,1462.59031752
2023-09-17,1.99,2.04,1.95,1.95,366.19915000000003
2023-09-18,2.0,2.02,1.93,1.93,305.95139594000005
2023-09-19,2.01,2.04,1.92,2.0,741.6949252100001
2023-09-20,2.07,2.08,1.92,2.06,146.33601237999997
2023-09-21,1.94,2.02,1.92,2.02,11.679049999999998
2023-09-22,2.02,2.22,1.91,1.98,1057.49920919
2023-09-23,2.02,2.02,1.91,1.92,113.73558
2023-09-24,1.91,1.91,1.91,1.91,23.031060000000004
2023-09-25,1.99,1.99,1.82,1.94,619.39088823
2023-09-26,1.93,1.93,1.78,1.85,475.09183528999995
2023-09-27,1.87,1.87,1.76,1.83,314.78689117000005
2023-09-28,1.86,1.93,1.82,1.91,855.67875467
2023-09-29,1.92,1.93,1.85,1.85,1039.78332088
2023-09-30,1.86,1.87,1.77,1.87,939.35874288
2023-10-01,1.78,1.92,1.78,1.92,340.19968498
2023-10-02,1.98,2.0,1.88,1.98,608.4796243100001
2023-10-03,1.86,1.96,1.86,1.88,340.53313289999994
2023-10-04,1.9,1.93,1.87,1.87,69.44917024
2023-10-05,1.95,1.95,1.87,1.94,142.05260694
2023-10-06,1.88,1.88,1.88,1.88,3.67127
2023-10-07,1.93,1.95,1.85,1.93,442.05670397000006
2023-10-09,1.89,1.89,1.88,1.88,34.0
2023-10-10,1.83,1.91,1.82,1.83,342.8634908499999
2023-10-11,1.85,1.87,1.77,1.77,159.94272460999997
2023-10-12,1.83,1.85,1.74,1.74,226.35943347000003
2023-10-13,1.82,1.9,1.79,1.9,291.03066000000007
2023-10-14,1.84,1.84,1.7,1.78,501.0144552999999
2023-10-15,1.8,1.8,1.73,1.73,317.7691243
2023-10-16,1.78,1.79,1.71,1.79,550.15651926
2023-10-17,1.73,1.79,1.7,1.7,461.60640843000004
2023-10-18,1.71,1.71,1.7,1.7,5.43867651
2023-10-19,1.7,1.7,1.68,1.68,90.0
2023-10-20,1.75,1.75,1.72,1.75,164.10530709
2023-10-21,1.72,1.76,1.72,1.75,90.58538509
2023-10-23,1.75,2.23,1.66,1.96,3494.9503596800023
2023-10-24,1.94,2.09,1.9,1.97,1623.3418942
2023-10-25,2.0,2.08,1.96,2.03,470.01496323
2023-10-26,2.03,2.18,2.0,2.06,809.5705738699999
2023-10-27,2.03,2.04,1.94,1.94,155.3314799
2023-10-28,2.0,2.03,1.93,2.02,194.70398
2023-10-29,2.0,2.04,1.93,2.04,619.2863527499999
2023-10-30,2.02,2.36,1.99,2.08,731.3171641099999
2023-10-31,2.08,2.12,1.89,2.02,1212.3892786299996
2023-11-01,2.02,2.08,1.85,2.03,800.4293665600001
2023-11-02,2.03,2.24,2.02,2.24,362.25290243
2023-11-03,2.23,2.25,2.04,2.24,689.8273134200002
2023-11-04,2.24,2.27,2.15,2.16,459.9536646899999
2023-11-05,2.18,2.67,2.17,2.37,604.86876927
2023-11-06,2.67,2.68,2.18,2.36,624.8498638699998
2023-11-07,2.26,2.79,2.23,2.57,1089.29501058
2023-11-08,2.79,3.15,2.45,2.82,2517.2542326099997
2023-11-09,2.74,3.04,2.6,2.6,1743.75281842
2023-11-10,2.61,2.75,2.52,2.75,794.3431724299998
2023-11-11,2.75,2.76,2.59,2.67,397.07092938
2023-11-12,2.71,2.96,2.61,2.81,403.64864008
2023-11-13,2.81,3.1,2.65,2.65,627.94654883
2023-11-14,2.65,2.66,2.51,2.61,346.7026430100001
2023-11-15,2.54,2.75,2.47,2.75,618.9711758400002
2023-11-16,2.68,2.71,2.52,2.6,456.60878878
2023-11-17,2.59,2.59,2.29,2.29,431.04086750000005
2023-11-18,2.41,2.46,2.29,2.36,166.69807859
2023-11-19,2.35,2.39,2.33,2.34,222.96527055999996
2023-11-20,2.36,2.59,2.28,2.59,668.4654984000001
