Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,29.88,29.88,29.47,29.7,169822.0,33.757999999999996,32.60173316483538,-1.2680230610546452,16.831683148874276,-6.640000000000004,41.10952429593238,26.40647570406761,1.0842857142857145,383023.8,-2298410.0,29.97,29.99,36.34
2023-08-15,29.4,29.405,28.87,28.96,169049.0,33.384,32.25490143485106,-1.2929457786999805,13.509192630765057,-7.43,40.91978801802648,25.848211981973517,1.0717857142857146,384788.45,-2467459.0,29.7,29.1,36.39
2023-08-16,28.92,29.66,28.85,28.9,272167.0,33.003,31.935387012484288,-1.300859864741387,15.590405883923793,-2.710000000000001,40.64102151290364,25.364978487096355,0.9632142857142859,387208.55,-2739626.0,28.96,28.89,31.61
2023-08-17,29.11,29.48,28.585,28.62,263046.0,32.5785,31.619635868438166,-1.3105983481673782,15.77964517078287,-1.5199999999999996,40.19912651105882,24.957873488941175,0.9442857142857147,387065.15,-3002672.0,28.9,29.67,30.14
2023-08-18,28.4,29.07,28.0,28.45,272825.0,32.1195,31.31776578572977,-1.3143797086214555,12.392754988226983,-1.370000000000001,39.56282261687933,24.676177383120677,0.9642857142857143,388197.1,-3275497.0,28.62,29.97,29.82
2023-08-21,28.58,29.21,28.22,28.9,342214.0,31.6795,31.087502377565027,-1.2705878928676633,15.61065195421952,-1.0899999999999999,38.76567178216248,24.593328217837524,0.9775000000000001,394193.65,-2933283.0,28.45,29.7,29.99
2023-08-22,28.87,29.05,28.24,28.61,175997.0,31.223000000000003,30.851549770177883,-1.2419706827269792,26.562499941894487,-0.490000000000002,37.825073358542674,24.620926641457334,0.8575000000000005,393373.0,-3109280.0,28.9,28.96,29.1
2023-08-23,28.66,28.87,28.34,28.57,208290.0,30.747000000000003,30.634259315875227,-1.2079964702664867,34.205231291977185,-0.3200000000000003,36.594018493485194,24.899981506514813,0.7592857142857147,394550.95,-3317570.0,28.61,28.9,28.89
2023-08-24,28.41,28.78,27.82,27.87,250528.0,30.322499999999998,30.37099652388711,-1.2174792991854133,31.77570085142804,-1.8000000000000007,35.66465755743136,24.980342442568634,0.7821428571428576,386918.55,-3568098.0,28.57,28.62,29.67
2023-08-25,28.05,28.45,27.57,27.92,392105.0,29.921000000000003,30.13756828351691,-1.2071153168703255,30.210324966932205,-2.049999999999997,34.65470401316037,25.18729598683964,0.790714285714286,394852.65,-3175993.0,27.87,28.45,29.97
2023-08-28,28.15,28.63,28.1,28.27,180132.0,29.517500000000002,29.95970463746768,-1.159593818215626,41.151385804665345,-1.4299999999999997,33.20827869404562,25.826721305954386,0.7714285714285715,392711.7,-2995861.0,27.92,28.9,29.7
2023-08-29,28.27,28.62,27.75,28.55,229520.0,29.1255,29.82544705294695,-1.088564532126572,46.42857129201681,-0.41000000000000014,30.922298029243905,27.328701970756093,0.7414285714285717,392967.3,-2766341.0,28.27,28.61,28.96
2023-08-30,28.51,29.01,28.51,28.66,244180.0,28.978,29.71445209552343,-1.012376380461106,37.65281160705634,-0.23999999999999844,30.350214499114117,27.605785500885887,0.732857142857143,302863.85,-2522161.0,28.55,28.57,28.9
2023-08-31,28.78,28.97,28.37,28.54,339808.0,28.898000000000003,29.60259951499739,-0.9500175477030979,31.713554873659902,-0.08000000000000185,30.167705311852888,27.62829468814712,0.7421428571428572,271224.95,-2861969.0,28.66,27.87,28.62
2023-09-01,28.69,28.92,28.19,28.34,224115.0,28.824,29.482351942140497,-0.9051935307202363,32.29166654893663,-0.10999999999999943,30.038775699460633,27.60922430053937,0.765,264293.7,-3086084.0,28.54,27.92,28.45
2023-09-05,28.44,28.59,27.521,27.75,303621.0,28.712,29.31736604288902,-0.9038645457841596,33.60433591586428,-1.1499999999999986,29.886511768666843,27.537488231333157,0.8031428571428572,265415.5,-3389705.0,28.34,28.27,28.9
2023-09-06,27.59,27.97,27.13,27.26,345264.0,28.619999999999997,29.121426419756734,-0.9292660355967115,30.097087276369123,-1.3499999999999979,29.945141501878226,27.29485849812177,0.8052857142857144,265784.3,-3734969.0,27.75,28.55,28.61
