Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,7.02,7.2,6.89,7.17,1535038.0,8.421,8.229093976130704,-0.3176957364710491,14.741035774352824,-1.540000000000001,10.021103943992062,6.820896056007937,0.31500000000000006,1931879.75,-12514489.0,7.06,7.96,8.71
2023-08-15,7.06,7.08,6.77,6.78,1887321.0,8.2755,8.091085026023018,-0.35408920909870467,13.074204882318455,-1.7000000000000002,9.918391866256124,6.632608133743874,0.3250000000000001,1929017.9,-14401810.0,7.17,8.08,8.48
2023-08-16,6.7,6.809,6.57,6.57,2005129.0,8.116000000000001,7.946219785449397,-0.39213233941196,13.503649566039783,-1.8100000000000005,9.771414083990376,6.460585916009626,0.30635714285714294,1937020.85,-16406939.0,6.78,7.4,8.38
2023-08-17,6.56,6.63,6.45,6.45,1636216.0,7.974500000000001,7.8037226630256455,-0.4251403523529591,9.454545406413274,-1.7800000000000002,9.693563086316745,6.255436913683257,0.2849285714285715,1939542.4,-18043155.0,6.57,7.11,8.23
2023-08-18,6.35,6.56,6.33,6.47,2114064.0,7.8485,7.676701457023203,-0.44438398360646314,9.12408754462146,-1.5699999999999994,9.62269247754251,6.07430752245749,0.2874285714285714,1981354.8,-15929091.0,6.45,7.06,8.04
2023-08-21,6.42,6.5,6.22,6.28,1633560.0,7.711499999999999,7.543682270640041,-0.4673294049961312,9.259259211248292,-1.6799999999999997,9.527467481739924,5.895532518260073,0.291,1998483.5,-17562651.0,6.47,7.17,7.96
2023-08-22,6.35,6.43,6.2,6.24,1302541.0,7.5765,7.419522054388608,-0.48252318259167026,9.469696919478878,-1.8399999999999999,9.409292232747907,5.7437077672520935,0.2877857142857142,1964851.65,-18865192.0,6.28,6.78,8.08
2023-08-23,6.23,6.3707,6.195,6.35,1604885.0,7.450500000000001,7.317662811113503,-0.4809258783085255,13.846153771597614,-1.0500000000000007,9.255142842634989,5.645857157365014,0.2853357142857143,1992415.4,-17260307.0,6.24,6.57,7.4
2023-08-24,6.36,6.38,5.99,6.04,2479440.0,7.324,7.195980638626502,-0.49624145994393576,13.235294049524214,-1.0700000000000003,9.15275741535353,5.495242584646469,0.29497857142857137,2052201.55,-19739747.0,6.35,6.45,7.11
2023-08-25,6.07,6.185,6.02,6.13,1132866.0,7.1965,7.094458673043026,-0.4959324319182983,16.483516398985614,-0.9299999999999997,8.982259752804627,5.410740247195373,0.28997857142857136,1933813.1,-18606881.0,6.04,6.47,7.06
2023-08-28,6.18,6.27,6.09,6.14,1194401.0,7.0680000000000005,7.003557847038929,-0.4892089126310566,12.977099167297908,-1.0300000000000002,8.76274233408721,5.3732576659127895,0.27783571428571424,1912441.05,-17412480.0,6.13,6.28,7.17
2023-08-29,6.08,6.23,6.05,6.13,1939372.0,6.9505,6.92036186160665,-0.47902099719663216,17.435897310716584,-0.6500000000000004,8.556586777494324,5.3444132225056755,0.25212142857142855,1921717.55,-19351852.0,6.14,6.24,6.78
2023-08-30,6.12,6.76,6.02,6.25,11234429.0,6.843999999999999,6.856517874786969,-0.45668610310133495,25.842696425956305,-0.3200000000000003,8.328876744840601,5.359123255159399,0.27212142857142857,2392011.4,-8117423.0,6.13,6.35,6.57
2023-08-31,6.61,6.69,6.29,6.31,5159158.0,6.748,6.804468553378687,-0.42951000802778516,29.050279102400026,-0.14000000000000057,8.097691582703638,5.398308417296363,0.2864071428571429,2588043.8,-2958265.0,6.25,6.04,6.45
2023-09-01,6.36,6.48,6.215,6.22,2034860.0,6.656999999999999,6.7488048816283355,-0.41000833178241614,23.163841624692722,-0.25,7.879320485151521,5.434679514848478,0.2831928571428572,2570806.25,-4993125.0,6.31,6.13,6.47
2023-09-05,6.16,6.21,5.895,5.94,2391487.0,6.556,6.67177584528278,-0.4109880382421647,24.698794972419762,-0.33999999999999986,7.652317280237509,5.459682719762491,0.28355,2608485.9,-7384612.0,6.22,6.14,6.28
2023-09-06,5.95,5.97,5.68,5.73,1941065.0,6.4384999999999994,6.582082907636801,-0.42281433089585896,24.698794972419762,-0.5099999999999998,7.3320623560840765,5.544937643915922,0.2871928571428572,2590754.0,-9325677.0,5.94,6.13,6.24
2023-09-07,5.52,5.55,4.9,5.3,8109189.0,6.3335,6.459979773576153,-0.4596813576712009,20.812182593212867,-1.0499999999999998,7.244699902961966,5.4223000970380335,0.3207642857142857,2836133.25,-17434866.0,5.73,6.25,6.35
