Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,40.12,40.22,39.83,40.08,3798505.0,41.3195,40.91562818534178,-0.3420246030425602,20.481927653263583,-1.7800000000000011,43.48330245231203,39.155697547687964,0.7254571428571422,5865292.35,36375813.0,40.51,39.97,41.86
2023-08-15,39.87,39.88,39.505,39.59,3716867.0,41.235,40.789377881975895,-0.37834138677096263,15.8790169712086,-1.8799999999999955,43.53312280373626,38.93687719626374,0.7058142857142852,5694912.5,32658946.0,40.08,40.08,41.47
2023-08-16,39.76,39.89,39.605,39.81,5557225.0,41.15,40.69610379797819,-0.3871933693041427,24.824355890505586,-1.6899999999999977,43.52960633630637,38.770393663693625,0.6236714285714281,5689382.15,38216171.0,39.59,40.25,41.5
2023-08-17,39.88,40.305,39.79,39.96,4263695.0,41.0475,40.62599867436122,-0.37927756738564256,29.086538363650988,-0.5399999999999991,43.44764802175111,38.64735197824889,0.6029571428571424,5623661.9,42479866.0,39.81,40.19,40.5
2023-08-18,40.08,40.255,39.91,40.01,5361807.0,40.9205,40.56733213394587,-0.3652154981529563,27.160493733272304,0.0899999999999963,43.25376944774696,38.58723055225303,0.5751000000000001,5062560.35,47841673.0,39.96,40.51,39.92
2023-08-21,40.01,40.05,39.4,39.74,6239822.0,40.766000000000005,40.488538597379595,-0.36875253933648366,27.98982178324232,-0.22999999999999687,42.97267313297404,38.55932686702597,0.5815285714285717,5144173.0,41601851.0,40.01,40.08,39.97
2023-08-22,39.75,40.15,39.64,40.0,3982524.0,40.614999999999995,40.44201111191487,-0.3489281633228387,31.97115373855854,-0.0799999999999983,42.57136074598244,38.65863925401755,0.5736714285714289,5146866.8,45584375.0,39.74,39.59,40.08
2023-08-23,40.4,40.43,40.075,40.25,3236566.0,40.4675,40.42372433935155,-0.3116843687613269,46.334310660211024,0.0,42.00275413634284,38.932245863657165,0.540457142857143,5131020.05,48820941.0,40.0,39.81,40.25
2023-08-24,40.31,40.895,40.025,40.08,3766369.0,40.3735,40.39098868798474,-0.2911672367616873,52.66666642088885,-0.10999999999999943,41.74552539488539,39.00147460511461,0.5011714285714289,5028552.8,45054572.0,40.25,39.96,40.19
2023-08-25,40.12,40.575,40.07,40.3,3412920.0,40.3035,40.38232309865286,-0.2559139762615388,55.205047074804206,-0.21000000000000085,41.52518606528237,39.08181393471763,0.5090285714285722,4769457.4,48467492.0,40.08,40.01,40.51
2023-08-28,40.49,40.625,40.175,40.25,3167033.0,40.223,40.36972089878116,-0.22905436251551237,52.733118733677316,0.1700000000000017,41.20064701411623,39.24535298588377,0.49652857142857243,4583147.35,45300459.0,40.3,39.74,40.08
2023-08-29,40.3,40.69,40.21,40.5,3606121.0,40.1745,40.38212843223057,-0.18713805432324193,53.91849506117277,0.9099999999999966,40.97116343682812,39.37783656317188,0.48545714285714375,4495819.65,48906580.0,40.25,40.0,39.59
2023-08-30,40.42,40.67,40.265,40.42,2260048.0,40.1205,40.38573524820861,-0.1581109607928397,53.58255428344066,0.6099999999999994,40.63547470556159,39.60552529443841,0.4786714285714296,4262032.15,46646532.0,40.5,40.25,39.81
2023-08-31,40.49,40.6,40.12,40.12,8455184.0,40.1015,40.3604271293316,-0.1558117919623001,43.887147142814996,0.1599999999999966,40.584572403857074,39.61842759614293,0.47250000000000114,4466874.05,38191348.0,40.42,40.08,39.96
2023-09-01,40.35,40.47,39.62,39.99,3931318.0,40.105,40.32514835510954,-0.16189649141473694,48.442906339722995,-0.01999999999999602,40.58352844605523,39.62647155394476,0.5053571428571441,4424555.05,34260030.0,40.12,40.3,40.01
2023-09-05,39.99,40.0,39.18,39.51,3584086.0,40.082,40.247515178432444,-0.20071442231753878,48.611110874807004,-0.23000000000000398,40.627396041519454,39.53660395848055,0.5371428571428584,4353093.05,30675944.0,39.99,40.25,39.74
2023-09-06,39.56,39.895,39.47,39.86,5607437.0,40.071,40.21060897096269,-0.20244747708731836,50.83056454763188,-0.14000000000000057,40.62536639983226,39.51663360016774,0.5471428571428584,4355191.35,36283381.0,39.51,40.5,40.0
2023-09-07,40.23,40.945,40.1,40.57,4917871.0,40.087,40.24483668801386,-0.14784721567421144,58.543417137364756,0.3200000000000003,40.68022845515015,39.49377154484986,0.5707142857142868,4318658.45,41201252.0,39.86,40.42,40.25
2023-09-08,40.655,40.93,40.46,40.58,4545782.0,40.1065,40.27675700344111,-0.1026647037122359,58.07365416061442,0.5,40.738365242128694,39.4746347578713,0.5796428571428578,4335696.6,45747034.0,40.57,40.12,40.08
2023-09-11,40.58,41.1,40.54,40.58,3597014.0,40.11,40.305637288827675,-0.06612509736243766,62.883435312770466,0.28000000000000114,40.75197065025537,39.468029349744626,0.5732142857142867,4350409.7,45747034.0,40.58,39.99,40.3
2023-09-12,40.5,40.645,40.225,40.56,5485857.0,40.134,40.329862308939326,-0.03829398105058601,59.27152290403935,0.3100000000000023,40.80641591139307,39.461584088606934,0.5667857142857154,4434777.3,40261177.0,40.58,39.51,40.25
2023-09-13,40.64,41.32,40.63,41.13,4013793.0,40.211,40.40606589856415,0.027614860363151195,63.17365242981109,0.6300000000000026,40.96844445688315,39.45355554311685,0.590714285714287,4449623.6,44274970.0,40.56,39.86,40.5
2023-09-14,41.36,41.925,41.29,41.84,3764788.0,40.3125,40.54263105108185,0.13347167159859197,72.6804121088852,1.4200000000000017,41.33970622641163,39.28529377358837,0.5739285714285722,4360001.75,48039758.0,41.13,40.57,40.42
2023-09-15,41.88,42.155,41.59,41.65,10297227.0,40.397000000000006,40.64809476050262,0.2001757942862099,67.53246728689493,1.5300000000000011,41.5698346228823,39.224165377117714,0.5782142857142861,4661678.35,37742531.0,41.84,40.58,40.12
2023-09-18,41.78,41.82,41.215,41.49,3536349.0,40.471,40.728276211883326,0.23774713155034988,65.65656542444651,1.5,41.72497725153541,39.217022748464586,0.5892857142857143,4570405.45,34206182.0,41.65,40.58,39.99
2023-09-19,41.41,41.48,40.96,41.07,4230609.0,40.5375,40.76082133456111,0.23191143671841274,56.900726199368,1.5600000000000023,41.769116396191734,39.30588360380827,0.5921428571428571,4469944.8,29975573.0,41.49,40.56,39.51
