Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,31.56,32.04,31.25,31.8,345946.0,34.815999999999995,34.542196945428955,-0.5552798191996686,37.550200750431436,-5.359999999999996,37.94235250731583,31.68964749268416,1.2502642857142874,376805.0,-1121123.0,31.78,34.71,37.16
2023-08-15,31.63,31.765,31.2,31.22,214304.0,34.5505,34.22579723634048,-0.6759895091439105,36.41674775950979,-5.939999999999998,37.9536098780535,31.1473901219465,1.2359785714285731,365980.25,-1335427.0,31.8,34.04,37.16
2023-08-16,31.26,31.375,30.56,30.57,185669.0,34.2685,33.87762607097472,-0.8049891568917431,26.509723605820255,-5.450000000000003,38.01045150324421,30.52654849675579,1.1541928571428588,351857.95,-1521096.0,31.22,33.79,36.02
2023-08-17,30.58,30.655,30.01,30.1,282469.0,34.032,33.51785215945332,-0.9274220575613015,9.999999983529392,-5.329999999999998,38.19835445847857,29.865645541521424,1.085692857142859,344267.0,-1803565.0,30.57,33.21,35.43
2023-08-18,29.83,30.56,29.71,30.29,317666.0,33.8015,33.210437668076814,-0.9985045070495318,9.25266902377966,-3.8500000000000014,38.265141539088205,29.337858460911786,1.0778000000000014,341801.85,-1485899.0,30.1,31.78,34.14
2023-08-21,30.31,30.575,30.02,30.53,369719.0,33.614999999999995,32.955157890164735,-1.025358759290686,11.76470586335573,-4.18,38.30398597499334,28.926014025006648,1.0503000000000011,346353.95,-1116180.0,30.29,31.8,34.71
2023-08-22,31.06,31.39,29.5,31.14,263788.0,33.458,32.78228571014905,-0.9914149635064753,20.02456999012972,-2.8999999999999986,38.26209299178152,28.65390700821848,1.1281571428571435,347359.1,-852392.0,30.53,31.22,34.04
2023-08-23,31.06,31.83,31.06,31.61,201793.0,33.338,32.670639452039616,-0.9200685164865305,26.184538607657913,-2.1799999999999997,38.20354199934278,28.47245800065722,1.0606571428571434,343378.85,-650599.0,31.14,30.57,33.79
2023-08-24,32.18,32.41,30.9,31.09,366875.0,33.1345,32.520102361369176,-0.8908961717682473,28.96551718544589,-2.120000000000001,38.01959429958006,28.249405700419942,1.066371428571429,341153.95,-1017474.0,31.61,30.1,33.21
2023-08-25,31.11,31.49,30.64,31.25,158787.0,32.852,32.399140231714966,-0.8462405796297787,24.707602288610147,-0.5300000000000011,37.466186818931384,28.237813181068606,1.0542285714285715,326636.0,-858687.0,31.09,30.29,31.78
2023-08-28,31.42,31.88,31.01,31.16,277878.0,32.552,32.28112687631354,-0.8080945774181885,26.996805051444824,-0.6400000000000006,36.748111483140974,28.35588851685902,1.049228571428571,319524.9,-1136565.0,31.25,30.53,31.8
2023-08-29,31.0,33.5,30.9422,33.28,408970.0,32.358,32.37625764999797,-0.613887808217843,46.86346855398666,2.0600000000000023,35.976040178997785,28.73995982100221,1.1707428571428566,319173.1,-727595.0,31.16,31.14,31.22
2023-08-30,33.16,35.56,33.05,35.52,657812.0,32.333000000000006,32.6756616833315,-0.29015679088676904,61.797752720616096,4.950000000000003,35.84999692471025,28.816003075289764,1.1584142857142854,337870.95,-69783.0,33.28,31.61,30.57
2023-08-31,35.44,36.14,35.3,35.32,635630.0,32.3275,32.92750342777612,-0.04858210055176215,70.67756997786378,5.219999999999999,35.824391100452125,28.830608899547872,1.1441285714285716,342033.6,-705413.0,35.52,31.09,30.1
2023-09-01,35.51,35.72,34.91,35.13,314291.0,32.376999999999995,33.137265006083155,0.126705209691103,69.07216483768497,4.840000000000003,36.00739855721252,28.746601442787473,1.1455571428571432,330885.0,-1019704.0,35.32,31.25,30.29
2023-09-05,34.71,35.11,33.81,34.9,370728.0,32.3865,33.30514452931333,0.24511371170713403,71.95704045257773,4.369999999999997,36.0435006404444,28.729499359555597,1.198057142857143,322078.05,-1390432.0,35.13,31.16,30.53
2023-09-06,34.94,35.31,34.02,34.56,295099.0,32.4125,33.42465457414063,0.3093449360277063,74.72118946145024,3.4200000000000017,36.12595703595652,28.699042964043485,1.2319857142857142,321905.0,-1685531.0,34.9,33.28,31.14
