Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,70.41,71.42,70.31,70.99,1423220.0,74.088,73.68778199546915,-0.839129063714239,38.434982707819884,-6.1000000000000085,79.24798612809232,68.92801387190767,1.7521428571428541,1353009.35,-2558492.0,70.69,70.86,77.09
2023-08-15,70.51,71.005,70.005,70.05,1560305.0,73.68299999999999,73.34132656732923,-0.9164570138534316,37.008310220602965,-7.25,78.77160481344035,68.59439518655964,1.741428571428569,1369174.25,-4118797.0,70.99,70.82,77.3
2023-08-16,69.95,70.77,69.89,69.98,1311829.0,73.3355,73.02120022758359,-0.9701005544720829,38.7022015908557,-5.549999999999997,78.4396798145194,68.2313201854806,1.6599999999999977,1376687.15,-5430626.0,70.05,72.41,75.53
2023-08-17,69.9,70.35,69.82,69.88,1367376.0,73.0615,72.72203830114705,-1.0069967608820463,35.85585582570674,-5.840000000000003,78.29480337459297,67.82819662540702,1.6457142857142841,1396255.15,-6798002.0,69.98,71.44,75.72
2023-08-18,69.44,70.11,69.18,69.95,1163406.0,72.77650000000001,72.45803465341876,-1.0189551428243533,24.894514743423088,0.269999999999996,78.03701938600423,67.5159806139958,1.525357142857141,1411951.45,-5634596.0,69.88,70.69,69.68
2023-08-21,69.8,70.93,69.8,70.61,984830.0,72.561,72.28203135309317,-0.9703995768072673,27.198363982223768,-0.25,77.80489128314782,67.31710871685219,1.5260714285714283,1419822.9,-4649766.0,69.95,70.99,70.86
2023-08-22,70.97,71.31,70.44,70.52,925009.0,72.3365,72.11421884327477,-0.9275486951399614,30.715935301768795,-0.29999999999999716,77.52307081722647,67.14992918277353,1.452142857142857,1414920.7,-5574775.0,70.61,70.05,70.82
2023-08-23,70.83,71.36,70.64,71.0,1018328.0,72.1495,72.00810276296289,-0.8492998400348029,32.22891562867434,-1.4099999999999966,77.23999671860274,67.05900328139727,1.432142857142857,1413188.75,-4556447.0,70.52,69.98,72.41
2023-08-24,71.25,71.36,70.11,70.17,850834.0,71.964,71.83304535696642,-0.8377367635582971,53.03593547180875,-1.269999999999996,77.05936590287787,66.86863409712213,1.1285714285714283,1398854.9,-5407281.0,71.0,69.88,71.44
2023-08-25,70.3,71.76,70.2,71.52,936082.0,71.8105,71.80323151344581,-0.7216556994146686,54.00485427717619,0.8299999999999983,76.75552610285271,66.8654738971473,1.1325000000000003,1381189.25,-4471199.0,70.17,69.95,70.69
2023-08-28,71.84,72.36,71.57,71.69,1124336.0,71.5405,71.7924475597843,-0.6103127082394337,55.19713252416253,0.7000000000000028,75.81617156928839,67.2648284307116,1.1021428571428575,1368430.1,-3346863.0,71.52,70.61,70.99
2023-08-29,71.51,72.22,70.03,71.29,2097427.0,71.24,71.74459541123342,-0.5455342980469169,42.20055702077891,1.240000000000009,74.54617922270279,67.9338207772972,1.1000000000000003,1423482.4,-5444290.0,71.69,70.52,70.05
2023-08-30,71.2,72.49,71.2,72.26,1512510.0,71.0765,71.79368156254452,-0.41720722700503643,55.71030629805795,2.280000000000001,73.75283114936337,68.40016885063662,1.0807142857142853,1430416.25,-3931780.0,71.29,71.0,69.98
2023-08-31,72.63,73.14,72.26,72.51,2130208.0,70.916,71.8619023661117,-0.2935724009973768,63.622754357676925,2.6300000000000097,72.63283184352676,69.19916815647323,1.0807142857142853,1470905.2,-1801572.0,72.26,70.17,69.88
2023-09-01,72.88,73.67,72.39,72.65,1608266.0,71.0645,71.93695928362487,-0.18309690937000767,62.730061214996894,2.700000000000003,72.84383725095375,69.28516274904624,1.0928571428571427,1362157.55,-193306.0,72.51,71.52,69.95
2023-09-05,74.68,75.39,72.68,72.95,4447458.0,71.169,72.03343935185107,-0.07213622475187265,74.65986376781672,2.3400000000000034,73.13361218886367,69.20438781113633,1.2149999999999994,1506982.85,4254152.0,72.65,71.69,70.61
2023-09-06,72.86,74.31,72.5905,74.27,2509375.0,71.3415,72.24644512786526,0.11475446660374189,80.08415131540275,3.75,73.73591697111823,68.94708302888176,1.274964285714285,1574676.6,6763527.0,72.95,71.29,70.52
2023-09-07,73.62,75.01,73.62,74.74,2725553.0,71.458,72.48392654425905,0.2951517354540698,82.39999984618672,3.739999999999995,74.26286494655645,68.65313505344355,1.3363928571428565,1620958.5,9489080.0,74.27,72.26,71.0
2023-09-08,75.0,76.13,74.4,74.58,2326452.0,71.61500000000001,72.68355258766294,0.4207855709402395,80.50065861304233,4.409999999999997,74.74795219779752,68.4820478022025,1.3935357142857134,1660109.85,7162628.0,74.74,72.51,70.17
