Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,23.25,23.61,22.665,23.61,56278,24.77,24.64323252780831,-0.16216601814446818,34.21633543509304,-0.9299999999999997,25.70511609186408,23.834883908135918,0.5850928571428565,25533.3,-41153,23.57,25.03,24.54
2023-08-15,23.34,23.47,23.305,23.43,9503,24.697499999999998,24.527686572778947,-0.2169764463667434,35.06787319209273,-1.7600000000000016,25.80555424529953,23.589445754700467,0.5761642857142851,24824.3,-50656,23.61,25.37,25.19
2023-08-16,23.43,23.43,23.2,23.26,821515,24.610500000000002,24.40695451822857,-0.2682288777959947,33.62445404568946,-1.4199999999999982,25.88002083791277,23.340979162087233,0.559021428571428,64819.75,-872171,23.43,24.98,24.68
2023-08-17,23.46,23.48,23.25,23.25,19653,24.523500000000002,24.296768373635373,-0.3054770465589485,31.151241436542364,-1.5300000000000011,25.916040654230322,23.130959345769682,0.5333071428571424,63640.35,-891824,23.26,24.28,24.78
2023-08-18,23.23,23.57,23.2,23.45,24440,24.446,24.21612376662248,-0.31705188241583215,37.17647046577164,-1.4299999999999997,25.898133095248433,22.99386690475157,0.5143785714285711,63911.45,-867384,23.25,23.57,24.88
2023-08-21,23.5,23.62,23.39,23.6,6646,24.3685,24.157445312658435,-0.3118990732365461,28.79999989248003,-1.4299999999999997,25.827862153386487,22.909137846613515,0.46866428571428564,62959.3,-860738,23.45,23.61,25.03
2023-08-22,23.68,23.68,23.31,23.31,9822,24.282,24.076736235262395,-0.3245954509279656,30.594900728518823,-2.0600000000000023,25.77839004203274,22.78560995796726,0.46830714285714287,62510.3,-870560,23.6,23.43,25.37
2023-08-23,23.36,23.6,23.12,23.5,8960,24.2195,24.021808974761214,-0.31722716747188073,32.3204418639541,-1.4800000000000004,25.737843626594803,22.701156373405198,0.4654500000000001,62277.3,-861600,23.31,23.26,24.98
2023-08-24,23.6,24.04,23.57,23.79,18003,24.171,23.99973192954586,-0.2870481248028156,35.6955379265781,-0.490000000000002,25.67857944715152,22.66342055284848,0.4811642857142857,62790.85,-843597,23.5,23.25,24.28
2023-08-25,23.68,23.75,23.29,23.55,12217,24.1025,23.95690031720816,-0.27746404603476194,31.025640914266944,-0.019999999999999574,25.59116418396883,22.61383581603117,0.4750642857142857,62925.55,-855814,23.79,23.45,23.57
2023-08-28,23.57,23.59,23.29,23.35,6037,24.043,23.899100286997857,-0.28128777599304655,23.13829778618721,-0.259999999999998,25.553010108017755,22.532989891982243,0.4557785714285715,62027.85,-861851,23.55,23.6,23.61
2023-08-29,23.42,23.56,23.12,23.31,70610,23.948999999999998,23.842995497759965,-0.28394068509402715,25.513196376192155,-0.120000000000001,25.390897872140812,22.507102127859184,0.45720714285714287,64598.0,-932461,23.35,23.31,23.43
2023-08-30,23.27,23.445,23.17,23.26,7363,23.878,23.787472117020922,-0.2864093682845059,31.521738970541918,0.0,25.308135805108254,22.447864194891746,0.39535714285714285,63061.4,-939824,23.31,23.5,23.26
2023-08-31,23.18,23.4,22.99,23.33,30596,23.805500000000002,23.74390334397131,-0.2798466793106549,44.33962234870055,0.0799999999999983,25.189369099377007,22.421630900622997,0.38392857142857145,63648.4,-909228,23.26,23.79,23.25
2023-09-01,23.45,23.66,23.385,23.49,48228,23.736,23.719722073116902,-0.25957286302478977,47.32142827566962,0.03999999999999915,25.0293090972589,22.442690902741102,0.33607142857142847,65680.6,-861000,23.33,23.55,23.45
2023-09-05,23.37,23.6,22.81,22.86,32272,23.6275,23.637843780439102,-0.28787808522204017,39.405204255883675,-0.740000000000002,24.824212602353455,22.430787397646547,0.38071428571428584,66811.5,-893272,23.49,23.35,23.6
2023-09-06,22.88,23.055,22.76,22.99,11464,23.5085,23.576144372778234,-0.29692834561413406,44.90566014012098,-0.3200000000000003,24.413393712862973,22.60360628713703,0.38535714285714284,65996.3,-881808,22.86,23.31,23.31
2023-09-07,22.91,23.2,22.62,22.75,27856,23.397,23.497463956323163,-0.3187207064110247,41.31944424358603,-0.75,24.054078061532532,22.739921938467464,0.4103571428571427,64834.2,-909664,22.99,23.26,23.5
2023-09-08,22.98,23.1,22.46,22.66,24604,23.316,23.417705484292384,-0.33893515400680485,35.74007202153031,-1.129999999999999,23.911258457797054,22.720741542202944,0.42964285714285694,64050.55,-934268,22.75,23.33,23.79
