Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-15,1.45,1.6,1.27,1.45,11638.0,1.955425,1.8787038489850278,-0.1030833525646151,17.6165800978997,-0.5,2.482842469223485,1.4280075307765148,0.1685714285714286,8158.9,-92688.0,1.56,2.005,1.95
2023-08-16,1.35,1.53,1.2,1.39,18714.0,1.911925,1.832160625272168,-0.11707202250592719,18.08510615851816,-0.5,2.4758208727133573,1.348029127286643,0.18999285714285716,8858.8,-111402.0,1.45,1.73,1.89
2023-08-17,1.29,1.36,1.16,1.24,24085.0,1.8554249999999999,1.7757643752462473,-0.13656868583201143,17.17171696935685,-0.6200000000000001,2.4515888131464068,1.259261186853593,0.1878571428571429,9819.05,-135487.0,1.39,1.64,1.86
2023-08-18,1.19,1.2711,1.13,1.13,9300.0,1.797925,1.714263006175176,-0.15754340377589493,16.87344893612216,-0.76,2.4416078472895157,1.1542421527104842,0.19150714285714285,9864.05,-144787.0,1.24,1.63,1.89
2023-08-21,1.13,1.15,1.01,1.06,13318.0,1.7393,1.6519522436823022,-0.17678676741748078,14.682539519400336,-0.79,2.428310915809949,1.0502890841900512,0.19579285714285716,10289.4,-158105.0,1.13,1.56,1.85
2023-08-22,1.08,1.25,1.01,1.2,50720.0,1.6868000000000003,1.6089091728554163,-0.17994161122438213,24.253731089886372,-0.8049999999999999,2.3719663186486386,1.0016336813513618,0.20579285714285714,12663.8,-107385.0,1.06,1.45,2.005
2023-08-23,1.31,1.97,1.17,1.66,3419159.0,1.6598,1.6137749659168052,-0.14798912564215594,44.35028213508251,-0.07000000000000006,2.300960986435012,1.0186390135649883,0.25115000000000004,183212.4,3311774.0,1.2,1.39,1.73
2023-08-24,1.66,1.69,1.4,1.63,341542.0,1.6358000000000001,1.615320207258062,-0.12349081535922868,42.65536689425132,-0.010000000000000009,2.240927772501505,1.0306722274984952,0.27115,199962.85,2970232.0,1.66,1.24,1.64
2023-08-25,1.45,1.54,1.31,1.5,67475.0,1.6098,1.6043373303763417,-0.11224501171354184,40.59139754393571,-0.1299999999999999,2.1895758550554385,1.0300241449445615,0.2704357142857143,202359.95,2902757.0,1.63,1.13,1.63
2023-08-28,1.41,1.48,1.4001,1.42,40656.0,1.58425,1.5867813941500235,-0.10793225854068411,33.613445114516395,-0.14000000000000012,2.149277013792961,1.0192229862070388,0.24828571428571428,204156.65,2862101.0,1.5,1.06,1.56
2023-08-29,1.35,1.6066,1.35,1.48,23155.0,1.56075,1.576611737564307,-0.09895495272124277,42.038216185646476,0.030000000000000027,2.100245622147012,1.0212543778529883,0.2601857142857143,204819.15,2885256.0,1.42,1.2,1.45
2023-08-30,1.4,1.54,1.4,1.44,28944.0,1.53825,1.5636010958915159,-0.0937223998582033,43.421052231648204,0.050000000000000044,2.0570672277300313,1.0194327722699683,0.24625714285714287,205984.25,2856312.0,1.48,1.66,1.39
2023-08-31,1.37,1.54,1.37,1.47,25889.0,1.51875,1.5546867058066096,-0.08634146970563861,44.80519439787486,0.22999999999999998,2.0154959903686898,1.0220040096313103,0.25411428571428574,206911.55,2882201.0,1.44,1.63,1.24
2023-09-01,1.41,1.64,1.41,1.56,33673.0,1.5022499999999999,1.5551927338250278,-0.07291037838149506,49.99999955128205,0.43000000000000016,1.9680314599370121,1.0364685400629876,0.2555428571428572,208492.0,2915874.0,1.47,1.5,1.13
2023-09-05,1.48,1.63,1.48,1.55,15224.0,1.48725,1.5546981877464536,-0.062312692777120926,53.424657021955355,0.49,1.9243152727357562,1.0501847272642437,0.2426857142857143,208960.35,2900650.0,1.56,1.42,1.06
2023-09-06,1.49,1.6247,1.33,1.49,56465.0,1.4615,1.5485364555801246,-0.057797286502794254,53.424657021955355,0.29000000000000004,1.8245441469457688,1.0984558530542312,0.24016428571428575,211143.3,2844185.0,1.55,1.48,1.2
2023-09-07,1.37,1.5,1.37,1.37,28154.0,1.4435,1.5315329836201128,-0.06262380033690151,54.54545401144311,-0.2899999999999998,1.7855849386675189,1.1014150613324811,0.23516428571428571,211703.6,2816031.0,1.49,1.44,1.66
2023-09-08,1.3,1.54,1.3,1.39,28495.0,1.431,1.5180536518467687,-0.06416888124960551,59.70149191356651,-0.24,1.7609058876965435,1.1010941123034566,0.24222857142857143,212691.0,2844526.0,1.37,1.47,1.63
2023-09-11,1.29,1.515,1.29,1.4,42598.0,1.4195,1.5068104469089811,-0.06388191719378566,63.28124930786133,-0.10000000000000009,1.7359590270311087,1.1030409729688913,0.24829999999999997,214517.6,2887124.0,1.39,1.56,1.5
2023-09-12,1.34,1.69,1.34,1.51,53999.0,1.417,1.5071142138700306,-0.05454980082209304,62.39999930112001,0.09000000000000008,1.7295514694456482,1.1044485305543519,0.2561571428571428,216660.15,2941123.0,1.4,1.55,1.42
2023-09-13,1.4,1.66,1.4,1.62,18268.0,1.4255,1.5178652411205038,-0.03821629885371358,47.777777034567926,0.14000000000000012,1.7508160406678277,1.1001839593321723,0.21758571428571427,216991.65,2959391.0,1.51,1.49,1.48
2023-09-14,1.57,1.6741,1.32,1.54,31767.0,1.433,1.5199733133947415,-0.03112311843086446,45.263157227700844,0.10000000000000009,1.7617680353267844,1.1042319646732157,0.22216428571428568,217644.3,2927624.0,1.62,1.37,1.44
2023-09-15,1.42,1.67,1.42,1.55,38659.0,1.4485,1.5228329978333375,-0.024444564568831373,53.01204729859197,0.08000000000000007,1.7680572595095676,1.1289427404904322,0.2235928571428571,218373.0,2966283.0,1.54,1.39,1.47
2023-09-18,1.52,1.68,1.3,1.58,52940.0,1.4709999999999999,1.5282774742301626,-0.016623168866818583,60.256409174884965,0.020000000000000018,1.7578265567973306,1.1841734432026692,0.24502857142857135,220555.0,3019223.0,1.55,1.4,1.56
2023-09-19,1.5,1.89,1.5,1.86,50637.0,1.511,1.559870095732052,0.011328886044498443,68.99999903400001,0.31000000000000005,1.7790062842939585,1.2429937157060413,0.2545571428571428,222420.95,3069860.0,1.58,1.51,1.55
2023-09-20,1.71,1.86,1.56,1.57,31070.0,1.5295,1.5608348485194756,0.010623334362276138,55.199999381760016,0.08000000000000007,1.7547927919514172,1.304207208048583,0.2659857142857142,221438.45,3038790.0,1.86,1.62,1.49
2023-09-21,1.43,1.89,1.43,1.74,94687.0,1.5335,1.5778981962795255,0.023146327389188537,59.7122296144092,0.3699999999999999,1.7710555336735998,1.2959444663264004,0.2866999999999999,55214.85,3133477.0,1.57,1.54,1.37
2023-09-22,1.62,1.8591,1.62,1.68,13858.0,1.536,1.5876221775862374,0.028021282303832162,54.411764145761246,0.29000000000000004,1.778825473388434,1.293174526611566,0.28734999999999994,38830.65,3119619.0,1.74,1.55,1.39
2023-09-25,1.51,1.82,1.51,1.65,31504.0,1.5435,1.5935629225780243,0.029180605158752648,53.62318786179374,0.25,1.7908671892466557,1.2961328107533445,0.2987785714285714,37032.1,3088115.0,1.68,1.58,1.4
2023-09-26,1.58,1.75,1.53,1.56,15835.0,1.5505,1.5903664537610696,0.022728662438691538,52.48226898244557,0.050000000000000044,1.7909797835906185,1.3100202164093815,0.29344285714285706,35791.05,3072280.0,1.65,1.86,1.51
2023-09-27,1.49,1.6539,1.49,1.5,44312.0,1.5514999999999999,1.581760124831444,0.012723872675212133,54.81481424636488,-0.1200000000000001,1.7909093609390918,1.312090639060908,0.29586428571428564,36848.9,3027968.0,1.56,1.57,1.62
2023-09-28,1.45,1.56,1.36,1.47,65221.0,1.5530000000000002,1.5711163034189255,0.0023929552975192614,52.94117592560555,-0.07000000000000006,1.7898299412081016,1.3161700587918987,0.2930071428571428,38662.75,2962747.0,1.5,1.74,1.54
2023-09-29,1.42,1.65,1.4,1.42,16006.0,1.5505,1.556724274521885,-0.009647146961751618,50.71428520714285,-0.13000000000000012,1.7920280304098997,1.3089719695901003,0.29479285714285713,38168.6,2946741.0,1.47,1.68,1.55
2023-10-02,1.37,1.5859,1.3,1.32,39029.0,1.5385,1.5341791055198006,-0.026819592939715253,43.165467191139186,-0.26,1.800980074431728,1.276019925568272,0.2902142857142857,38436.4,2907712.0,1.42,1.65,1.58
2023-10-03,1.32,1.32,1.19,1.3,20083.0,1.526,1.5118763335655339,-0.04153662548901371,37.69230728639053,-0.56,1.809170025175505,1.242829974824495,0.2809285714285714,38679.35,2887629.0,1.32,1.56,1.86
2023-10-04,1.22,1.29,1.14,1.24,28979.0,1.5135,1.4859833494164354,-0.057312139325924605,38.28124958129883,-0.33000000000000007,1.8241038261871654,1.2028961738128348,0.26635000000000003,37305.05,2858650.0,1.3,1.5,1.57
2023-10-05,1.15,1.24,1.15,1.19,9245.0,1.5045,1.4577944589958225,-0.07295393894690338,36.36363597796144,-0.55,1.8418877981133743,1.1671122018866256,0.2549214285714286,36359.6,2849405.0,1.24,1.47,1.74
2023-10-06,1.15,1.2265,1.15,1.19,9474.0,1.4945,1.432290224805744,-0.08437387792319084,34.883720551649546,-0.49,1.8570915492381874,1.1319084507618125,0.23324285714285717,35408.55,2849405.0,1.19,1.42,1.68
2023-10-09,1.19,1.29,1.19,1.2,9797.0,1.4845000000000002,1.4101673462528161,-0.09156735536576588,17.64705858131488,-0.44999999999999996,1.868466829707712,1.1005331702922883,0.21252857142857146,33768.5,2859202.0,1.19,1.32,1.65
2023-10-10,1.16,1.24,1.11,1.14,21171.0,1.466,1.384437122800167,-0.10089619005292016,22.78480972280083,-0.42000000000000015,1.8793254102240071,1.0526745897759928,0.20038571428571433,32127.1,2838031.0,1.2,1.3,1.56
2023-10-11,1.1,1.16,1.0,1.02,18260.0,1.4360000000000002,1.3497288253906274,-0.11653744116459652,1.3513513257852594,-0.48,1.8875890073716912,0.9844109926283091,0.17895714285714287,32126.7,2819771.0,1.14,1.24,1.5
2023-10-12,1.03,1.12,1.02,1.03,19817.0,1.4104999999999999,1.3192784610677106,-0.12666968295690673,2.8985506658265052,-0.43999999999999995,1.8938425286481646,0.9271574713518351,0.1690214285714286,31529.2,2839588.0,1.02,1.19,1.47
2023-10-13,1.01,1.09,1.01,1.09,18276.0,1.3875,1.2974424171565,-0.12841314802101977,11.111110895061756,-0.32999999999999985,1.8864198859852963,0.8885801140147036,0.15259285714285717,30510.05,2857864.0,1.03,1.19,1.42
2023-10-16,1.03,1.17,1.03,1.03,34379.0,1.3599999999999999,1.271971710760643,-0.1330653151444463,11.594202663306035,-0.29000000000000004,1.8746281232726794,0.8453718767273204,0.14687857142857144,29582.0,2823485.0,1.09,1.2,1.32
2023-10-17,0.97,1.2,0.8996,1.09,77584.0,1.3215,1.2546410716405818,-0.1304377394944607,20.289854660785565,-0.20999999999999996,1.7919432400463051,0.8510567599536947,0.15662857142857142,30929.35,2901069.0,1.03,1.14,1.3
2023-10-18,1.06,1.2,1.06,1.17,3598.0,1.3015,1.2465800171986217,-0.12054940983139995,29.729729167275394,-0.07000000000000006,1.7613523790591046,0.8416476209408956,0.15234285714285717,29555.75,2904667.0,1.09,1.02,1.24
2023-10-19,1.185,1.225,1.11,1.145,22962.0,1.27175,1.236905729846372,-0.1134104669117677,30.76923016675633,-0.04499999999999993,1.6869769512599515,0.8565230487400484,0.14270000000000002,25969.5,2881705.0,1.17,1.03,1.19
2023-10-20,1.09,1.27,1.08,1.16,23166.0,1.24575,1.2295813746229078,-0.10533397455158267,37.30158647266314,-0.030000000000000027,1.61603118760577,0.8754688123942298,0.13585,26434.9,2904871.0,1.145,1.09,1.19
2023-10-23,1.13,1.22,1.07,1.22,11011.0,1.22425,1.2286688627540594,-0.09304272942131608,44.02984982624194,0.020000000000000018,1.5418938753997158,0.9066061246002843,0.13727857142857142,25410.25,2915882.0,1.16,1.03,1.2
2023-10-24,1.11,1.175,1.05,1.16,18835.0,1.20425,1.2221289710631966,-0.08711668586407662,44.02984982624194,0.020000000000000018,1.4805655137843288,0.9279344862156713,0.13549285714285714,25560.25,2897047.0,1.22,1.09,1.14
2023-10-25,1.1,1.13,0.99,0.99,21187.0,1.1787500000000002,1.200021450009559,-0.09498418157337896,37.341771490145824,-0.030000000000000027,1.433429881626457,0.9240701183735435,0.1390642857142857,24404.0,2875860.0,1.16,1.17,1.02
2023-10-26,0.83,1.08,0.83,0.9107,30291.0,1.150785,1.1724670261991248,-0.10636574631694762,33.935349735310126,-0.11930000000000007,1.3933490080473665,0.9082209919526334,0.15145714285714282,22657.5,2845569.0,0.99,1.145,1.03
2023-10-27,0.91,1.09,0.91,0.97,17180.0,1.128285,1.1531844522753987,-0.1093563894467049,37.48094869939769,-0.1200000000000001,1.3481216213924925,0.9084483786075075,0.15717142857142855,22716.2,2862749.0,0.9107,1.16,1.09
2023-10-30,0.97,1.08,0.97,1.0,15607.0,1.112285,1.1385954568205987,-0.10806738865657284,42.12243912928861,-0.030000000000000027,1.3195941083890323,0.9049758916109676,0.15574285714285713,21545.1,2878356.0,0.97,1.22,1.03
2023-10-31,0.98,1.02,0.85,0.85,23285.0,1.089785,1.111110175218637,-0.11775379713936518,40.74678797032981,-0.2400000000000001,1.3086685621728518,0.8709014378271482,0.15645714285714285,21705.2,2855071.0,1.0,1.16,1.09
2023-11-01,0.99,1.09,0.9101,1.02,61451.0,1.078785,1.102433015674005,-0.1104779996795815,49.536435477925,-0.1499999999999999,1.2877715095117332,0.869798490488267,0.1621642857142857,23328.8,2916522.0,0.85,0.99,1.17
2023-11-02,0.95,1.08,0.95,1.02,17198.0,1.070285,1.0945822522764808,-0.103518238226741,46.56391061074539,-0.125,1.27398750004926,0.8665824999507398,0.16573571428571426,23726.45,2916522.0,1.02,0.9107,1.145
2023-11-03,1.09,1.3,1.05,1.16,14947.0,1.0687849999999999,1.100812513964435,-0.08574505225727824,55.916620441623266,0.0,1.2691908857734338,0.868379114226566,0.17359285714285713,24000.1,2931469.0,1.02,0.97,1.16
2023-11-06,1.13,1.38,1.11,1.18,15032.0,1.067785,1.1083541793011553,-0.06925132241443777,54.250896694206915,-0.040000000000000036,1.2656171273999297,0.8699528726000704,0.17142142857142859,24261.85,2946501.0,1.16,1.0,1.22
2023-11-07,1.1301,1.15,1.04,1.1058,7168.0,1.066075,1.1081109241296168,-0.06144629051125938,46.95098721759705,-0.054200000000000026,1.2618595311345666,0.8702904688654337,0.16927857142857142,23561.7,2939333.0,1.18,0.85,1.16
