Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2024-10-14,25.22,25.24,25.1,25.23,26477,25.14225,25.150297055140395,0.008562637723578348,59.99999790000061,0.129999999999999,25.232540466944485,25.051959533055516,0.0979928571428564,41206.65,-261127,25.24,25.07,25.1
2024-10-15,25.23,25.24,25.19,25.19,6343,25.14275,25.154078287984166,0.010248258970676716,57.142855238095784,0.08999999999999986,25.23402604170577,25.051473958294228,0.0808499999999991,33690.75,-267470,25.23,25.12,25.1
2024-10-16,25.1791,25.26,25.1791,25.23,15723,25.14575,25.161308927223768,0.014114224371891027,65.11627694970288,0.125,25.244440105087115,25.047059894912884,0.08162857142857075,28181.9,-251747,25.19,25.13,25.105
2024-10-17,25.25,25.3,25.24,25.24,2548,25.14775,25.16880331510722,0.017624516715471827,64.28571214285734,0.09999999999999787,25.252504098023092,25.042995901976905,0.08091428571428518,25685.5,-249199,25.23,25.12,25.14
2024-10-18,25.25,25.33,25.24,25.32,17637,25.15575,25.183202999382722,0.025642609439092467,72.91666453993099,0.21000000000000085,25.28582184249686,25.025678157503144,0.07972142857142803,24120.35,-231562,25.24,25.24,25.11
2024-10-21,25.35,25.38,25.245,25.3,39999,25.16225,25.194326523251036,0.030186142556178908,69.9999980400004,0.23000000000000043,25.307434999950157,25.017065000049843,0.08222142857142803,24509.3,-271561,25.32,25.23,25.07
2024-10-22,25.3,25.3,25.21,25.23,14146,25.16625,25.197723997227126,0.028454139091738995,61.0619453896157,0.10999999999999943,25.31439200157815,25.018107998421854,0.08436428571428525,21664.35,-285707,25.3,25.19,25.12
2024-10-23,25.2,25.2102,25.1,25.18,15677,25.16875,25.196035997491208,0.02322806819850598,53.448274571938185,0.05000000000000071,25.316001128134364,25.021498871865635,0.08509285714285676,20296.0,-301384,25.23,25.23,25.13
2024-10-24,25.18,25.2,25.155,25.18,13128,25.17275,25.194508759634903,0.018882410067689648,56.363634928925805,0.05999999999999872,25.31644100620136,25.029058993798643,0.0825928571428565,19509.8,-301384,25.18,25.24,25.12
2024-10-25,25.24,25.25,25.225,25.24,6867,25.17875,25.198841258717295,0.019597389336148296,64.91227910741782,0.0,25.323186290818008,25.034313709181994,0.07866428571428509,19199.5,-294517,25.18,25.32,25.24
2024-10-28,25.23,25.2399,25.1,25.13,20266,25.180249999999997,25.192284948363266,0.011938788900845765,50.79364966490288,-0.10000000000000142,25.321837800544955,25.03866219945504,0.08260714285714192,17731.95,-314783,25.24,25.3,25.23
2024-10-29,25.2,25.2,25.16,25.2,15050,25.185250000000003,25.193019715185812,0.010938478670475149,55.07246265070375,0.00999999999999801,25.32188146743975,25.04861853256026,0.08184999999999906,17175.1,-299733,25.13,25.23,25.19
