Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-15,7.64,7.75,7.41,7.43,6138798.0,8.6615,8.564728279689541,-0.24506810346657915,35.57483720215885,-2.1799999999999997,9.99805133597038,7.32494866402962,0.5435785714285712,7663887.05,-50699061.0,7.75,8.52,9.61
2023-08-16,7.38,7.385,7.19,7.21,6883383.0,8.533,8.435706538766729,-0.28765956429027106,37.44292225474864,-1.8400000000000007,9.910321580765402,7.155678419234597,0.5032214285714284,7389523.25,-57582444.0,7.43,8.19,9.05
2023-08-17,7.37,7.43,6.9,6.9,10895115.0,8.4145,8.289448773169898,-0.33800040488224603,28.90442881010209,-2.1500000000000004,9.92610388852023,6.902896111479771,0.5181714285714284,7602305.35,-68477559.0,7.21,8.07,9.05
2023-08-18,6.8,7.07,6.695,7.01,9387868.0,8.309000000000001,8.167596509058479,-0.36556188324715766,10.294117604671243,-1.6600000000000001,9.905428909522094,6.712571090477908,0.45995714285714273,7693001.85,-59089691.0,6.9,7.56,8.67
2023-08-21,7.03,7.15,6.86,7.02,7980049.0,8.225,8.058301603433861,-0.3819659982593233,10.87613288451179,-1.450000000000001,9.909186512986706,6.540813487013294,0.4353142857142856,7756528.85,-51109642.0,7.01,7.75,8.47
2023-08-22,7.13,7.4871,6.925,6.99,15969321.0,8.1495,7.956558593583018,-0.3923163409007424,12.949640222555729,-1.5299999999999994,9.915190263116145,6.383809736883855,0.4344428571428571,8225445.55,-67078963.0,7.02,7.43,8.52
2023-08-23,5.15,5.8,5.05,5.41,69163225.0,7.982000000000001,7.714029203717969,-0.5067180179264996,8.256880707432003,-2.7799999999999994,10.103564467432864,5.860435532567138,0.4673,11361103.25,-136242188.0,6.99,7.21,8.19
2023-08-24,5.35,5.69,5.27,5.515,18889552.0,7.84225,7.504597850982924,-0.5824893493486467,11.383108896116596,-2.5550000000000006,10.224987203081232,5.459512796918768,0.4373000000000001,11954291.35,-117352636.0,5.41,6.9,8.07
2023-08-25,5.56,5.97,5.54,5.83,15527111.0,7.69825,7.345112341365502,-0.6122574106633696,18.571428509523784,-1.7299999999999995,10.205051852224422,5.191448147775578,0.43372857142857146,12459782.6,-101825525.0,5.515,7.01,7.56
2023-08-28,5.87,6.015,5.74,5.86,8676224.0,7.505749999999999,7.203673070759264,-0.6262006859707441,18.181818120922145,-1.8899999999999997,9.952667018359396,5.0588329816406015,0.42479999999999996,12070707.35,-93149301.0,5.83,7.02,7.75
2023-08-29,5.82,6.17,5.74,6.08,8941487.0,7.32925,7.096656587829811,-0.6138391527637479,24.078623995798353,-1.3499999999999996,9.642689624182323,5.0158103758176775,0.4290857142857142,12116221.5,-84207814.0,5.86,6.99,7.43
2023-08-30,5.9,6.33,5.8,6.24,10381638.0,7.188749999999999,7.015070246131733,-0.5853704728925839,27.737226182890225,-0.9699999999999998,9.4012833776846,4.976216622315399,0.43122857142857135,12296983.7,-73826176.0,6.08,5.41,7.21
2023-08-31,6.24,6.52,6.215,6.38,7725637.0,7.055250000000001,6.954587365547758,-0.5460495313854947,34.22459880236781,-0.5200000000000005,9.111617453852341,4.9988825461476605,0.4194357142857142,12443445.7,-66100539.0,6.24,5.515,6.9
2023-09-01,6.41,6.63,6.41,6.55,7456623.0,6.949249999999999,6.916055235495591,-0.49641890721902726,33.87096761446409,-0.45999999999999996,8.86918496326253,5.029315036737469,0.40372142857142845,12422113.8,-58643916.0,6.38,5.83,7.01
2023-09-05,6.421,6.71,6.37,6.59,6689810.0,6.85525,6.885002355924582,-0.44890916082564747,37.79069752061925,-0.4299999999999997,8.641093380296091,5.0694066197039085,0.40372142857142845,12480037.7,-51954106.0,6.55,5.86,7.02
2023-09-06,6.56,6.66,6.05,6.1,11118712.0,6.73425,6.810240226788908,-0.44325420174585517,35.0404311346183,-0.8900000000000006,8.366495063514797,5.102004936485204,0.43336428571428565,12803614.4,-63072818.0,6.59,6.08,6.99
2023-09-07,5.92,5.965,5.68,5.82,8153558.0,6.61575,6.715931633761393,-0.45478323071364635,35.326086822129014,0.41000000000000014,8.143794071422853,5.087705928577148,0.4158642857142857,12955493.45,-71226376.0,6.1,6.24,5.41
2023-09-08,5.77,5.845,5.39,5.45,14798327.0,6.48475,6.595366716260308,-0.4865180442378829,30.20304557795872,-0.0649999999999995,7.935105582534667,5.034394417465333,0.4215785714285714,13427918.15,-86024703.0,5.82,6.38,5.515
2023-09-11,5.55,5.64,5.33,5.33,7465293.0,6.3732500000000005,6.474855600425993,-0.5148588579341071,29.135802368419448,-0.5,7.818417172992362,4.928082827007639,0.4230071428571428,13098763.95,-93489996.0,5.45,6.55,5.83
2023-09-12,5.27,5.6,5.22,5.4,11697313.0,6.255750000000001,6.372488400385422,-0.5257960951840168,30.56234708364967,-0.45999999999999996,7.608802202672866,4.902697797327136,0.41,13196952.2,-81792683.0,5.33,6.59,5.86
2023-09-13,5.37,5.41,5.14,5.17,8689850.0,6.1427499999999995,6.257965695586811,-0.5458911237114732,45.62043772310725,-0.9100000000000001,7.459897935582987,4.825602064417012,0.3757142857142857,13324504.8,-90482533.0,5.4,6.1,6.08
2023-09-14,5.22,5.2586,5.08,5.15,8813010.0,6.03975,6.152445153149972,-0.5568916360418168,43.126176797074784,-1.0899999999999999,7.327344554524871,4.752155445475128,0.3584714285714285,13420986.15,-99295543.0,5.17,5.82,6.24
2023-09-15,5.11,5.1272,4.96,5.04,10871749.0,5.94675,6.046497995707117,-0.5675736589491818,33.87755082682216,-1.3399999999999999,7.241395958513266,4.652104041486734,0.3397,13419817.85,-110167292.0,5.15,5.45,6.38
2023-09-18,5.0,5.0,4.61,4.63,12031497.0,5.82775,5.911593424687392,-0.6010350108907501,28.268551096904687,-1.92,7.148166501276057,4.507333498723943,0.34791428571428573,13551999.3,-122198789.0,5.04,5.33,6.55
2023-09-19,4.65,4.84,4.575,4.8,12745591.0,5.716749999999999,5.805727384240973,-0.607212856276865,26.9784171303245,-1.79,6.987474099418162,4.446025900581836,0.33612857142857144,13790276.4,-109453198.0,4.63,5.4,6.59
2023-09-20,4.84,4.91,4.63,4.67,7444432.0,5.60075,5.697562871456118,-0.6151672364489063,21.454545345322316,-1.4299999999999997,6.803852458777216,4.397647541222783,0.3182714285714286,13364031.95,-116897630.0,4.8,5.17,6.1
2023-09-21,4.57,4.615,4.46,4.47,12722601.0,5.55375,5.580652121793631,-0.6298807886227662,16.014234795658624,-1.3500000000000005,6.857464834011275,4.2500351659887246,0.3075571428571429,10542000.75,-129620231.0,4.67,5.15,5.82
2023-09-22,4.51,4.56,4.395,4.46,10508566.0,5.501,5.473923348289476,-0.634973838745303,10.566037680028487,-0.9900000000000002,6.893655925315289,4.1083440746847115,0.30362857142857147,10122951.45,-140128797.0,4.47,5.04,5.45
2023-09-25,4.35,4.59,4.305,4.41,13999414.0,5.430000000000001,5.372597315119049,-0.6355958164375455,9.022556343490322,-0.9199999999999999,6.894944762745248,3.965055237254753,0.2997000000000001,10046566.6,-154128211.0,4.46,4.63,5.33
2023-09-26,4.43,4.81,4.381,4.62,11263159.0,5.368,5.300921380345806,-0.6124200420454216,18.907562913989125,-0.7800000000000002,6.8610096767056925,3.874990323294308,0.28677142857142857,10175913.35,-142865052.0,4.41,4.8,5.4
2023-09-27,4.64,4.79,4.5,4.65,20464674.0,5.2965,5.23892886793192,-0.5849210334363093,22.53521111948689,-0.5199999999999996,6.782891249761788,3.8101087502382116,0.28712857142857146,10752072.7,-122400378.0,4.62,4.67,5.17
2023-09-28,5.09,5.23,4.61,4.9,47410046.0,5.2295,5.20664992812888,-0.5371194327106972,36.318407707234975,-0.25,6.656435988679753,3.802564011320247,0.29891428571428574,12603493.1,-74990332.0,4.65,4.47,5.15
2023-09-29,4.99,5.24,4.97,5.05,15612737.0,5.163,5.191730887354701,-0.4817776361291264,43.137254605920795,0.009999999999999787,6.484229092848573,3.841770907151427,0.2960571428571429,12997848.1,-59377595.0,4.9,4.46,5.04
2023-10-02,5.01,5.41,4.95,5.39,17983048.0,5.105,5.210613659987586,-0.4062288046574558,49.783549481831294,0.7599999999999998,6.261428257951812,3.9485717420481885,0.30177142857142863,13524169.35,-41394547.0,5.05,4.41,4.63
2023-10-03,5.39,5.44,4.94,5.07,12823046.0,5.029,5.197221882845911,-0.3675668720430476,47.91666638715279,0.27000000000000046,5.950415387211144,4.107584612788856,0.31820000000000004,13830831.15,-54217593.0,5.39,4.62,4.8
2023-10-04,5.08,5.2697,4.9501,5.245,7413523.0,4.98625,5.201772179717729,-0.3193125465335793,51.85909952014583,0.5750000000000002,5.767051713490346,4.205448286509654,0.3282714285714286,13645571.7,-46804070.0,5.07,4.65,4.67
2023-10-05,5.27,5.4599,4.975,5.12,9260419.0,4.95125,5.193984353077945,-0.28771443687312903,51.55641995261094,0.6500000000000004,5.6308929015918565,4.271607098408143,0.3509642857142858,13700914.75,-56064489.0,5.245,4.9,4.47
2023-10-06,4.92,5.19,4.92,5.11,12717118.0,4.9342500000000005,5.1859858432609975,-0.2604659510614651,61.05990744016652,0.6500000000000004,5.577394209088598,4.291105790911403,0.3423928571428573,13596854.3,-68781607.0,5.12,5.05,4.46
2023-10-09,5.06,5.21,5.02,5.14,6238639.0,4.92475,5.181606239140902,-0.23377984967266752,58.37438383387125,0.7299999999999995,5.548604529264794,4.300895470735207,0.33703571428571444,13535521.6,-62542968.0,5.11,5.39,4.41
2023-10-10,5.15,5.47,5.115,5.23,7676822.0,4.91625,5.18621516874653,-0.2030982063960698,64.0703513080478,0.6100000000000003,5.517046620286228,4.315453379713771,0.3423928571428573,13334497.05,-54866146.0,5.14,5.07,4.62
2023-10-11,5.27,5.54,5.255,5.48,10543847.0,4.93175,5.214194676484956,-0.15698511748477983,74.75490144776052,0.8300000000000001,5.5746322843872225,4.288867715612778,0.35167857142857156,13427196.9,-44322299.0,5.23,5.245,4.65
2023-10-12,5.46,5.49,4.95,5.04,13106292.0,4.9262500000000005,5.197604707295913,-0.15387102528075047,61.74089033831075,0.13999999999999968,5.56312456420107,4.289375435798931,0.3784642857142858,13641861.0,-57428591.0,5.48,5.12,4.9
2023-10-13,5.02,5.05,4.81,4.85,10367100.0,4.9167499999999995,5.164499497077254,-0.16471319045062938,58.42911846053346,-0.20000000000000018,5.5521468921283,4.281353107871699,0.37525000000000014,13616628.55,-67795691.0,5.04,5.11,5.05
2023-10-16,4.92,5.225,4.89,5.16,8787195.0,4.94325,5.164070973546087,-0.14677844742709034,59.96309932122384,-0.22999999999999954,5.572470695948976,4.314029304051024,0.36853571428571447,13454413.45,-59008496.0,4.85,5.14,5.39
