Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2024-10-04,10.0,10.01,10.0,10.0,6270.0,9.98143,9.982450311109442,0.003398835415518775,59.778351780333,0.004799999999999471,10.00511211405926,9.957747885940739,0.018178571428571186,328931.05,1274315.0,9.99,9.995,9.9952
2024-10-08,9.995,9.995,9.995,9.995,200.0,9.98318,9.983645519575209,0.003522542027690534,56.51889966581094,0.019999999999999574,10.005316666415702,9.9610433335843,0.01674999999999979,253846.25,1274115.0,10.0,9.9919,9.975
2024-10-09,9.995,9.995,9.99,9.99,12474.0,9.98368,9.984250708187094,0.0032409632170917746,54.734843647173186,-0.009999999999999787,10.00596547792433,9.96139452207567,0.015321428571428264,249385.2,1261641.0,9.995,9.99,10.0
2024-10-10,9.9701,9.98,9.9701,9.98,4035.0,9.983680000000001,9.983845878835943,0.0023047837203371557,53.05997097405387,0.0,10.005965477924331,9.961394522075672,0.01602857142857112,152545.95,1257606.0,9.99,9.9915,9.98
2024-10-14,9.99,9.99,9.99,9.99,5004.0,9.98468,9.984431985613472,0.0022379389873883326,48.245609477472655,0.019999999999999574,10.00616121333435,9.963198786665652,0.013885714285714026,149195.9,1262610.0,9.98,9.99,9.97
2024-10-15,9.97,9.98,9.97,9.975,82842.0,9.98493,9.983533701269332,0.0011170598828691425,49.99999510489558,-0.019999999999999574,10.005799529538491,9.96406047046151,0.014242857142856937,153272.9,1179768.0,9.99,10.0,9.995
2024-10-16,9.98,9.98,9.97,9.97,10103.0,9.98493,9.98224477733892,-0.00011966140955266269,37.80487374578657,-0.0218999999999987,10.005799529538491,9.96406047046151,0.01281428571428554,149069.2,1169665.0,9.975,9.995,9.9919
2024-10-23,9.979,9.979,9.979,9.979,727.0,9.98513,9.98193575092569,-0.0004439047201945101,49.553565234375206,-0.011000000000001009,10.0056729562778,9.964587043722199,0.01127857142857128,121778.85,1170392.0,9.97,9.99,9.99
2024-10-24,9.97,9.9804,9.97,9.97,33445.0,9.98488,9.98079901274229,-0.0013350950520472082,49.999993693694485,-0.02149999999999963,10.00605402579627,9.96370597420373,0.012021428571428341,105518.95,1136947.0,9.979,9.98,9.9915
2024-10-28,9.9747,9.98,9.9747,9.98,65061.0,9.985380000000001,9.980722916290643,-0.0012940390311477756,42.18749384765735,-0.009999999999999787,10.005521666684816,9.965238333315186,0.009299999999999769,95594.4,1202008.0,9.97,9.99,9.99
2024-10-30,10.02,10.02,9.98,10.0,77200.0,9.98562,9.982558829024867,0.00020563152042818444,53.58723870486016,0.0,10.00635985230623,9.964880147693771,0.012157142857142565,94610.0,1279208.0,9.98,9.975,10.0
2024-10-31,10.0,10.0,10.0,10.0,1199.0,9.98687,9.98421989292726,0.0013745360745680557,54.504497630063454,0.005000000000000782,10.007925925531785,9.965814074468215,0.008442857142856879,89424.0,1279208.0,10.0,9.97,9.995
2024-11-01,9.995,9.995,9.99,9.99,1985.0,9.986369999999999,9.98477037931514,0.0015358493507022786,49.37237915302666,0.0,10.00657068784655,9.966169312153449,0.007542857142856819,55696.2,1277223.0,10.0,9.979,9.99
