Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-15,42.0,42.585,41.8262,42.49,890759.0,50.546499999999995,48.75720712317277,-2.081473987049442,10.362997649585338,-10.309999999999995,61.065752074673675,40.027247925326314,2.026978571428572,780014.45,-6043330.0,42.38,46.79,52.8
2023-08-16,42.1,42.3,41.435,41.56,605730.0,49.8915,48.07175882572774,-2.205892875963606,10.5419892705427,-10.739999999999995,60.94986625413205,38.833133745867954,1.856264285714286,781913.7,-6649060.0,42.49,45.43,52.3
2023-08-17,41.73,41.95,40.95,41.63,534292.0,49.3,47.45825798518224,-2.271239941506977,8.35875533148122,-5.649999999999999,60.810966853168196,37.7890331468318,1.8026928571428573,783967.75,-6114768.0,41.56,44.1,47.28
2023-08-18,42.56,43.65,42.31,43.05,2590753.0,48.684,47.038423891355365,-2.1985218621104323,16.127167617006876,-5.300000000000004,60.14574121060791,37.222258789392086,1.7397357142857142,892849.5,-3524015.0,41.63,43.62,48.35
2023-08-21,42.75,43.78,41.95,42.21,10660825.0,47.9085,46.57857399694057,-2.1738411049900606,17.254174382092827,-4.460000000000001,58.88455101069934,36.93244898930065,1.7247357142857136,1395327.9,-14184840.0,43.05,42.38,46.67
2023-08-22,42.41,42.54,41.4,42.21,1008390.0,47.188,46.162519330565274,-2.1290878700548888,17.80472238358223,-4.579999999999998,57.63536501657113,36.740634983428876,1.6754499999999994,1423509.65,-14184840.0,42.21,42.49,46.79
2023-08-23,42.32,43.825,42.21,43.51,779737.0,46.562,45.90989844194001,-1.978017038310881,34.22594138249677,-1.9200000000000017,56.25148991107595,36.872510088924045,1.5436642857142853,1437249.05,-13405103.0,42.21,41.56,45.43
2023-08-24,43.57,43.62,42.3,42.685,821875.0,45.95575,45.602765256993344,-1.8956757828609696,25.80093973846958,-1.4149999999999991,54.965807114720576,36.94569288527943,1.4761642857142852,1456255.7,-14226978.0,43.51,41.63,44.1
2023-08-25,42.75,43.37,41.54,41.73,569537.0,45.27825,45.233930470613025,-1.877663861826612,27.50455369899231,-1.8900000000000006,53.32215012435056,37.23434987564944,1.408307142857142,1439659.85,-14796515.0,42.685,43.05,43.62
2023-08-28,42.21,42.95,42.15,42.85,481682.0,44.682249999999996,45.00688947341178,-1.7610374526273915,33.55592650502645,0.46999999999999886,51.426359691153934,37.93814030884606,1.3483071428571425,1427895.6,-14314833.0,41.73,42.21,42.38
2023-08-29,42.74,44.9138,42.5,44.9,479389.0,44.28725,44.99670952356304,-1.500660832990846,47.90844509307669,2.4099999999999966,49.851674096554504,38.7228259034455,1.431435714285714,1422959.9,-13835444.0,42.85,42.21,42.49
2023-08-30,44.79,45.0419,43.78,44.01,933972.0,43.872749999999996,44.90273718798561,-1.3450043461024634,49.632052273520124,2.4499999999999957,47.96407262104498,39.781427378955016,1.3431785714285713,1422983.15,-14769416.0,44.9,43.51,41.56
2023-08-31,44.14,44.72,43.21,43.36,723113.0,43.67675,44.75580983674888,-1.2556704931444074,48.95161284795786,1.7299999999999969,47.443505234947004,39.90999476505299,1.3624642857142852,1352204.25,-15492529.0,44.01,42.685,41.63
2023-09-01,43.96,44.25,42.79,43.06,308359.0,43.41225,44.59430413801089,-1.1935554218984379,52.96684112203004,0.010000000000005116,46.47431066666166,40.35018933333834,1.3674642857142854,1310327.1,-15800888.0,43.36,41.73,43.05
2023-09-05,42.6,42.6,40.97,41.96,635086.0,43.17675,44.3434180296289,-1.2131278329486648,47.871485889943706,-0.25,45.88828146666925,40.46521853333075,1.4296928571428569,1302610.65,-16435974.0,43.06,42.85,42.21
2023-09-06,42.11,42.2,41.17,41.31,998662.0,42.902750000000005,44.05452107442615,-1.2631015419297,48.97288408499422,-0.8999999999999986,45.143594471927734,40.661905528072275,1.4414785714285716,1325937.9,-17434636.0,41.96,44.9,42.21
2023-09-07,40.96,42.17,40.96,42.14,814756.0,42.73825,43.87218573400461,-1.2252324110814854,51.97215771634878,-1.3699999999999974,44.65796290342582,40.81853709657418,1.4564785714285715,1337902.25,-16619880.0,41.31,44.01,43.51
2023-09-08,43.5,45.4528,43.44,43.85,1336490.0,42.72575,43.87007280695655,-1.0523513506822368,53.02571855201514,1.1649999999999991,44.611076371299255,40.84042362870074,1.5045357142857152,1372255.8,-15283390.0,42.14,43.36,42.685
2023-09-11,44.0,45.32,43.81,44.61,816989.0,42.77525000000001,43.94054206343688,-0.8473379239702155,59.13242002832162,2.8800000000000026,44.80582543049945,40.74467456950056,1.4816785714285723,1365214.9,-14466401.0,43.85,43.06,41.73
2023-09-12,44.37,45.58,44.03,44.9,818778.0,42.90125,44.031919009776225,-0.6550829003161525,60.01489197020041,2.049999999999997,45.13148216870272,40.67101783129728,1.5109642857142862,1340458.7,-13647623.0,44.61,41.96,42.85
2023-09-13,44.62,45.1787,43.45,43.92,716595.0,42.972750000000005,44.0212600564642,-0.5719465354389257,51.56369178322719,-0.9799999999999969,45.238869974062005,40.706630025938004,1.5190857142857144,1331750.5,-14364218.0,44.9,41.31,44.9
2023-09-14,44.52,44.53,40.5,42.87,1274294.0,43.03825,43.91161624156285,-0.5807760004828566,50.693663238866776,-1.1400000000000006,45.20603148782298,40.87046851217701,1.712657142857143,1365178.7,-15638512.0,43.92,42.14,44.01
2023-09-15,41.95,43.43,41.76,43.36,1670569.0,43.12475,43.859081361414006,-0.5433644067232777,56.332556271277724,0.0,45.19164565086862,41.057854349131375,1.701228571428572,1421992.55,-13967943.0,42.87,43.85,43.36
2023-09-18,43.35,43.35,41.94,42.01,703799.0,43.07275,43.682978374612674,-0.6119038867693689,46.79389307976224,-1.0500000000000043,45.19904025844511,40.94645974155489,1.7448000000000004,1327644.85,-14671742.0,43.36,44.61,43.06
2023-09-19,41.9,41.9,40.38,41.34,830435.0,43.029250000000005,43.45983757703051,-0.7103357330704085,34.812286647835165,-0.6199999999999974,45.26275155821011,40.7957484417899,1.6809571428571428,836125.35,-15502177.0,42.01,44.9,41.96
2023-09-20,41.87,41.87,40.475,40.67,682383.0,42.95225,43.19413876017046,-0.8311764138474373,35.478260826374296,-0.6400000000000006,45.40052861116651,40.50397138883349,1.6904642857142858,819825.0,-16184560.0,41.34,43.92,41.31
2023-09-21,40.11,40.88,39.12,39.39,638058.0,42.746249999999996,42.831839830630415,-1.0156574203482407,33.63561414089871,-2.75,45.64821462490692,39.84428537509307,1.708321428571429,812741.05,-16822618.0,40.67,42.87,42.14
2023-09-22,40.04,40.66,39.16,39.41,372663.0,42.5825,42.50595032295133,-1.1469516026152888,34.599156077266784,-4.440000000000005,45.84608456463548,39.318915435364524,1.7111785714285719,790280.45,-16449955.0,39.39,43.36,43.85
