Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-15,228.87,230.45,228.355,229.5,226767.0,228.38449999999997,227.84413977747496,-0.13301753328158838,44.204322169997,5.490000000000009,233.65199905702784,223.1170009429721,5.46510714285714,435419.25,1999649.0,229.14,225.24,224.01
2023-08-16,228.98,229.92,227.22,227.27,272723.0,228.37600000000003,227.78945979866782,-0.15865537005188912,43.88103361217289,-0.5300000000000011,233.65046041141454,223.10153958858552,5.330821428571426,430488.5,1726926.0,229.5,226.97,227.8
2023-08-17,227.96,228.05,223.905,224.05,234629.0,228.071,227.43332077022328,-0.39259964409592385,37.23902852486811,-1.4499999999999886,233.61225921467408,222.5297407853259,5.369035714285711,420507.7,1492297.0,227.27,227.23,225.5
2023-08-18,223.26,225.82,223.225,223.87,400915.0,227.66,227.09395688734486,-0.5816089956123847,45.61586635497795,-2.1399999999999864,233.16538492368105,222.15461507631895,5.175107142857139,422339.4,1091382.0,224.05,228.0,226.01
2023-08-21,224.02,224.605,220.61,222.76,340726.0,227.1895,226.6811990885501,-0.7978525839258452,46.66310727958978,-3.430000000000007,232.68038229896186,221.69861770103816,5.2222499999999945,416039.7,750656.0,223.87,229.14,226.19
2023-08-22,222.48,224.66,221.4657,223.33,318512.0,226.705,226.36203727059296,-0.9170118337599718,35.5899419407957,-1.9099999999999966,231.719037137981,221.69096286201903,3.476128571428567,402160.95,1069168.0,222.76,229.5,225.24
2023-08-23,224.56,225.56,222.88,225.52,220452.0,226.38799999999998,226.2818432448222,-0.8452504493116066,50.06493501942152,-1.4499999999999886,230.7946485654006,221.98135143459936,3.249235714285711,392243.5,1289620.0,223.33,227.27,226.97
2023-08-24,225.75,228.2,223.855,224.57,180550.0,226.1275,226.11881055483914,-0.8467992828722117,45.454545414371,-2.6599999999999966,230.29959716291964,221.95540283708036,3.15280714285714,375383.2,1109070.0,225.52,224.05,227.23
2023-08-25,225.43,226.96,223.965,226.4,161866.0,225.94549999999998,226.14559050199733,-0.707283618487736,50.600343012669846,-1.5999999999999943,229.69515247512493,222.19584752487503,3.2103071428571406,365246.0,1270936.0,224.57,223.87,228.0
2023-08-28,227.75,229.99,226.92,227.83,135930.0,226.05949999999999,226.30601045418805,-0.4871199177786707,57.20645515854811,-1.3099999999999739,229.89615136339106,222.22284863660892,3.14852142857143,342811.35,1406866.0,226.4,222.76,229.14
2023-08-29,227.99,231.5,226.985,231.38,177484.0,226.42800000000003,226.78924755378918,-0.051756166200107145,61.14199086124363,1.8799999999999955,230.812444272533,222.04355572746704,3.2249500000000006,313602.2,1584350.0,227.83,223.33,229.5
2023-08-30,231.46,232.8658,231.03,232.0,213108.0,226.638,227.28550969152354,0.3342205322173015,61.83622824487804,4.72999999999999,231.65573108717055,221.62026891282946,3.070364285714287,280596.9,1797458.0,231.38,225.52,227.27
2023-08-31,231.91,232.22,229.36,229.59,290711.0,226.84250000000003,227.50498495899748,0.4545341599755375,53.648462563052846,5.539999999999992,231.99647802417553,221.68852197582453,3.1271500000000003,268549.1,1506747.0,232.0,224.57,224.05
2023-09-01,232.5,233.6,230.455,230.87,510120.0,227.0855,227.8254625819501,0.638107792144865,53.944368410614665,7.0,232.52460393161843,221.64639606838156,3.1550071428571402,270184.45,2016867.0,229.59,226.4,223.87
2023-09-05,229.98,229.98,223.57,223.64,298257.0,226.95800000000003,227.42684709795483,0.23591168996856027,39.82638886952884,0.8799999999999955,232.60121147835818,221.31478852164187,3.463221428571426,272745.85,1718610.0,230.87,227.83,222.76
2023-09-06,223.97,224.9299,219.491,223.79,445205.0,226.8855,227.08048070767342,-0.07011715113864625,43.48802392931015,0.45999999999997954,232.6574338180544,221.11356618194563,3.65885714285714,277296.85,2163815.0,223.64,231.38,223.33
2023-09-07,224.51,225.56,223.195,224.46,355970.0,226.76000000000005,226.83091111646644,-0.25830767260987386,50.84815884518517,-1.0600000000000023,232.63247280471398,220.8875271952861,3.531714285714283,281039.45,2519785.0,223.79,232.0,225.52
2023-09-08,223.81,224.32,221.9,222.75,251183.0,226.536,226.4422529148982,-0.531729312633928,47.82101164710139,-1.8199999999999932,232.66898038648847,220.40301961351153,3.519214285714282,274468.45,2268602.0,224.46,229.59,224.57
2023-09-11,224.11,231.66,223.69,228.78,345116.0,226.575,226.6648954944317,-0.2822598488833421,59.8301763279679,2.3799999999999955,232.7569039819545,220.39309601804547,3.803142857142855,280698.6,2613718.0,222.75,230.87,226.4
2023-09-12,228.18,228.635,225.995,226.86,183043.0,226.461,226.6834768759144,-0.22994023461470192,55.52080072639063,-0.9699999999999989,232.52674124424254,220.39525875575748,3.7635499999999973,278163.35,2430675.0,228.78,223.64,227.83
2023-09-13,226.52,231.425,226.52,230.43,338279.0,226.50750000000002,227.0402886020178,0.08636570497353091,57.3613193162501,-0.9499999999999886,232.68457092910208,220.33042907089796,3.922478571428568,283738.95,2768954.0,226.86,223.79,231.38
2023-09-14,231.76,232.17,228.79,229.9,274804.0,226.63899999999998,227.3126420684923,0.2923594649770962,58.09292436036135,-2.0999999999999943,232.9938370304997,220.28416296950027,3.8535499999999963,283843.0,2494150.0,230.43,224.46,232.0
2023-09-15,230.16,231.81,228.52,229.5,653176.0,226.9115,227.52096187149303,0.4195266224821239,54.92063489622573,-0.09000000000000341,233.26629189273729,220.5567081072627,3.874621428571424,304770.35,1840974.0,229.9,222.75,229.59
2023-09-18,229.24,230.3,227.605,228.08,210068.0,227.12199999999999,227.5742035980175,0.4048291720559405,50.396951390741265,-2.789999999999992,233.32979679537203,220.91420320462794,3.84783571428571,295228.0,1630906.0,229.5,228.78,230.87
2023-09-19,228.08,228.95,225.78,226.85,300743.0,227.32649999999998,227.50523182677773,0.29363311490678257,42.23517310280109,3.210000000000008,233.1891391578142,221.46386084218577,3.751764285714281,293228.85,1330163.0,228.08,226.86,223.64
2023-09-20,228.69,228.8,224.84,225.27,290437.0,227.42350000000002,227.29235260517984,0.08081280740867669,38.83172915553789,1.4800000000000182,233.06785544779495,221.77914455220508,3.903492857142853,291825.1,1039726.0,226.85,230.43,223.79
2023-09-21,223.75,223.83,220.02,220.67,358910.0,227.18099999999998,226.66165235706748,-0.44386655674153985,36.20049503382404,-3.7900000000000205,233.5410625617578,220.82093743824217,3.971349999999997,298748.0,680816.0,225.27,229.9,224.46
2023-09-22,220.67,226.23,219.36,223.94,462109.0,227.1495,226.4024473706801,-0.5953114390742371,39.90090351038728,1.1899999999999977,233.56996555124599,220.729034448754,4.237421428571425,312825.95,1142925.0,220.67,229.5,222.75
2023-09-25,223.86,225.83,222.39,225.73,327181.0,227.11599999999999,226.33840476394866,-0.5676059372515851,53.619674376492014,-3.0500000000000114,233.55988049155732,220.67211950844265,4.02527857142857,321091.7,1470106.0,223.94,228.08,228.78
2023-09-26,224.9,226.36,222.97,223.23,360805.0,226.88600000000002,226.04236621500118,-0.7345890323268236,49.10313899143357,-3.630000000000024,233.5472829489758,220.22471705102424,3.8789285714285717,332335.45,1109301.0,225.73,226.85,226.86
2023-09-27,223.81,224.0015,216.26,217.9,525773.0,226.212,225.26690276595346,-1.273751918584935,40.85841692943094,-12.530000000000001,233.64219331051206,218.78180668948792,4.262964285714285,349749.9,583528.0,223.23,225.27,230.43
2023-09-28,218.61,222.935,218.61,222.19,322929.0,225.72150000000002,224.97386440729122,-1.3455334298323294,49.27197086089943,-7.710000000000008,232.8311769487642,218.61182305123583,4.399035714285715,355240.95,906457.0,217.9,220.67,229.9
2023-09-29,223.39,223.39,218.91,219.42,326894.0,225.21300000000002,224.44492493993013,-1.6036015364076945,36.70454543994703,-10.080000000000013,232.6067786080774,217.81922139192264,4.149749999999999,357050.1,579563.0,222.19,223.94,229.5
2023-10-02,217.8,218.16,214.05,215.5,445180.0,224.4445,223.59302732660345,-2.0952140004650346,34.731182782628025,-12.580000000000013,232.5256892689133,216.3633107310867,4.25475,353803.1,134383.0,219.42,225.73,228.08
2023-10-03,214.82,219.06,213.69,218.28,540402.0,224.17649999999998,223.08702472406978,-2.2378210079220366,33.31502333242486,-8.569999999999993,232.71272688743002,215.64027311256993,4.287964285714286,365910.35,674785.0,215.5,223.23,226.85
2023-10-04,219.63,223.34,216.51,222.56,557102.0,224.11499999999995,223.036831893206,-1.9871460043700608,40.86155377061599,-2.710000000000008,232.68062407472289,215.54937592527702,4.534392857142858,371505.2,1231887.0,218.28,217.9,225.27
2023-10-05,222.41,223.46,218.471,222.46,447875.0,224.01499999999996,222.98189552242448,-1.7759717967299764,41.16909180691502,1.7900000000000205,232.6103120637754,215.4196879362245,4.655750000000002,376100.45,784012.0,222.56,222.19,220.67
2023-10-06,221.79,225.61,219.73,224.23,289486.0,224.089,223.10076261552692,-1.4507089003206488,45.21263365747381,0.28999999999999204,232.66391543613355,215.51408456386645,4.883250000000002,378015.6,1073498.0,222.46,219.42,223.94
2023-10-09,222.89,226.1,222.39,225.81,273927.0,223.9405,223.35878522357197,-1.0546615626207085,48.71794870113287,0.0800000000000125,232.27279474931564,215.60820525068434,4.921821428571432,374456.15,1347425.0,224.23,215.5,225.73
2023-10-10,225.46,229.175,225.065,227.52,316459.0,223.9735,223.7550913927556,-0.5973161886986702,52.7648070597516,4.2900000000000205,232.3595341922558,215.5874658077442,4.932535714285718,381126.95,1663884.0,225.81,218.28,223.23
2023-10-11,226.75,226.75,220.38,225.0,358690.0,223.702,223.87365411725506,-0.4314083380029956,55.60735558719238,7.099999999999994,231.5417035389705,215.8622964610295,5.115392857142861,382147.5,1305194.0,227.52,222.56,217.9
2023-10-12,225.73,226.72,219.56,219.69,418212.0,223.1915,223.47521086799267,-0.7165066958363013,44.77244770905746,-2.5,230.65239108548522,215.73060891451476,5.136107142857148,389317.9,886982.0,225.0,222.46,222.19
2023-10-13,219.37,222.48,218.32,222.32,342445.0,222.83250000000004,223.3651907853267,-0.7235240488121519,45.89057602693497,2.9000000000000057,229.68113374772852,215.98386625227155,5.187535714285717,373781.35,1229427.0,219.69,224.23,219.42
2023-10-16,223.87,226.85,221.815,224.04,282487.0,222.63050000000004,223.42945832958128,-0.584558125991947,50.99484154473281,8.539999999999992,229.0524802651764,216.20851973482368,5.305035714285716,377402.3,1511914.0,222.32,225.81,215.5
2023-10-17,222.34,226.15,221.78,223.04,311082.0,222.44,223.39236706009734,-0.5482570025846485,57.064321033565115,4.759999999999991,228.5535983030066,216.3264016969934,5.0642142857142876,377919.25,1200832.0,224.04,227.52,218.28
2023-10-18,223.25,223.91,221.34,221.94,211850.0,222.27349999999996,223.25404638770712,-0.6007653668747253,49.623380515374286,-0.6200000000000045,228.24224411545575,216.30475588454416,4.938857142857145,373989.9,988982.0,223.04,225.0,222.56
2023-10-19,221.96,222.12,216.57,216.9,282842.0,222.08500000000004,222.6488991126874,-1.0347743607503332,46.446700489276566,-5.560000000000002,228.4892042112152,215.68079578878488,5.015285714285718,370186.5,706140.0,221.94,219.69,222.46
2023-10-20,217.29,219.02,215.84,217.05,273072.0,221.74049999999997,222.11567062576478,-1.3510807972292582,52.4455664015703,-7.179999999999978,228.45814831971475,215.02285168028519,4.948857142857149,360734.65,979212.0,216.9,222.32,224.23
2023-10-23,216.99,217.36,213.72,214.77,266878.0,221.19250000000002,221.41608294712051,-1.7644517536485864,44.373196517434295,-11.039999999999992,228.31574549034977,214.06925450965028,4.82528571428572,357719.5,712334.0,217.05,224.04,225.81
2023-10-24,215.12,217.58,214.89,217.21,215657.0,220.8915,221.01550361882332,-1.8744249419718528,40.885860287141334,-10.310000000000002,228.15952449087771,213.6234755091223,4.529571428571436,350462.1,927991.0,214.77,223.04,227.52
2023-10-25,216.3,216.86,212.5601,213.0,247618.0,220.6465,220.2521223217925,-2.2736184950665006,35.86371785708032,-12.0,228.63387233651366,212.65912766348634,4.480350000000008,336554.35,680373.0,217.21,221.94,225.0
2023-10-26,211.17,213.06,209.23,209.4,355071.0,220.00699999999998,219.21858686257417,-2.8464829023291998,28.988381966397398,-10.289999999999992,229.39863367885974,210.61536632114021,4.333921428571435,338161.45,325302.0,213.0,216.9,219.69
2023-10-27,210.04,212.14,207.5643,209.39,251905.0,219.50549999999998,218.28253097090044,-3.263623557424239,25.652431780571348,-12.930000000000007,230.0317508445364,208.97924915546358,4.395757142857148,334412.0,73397.0,209.4,217.05,222.32
2023-10-30,211.54,211.86,206.565,209.1,279556.0,219.1855,217.40800421176706,-3.576271716370087,21.486068102142255,-14.939999999999998,230.5779415848033,207.79305841519667,4.480400000000005,326130.8,-206159.0,209.39,214.77,224.04
2023-10-31,210.07,211.36,208.505,209.98,589386.0,218.7705,216.7005752392178,-3.7104578956761145,25.505544671980488,-13.060000000000002,230.883724569605,206.657275430395,4.229328571428577,328580.0,383227.0,209.1,217.21,223.04
2023-11-01,210.25,213.115,209.08,212.95,453101.0,218.29000000000002,216.34337759738753,-3.53704363475228,38.100282467040806,-8.990000000000009,230.5320225367164,206.04797746328364,4.0061142857142915,323379.95,836328.0,209.98,213.0,221.94
2023-11-02,214.71,216.1,212.25,212.85,406405.0,217.8095,216.0106749690649,-3.368812809633397,31.64017059158735,-4.050000000000011,230.11658734621506,205.50241265378497,3.9839714285714343,321306.45,429923.0,212.95,209.4,216.9
2023-11-03,214.17,217.92,214.17,217.23,297861.0,217.4595,216.12680116248728,-2.8500708020257832,38.031634427682135,0.1799999999999784,229.39016720682451,205.52883279317547,3.8921857142857204,321725.2,727784.0,212.85,209.39,217.05
2023-11-06,217.62,217.62,215.44,217.5,373436.0,217.044,216.25758200415515,-2.3896808551060076,40.007214987009355,2.7299999999999898,228.31050256290735,205.77749743709268,3.735757142857149,326700.65,1101220.0,217.23,209.1,214.77
2023-11-07,217.3,218.9,216.55,218.23,497521.0,216.5795,216.44543133709274,-1.943634618418372,43.217550252100686,1.0199999999999818,226.73908655395806,206.41991344604193,3.7200428571428636,335753.75,1598741.0,217.5,209.98,217.21
2023-11-08,215.0,215.0,198.81,206.32,1030829.0,215.6455,215.48110454308392,-2.520235618834505,34.541203960152615,-6.680000000000007,225.97875846605575,205.31224153394425,4.4800428571428625,369360.7,567912.0,218.23,212.95,213.0
2023-11-09,206.11,206.1416,199.92,200.73,604032.0,214.6975,214.0762374437426,-3.388361684786929,29.425113454060707,-8.670000000000016,226.7964531952582,202.59854680474177,4.6973000000000065,378651.7,-36120.0,206.32,212.85,209.4
2023-11-10,202.37,203.485,199.0,199.32,588490.0,213.54749999999999,212.6708814967195,-4.142166767258146,30.085073461686207,-10.069999999999993,226.90290241565958,200.1920975843404,4.757657142857149,390953.95,-624610.0,200.73,217.23,209.39
2023-11-13,200.93,203.69,199.0,202.23,422872.0,212.45700000000002,211.67651183036526,-4.453752533159786,30.922058063349212,-6.8700000000000045,225.76668479993725,199.1473152000628,4.90051428571429,397973.2,-201738.0,199.32,217.5,209.1
2023-11-14,205.05,208.92,204.1,205.66,409773.0,211.58800000000002,211.1035107036638,-4.373878540847699,40.46257794785664,-4.319999999999993,224.24166782690617,198.93433217309388,4.937664285714289,402907.75,208035.0,202.23,218.23,209.98
2023-11-15,204.95,206.64,203.05,203.53,742842.0,210.66750000000002,210.38222396998154,-4.431131611640097,42.06971087303496,-9.419999999999987,222.81890256145445,198.5160974385456,4.920521428571429,429457.35,-534807.0,205.66,206.32,212.95
2023-11-16,204.53,205.695,202.95,203.42,503799.0,209.99349999999998,209.71915502045948,-4.434243939486038,41.956345982554865,-9.430000000000007,222.18465688996676,197.8023431100332,4.7897571428571455,440505.2,-1038606.0,203.53,200.73,212.85
2023-11-17,204.26,204.33,198.0353,200.23,656527.0,209.1525,208.8154259708919,-4.640320902533318,38.915271168587495,-17.0,221.61170986765657,196.69329013234344,4.861164285714287,459677.95,-1695133.0,203.42,199.32,217.23
2023-11-20,199.85,200.5,197.89,199.8,485088.0,208.404,207.9568139736641,-4.7831502084999045,37.13346813650486,-17.69999999999999,221.235371752569,195.572628247431,4.843664285714287,470588.45,-2180221.0,200.23,202.23,217.5
2023-11-21,201.29,203.69,200.32,201.19,489325.0,207.60299999999998,207.3123554999818,-4.729760510800531,34.51816744383217,-17.039999999999992,220.11592906094347,195.0900709390565,4.796164285714288,484271.85,-1690896.0,199.8,205.66,218.23
2023-11-22,202.52,203.61,200.675,202.56,282371.0,207.081,206.85975021426924,-4.524834977860138,36.8917197320641,-3.759999999999991,219.51675642631884,194.64524357368114,4.730807142857145,486009.5,-1408525.0,201.19,203.53,206.32
2023-11-24,202.48,203.825,200.84,203.19,135995.0,206.7705,206.51025019386265,-4.262496432295137,30.225352100756183,2.460000000000008,219.27239118325255,194.26860881674745,4.676164285714287,475055.7,-1272530.0,202.56,203.42,200.73
2023-11-27,202.14,202.65,200.64,201.4,415606.0,206.371,206.02355969920907,-4.151061432720809,28.254997288072104,2.0800000000000125,219.03009766469174,193.71190233530828,4.664021428571431,483240.75,-1688136.0,203.19,200.23,199.32
2023-11-28,200.62,202.1263,197.8,197.83,432353.0,205.80749999999998,205.2432206802368,-4.301024765830022,24.410436519273816,-4.399999999999977,218.94924685977128,192.66575314022867,4.805185714285715,490880.6,-2120489.0,201.4,199.8,202.23
2023-11-29,198.14,199.51,196.76,197.44,444504.0,205.1805,204.50005680592852,-4.4005867786455894,34.333098077605385,-8.219999999999999,218.67587070725767,191.68512929274232,3.8451857142857153,483636.5,-2564993.0,197.83,201.19,205.66
2023-11-30,197.29,201.13,195.47,200.94,1339207.0,204.57999999999998,204.16100377679248,-4.149407318514108,50.399999973120025,-2.5900000000000034,217.68282090961583,191.47717909038414,3.8050714285714275,527941.8,-1225786.0,197.44,202.56,203.53
2023-12-01,199.77,204.475,199.13,203.51,363204.0,204.113,204.09900341709795,-3.7004281861594563,57.643195884458066,0.09000000000000341,216.6273187042512,191.5986812957488,3.866499999999998,525781.75,-862582.0,200.94,203.19,203.42
2023-12-04,201.9,203.23,197.83,199.27,493433.0,203.21499999999997,203.63909832975529,-3.644546301839341,44.850382719975485,-0.9599999999999795,214.25711745521338,192.17288254478657,3.9172142857142824,535560.35,-1356015.0,203.51,201.4,200.23
2023-12-05,198.4,199.39,195.5,198.55,524008.0,202.2675,203.15442229835003,-3.6166354747274454,36.34268150177496,-1.25,211.1988825770053,193.33611742299473,3.8507857142857103,543088.95,-1880023.0,199.27,197.83,199.8
2023-12-06,198.89,200.7,198.0,199.29,471126.0,201.3205,202.78638207945954,-3.4945454508903424,41.396103872583346,-1.9000000000000057,206.24163583380178,196.39936416619824,3.7872142857142825,541769.2,-1408897.0,198.55,197.44,201.19
2023-12-07,200.08,202.03,198.96,201.99,390516.0,201.10399999999998,202.71053616713007,-3.1437711080963595,47.37421958636657,-0.5699999999999932,205.44594426495675,196.76205573504322,3.8104285714285675,509753.55,-1018381.0,199.29,200.94,202.56
2023-12-08,202.64,202.64,197.98,200.5,597401.0,201.0925,202.50000891311768,-2.9519345103817614,50.52878963151576,-2.6899999999999977,205.43983009413355,196.74516990586645,3.693664285714281,509422.0,-1615782.0,201.99,203.51,203.19
2023-12-11,200.61,201.87,199.9,201.69,402601.0,201.21099999999998,202.42286520710647,-2.6730992173379207,53.59452260363926,0.28999999999999204,205.48345720005557,196.9385427999444,3.6479499999999945,500127.55,-1213181.0,200.5,199.27,201.4
2023-12-12,202.36,202.82,200.135,201.58,634002.0,201.17849999999999,202.3425923302392,-2.4329471304386345,50.779688096324875,3.75,205.42814778726193,196.92885221273804,3.599021428571423,510684.05,-1847183.0,201.69,198.55,197.83
2023-12-13,201.47,207.07,200.41,206.87,437051.0,201.23899999999998,202.77377401307356,-1.7952039066242378,57.44901483566244,9.430000000000007,205.7816349877103,196.69636501228965,3.865092857142851,512047.95,-1410132.0,201.58,199.29,197.44
2023-12-14,208.18,211.39,206.38,210.45,581780.0,201.585,203.5048431546856,-0.9895882990853409,61.386449157484,9.509999999999991,207.6585544089014,195.5114455910986,4.009735714285709,503994.85,-828352.0,206.87,201.99,200.94
