Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-15,625.0,625.0,611.8767,616.28,100086.0,539.58251,555.9421212081064,21.760323730267373,83.5473528934177,121.0933,648.4192735667073,430.74574643329265,20.855757142857158,90248.85,687588.0,625.37,588.42,495.1867
2023-08-16,615.5167,629.02,613.9832,619.46,71652.0,546.503845,561.9914429978106,22.146875609100903,84.893185676566,131.02670000000006,657.2526371719946,435.75505282800526,20.893150000000013,89752.2,759240.0,616.28,593.4567,488.4333
2023-08-17,630.3567,641.33,630.3567,636.16,91152.0,554.22301,569.0551150932572,23.30243391746103,86.20261664431679,99.08330000000001,667.4689591637355,440.97706083626457,21.12647857142858,90600.45,850392.0,619.46,606.0333,537.0767
2023-08-18,636.9967,636.9967,618.6967,635.91,114240.0,561.530845,575.4222469891374,23.905385559283786,86.01752398187173,65.16329999999994,676.1151238330328,446.9465661669672,21.61862142857144,93590.25,736152.0,636.16,628.3367,570.7467
2023-08-21,641.1233,644.9067,621.4533,625.48,94503.0,567.95101,580.189652037791,23.374494079915735,84.41931912717911,43.473299999999995,681.7154784003782,454.1865415996219,22.50029285714287,94244.85,641649.0,635.91,625.37,582.0067
2023-08-22,629.69,635.4933,620.62,627.38,57000.0,574.119175,584.6839708913348,22.818871001996968,87.6712462403643,38.960000000000036,686.6587273008853,461.57962269911474,21.826242857142866,93875.7,698649.0,625.48,616.28,588.42
2023-08-23,627.8467,631.9667,619.6667,625.4367,54465.0,580.253675,588.5651831873981,21.982475626147902,82.07958175174912,31.980000000000018,689.7465566065445,470.76079339345563,19.75290714285715,93234.0,644184.0,627.38,619.46,593.4567
2023-08-24,622.0667,634.9933,622.0667,629.0667,51645.0,586.6755099999999,592.422470502884,21.33123840317728,77.08023773143461,23.033399999999915,691.4703123276145,481.8807076723853,17.397064285714293,92201.55,695829.0,625.4367,636.16,606.0333
2023-08-25,637.8467,637.8467,625.4367,634.0533,64905.0,593.319675,596.3873114073713,20.93138953594871,75.66233360492049,5.716600000000085,691.9575875357275,494.6817624642724,17.054442857142874,93096.0,760734.0,629.0667,635.91,628.3367
2023-08-28,639.7233,640.7033,630.7367,639.75,45000.0,600.202175,600.517091273336,20.78665186225612,75.489125026747,14.379999999999995,690.9327760551396,509.4715739448604,16.195235714285722,90764.1,805734.0,634.0533,625.48,625.37
2023-08-29,644.9067,644.9067,633.8533,644.64,42564.0,607.6748399999999,604.7192730568278,20.787564032381283,75.45336187437309,28.360000000000014,685.7191664122023,529.6305135877975,16.155242857142866,89571.15,848298.0,639.75,627.38,616.28
2023-08-30,649.4567,653.3333,645.0,647.5333,82944.0,615.62984,608.796799432368,20.759037770746886,72.83733214814308,28.073300000000017,671.8930684821948,559.366611517805,15.844050000000006,88016.25,931242.0,644.64,625.4367,619.46
2023-08-31,653.31,653.31,625.0033,628.25,199032.0,620.1885050000001,610.6494852007139,19.07715573743951,49.95064884295967,-7.909999999999968,662.7620593792893,577.6149506207108,15.073100000000002,92046.15,732210.0,647.5333,629.0667,636.16
2023-09-01,628.93,638.07,620.74,636.11,166431.0,623.4566699999999,613.0742961339793,18.124231058003943,55.7908063047423,0.20000000000004547,659.5990628120061,587.3142771879938,14.884764285714287,91139.7,898641.0,628.25,634.0533,635.91
2023-09-05,633.9067,634.89,596.94,602.6667,169356.0,624.4896699999999,612.0830965021717,14.679817013575075,44.186648327359585,-22.813300000000027,656.5999264724221,592.3794135275778,16.658099999999997,93823.95,729285.0,636.11,639.75,625.48
2023-09-06,607.3333,618.6,602.2033,610.3233,94581.0,625.5848349999999,611.9154968352982,12.389984665688416,46.241992836252216,-17.056699999999978,653.7693881731793,597.4002818268204,16.755235714285714,93849.45,823866.0,602.6667,644.64,627.38
2023-09-07,610.83,621.4233,605.8617,612.13,87075.0,626.5185,611.9359257081269,10.592036866333842,38.73626836703261,-13.306699999999978,651.2470637019663,601.7899362980337,17.08297142857143,93686.7,910941.0,610.3233,647.5333,625.4367
2023-09-08,618.3433,619.0467,612.8467,616.4967,91155.0,627.04167,612.3702851644957,9.393350337400761,41.23841803308766,-12.569999999999936,650.3472047722266,603.7361352277733,16.218685714285705,93923.85,1002096.0,612.13,628.25,629.0667
2023-09-11,618.0467,618.0467,575.8233,581.0367,100179.0,624.6766700000001,609.3861341964486,5.658151693873606,33.638475439501576,-53.01660000000004,655.7381317521031,593.615208247897,17.55939999999999,93786.15,901917.0,616.4967,636.11,634.0533
2023-09-12,590.64,608.3333,590.4279,603.6867,70329.0,623.592505,608.8433309396439,4.394184103886801,42.4334707578309,-36.06330000000003,656.0350316343906,591.1499783656093,17.775978571428563,92414.7,972246.0,581.0367,602.6667,639.75
2023-09-13,605.7,606.2633,590.7433,590.9733,79254.0,622.32717,607.1414232311064,2.3832367513465442,39.70237234080392,-53.66669999999999,657.8028151392618,586.8515248607382,18.005978571428564,91373.1,892992.0,603.6867,610.3233,644.64
2023-09-14,600.0567,603.325,593.9367,597.9733,82635.0,621.252835,606.2682686376677,1.3182014492239205,40.89273642277162,-49.56000000000006,658.3580425988943,584.1476274011058,17.753242857142855,91922.25,975627.0,590.9733,612.13,647.5333
2023-09-15,593.4233,597.78,582.4581,590.3733,220395.0,618.9635000000001,604.754462100747,-0.11488395644960292,37.39903069164789,-37.87670000000003,657.8053766571406,580.1216233428595,17.96123571428571,98384.4,755232.0,597.9733,616.4967,628.25
