Date,Open,High,Low,Close,Volume
2025-01-28,0.08,0.08,0.08,0.08,1030
2025-01-29,0.0799,0.2106,0.055,0.0859,145800
2025-01-30,0.0657,0.0896,0.0575,0.058,13630
2025-01-31,0.0624,0.0945,0.0624,0.0751,28850
2025-02-03,0.0785,0.0842,0.052,0.0785,11010
2025-02-04,0.0745,0.077,0.0525,0.077,28811
2025-02-05,0.053,0.0685,0.053,0.0684,10698
2025-02-06,0.0758,0.08,0.0589,0.075,20480
2025-02-07,0.074,0.08,0.069,0.075,18694
2025-02-10,0.0729,0.08,0.07,0.075,8365
2025-02-11,0.075,0.089,0.0525,0.08,17466
2025-02-12,0.0724,0.0724,0.0525,0.066249,1428
2025-02-13,0.0525,0.08,0.0525,0.0592,44545
2025-02-14,0.08,0.081,0.059,0.07,17111
2025-02-18,0.075,0.08,0.058,0.0749,117276
2025-02-19,0.075,0.075,0.0644,0.068,13361
2025-02-20,0.071,0.079,0.07,0.07,37573
2025-02-21,0.07,0.0745,0.065,0.07,24603
2025-02-24,0.0651,0.0715,0.06,0.06,6796
2025-02-25,0.0601,0.0602,0.0541,0.0567,38877
2025-02-26,0.0649,0.0713,0.06,0.06,11035
2025-02-27,0.0604,0.0604,0.06,0.0601,716
2025-02-28,0.0607,0.064655,0.0541,0.0542,6928
2025-03-03,0.054601,0.0626,0.0541,0.055,26133
2025-03-04,0.0773,0.0773,0.055201,0.0614,2768
2025-03-05,0.0615,0.063,0.05,0.0501,8930
2025-03-06,0.0579,0.058,0.0575,0.058,2250
2025-03-07,0.063599,0.063599,0.0559,0.0559,2120
2025-03-10,0.0535,0.054749,0.0525,0.054749,2125
2025-03-11,0.0527,0.0528,0.051,0.051,24746
2025-03-12,0.054899,0.059,0.05,0.0589,8607
2025-03-13,0.058,0.0605,0.058,0.0605,3921
2025-03-14,0.075,0.075,0.0604,0.0604,2700
2025-03-17,0.0685,0.0786,0.0625,0.0775,13630
2025-03-18,0.05,0.0775,0.05,0.0774,12570
2025-03-19,0.060049,0.08,0.060049,0.073001,30756
2025-03-20,0.08,0.0875,0.0755,0.0875,187969
2025-03-21,0.089,0.089,0.07,0.0774,43049
2025-03-24,0.0715,0.0866,0.0713,0.0866,57278
2025-03-25,0.0795,0.09,0.0795,0.09,22719
2025-03-26,0.09,0.093,0.07,0.0919,21705
2025-03-27,0.092,0.092,0.082,0.09005,81331
2025-03-28,0.092,0.098,0.082,0.0959,126513
2025-03-31,0.0959,0.0969,0.07,0.079,29581
2025-04-01,0.0969,0.0995,0.079,0.085,39258
2025-04-02,0.094,0.094,0.09,0.094,2496
2025-04-03,0.0904,0.0904,0.08,0.0852,73193
2025-04-04,0.0765,0.0903,0.0751,0.075201,30949
2025-04-07,0.065,0.0733,0.065,0.0691,38799
2025-04-08,0.071,0.081,0.066,0.073,2706
2025-04-09,0.066,0.08,0.066,0.08,25732
2025-04-10,0.0794,0.09,0.0755,0.084,231389
2025-04-11,0.085,0.09,0.085,0.085,178716
2025-04-14,0.09,0.09,0.0851,0.0851,1284
2025-04-15,0.089,0.0995,0.089,0.09,38227
2025-04-16,0.0901,0.0995,0.089,0.094251,6603
2025-04-17,0.089,0.0891,0.085,0.0891,14895
2025-04-21,0.0892,0.090001,0.081,0.081,74028
2025-04-22,0.082,0.0865,0.082,0.0864,1214
2025-04-23,0.0864,0.091,0.0864,0.087,17367
2025-04-24,0.087,0.09,0.087,0.09,5392
2025-04-25,0.0871,0.0876,0.0871,0.0875,2931
2025-04-28,0.0876,0.0877,0.081,0.081,12632
2025-04-29,0.0812,0.091,0.0812,0.0821,7890
2025-04-30,0.0807,0.091,0.073,0.091,1994
2025-05-01,0.08,0.08,0.076,0.076,91471
2025-05-02,0.0761,0.085,0.0761,0.085,7892
2025-05-05,0.0994,0.105,0.0781,0.08,26557
2025-05-06,0.0933,0.1049,0.08,0.0999,64891
2025-05-07,0.11,0.11,0.096,0.0961,24790
2025-05-08,0.09,0.1499,0.09,0.1023,105146
2025-05-09,0.128,0.14,0.11,0.14,6407
