Date,Open,High,Low,Close,Volume
2023-07-18,3.6,3.62,3.56,3.62,743203.0
2023-07-19,3.66,3.705,3.62,3.7,871878.0
2023-07-20,3.71,3.725,3.675,3.68,531126.0
2023-07-21,3.71,3.75,3.6611,3.74,503872.0
2023-07-24,3.79,3.79,3.72,3.76,705091.0
2023-07-25,3.77,3.93,3.77,3.9,1308836.0
2023-07-26,3.93,3.96,3.81,3.83,1067622.0
2023-07-27,3.64,3.85,3.61,3.67,1640272.0
2023-07-28,3.69,3.8,3.69,3.75,850736.0
2023-07-31,3.73,3.865,3.73,3.78,1366408.0
2023-08-01,3.75,3.77,3.66,3.68,1618562.0
2023-08-02,3.65,3.68,3.59,3.64,1411973.0
2023-08-03,3.59,3.675,3.5,3.51,1862744.0
2023-08-04,3.53,3.57,3.495,3.54,1118995.0
2023-08-07,3.55,3.62,3.48,3.5,935344.0
2023-08-08,3.47,3.505,3.4,3.49,1654247.0
2023-08-09,3.5,3.5225,3.45,3.47,1318778.0
2023-08-10,3.5,3.55,3.48,3.54,695677.0
2023-08-11,3.53,3.58,3.5,3.56,930011.0
2023-08-14,3.55,3.5662,3.47,3.53,506767.0
2023-08-15,3.51,3.56,3.48,3.49,623432.0
2023-08-16,3.48,3.505,3.44,3.48,637295.0
2023-08-17,3.47,3.57,3.45,3.5,531224.0
2023-08-18,3.48,3.5,3.45,3.46,561543.0
2023-08-21,3.47,3.475,3.41,3.43,494092.0
2023-08-22,3.43,3.45,3.39,3.43,582454.0
2023-08-23,3.43,3.47,3.402,3.45,483057.0
2023-08-24,3.43,3.49,3.425,3.47,583814.0
2023-08-25,3.5,3.515,3.45,3.47,474263.0
2023-08-28,3.49,3.6,3.49,3.58,662742.0
2023-08-29,3.59,3.66,3.56,3.63,935983.0
2023-08-30,3.64,3.65,3.555,3.57,601539.0
2023-08-31,3.64,3.65,3.565,3.59,647759.0
2023-09-01,3.6,3.6589,3.6,3.6,516644.0
2023-09-05,3.58,3.625,3.46,3.48,734786.0
2023-09-06,3.48,3.49,3.41,3.44,583090.0
2023-09-07,3.46,3.48,3.38,3.38,1789750.0
2023-09-08,3.4,3.4339,3.38,3.39,458536.0
2023-09-11,3.41,3.47,3.392,3.46,680602.0
2023-09-12,3.42,3.545,3.4,3.54,1945781.0
2023-09-13,3.35,3.42,3.33,3.33,1104341.0
2023-09-14,3.35,3.41,3.34,3.36,970217.0
2023-09-15,3.36,3.3901,3.28,3.28,1314292.0
2023-09-18,3.3,3.33,3.24,3.32,1077335.0
2023-09-19,3.3,3.345,3.175,3.18,710488.0
2023-09-20,3.21,3.255,3.14,3.15,754719.0
2023-09-21,3.11,3.16,3.05,3.13,1069498.0
2023-09-22,3.14,3.15,3.09,3.12,863704.0
2023-09-25,3.09,3.18,3.08,3.16,552799.0
2023-09-26,3.14,3.21,3.095,3.1,500222.0
2023-09-27,3.11,3.19,3.065,3.17,710697.0
2023-09-28,3.17,3.2,3.105,3.12,561842.0
2023-09-29,3.17,3.215,3.13,3.13,742305.0
2023-10-02,3.13,3.21,3.09,3.11,895198.0
2023-10-03,3.09,3.11,2.97,2.99,1178417.0
2023-10-04,3.0,3.0185,2.9,2.95,582846.0
2023-10-05,2.93,2.95,2.845,2.87,1058487.0
2023-10-06,2.9,2.91,2.77,2.88,1007813.0
2023-10-09,2.84,2.87,2.77,2.82,806649.0
2023-10-10,2.85,2.8995,2.81,2.82,902015.0
2023-10-11,2.85,2.895,2.7,2.74,1408866.0
2023-10-12,2.75,2.77,2.69,2.72,1016199.0
2023-10-13,2.72,2.7399,2.67,2.68,651573.0
2023-10-16,2.7,2.83,2.67,2.8,1033925.0
2023-10-17,2.79,2.91,2.78,2.84,659603.0
2023-10-18,2.81,2.825,2.77,2.77,579394.0
2023-10-19,2.75,2.81,2.71,2.72,855325.0
2023-10-20,2.71,2.71,2.62,2.62,1409771.0
2023-10-23,2.65,2.65,2.57,2.57,2020806.0
2023-10-24,2.59,2.66,2.58,2.64,3246047.0
2023-10-25,2.65,2.825,2.6425,2.8,2308934.0
2023-10-26,2.92,3.185,2.8,3.14,4376160.0
2023-10-27,3.18,3.33,3.14,3.25,3346945.0
2023-10-30,3.26,3.49,3.26,3.45,12347892.0
2023-10-31,3.44,3.53,3.33,3.37,2151839.0
2023-11-01,3.4,3.48,3.28,3.38,2425665.0
2023-11-02,3.42,3.505,3.39,3.46,2429545.0
2023-11-03,3.5,3.79,3.48,3.63,6681419.0
