Date,Open,High,Low,Close,Volume
2023-07-18,195.78,196.66,191.95,192.25,647442.0
2023-07-19,192.27,193.91,187.71,189.53,889227.0
2023-07-20,189.54,190.07,183.155,184.03,620221.0
2023-07-21,184.95,185.2988,179.61,179.96,1135882.0
2023-07-24,179.54,181.34,177.14,178.3,1155573.0
2023-07-25,176.84,180.41,176.08,180.03,741155.0
2023-07-26,179.36,180.765,176.31,180.04,628291.0
2023-07-27,181.24,185.545,180.47,182.09,909281.0
2023-07-28,184.12,186.36,182.47,182.64,648066.0
2023-07-31,183.15,186.15,182.905,185.93,581130.0
2023-08-01,184.45,186.0499,183.26,183.33,425596.0
2023-08-02,181.94,182.31,177.905,178.02,558148.0
2023-08-03,177.01,178.8175,175.365,177.1,457658.0
2023-08-04,178.49,182.92,178.375,180.86,1002258.0
2023-08-07,181.9,182.5799,178.89,179.67,575029.0
2023-08-08,179.22,180.08,175.59,175.73,806458.0
2023-08-09,198.12,207.86,196.49,200.44,2983403.0
2023-08-10,203.81,208.92,202.35,204.12,1232821.0
2023-08-11,203.18,211.89,202.32,211.23,1428521.0
2023-08-14,209.59,211.65,206.06,206.62,802320.0
2023-08-15,206.62,207.36,202.59,203.05,683395.0
2023-08-16,201.87,202.155,198.2,200.78,512616.0
2023-08-17,200.42,200.42,195.0,195.39,540645.0
2023-08-18,193.11,200.72,192.87,200.1,737930.0
2023-08-21,199.56,201.07,195.67,196.94,432362.0
2023-08-22,196.86,199.54,196.0,198.96,300861.0
2023-08-23,199.45,200.59,197.64,200.3,403321.0
2023-08-24,200.44,204.1797,195.86,196.01,748011.0
2023-08-25,195.73,198.62,193.3101,198.43,412212.0
2023-08-28,199.73,203.36,199.73,200.71,435462.0
2023-08-29,200.11,206.29,199.265,205.14,302444.0
2023-08-30,204.8,211.59,204.8,211.1,541297.0
2023-08-31,212.0,215.28,211.845,212.91,862039.0
2023-09-01,213.61,215.475,212.38,215.39,343362.0
2023-09-05,214.5,214.9,208.15,212.25,697867.0
2023-09-06,212.61,215.44,211.71,213.5,330343.0
2023-09-07,213.41,216.805,210.4276,216.06,459344.0
2023-09-08,215.34,217.61,214.105,214.71,359561.0
2023-09-11,214.47,215.0,210.81,213.19,326321.0
2023-09-12,210.83,213.13,210.26,211.93,375527.0
2023-09-13,211.0,211.885,208.05,209.86,378685.0
2023-09-14,209.95,213.51,209.315,212.51,398655.0
2023-09-15,211.38,211.68,204.95,206.21,820071.0
2023-09-18,204.6,211.19,203.01,208.18,497252.0
2023-09-19,207.23,207.23,201.24,203.8,478851.0
2023-09-20,205.34,206.32,203.19,203.35,458364.0
2023-09-21,201.03,201.71,196.01,196.13,598413.0
2023-09-22,196.88,197.565,194.5,195.42,369204.0
2023-09-25,193.95,195.35,192.5,193.24,373752.0
2023-09-26,190.64,192.2,189.1199,189.61,444800.0
2023-09-27,190.85,195.71,190.69,194.65,617863.0
2023-09-28,193.41,196.545,191.6032,196.08,354225.0
2023-09-29,197.86,201.54,197.58,198.99,634349.0
2023-10-02,197.29,199.1,195.05,196.15,428454.0
2023-10-03,195.39,196.06,190.82,192.06,266606.0
2023-10-04,192.03,194.9,190.01,194.61,335059.0
2023-10-05,194.81,196.545,192.7852,196.11,300880.0
2023-10-06,193.12,201.45,192.63,199.7,370232.0
2023-10-09,202.2,209.94,200.99,208.81,531996.0
2023-10-10,210.0,216.31,209.61,215.29,591567.0
2023-10-11,216.64,220.71,216.0,220.0,728529.0
2023-10-12,220.68,220.68,214.19,215.41,425130.0
2023-10-13,216.63,217.88,214.2767,215.43,410214.0
2023-10-16,217.2,220.46,216.68,220.05,306958.0
2023-10-17,218.53,223.3,218.045,222.54,568866.0
2023-10-18,222.0,223.12,219.41,219.53,327086.0
2023-10-19,218.88,218.88,210.66,212.31,365647.0
2023-10-20,212.93,212.93,207.2,210.86,354090.0
2023-10-23,209.98,212.6754,208.05,210.08,213603.0
2023-10-24,212.8,215.1701,212.21,213.33,283931.0
2023-10-25,212.58,212.58,206.63,207.87,278013.0
2023-10-26,207.87,210.015,204.32,204.57,386303.0
2023-10-27,204.68,205.89,199.29,200.755,422820.0
2023-10-30,203.59,203.92,200.5456,201.73,303375.0
2023-10-31,202.32,205.615,199.5,204.49,350944.0
2023-11-01,204.95,208.1899,203.16,207.15,344843.0
2023-11-02,209.77,212.58,209.025,210.27,406427.0
2023-11-03,211.97,219.36,211.97,217.25,574055.0
2023-11-06,219.39,220.22,214.83,216.86,433676.0
2023-11-07,216.92,219.02,214.7,216.37,908669.0
2023-11-08,224.5,231.71,219.0725,229.58,1603201.0
2023-11-09,230.23,230.655,212.885,215.7,811875.0
2023-11-10,216.16,220.0,215.435,217.94,830375.0
2023-11-13,218.27,219.7475,216.725,218.66,380723.0
2023-11-14,221.36,223.57,220.51,221.58,586710.0
2023-11-15,222.0,225.38,220.77,221.08,535141.0
2023-11-16,222.05,223.81,220.78,222.76,322322.0
2023-11-17,224.95,224.95,222.28,223.48,458683.0
2023-11-20,224.37,227.35,224.16,226.22,287723.0
2023-11-21,226.0,230.4,226.0,228.42,408708.0
2023-11-22,228.43,230.815,226.79,226.87,233437.0
2023-11-24,227.14,228.72,227.14,228.42,101568.0
2023-11-27,227.36,230.0599,227.0,228.16,311733.0
2023-11-28,228.4,230.38,226.49,227.07,227435.0
2023-11-29,228.83,230.0215,225.115,225.86,248805.0
2023-11-30,226.41,230.33,224.28,229.87,721891.0
2023-12-01,229.87,233.8,226.553,231.51,850416.0
2023-12-04,229.6,236.38,229.32,236.28,526650.0
2023-12-05,234.02,234.99,229.021,231.72,387900.0
2023-12-06,232.64,235.65,231.83,232.34,267098.0
2023-12-07,233.33,235.98,232.78,235.33,314442.0
2023-12-08,235.41,238.04,234.83,236.38,281805.0
2023-12-11,236.99,238.96,235.33,238.78,302383.0
2023-12-12,239.74,243.61,238.07,241.97,347442.0
2023-12-13,242.12,248.1,240.49,248.06,401929.0
2023-12-14,250.0,253.725,248.3001,253.12,676160.0
2023-12-15,252.91,256.82,250.1701,255.98,815505.0
2023-12-18,253.46,256.01,251.464,255.69,372177.0
2023-12-19,257.69,260.35,254.61,255.92,446789.0
2023-12-20,255.92,257.6499,252.11,252.77,559989.0
2023-12-21,256.94,257.675,253.5,256.84,311644.0
2023-12-22,258.3,260.69,257.12,259.03,279100.0
2023-12-26,257.94,259.23,256.86,258.11,180068.0
2023-12-27,257.81,259.9501,257.17,259.08,340835.0
2023-12-28,259.65,259.88,257.915,258.59,257886.0
2023-12-29,258.0,259.45,256.38,258.33,330633.0
2024-01-02,254.47,256.01,249.53,251.63,532443.0
2024-01-03,250.62,252.24,247.27,247.43,333038.0
2024-01-04,247.43,249.5558,244.345,244.93,494296.0
2024-01-05,244.5,246.1,241.72,244.21,408650.0
2024-01-08,244.45,251.75,244.01,251.61,344432.0
2024-01-09,248.48,250.54,247.81,249.1,452211.0
2024-01-10,249.98,250.965,248.0,249.02,470303.0
2024-01-11,249.81,251.72,247.12,249.54,383934.0
2024-01-12,250.81,253.8959,248.44,250.69,485081.0
2024-01-16,250.28,251.61,246.985,249.47,385251.0
2024-01-17,247.12,250.68,247.12,250.51,267263.0
2024-01-18,251.06,254.19,250.65,254.1,250563.0
2024-01-19,254.98,256.86,251.865,256.79,349166.0
2024-01-22,258.12,262.95,257.17,259.66,302748.0
2024-01-23,261.28,261.28,254.925,255.01,252275.0
2024-01-24,257.34,257.34,250.43,251.24,369360.0
2024-01-25,252.78,253.9271,250.63,252.7,229333.0
