Date,Open,High,Low,Close,Volume
2023-07-18,3.13,3.68,3.12,3.5595,221960.0
2023-07-19,3.65,3.65,3.55,3.6,12340.0
2023-07-20,3.6,3.6,3.4,3.6,56886.0
2023-07-21,3.57,3.64,3.44,3.64,38322.0
2023-07-24,3.6,3.83,3.5298,3.77,60689.0
2023-07-25,3.75,3.78,3.71,3.71,9519.0
2023-07-26,3.64,3.7299,3.64,3.67,8860.0
2023-07-27,3.67,3.69,3.5301,3.62,7807.0
2023-07-28,3.61,3.7999,3.58,3.7999,21238.0
2023-07-31,3.77,3.78,3.68,3.71,18691.0
2023-08-01,3.68,3.76,3.6175,3.73,43553.0
2023-08-02,3.73,3.75,3.6,3.7,5566.0
2023-08-03,3.78,3.78,3.705,3.76,6213.0
2023-08-04,3.76,3.76,3.6468,3.6468,3793.0
2023-08-07,3.7263,3.88,3.65,3.7613,48890.0
2023-08-08,3.85,3.92,3.79,3.88,41906.0
2023-08-09,3.91,4.0799,3.8902,4.0005,122694.0
2023-08-10,4.0,4.0,3.85,3.87,8120.0
2023-08-11,3.91,3.91,3.7068,3.72,50910.0
2023-08-14,3.7999,3.7999,3.65,3.72,8271.0
2023-08-15,3.62,3.7386,3.6,3.64,11403.0
2023-08-16,3.56,3.6099,3.53,3.56,17241.0
2023-08-17,3.56,3.56,3.4,3.47,27814.0
2023-08-18,3.48,3.505,3.46,3.4601,6216.0
2023-08-21,3.5,3.85,3.5,3.54,44952.0
2023-08-22,3.67,3.67,3.34,3.63,108830.0
2023-08-23,3.63,3.75,3.4934,3.73,62427.0
2023-08-24,3.67,3.81,3.48,3.74,60329.0
2023-08-25,3.69,3.7,3.61,3.62,2131.0
2023-08-28,3.61,4.16,3.61,4.14,78633.0
2023-08-29,4.03,4.1,3.7897,3.895,52233.0
2023-08-30,3.8501,3.8975,3.8501,3.8802,14965.0
2023-08-31,3.98,3.98,3.86,3.86,23308.0
2023-09-01,3.8801,4.0,3.8801,3.91,8689.0
2023-09-05,3.978,3.9781,3.89,3.94,7649.0
2023-09-06,3.9605,3.99,3.92,3.9223,1963.0
2023-09-07,3.89,3.89,3.7601,3.7601,6507.0
2023-09-08,3.78,3.89,3.78,3.89,1345.0
2023-09-11,3.88,3.88,3.7501,3.775,4867.0
2023-09-12,3.75,3.765,3.63,3.75,6740.0
2023-09-13,3.65,3.65,3.5101,3.61,45220.0
2023-09-14,3.69,3.7523,3.572,3.68,3173.0
2023-09-15,3.7,3.9,3.6931,3.885,34107.0
2023-09-18,4.0,4.0,3.7987,3.835,15928.0
2023-09-19,3.85,3.95,3.75,3.94,11899.0
2023-09-20,3.93,3.94,3.8,3.88,9037.0
2023-09-21,3.96,3.97,3.845,3.88,7571.0
2023-09-22,4.0,4.0,3.82,3.92,5024.0
2023-09-25,3.81,3.892,3.81,3.89,3128.0
2023-09-26,3.8301,3.865,3.8,3.805,4508.0
2023-09-27,3.8,3.8,3.588,3.7,11088.0
2023-09-28,3.7,3.7,3.5903,3.635,2724.0
2023-09-29,3.79,3.79,3.5201,3.59,5533.0
2023-10-02,3.6084,3.8,3.5202,3.61,21059.0
2023-10-03,3.67,3.72,3.6201,3.63,2111.0
2023-10-04,3.6286,3.69,3.5667,3.68,6610.0
2023-10-05,3.5,3.62,3.4966,3.6,9049.0
2023-10-06,3.6,3.6,3.5501,3.586,4113.0
2023-10-09,3.55,3.75,3.2739,3.47,18238.0
2023-10-10,3.36,3.8,3.36,3.52,85305.0
2023-10-11,3.6537,3.77,3.425,3.5,19358.0
2023-10-12,3.43,3.69,3.35,3.42,12801.0
2023-10-13,3.41,3.4101,3.23,3.28,18432.0
2023-10-16,3.24,3.2425,3.0959,3.175,32846.0
2023-10-17,3.2299,3.2299,3.11,3.145,16855.0
2023-10-18,3.07,3.1799,2.95,3.0,20906.0
2023-10-19,2.975,3.015,2.93,2.97,4390.0
2023-10-20,2.9599,2.96,2.7,2.7,25458.0
2023-10-23,2.62,2.7674,2.62,2.65,10931.0
2023-10-24,2.63,2.6627,2.6198,2.645,8053.0
2023-10-25,2.64,2.67,2.56,2.56,16579.0
2023-10-26,2.55,2.5999,2.55,2.5999,14737.0
2023-10-27,2.59,2.6001,2.52,2.52,8329.0
2023-10-30,2.45,2.65,2.39,2.61,70099.0
2023-10-31,2.59,2.65,2.59,2.65,2189.0
2023-11-01,2.65,2.6784,2.59,2.66,3459.0
2023-11-02,2.65,2.65,2.581,2.59,7511.0
2023-11-03,2.625,2.6545,2.59,2.6,24299.0
2023-11-06,2.635,2.75,2.63,2.73,34414.0
2023-11-07,2.8,2.895,2.66,2.7899,9712.0
2023-11-08,2.7262,2.9586,2.555,2.78,40334.0
2023-11-09,2.74,2.8566,2.65,2.75,12076.0
2023-11-10,2.65,2.7148,2.6,2.6258,15808.0
2023-11-13,2.67,2.73,2.6196,2.65,2186.0
2023-11-14,2.68,2.71,2.68,2.7,2100.0
2023-11-15,2.63,2.9,2.63,2.87,27222.0
2023-11-16,2.84,3.01,2.81,2.84,11062.0
2023-11-17,2.8102,2.949,2.79,2.9,6383.0
2023-11-20,2.95,3.035,2.915,2.98,27431.0
2023-11-21,3.02,3.14,2.955,3.07,86129.0
2023-11-22,3.07,3.0757,3.015,3.038,5531.0
2023-11-24,3.105,3.105,2.9101,2.9101,10799.0
