Date,Open,High,Low,Close,Volume
2023-07-18,6.555,6.9,6.3,6.675,52686.8
2023-07-19,6.855,7.2,5.343,5.5275,78443.7333
2023-07-20,5.8305,6.225,5.8305,6.168,25434.1333
2023-07-21,6.3,6.9,6.15,6.495,38185.6
2023-07-24,6.45,6.6,6.024,6.0825,20805.0667
2023-07-25,6.135,6.15,5.3685,5.412,44197.0
2023-07-26,5.4,5.55,5.3805,5.475,7090.3333
2023-07-27,5.4015,5.55,5.4,5.4225,9038.4
2023-07-28,5.55,5.751,5.55,5.6235,10156.6667
2023-07-31,5.7,5.85,5.55,5.685,8957.4
2023-08-01,5.7,5.835,5.415,5.415,11528.5333
2023-08-02,5.445,5.445,5.1495,5.25,10034.8667
2023-08-03,5.25,5.55,5.25,5.4,9737.2667
2023-08-04,5.685,5.76,4.953,4.9785,21403.7333
2023-08-07,5.157,5.5575,4.95,5.25,9694.0
2023-08-08,5.16,5.34,4.95,5.1,6646.5333
2023-08-09,4.965,5.4,4.95,5.13,7933.5333
2023-08-10,5.115,5.25,4.8735,5.097,12121.4667
2023-08-11,5.1,5.16,4.8,5.034,5847.4667
2023-08-14,5.1,5.5485,4.95,5.2365,10571.2
2023-08-15,5.472,5.7,5.4,5.55,21977.0667
2023-08-16,5.7,6.7275,5.7,6.585,64505.7333
2023-08-17,7.1115,8.0205,6.75,7.2,86497.8
2023-08-18,7.5,8.3985,7.323,8.133,80313.0
2023-08-21,8.835,9.075,7.95,8.1315,119569.0667
2023-08-22,8.8725,9.0,8.4,8.7,40756.2667
2023-08-23,9.15,11.1,8.97,9.72,109354.4
2023-08-24,10.275,10.275,7.725,7.8,64246.5333
2023-08-25,8.985,9.195,8.1015,8.871,64102.1333
2023-08-28,9.246,9.9,8.4,8.7105,59350.8
2023-08-29,9.225,9.2385,8.55,8.76,25902.6
2023-08-30,8.415,9.0,8.4,8.403,20264.4
2023-08-31,8.55,8.85,8.25,8.3955,16990.5333
2023-09-01,8.265,8.265,6.303,6.8205,77536.9333
2023-09-05,7.662,8.5425,7.5,8.235,36148.9333
2023-09-06,8.1255,8.55,7.5,8.085,31555.1333
2023-09-07,8.085,8.205,7.65,7.9005,7288.6667
2023-09-08,7.65,7.8,7.05,7.347,24794.2
2023-09-11,7.2,7.5,6.9,7.02,13753.4667
2023-09-12,7.05,7.32,7.05,7.26,4935.4667
2023-09-13,7.563,7.8,7.2015,7.7115,11525.8
2023-09-14,7.8,8.4,7.8,8.3685,20266.4
2023-09-15,8.4,8.475,8.25,8.25,7785.9333
2023-09-18,8.25,8.25,7.2,7.518,13403.8667
2023-09-19,7.35,8.4,7.35,8.25,10979.5333
2023-09-20,7.965,8.256,7.8015,8.22,13165.8
2023-09-21,7.959,7.959,7.05,7.41,24996.5333
2023-09-22,7.5,7.7985,7.35,7.368,7003.2
2023-09-25,7.5,7.635,7.5,7.5,6690.5333
2023-09-26,7.65,7.725,7.35,7.548,3640.2
2023-09-27,7.65,7.65,7.35,7.443,6146.8667
2023-09-28,7.5,7.647,7.35,7.35,6052.8667
2023-09-29,7.5,7.5,7.08,7.2345,7967.2
2023-10-02,7.35,7.3515,7.2,7.3485,8178.9333
2023-10-03,7.2,7.3485,6.7275,6.7935,10204.6667
2023-10-04,6.9,6.9,6.4515,6.735,14188.7333
2023-10-05,6.666,6.9743,6.45,6.45,5194.2667
2023-10-06,6.585,6.75,6.396,6.615,7165.0667
2023-10-09,6.75,6.75,6.45,6.513,3378.7333
2023-10-10,6.75,6.75,6.48,6.6315,4012.4
2023-10-11,6.6,6.747,6.405,6.405,6363.3333
2023-10-12,6.45,6.525,5.895,6.15,9748.3333
2023-10-13,5.01,5.565,4.8,5.067,60933.3333
2023-10-16,5.25,6.3,5.25,6.3,26626.4667
2023-10-17,6.45,6.6,6.21,6.3,9304.0667
2023-10-18,6.4485,6.6,6.1515,6.3015,4955.6667
2023-10-19,6.315,6.4485,6.0,6.015,3779.4
2023-10-20,7.197,8.82,6.75,7.5,193126.1333
2023-10-23,7.05,7.5,6.909,6.99,20208.4
2023-10-24,6.75,7.35,5.58,6.468,28218.0
2023-10-25,6.5565,8.325,6.45,7.95,28675.0
2023-10-26,8.1,8.7,7.5,8.085,23683.4
2023-10-27,7.95,8.7,7.875,7.878,13374.2667
2023-10-30,8.499,8.694,7.2,7.6695,32248.2
2025-06-16,19.32,19.32,14.91,15.795,21763.0
2025-06-17,15.96,15.96,12.92,13.27,18829.0
2025-06-18,11.06,15.81,11.06,14.62,97590.0
2025-06-20,15.86,15.99,14.885,15.0,15553.0
2025-06-23,15.0,20.99,14.33,15.3,38160.0
2025-06-24,16.9725,16.99,14.7,15.065,29560.0
2025-06-25,16.0,21.4,15.49,18.0,126203.0
2025-06-26,15.51,18.89,15.51,16.9,109252.0
2025-06-27,16.82,17.69,15.9,15.9,54400.0
2025-06-30,16.0,17.1,15.8,16.14,50447.0
2025-07-01,16.13,16.735,16.06,16.15,66799.0
2025-07-02,16.25,17.3899,15.14,15.545,106463.0
2025-07-03,15.86,16.98,15.36,15.89,171070.0
2025-07-07,15.95,16.025,15.01,15.29,103986.0
2025-07-08,15.66,16.0199,14.7509,15.09,114060.0
2025-07-09,15.3,15.435,14.69,14.79,87756.0
2025-07-10,14.84,14.85,13.42,13.5,321491.0
2025-07-11,13.13,13.815,12.705,12.96,342757.0
2025-07-14,13.42,13.85,12.7,12.8,140272.0
2025-07-15,12.8,13.0378,11.51,11.745,180671.0
2025-07-16,11.81,13.8829,11.765,13.14,222374.0
