Date,Open,High,Low,Close,Volume
2023-07-18,4.44,4.685,4.355,4.39,1614282.0
2023-07-19,4.42,4.5,4.26,4.38,2113761.0
2023-07-20,4.39,4.53,4.165,4.17,1438869.0
2023-07-21,4.19,4.4,4.12,4.29,1549580.0
2023-07-24,4.51,4.74,4.39,4.4,2534584.0
2023-07-25,4.4,4.65,4.3532,4.42,1804753.0
2023-07-26,4.44,4.54,4.31,4.53,1370055.0
2023-07-27,4.6,4.73,4.525,4.6,2579116.0
2023-07-28,4.64,4.83,4.6,4.79,2613172.0
2023-07-31,4.91,4.93,4.6,4.82,2907823.0
2023-08-01,4.84,4.84,4.44,4.49,3515596.0
2023-08-02,4.42,4.57,4.25,4.34,4982038.0
2023-08-03,4.75,5.25,4.56,5.11,7459007.0
2023-08-04,5.15,5.215,4.935,5.07,2910071.0
2023-08-07,5.05,5.11,4.815,5.02,2822611.0
2023-08-08,5.02,5.02,4.6773,4.79,2179262.0
2023-08-09,4.85,4.875,4.56,4.59,1668252.0
2023-08-10,4.61,4.875,4.59,4.75,1280103.0
2023-08-11,4.68,4.8,4.67,4.68,866139.0
2023-08-14,4.67,4.68,4.42,4.53,2338019.0
2023-08-15,4.5,4.59,4.405,4.47,1539876.0
2023-08-16,4.47,4.585,4.4325,4.53,1701110.0
2023-08-17,4.57,4.58,4.34,4.35,1630114.0
2023-08-18,4.26,4.522,4.22,4.47,1463602.0
2023-08-21,4.47,4.64,4.36,4.6,1961966.0
2023-08-22,4.6,4.67,4.431,4.64,1150408.0
2023-08-23,4.72,4.97,4.63,4.64,2193361.0
2023-08-24,4.63,4.63,4.49,4.57,946291.0
2023-08-25,4.57,4.725,4.5087,4.7,1134872.0
2023-08-28,4.72,5.07,4.71,5.05,1733851.0
2023-08-29,5.05,5.28,5.03,5.27,1998841.0
2023-08-30,5.25,5.35,5.18,5.24,1145625.0
2023-08-31,5.24,5.4,5.215,5.33,1560353.0
2023-09-01,5.36,5.465,5.21,5.45,2251079.0
2023-09-05,5.31,5.33,4.71,4.89,7238216.0
2023-09-06,4.87,5.07,4.765,4.98,2697114.0
2023-09-07,4.88,4.94,4.7,4.89,2125606.0
2023-09-08,4.95,5.08,4.7635,4.89,2761786.0
2023-09-11,4.98,5.222,4.96,5.05,3583347.0
2023-09-12,5.01,5.18,5.0,5.04,4179875.0
2023-09-13,4.96,5.02,4.6,4.68,3490894.0
2023-09-14,4.71,4.875,4.61,4.78,2140507.0
2023-09-15,4.79,4.97,4.71,4.92,21122951.0
2023-09-18,4.86,4.91,4.37,4.53,4064337.0
2023-09-19,4.53,4.62,4.38,4.61,2518032.0
2023-09-20,4.56,4.73,4.51,4.51,1723019.0
2023-09-21,4.45,4.47,4.12,4.14,3738636.0
2023-09-22,4.15,4.475,4.14,4.46,2705948.0
2023-09-25,4.36,4.36,4.035,4.05,2796750.0
2023-09-26,4.0,4.14,3.93,3.98,2377621.0
2023-09-27,4.01,4.09,3.88,3.97,1913440.0
2023-09-28,4.0,4.015,3.825,3.87,1858567.0
2023-09-29,3.89,3.93,3.72,3.74,2486437.0
2023-10-02,3.8,3.8,3.585,3.6,3276229.0
2023-10-03,3.6,3.6,3.33,3.35,2510756.0
2023-10-04,3.39,3.41,3.15,3.17,2650093.0
2023-10-05,3.25,3.48,3.14,3.47,3360137.0
2023-10-06,3.41,3.795,3.37,3.75,3041290.0
2023-10-09,3.67,3.73,3.54,3.63,2007596.0
2023-10-10,3.65,3.91,3.62,3.805,1722367.0
2023-10-11,3.81,3.97,3.78,3.82,1657907.0
2023-10-12,3.86,3.88,3.6598,3.69,2304397.0
2023-10-13,3.69,3.81,3.6,3.81,2079652.0
2023-10-16,3.8,3.94,3.69,3.85,1437609.0
2023-10-17,3.82,3.98,3.73,3.73,1046637.0
2023-10-18,3.7,3.72,3.51,3.6,1547192.0
2023-10-19,3.65,3.65,3.465,3.55,1643339.0
2023-10-20,3.55,3.64,3.49,3.54,1444493.0
2023-10-23,3.48,3.5,3.18,3.185,2122010.0
2023-10-24,3.23,3.38,3.23,3.27,1783812.0
2023-10-25,3.25,3.25,2.9,2.905,2660788.0
2023-10-26,2.9,2.95,2.71,2.74,2344046.0
2023-10-27,2.81,3.39,2.56,2.64,11624923.0
2023-10-30,3.02,3.28,2.83,3.01,24480917.0
2023-10-31,2.85,3.41,2.76,3.35,7749182.0
2023-11-01,3.3,3.47,3.15,3.2,3585551.0
2023-11-02,3.33,3.445,3.2675,3.32,2400933.0
2023-11-03,3.37,3.73,3.3651,3.61,4137554.0
2023-11-06,3.7,3.73,3.49,3.54,5417112.0
2023-11-07,2.74,2.83,2.44,2.47,12590813.0
2023-11-08,2.48,2.52,2.02,2.03,10726351.0
2023-11-09,2.04,2.095,1.56,1.6,15466873.0
2023-11-10,1.63,1.63,1.4301,1.59,7315753.0
2023-11-13,1.6,1.73,1.52,1.72,7591808.0
2023-11-14,1.77,1.86,1.75,1.82,6855976.0
2023-11-15,1.85,1.97,1.765,1.8,6240441.0
2023-11-16,1.79,1.8,1.62,1.71,4091568.0
2023-11-17,1.86,2.15,1.81,2.13,8355300.0
2023-11-20,2.1,2.295,2.05,2.07,4284135.0
2023-11-21,2.06,2.08,1.95,1.99,3118898.0
2023-11-22,2.01,2.075,1.97,2.02,2480202.0
2023-11-24,2.04,2.13,2.0101,2.06,1063407.0
2023-11-27,2.06,2.06,1.89,1.94,2546603.0
2023-11-28,1.91,2.155,1.84,2.11,3842092.0
2023-11-29,2.15,2.34,2.1307,2.18,3777811.0
2023-11-30,2.3,2.485,2.12,2.13,4091275.0
2023-12-01,2.13,2.3,2.02,2.3,3041429.0
2023-12-04,2.34,2.37,2.21,2.3,2839882.0
2023-12-05,2.25,2.37,2.18,2.2,2833905.0
2023-12-06,2.21,2.38,2.19,2.29,2360354.0
2023-12-07,2.3,2.4,2.27,2.3,2118133.0
2023-12-08,2.16,2.3,2.0601,2.22,2708561.0
2023-12-11,2.23,2.23,2.0801,2.11,2031603.0
2023-12-12,2.13,2.13,1.97,2.09,3547663.0
2023-12-13,2.1,2.38,2.03,2.37,4015487.0
2023-12-14,2.4,2.49,2.26,2.3,5058855.0
2023-12-15,2.3,2.38,2.13,2.17,16016126.0
2023-12-18,2.2,2.2,2.01,2.03,3085045.0
2023-12-19,2.05,2.17,2.03,2.12,3024986.0
2023-12-20,2.14,2.165,1.93,1.94,2822492.0
2023-12-21,2.03,2.06,1.95,2.02,1775585.0
2023-12-22,2.05,2.105,1.99,2.02,3097528.0
2023-12-26,2.05,2.23,2.04,2.18,14286127.0
2023-12-27,3.0,3.05,2.56,2.69,54465764.0
2023-12-28,2.65,3.3298,2.57,3.24,25810799.0
2023-12-29,3.31,3.41,3.14,3.33,14668703.0
2024-01-02,3.33,3.7,3.135,3.14,16245812.0
2024-01-03,3.1,3.22,2.92,3.02,8898509.0
2024-01-04,3.05,3.155,2.83,2.92,6928000.0
2024-01-05,2.89,3.02,2.74,2.87,4894173.0
2024-01-08,2.87,3.0999,2.73,3.08,5201368.0
2024-01-09,3.06,3.13,2.91,2.98,4694518.0
2024-01-10,2.98,2.99,2.71,2.86,12747357.0
2024-01-11,2.8,2.81,2.6,2.62,5588100.0
2024-01-12,2.59,2.73,2.53,2.57,3549796.0
2024-01-16,2.52,2.54,2.33,2.35,4675207.0
2024-01-17,2.32,2.51,2.3,2.46,5946500.0
2024-01-18,2.52,2.525,2.33,2.4,3093130.0
2024-01-19,2.52,2.56,2.36,2.44,6949712.0
2024-01-22,2.73,2.97,2.46,2.58,22499385.0
