Date,Open,High,Low,Close,Volume
2023-07-18,0.100101,0.11,0.0868,0.0868,10898
2023-07-19,0.0868,0.0868,0.0676,0.0805,2802
2023-07-24,0.0753,0.098599,0.0753,0.0974,650
2023-07-26,0.1,0.11,0.0999,0.11,757
2023-07-27,0.08,0.08,0.08,0.08,410
2023-07-28,0.0737,0.073701,0.0737,0.0737,2284
2023-08-02,0.0947,0.0947,0.0947,0.0947,198
2023-08-07,0.07,0.0937,0.0676,0.0937,3537
2023-08-22,0.0676,0.0677,0.0676,0.0677,4000
2023-08-23,0.0983,0.0983,0.0982,0.0982,590
2023-08-24,0.083199,0.0983,0.083199,0.0983,210
2023-08-30,0.1123,0.1123,0.1053,0.1053,1552
2023-09-01,0.1,0.1,0.0676,0.093699,4660
2023-09-11,0.0676,0.0676,0.043,0.0449,32456
2023-09-12,0.07,0.07,0.059,0.06,8412
2023-09-13,0.043,0.043,0.043,0.043,5545
2023-09-14,0.049899,0.05,0.039,0.039,208485
2023-09-19,0.039,0.039,0.0351,0.035178,1300
2023-09-20,0.0525,0.0699,0.0525,0.0683,8198
2023-09-21,0.067399,0.067399,0.067399,0.067399,181
2023-09-22,0.0525,0.067499,0.0525,0.067499,582
2023-09-25,0.1,0.1,0.0975,0.0983,6450
2023-09-26,0.079899,0.08,0.072,0.072,4958
2023-09-27,0.09,0.09,0.0623,0.0623,11532
2023-09-28,0.07,0.07,0.0475,0.0475,5723
2023-10-03,0.0414,0.0414,0.0414,0.0414,452
2023-10-04,0.0799,0.08,0.0799,0.08,600
2023-10-05,0.08,0.0812,0.08,0.0812,4700
2023-10-06,0.0607,0.0813,0.0607,0.0743,1057
2023-10-09,0.0608,0.060901,0.0608,0.0609,1646
2023-10-10,0.0813,0.0813,0.0813,0.0813,709
2023-10-11,0.0813,0.0813,0.0813,0.0813,5106
2023-10-12,0.085,0.09,0.07,0.07,202400
2023-10-16,0.085,0.085,0.025,0.0849,13412
2023-10-17,0.0599,0.070001,0.0599,0.070001,1148
2023-10-18,0.06,0.066,0.06,0.0659,1986
2023-10-19,0.07,0.07,0.07,0.07,962
2023-10-20,0.07,0.07,0.07,0.07,2000
2023-10-23,0.07,0.07,0.0508,0.050858,7541
2023-10-24,0.0507,0.0507,0.0507,0.0507,2002
2023-10-25,0.069999,0.069999,0.069999,0.069999,567
2023-10-26,0.061,0.061,0.05535,0.05535,792
2023-10-30,0.0508,0.0508,0.035,0.035,6295
2023-10-31,0.050101,0.050101,0.05,0.0501,2014
2023-11-02,0.05,0.05,0.05,0.05,4722
2023-11-03,0.047349,0.047399,0.047349,0.047399,2000
2023-11-07,0.0482,0.0517,0.032,0.04,6540
2023-11-08,0.043,0.043,0.0429,0.0429,2001
2023-11-09,0.0517,0.0517,0.0374,0.040101,1424
2023-11-13,0.03,0.03,0.03,0.03,1769
2023-11-14,0.0251,0.0275,0.025,0.025,12673
2023-11-15,0.04,0.045,0.0379,0.04,13466
2023-11-16,0.030101,0.030101,0.03,0.03,1000
2023-11-21,0.0449,0.0449,0.0449,0.0449,283
2023-11-22,0.044,0.07,0.044,0.065,19259
2023-11-24,0.07,0.07,0.0699,0.07,1593
2023-11-27,0.06,0.06,0.0351,0.06,2000
2023-11-28,0.0351,0.0351,0.03,0.03,16233
2023-11-29,0.0337,0.05,0.0255,0.05,15381
2023-11-30,0.03,0.03,0.03,0.03,2139
2023-12-01,0.05,0.05,0.0401,0.05,2002
2023-12-05,0.05,0.05,0.028929,0.0499,19657
2023-12-06,0.030201,0.0497,0.0301,0.0497,1570
2023-12-08,0.02776,0.02776,0.025,0.0251,3340
2023-12-11,0.0497,0.05,0.0261,0.05,2662
2023-12-12,0.035,0.048699,0.031,0.048699,1606
2023-12-18,0.048,0.048,0.048,0.048,7384
2023-12-19,0.047899,0.048693,0.0478,0.048,50139
2023-12-20,0.043,0.043,0.0407,0.0407,8082
2023-12-21,0.047,0.047,0.03,0.033,8335
2023-12-22,0.033,0.033,0.0315,0.0315,10140
2023-12-26,0.03,0.03,0.018,0.029861,29896
2023-12-27,0.03785,0.0411,0.031,0.038,14104
2023-12-28,0.03201,0.03201,0.03201,0.03201,483
2023-12-29,0.032,0.0423,0.032,0.0422,1409
2024-01-02,0.046,0.046,0.0436,0.0458,6148
2024-01-03,0.0441,0.0441,0.0341,0.0437,2252
2024-01-04,0.0441,0.0443,0.034,0.0441,2451
2024-01-05,0.0441,0.0447,0.0441,0.0447,1266
2024-01-08,0.03915,0.0443,0.03915,0.0443,2568
2024-01-09,0.046,0.05999,0.0459,0.0599,60593
2024-01-10,0.0205,0.059799,0.0205,0.0593,144414
2024-01-11,0.048,0.0593,0.048,0.048,1872
2024-01-12,0.0493,0.0595,0.0492,0.0575,16961
2024-01-16,0.0599,0.07,0.059,0.07,30821
2024-01-17,0.07,0.08,0.07,0.08,2347
2024-01-18,0.05,0.079999,0.05,0.0501,3465
2024-01-19,0.0501,0.0501,0.0501,0.0501,251
2024-01-22,0.0387,0.075,0.0387,0.072,8833
2024-01-23,0.0401,0.09,0.0401,0.09,18772
2024-01-24,0.046,0.08,0.046,0.08,1145
2024-01-26,0.069,0.069,0.069,0.069,739
2024-01-29,0.0507,0.09,0.0507,0.0899,3098
2024-01-30,0.0509,0.08,0.05,0.08,2700
2024-01-31,0.0798,0.09,0.0797,0.0798,4595
2024-02-01,0.09,0.09,0.08,0.08,900
2024-02-05,0.08,0.08,0.08,0.08,1250
2024-02-07,0.0568,0.08,0.0567,0.08,2600
2024-02-12,0.06,0.07,0.06,0.07,2600
2024-02-13,0.07,0.07,0.06,0.06,4130
2024-02-14,0.07,0.07,0.06,0.06,4000
2024-02-15,0.07,0.08,0.06,0.07,33549
2024-02-20,0.08,0.08,0.0799,0.08,960
2024-02-22,0.075,0.075,0.0601,0.07,5643
2024-02-23,0.06,0.081499,0.06,0.0601,1651
2024-02-26,0.08,0.08,0.0607,0.0607,1254
2024-02-27,0.06,0.06,0.055,0.055,4675
2024-02-28,0.0537,0.063499,0.0537,0.0537,1151
2024-02-29,0.062099,0.062099,0.062099,0.062099,194
2024-03-01,0.057949,0.065,0.057949,0.065,215
2024-03-04,0.06,0.06,0.055,0.055,1235
2024-03-05,0.05,0.06,0.05,0.0525,300
2024-03-06,0.045,0.045,0.0383,0.0383,13226
2024-03-07,0.0383,0.06,0.0383,0.05,3200
2024-03-08,0.04,0.0599,0.04,0.0599,350
2024-03-11,0.042,0.046001,0.042,0.045,11743
