Date,Open,High,Low,Close,Volume
2023-07-18,17.1,17.65,16.255,16.4475,9206.16
2023-07-19,16.5,17.395,15.755,15.875,5434.12
2023-07-20,17.0,17.0,16.0,16.0,1833.3
2023-07-21,16.0,16.49,15.775,16.0,818.5
2023-07-24,16.7,16.8,15.775,16.0,1523.64
2023-07-25,16.245,16.5,15.5,16.1225,1812.96
2023-07-26,15.8,18.85,15.8,16.456,5025.6
2023-07-27,16.05,16.995,16.005,16.295,1219.42
2023-07-28,16.01,16.47,16.0,16.25,1128.06
2023-07-31,16.45,16.66,16.05,16.12,969.12
2023-08-01,16.03,16.5,15.805,16.06,1484.12
2023-08-02,16.0,16.995,15.525,16.0,1484.62
2023-08-03,15.8,16.0,11.355,13.78,21420.6
2023-08-04,13.82,13.995,13.015,13.055,3197.92
2023-08-07,13.055,13.65,12.6,12.995,4960.8
2023-08-08,13.0,14.2,12.925,13.64,1189.06
2023-08-09,15.55,15.65,13.0,13.15,33964.9
2023-08-10,13.0,13.08,12.02,12.45,8852.0
2023-08-11,12.05,12.75,10.51,12.425,7310.96
2023-08-14,12.05,12.44,11.53,11.63,2884.98
2023-08-15,12.0,12.94,11.59,11.775,6386.04
2023-08-16,11.775,12.0,10.745,11.415,4345.38
2023-08-17,11.9,11.9,10.51,10.8,4766.46
2023-08-18,11.9,11.9,10.585,10.95,1615.9
2023-08-21,14.0,17.5,11.5,13.9,427629.86
2023-08-22,12.885,17.7,11.55,14.74,62373.94
2023-08-23,13.5,13.5,11.5,12.25,25115.76
2023-08-24,12.845,13.8,11.0,11.475,24686.26
2023-08-25,11.41,11.795,10.7,11.2,9764.88
2023-08-28,11.31,17.72,5.52,10.3,81702.5
2023-08-29,9.6,11.435,9.6,10.67,17246.08
2023-08-30,11.18,11.24,10.11,10.45,9658.7
2023-08-31,10.255,10.65,6.885,8.0,64397.16
2023-09-01,8.345,8.495,7.41,8.44,12301.62
2023-09-05,8.0,8.445,7.75,8.07,15605.26
2023-09-06,8.125,8.35,7.525,7.8,8005.54
2023-09-07,9.135,9.213,7.4,7.6,91766.58
2023-09-08,6.895,7.255,6.705,7.06,15674.8
2023-09-11,7.1,7.415,6.9005,7.4,8245.28
2023-09-12,7.43,7.495,6.795,7.085,7506.38
2023-09-13,7.425,7.75,6.96,7.3,17325.32
2023-09-14,7.65,7.7395,7.0,7.695,6484.0
2023-09-15,7.7,7.87,7.055,7.45,5278.28
2023-09-18,7.25,7.615,7.03,7.105,6111.4
2023-09-19,7.0,8.165,7.0,7.2,66799.42
2023-09-20,7.05,7.415,6.775,7.245,21195.02
2023-09-21,7.25,7.25,6.565,6.775,13176.96
2023-09-22,7.0,7.27,6.535,6.95,10863.42
2023-09-25,6.895,6.95,6.53,6.85,6215.16
2023-09-26,6.94,6.95,6.515,6.74,6050.64
