Date,Open,High,Low,Close,Volume
2023-07-18,3.0,3.16,3.0,3.11,45922
2023-07-19,3.13,3.16,3.0,3.04,49363
2023-07-20,3.06,3.16,3.0,3.14,75976
2023-07-21,3.0,3.1,2.89,3.01,66334
2023-07-24,3.0,3.14,3.0,3.1,34979
2023-07-25,3.12,3.14,3.0,3.0,46992
2023-07-26,3.0,3.02,2.89,2.89,32971
2023-07-27,2.89,2.9234,2.81,2.85,9289
2023-07-28,2.83,2.9672,2.83,2.91,14205
2023-07-31,2.85,3.0,2.8,2.82,73502
2023-08-01,2.76,2.9088,2.76,2.83,44342
2023-08-02,2.75,2.85,2.7,2.83,61954
2023-08-03,2.77,2.9,2.77,2.85,19248
2023-08-04,2.92,2.93,2.79,2.85,8295
2023-08-07,2.9,2.92,2.84,2.85,16179
2023-08-08,2.8,2.89,2.76,2.88,24543
2023-08-09,2.93,2.93,2.77,2.79,21048
2023-08-10,2.85,2.95,2.7945,2.88,25459
2023-08-11,2.78,2.95,2.752,2.79,21081
2023-08-14,2.76,2.8688,2.75,2.76,18156
2023-08-15,2.8,2.84,2.7582,2.78,19895
2023-08-16,2.86,2.86,2.76,2.8,23137
2023-08-17,2.7951,2.8329,2.7,2.76,13871
2023-08-18,2.72,2.84,2.7008,2.74,5169
2023-08-21,2.75,2.75,2.711,2.74,9307
2023-08-22,2.7,2.7731,2.7,2.72,14692
2023-08-23,2.7,2.81,2.7,2.73,12480
2023-08-24,2.75,2.7947,2.73,2.73,13951
2023-08-25,2.7,2.8,2.7,2.72,17904
2023-08-28,2.69,2.7434,2.69,2.74,9310
2023-08-29,2.72,2.8,2.72,2.73,13781
2023-08-30,2.71,2.809,2.7,2.71,3170
2023-08-31,2.71,2.73,2.68,2.7,13301
2023-09-01,2.67,2.74,2.67,2.73,3399
2023-09-05,2.81,2.81,2.65,2.6651,9070
2023-09-06,2.65,2.705,2.58,2.63,11396
2023-09-07,2.64,2.81,2.58,2.61,15292
2023-09-08,2.67,2.71,2.55,2.6654,20790
2023-09-11,2.64,2.7,2.59,2.6347,19330
2023-09-12,2.63,2.6979,2.61,2.68,6676
2023-09-13,2.6568,2.71,2.6568,2.67,32767
2023-09-14,2.72,2.79,2.645,2.79,17573
2023-09-15,2.62,2.7892,2.62,2.7,21921
2023-09-18,2.67,2.74,2.67,2.7,4492
