Date,Open,High,Low,Close,Volume
2023-07-18,7.29,7.575,7.04,7.05,921757.0
2023-07-19,7.22,7.36,6.96,7.17,1119309.0
2023-07-20,7.3,7.3,7.015,7.06,839234.0
2023-07-21,7.57,7.93,7.06,7.51,4098470.0
2023-07-24,7.43,7.71,7.3,7.33,1402145.0
2023-07-25,7.25,7.32,6.93,7.01,2157581.0
2023-07-26,7.0,7.2206,6.98,7.16,1025491.0
2023-07-27,7.27,7.36,6.815,6.9,1384525.0
2023-07-28,7.08,7.08,6.72,6.78,1640724.0
2023-07-31,6.8,6.985,6.75,6.88,1562913.0
2023-08-01,7.35,8.21,7.3,7.91,4107495.0
2023-08-02,7.69,7.75,7.13,7.21,1518773.0
2023-08-03,7.24,7.3,7.025,7.2,1080560.0
2023-08-04,7.28,7.49,7.1613,7.31,1044148.0
2023-08-07,7.39,7.52,7.2,7.4,1496221.0
2023-08-08,7.38,7.38,7.01,7.2,1481190.0
2023-08-09,7.04,7.065,5.53,5.92,5173981.0
2023-08-10,5.9,6.05,5.61,5.72,2466540.0
2023-08-11,5.62,5.69,5.275,5.48,2601247.0
2023-08-14,5.37,5.54,5.23,5.49,1641425.0
2023-08-15,5.44,5.49,5.145,5.19,1869201.0
2023-08-16,5.13,5.21,5.055,5.13,1885769.0
2023-08-17,5.23,5.29,5.01,5.12,1397642.0
2023-08-18,5.08,5.22,4.95,4.97,1232551.0
2023-08-21,4.97,4.97,4.74,4.76,1920744.0
2023-08-22,4.37,4.505,4.19,4.48,5839444.0
2023-08-23,4.5,4.775,4.35,4.53,3514486.0
2023-08-24,4.53,4.69,4.32,4.53,12187580.0
2023-08-25,4.64,4.69,4.445,4.54,2775703.0
2023-08-28,4.47,4.64,4.32,4.42,2053899.0
2023-08-29,4.21,4.27,4.01,4.07,3418356.0
2023-08-30,4.23,4.6,4.045,4.54,4763043.0
2023-08-31,4.63,5.4173,4.63,4.69,5996236.0
2023-09-01,4.78,5.1599,4.78,5.08,2771811.0
2023-09-05,5.13,5.21,4.82,4.82,2619287.0
2023-09-06,4.82,4.89,4.36,4.58,2175816.0
2023-09-07,4.5,4.55,4.16,4.37,2197277.0
2023-09-08,4.39,4.58,4.21,4.57,1708534.0
2023-09-11,4.68,4.68,4.17,4.22,2456302.0
2023-09-12,4.19,4.26,4.04,4.11,1973566.0
2023-09-13,4.14,4.15,3.89,3.94,2669863.0
2023-09-14,4.01,4.2047,3.95,4.14,2210416.0
2023-09-15,4.11,4.29,3.81,3.97,12875292.0
2023-09-18,4.01,4.17,3.615,3.71,2887748.0
2023-09-19,3.69,3.78,3.525,3.76,1826180.0
2023-09-20,3.75,3.84,3.65,3.65,1490656.0
2023-09-21,3.59,3.62,3.4,3.44,1886145.0
2023-09-22,3.44,3.47,3.2,3.26,1515891.0
2023-09-25,3.23,3.2408,3.1389,3.17,1876109.0
2023-09-26,3.15,3.355,3.08,3.27,2360402.0
2023-09-27,3.35,3.44,3.2,3.3,1465961.0
2023-09-28,3.27,3.37,3.13,3.31,1716551.0
2023-09-29,3.37,3.45,3.28,3.4,1222645.0
2023-10-02,3.4,3.405,3.14,3.16,1189610.0
2023-10-03,3.13,3.13,2.98,2.99,1897819.0
2023-10-04,3.02,3.035,2.84,2.93,1960741.0
2023-10-05,2.92,2.97,2.78,2.97,1978567.0
2023-10-06,2.89,3.0,2.75,2.99,1462496.0
2023-10-09,2.91,2.95,2.79,2.89,823709.0
2023-10-10,2.85,3.16,2.77,3.15,1070444.0
2023-10-11,3.18,3.24,2.98,2.99,1069880.0
2023-10-12,2.98,2.99,2.605,2.63,1724973.0
2023-10-13,2.6,2.66,2.48,2.52,1628254.0
2023-10-16,2.54,2.5583,2.39,2.47,1375928.0
2023-10-17,2.42,2.54,2.4,2.51,1233150.0
2023-10-18,2.49,2.51,2.3,2.31,1762289.0
2023-10-19,2.29,2.31,2.18,2.22,1484961.0
2023-10-20,2.23,2.275,2.16,2.21,1527907.0
2023-10-23,2.18,2.22,2.12,2.13,1406458.0
2023-10-24,2.14,2.27,2.135,2.26,1194528.0
2023-10-25,2.21,2.275,2.11,2.12,1304461.0
2023-10-26,2.13,2.18,2.05,2.15,855830.0
2023-10-27,2.17,2.19,1.99,2.0,1235697.0
2023-10-30,2.02,2.08,1.98,2.03,1434265.0
2023-10-31,2.01,2.16,1.99,2.09,928365.0
2023-11-01,2.07,2.07,1.925,1.96,1320309.0
2023-11-02,2.03,2.13,1.99,2.12,1073383.0
2023-11-03,2.15,2.45,2.14,2.42,2345146.0
2023-11-06,2.43,2.45,2.275,2.35,1075785.0
2023-11-07,2.34,2.46,2.3299,2.36,1417910.0
2023-11-08,2.35,2.44,2.2,2.21,1256531.0
2023-11-09,2.12,2.25,1.96,2.15,1163877.0
2023-11-10,2.14,2.14,1.88,2.0,1836303.0
2023-11-13,1.97,1.98,1.81,1.82,2210291.0
2023-11-14,1.88,2.16,1.85,2.15,1962833.0
2023-11-15,2.15,2.43,2.1499,2.21,1614439.0
2023-11-16,2.21,2.25,2.01,2.12,1237650.0
2023-11-17,2.15,2.15,1.9,2.05,1598208.0
2023-11-20,1.99,2.1,1.96,2.1,937716.0
2023-11-21,2.09,2.15,2.025,2.09,844318.0
2023-11-22,2.09,2.11,2.04,2.09,865364.0
2023-11-24,2.0,2.18,2.0,2.09,551457.0
2023-11-27,2.12,2.12,1.965,2.07,831858.0
2023-11-28,2.12,2.15,1.96,2.01,1760289.0
2023-11-29,2.0,2.3588,2.0,2.15,1654791.0
2023-11-30,2.18,2.36,2.1192,2.14,2399012.0
2023-12-01,2.15,2.46,2.01,2.39,2161007.0
2023-12-04,2.37,2.665,2.36,2.57,1923586.0
2023-12-05,2.55,2.56,2.39,2.4,877538.0
2023-12-06,2.4,2.66,2.36,2.53,1140454.0
2023-12-07,2.52,2.58,2.41,2.42,830507.0
2023-12-08,2.4,2.6,2.31,2.49,804757.0
2023-12-11,2.46,2.4774,2.11,2.12,1623495.0
2023-12-12,2.12,2.13,2.03,2.09,1428275.0
2023-12-13,2.1,2.305,1.99,2.29,1454510.0
2023-12-14,2.36,2.72,2.32,2.53,2266890.0
2023-12-15,2.57,2.63,2.3429,2.38,4238475.0
2023-12-18,2.36,2.41,2.2597,2.34,1254490.0
2023-12-19,2.31,2.54,2.31,2.44,1380063.0
2023-12-20,2.45,2.455,2.22,2.23,1370412.0
2023-12-21,2.25,2.33,2.24,2.29,1022496.0
2023-12-22,2.33,2.525,2.32,2.48,1622372.0
2023-12-26,2.49,2.52,2.375,2.41,924251.0
2023-12-27,2.44,2.48,2.36,2.4,528289.0
2023-12-28,2.35,2.48,2.35,2.47,879430.0
2023-12-29,2.5,2.5,2.36,2.4,1025020.0
2024-01-02,2.35,2.76,2.33,2.59,1466374.0
2024-01-03,2.55,2.5576,2.33,2.36,1694596.0
2024-01-04,2.4,2.4,2.2,2.36,1495398.0
2024-01-05,2.36,2.37,2.2,2.2,1274947.0
2024-01-08,2.2,2.23,2.14,2.16,1031967.0
2024-01-09,2.14,2.14,2.07,2.08,1211006.0
2024-01-10,2.21,2.34,2.155,2.17,1473866.0
2024-01-11,2.25,2.25,2.08,2.1,1716224.0
2024-01-12,2.1,2.215,2.01,2.05,1518095.0
2024-01-16,2.06,2.09,2.01,2.03,793233.0
2024-01-17,2.02,2.025,1.89,1.92,1466423.0
2024-01-18,1.95,1.96,1.83,1.84,1539026.0
2024-01-19,1.85,1.87,1.795,1.83,960160.0
2024-01-22,1.86,2.0,1.845,1.97,851612.0
2024-01-23,2.0,2.0764,1.95,1.97,679423.0
2024-01-24,2.03,2.035,1.86,1.88,841526.0
2024-01-25,1.93,1.98,1.84,1.86,683516.0
2024-01-26,1.9,1.96,1.815,1.82,787856.0
2024-01-29,1.84,1.84,1.76,1.83,1108927.0
2024-01-30,1.8,1.85,1.73,1.73,1203166.0
2024-01-31,1.73,1.81,1.67,1.67,1080761.0
2024-02-01,1.67,1.76,1.61,1.65,1353794.0
2024-02-02,1.66,1.69,1.56,1.62,1137092.0
2024-02-05,1.59,1.59,1.505,1.53,1139654.0
2024-02-06,1.54,1.5801,1.42,1.56,1546041.0
2024-02-07,1.59,1.598,1.47,1.5,1624778.0
2024-02-08,1.51,1.68,1.475,1.68,1245260.0
2024-02-09,1.67,1.68,1.52,1.58,2054603.0
2024-02-12,1.64,1.84,1.61,1.8,2742929.0
2024-02-13,1.71,1.71,1.5842,1.59,1445061.0
2024-02-14,1.6,1.71,1.53,1.69,1232502.0
2024-02-15,1.72,1.745,1.64,1.7,1267274.0
2024-02-16,1.7,1.7,1.55,1.56,1371473.0
2024-02-20,1.565,1.62,1.48,1.52,1451627.0
2024-02-21,1.7,3.25,1.66,2.71,76155055.0
2024-02-22,2.71,2.99,2.46,2.8,8465888.0
2024-02-23,2.8,3.23,2.7,2.74,6377322.0
2024-02-26,2.74,3.075,2.74,2.85,2734837.0
2024-02-27,2.86,3.44,2.8,3.3,5187663.0
2024-02-28,3.37,3.61,3.15,3.2,4604779.0
2024-02-29,3.32,3.386,3.21,3.23,1797839.0
2024-03-01,3.25,3.57,3.21,3.39,2258277.0
2024-03-04,3.45,3.48,3.14,3.17,2409569.0
2024-03-05,3.09,3.725,3.01,3.41,3684613.0
2024-03-06,3.5,3.53,3.17,3.26,3455089.0
2024-03-07,2.73,2.91,2.35,2.77,5148887.0
2024-03-08,2.77,2.86,2.65,2.69,1839861.0
2024-03-11,2.7,2.97,2.7,2.8,2268267.0
2024-03-12,2.83,2.86,2.33,2.33,2432802.0
2024-03-13,2.35,2.4,2.23,2.24,1576248.0
2024-03-14,2.2,2.37,2.12,2.35,1769891.0
2024-03-15,2.37,2.51,2.32,2.45,4054536.0
2024-03-18,2.5,2.52,2.37,2.47,1505432.0
2024-03-19,2.43,2.567,2.4298,2.46,1161678.0
2024-03-20,2.45,2.5783,2.42,2.51,1262436.0
2024-03-21,2.56,2.59,2.47,2.47,810679.0
2024-03-22,2.47,2.51,2.4,2.41,1221196.0
2024-03-25,2.43,2.635,2.43,2.54,949444.0
2024-03-26,2.56,2.6,2.43,2.44,1170592.0
