Date,Open,High,Low,Close,Volume
2024-12-19,24.69,24.69,24.5,24.64,71565
2024-12-20,24.65,24.7,24.62,24.62,22533
2024-12-23,24.7,24.71,24.66,24.69,16002
2024-12-24,24.7,24.7,24.63,24.64,11207
2024-12-26,24.75,24.75,24.675,24.675,28180
2024-12-27,24.8,24.8,24.63,24.6599,9385
2024-12-30,24.72,24.8,24.65,24.8,70844
2024-12-31,24.8,24.88,24.67,24.73,119404
2025-01-02,24.8,25.0,24.8,24.95,48135
2025-01-03,24.91,25.0,24.82,24.94,41236
2025-01-06,24.99,25.0,24.74,24.88,106677
2025-01-07,24.9,24.9,24.74,24.8299,93434
2025-01-08,24.85,24.9,24.83,24.85,82719
2025-01-10,24.85,25.0899,24.85,24.85,37304
2025-01-13,24.9,25.02,24.85,24.9,29188
2025-01-14,25.0,25.05,24.9999,25.0,8028
2025-01-15,25.04,25.23,25.037,25.15,12004
2025-01-16,25.16,25.2,25.0609,25.175,10313
2025-01-17,25.31,25.31,25.075,25.075,8133
2025-01-21,25.17,25.17,25.0677,25.08,19240
2025-01-22,25.06,25.1,24.95,24.965,7101
2025-01-23,25.1,25.1,24.81,24.9,15496
2025-01-24,24.95,24.97,24.92,24.93,8298
2025-01-27,24.97,24.98,24.9144,24.9799,32576
2025-01-28,25.0,25.0,24.96,24.9657,15267
2025-01-29,25.05,25.05,24.96,24.98,5265
2025-01-30,24.98,25.0201,24.85,24.96,30456
2025-01-31,24.86,24.98,24.86,24.955,2552
2025-02-03,25.0,25.0,24.95,24.98,29256
2025-02-04,25.0,25.03,24.96,25.0,146285
2025-02-05,25.1,25.1,25.0,25.03,18355
2025-02-06,25.03,25.05,25.01,25.01,11154
2025-02-07,25.01,25.08,24.975,25.01,7405
2025-02-10,25.1,25.1,24.98,25.01,30622
2025-02-11,25.1,25.2707,25.0,25.2001,26266
2025-02-12,25.23,25.45,25.1,25.15,8985
2025-02-13,25.105,25.15,25.03,25.05,15606
2025-02-14,25.07,25.15,25.034,25.095,5595
2025-02-18,25.18,25.18,25.02,25.04,10955
2025-02-19,25.1,25.2,24.99,25.05,20231
2025-02-20,25.05,25.05,25.0,25.02,10545
2025-02-21,25.07,25.14,24.97,25.0,18242
2025-02-24,25.0,25.1,24.99,25.01,8410
2025-02-25,25.02,25.049,24.95,24.97,17863
2025-02-26,24.93,25.0,24.93,24.97,13530
