Date,Open,High,Low,Close,Volume
2023-07-18,8.8,8.84,8.75,8.81,54275
2023-07-19,8.77,8.84,8.69,8.79,39636
2023-07-20,8.8,8.8,8.71,8.76,30032
2023-07-21,8.74,8.83,8.74,8.8,29064
2023-07-24,8.9,8.9,8.819,8.83,54176
2023-07-25,8.85,8.87,8.815,8.82,46803
2023-07-26,8.82,8.825,8.73,8.79,57368
2023-07-27,8.78,8.7999,8.67,8.67,42049
2023-07-28,8.72,8.8,8.67,8.73,51165
2023-07-31,8.75,8.82,8.7001,8.82,25474
2023-08-01,8.79,8.91,8.77,8.8486,41747
2023-08-02,8.86,8.88,8.71,8.76,24829
2023-08-03,8.69,8.76,8.67,8.67,19063
2023-08-04,8.68,8.745,8.66,8.66,9338
2023-08-07,8.65,8.8,8.65,8.7886,35131
2023-08-08,8.76,8.78,8.72,8.75,45336
2023-08-09,8.73,8.85,8.73,8.82,24413
2023-08-10,8.84,8.85,8.75,8.78,48240
2023-08-11,8.75,8.81,8.75,8.77,20443
2023-08-14,8.81,8.849,8.79,8.8,22157
2023-08-15,8.8,8.8,8.67,8.67,14528
2023-08-16,8.66,8.73,8.65,8.67,25453
2023-08-17,8.69,8.79,8.61,8.64,131217
2023-08-18,8.64,8.7,8.61,8.65,21066
2023-08-21,8.63,8.693,8.57,8.57,108279
2023-08-22,8.62,8.72,8.61,8.66,37209
2023-08-23,8.68,8.76,8.68,8.73,13614
2023-08-24,8.77,8.79,8.57,8.6,38653
2023-08-25,8.62,8.64,8.54,8.63,21684
2023-08-28,8.66,8.67,8.585,8.65,16757
2023-08-29,8.65,8.77,8.6,8.62,39565
2023-08-30,8.67,8.67,8.63,8.63,37355
2023-08-31,8.67,8.75,8.61,8.65,40368
2023-09-01,8.7,8.75,8.61,8.66,18503
2023-09-05,8.67,8.76,8.51,8.52,47606
2023-09-06,8.56,8.62,8.41,8.46,59496
2023-09-07,8.44,8.59,8.4,8.44,38377
2023-09-08,8.43,8.5,8.4,8.42,18416
2023-09-11,8.47,8.48,8.35,8.35,30908
2023-09-12,8.36,8.3607,8.3,8.33,32553
2023-09-13,8.3,8.33,8.25,8.26,69958
2023-09-14,8.2,8.2199,8.1,8.11,51498
2023-09-15,8.13,8.18,8.1,8.1,41800
2023-09-18,8.14,8.26,8.1297,8.14,38179
2023-09-19,8.17,8.19,8.1274,8.14,23502
2023-09-20,8.22,8.27,8.185,8.21,19807
2023-09-21,8.2,8.2,8.12,8.19,22817
2023-09-22,8.25,8.38,8.14,8.14,53010
2023-09-25,8.15,8.27,8.12,8.19,42451
2023-09-26,8.19,8.2,8.07,8.1,15769
2023-09-27,8.08,8.13,8.02,8.04,31508
2023-09-28,8.03,8.08,8.03,8.04,21923
2023-09-29,8.08,8.14,8.03,8.05,36093
