Date,Open,High,Low,Close,Volume
2023-07-18,6.67,6.91,6.55,6.64,230054.0
2023-07-19,6.66,6.955,6.66,6.74,243438.0
2023-07-20,6.73,7.0,6.67,6.95,284896.0
2023-07-21,7.04,7.18,6.94,7.045,196936.0
2023-07-24,7.0,7.15,6.96,7.095,130103.0
2023-07-25,7.08,7.13,6.71,6.755,196100.0
2023-07-26,6.83,6.93,6.75,6.88,126031.0
2023-07-27,6.85,6.87,6.72,6.74,241638.0
2023-07-28,6.78,7.08,6.78,6.86,208925.0
2023-07-31,6.89,7.09,6.89,7.08,185442.0
2023-08-01,7.01,7.01,6.72,6.77,143803.0
2023-08-02,6.66,6.71,6.44,6.63,240842.0
2023-08-03,6.6,6.91,6.56,6.83,114055.0
2023-08-04,6.81,7.0064,6.7,6.75,169553.0
2023-08-07,6.77,6.77,6.43,6.57,418810.0
2023-08-08,5.63,6.17,5.395,5.57,922617.0
2023-08-09,5.52,5.8,5.36,5.77,439657.0
2023-08-10,5.85,6.2,5.85,6.14,275457.0
2023-08-11,6.11,6.22,5.95,5.96,279163.0
2023-08-14,5.92,6.0099,5.76,5.97,167145.0
2023-08-15,5.9,5.96,5.79,5.95,263830.0
2023-08-16,6.0,6.6188,5.99,6.5,458669.0
2023-08-17,6.49,6.83,6.4595,6.72,251648.0
2023-08-18,6.59,6.6999,6.36,6.51,298374.0
2023-08-21,6.46,6.53,5.96,6.05,225690.0
2023-08-22,6.06,6.12,5.82,5.85,285826.0
2023-08-23,5.83,5.94,5.69,5.72,281621.0
2023-08-24,5.73,5.95,5.67,5.73,247186.0
2023-08-25,5.75,6.08,5.52,5.55,239083.0
2023-08-28,5.57,5.83,5.57,5.72,148078.0
2023-08-29,5.71,6.12,5.61,6.1,143990.0
2023-08-30,6.07,6.24,6.01,6.16,143670.0
2023-08-31,6.18,6.44,6.15,6.18,121426.0
2023-09-01,6.18,6.25,6.02,6.22,152024.0
2023-09-05,6.06,6.14,5.9,5.94,191622.0
2023-09-06,6.05,6.2,5.8,6.03,239400.0
2023-09-07,5.94,6.1,5.865,6.03,140248.0
2023-09-08,6.02,6.05,5.77,6.04,218447.0
2023-09-11,6.03,6.25,5.99,6.15,179204.0
2023-09-12,6.13,6.23,6.02,6.2,169366.0
2023-09-13,6.2,6.23,6.05,6.1,231382.0
2023-09-14,6.11,6.81,6.05,6.75,538940.0
2023-09-15,6.73,6.8,6.345,6.4,398949.0
2023-09-18,6.33,6.55,6.175,6.51,232451.0
2023-09-19,6.49,6.66,6.4,6.61,179195.0
2023-09-20,6.65,6.74,6.6,6.67,152107.0
2023-09-21,6.57,6.716,6.4414,6.62,302623.0
2023-09-22,6.68,6.91,6.49,6.75,152214.0
2023-09-25,6.65,6.81,6.58,6.74,132867.0
2023-09-26,6.68,6.89,6.52,6.73,221551.0
2023-09-27,6.74,6.9,6.57,6.87,196349.0
2023-09-28,6.81,7.16,6.57,7.09,141928.0
2023-09-29,7.15,7.27,7.03,7.23,168667.0
2023-10-02,7.17,7.27,6.8001,7.03,227034.0
2023-10-03,6.91,7.0997,6.77,6.92,185903.0
2023-10-04,6.92,7.425,6.885,7.39,203426.0
2023-10-05,7.36,7.62,7.22,7.59,149963.0
2023-10-06,7.34,8.08,7.34,8.06,336431.0
2023-10-09,7.97,8.36,7.835,8.31,301974.0
2023-10-10,8.37,8.445,7.68,7.8,331254.0
2023-10-11,7.85,8.065,7.65,8.0,175037.0
2023-10-12,7.99,7.99,7.39,7.6,360900.0
2023-10-13,7.65,8.05,7.14,7.25,514179.0
2023-10-16,7.34,8.1374,7.2,7.845,434281.0
2023-10-17,7.78,8.05,7.58,7.98,453193.0
2023-10-18,7.88,7.96,7.6831,7.83,315104.0
2023-10-19,7.78,7.785,7.425,7.53,222285.0
2023-10-20,7.53,7.53,6.87,7.44,301095.0
2023-10-23,7.38,7.53,7.05,7.21,195589.0
2023-10-24,7.26,7.52,7.13,7.46,142053.0
2023-10-25,7.36,7.36,6.95,7.08,278135.0
2023-10-26,6.97,7.11,6.74,6.83,167410.0
2023-10-27,6.87,6.92,6.64,6.71,184740.0
2023-10-30,6.8,6.96,6.73,6.77,115789.0
2023-10-31,6.8,8.61,6.8,8.59,1312713.0
2023-11-01,8.59,8.76,8.08,8.32,819154.0
2023-11-02,8.48,8.57,7.2508,7.44,841197.0
2023-11-03,7.52,7.96,7.52,7.88,283051.0
2023-11-06,7.92,7.99,7.11,7.44,624881.0
2023-11-07,8.08,8.94,8.05,8.7,1038940.0
2023-11-08,8.83,8.83,8.49,8.58,379562.0
2023-11-09,8.51,8.7,8.1,8.22,261364.0
2023-11-10,8.25,8.33,8.05,8.2,271495.0
2023-11-13,8.08,8.24,7.95,8.13,214674.0
2023-11-14,8.31,8.53,8.21,8.47,448786.0
2023-11-15,8.54,8.69,8.42,8.66,452380.0
2023-11-16,8.61,8.98,8.55,8.69,398468.0
2023-11-17,8.68,8.77,8.25,8.45,328086.0
2023-11-20,8.36,8.79,8.36,8.54,223445.0
2023-11-21,8.4,8.7,8.18,8.36,401283.0
2023-11-22,8.49,8.67,8.32,8.62,205730.0
2023-11-24,8.6,8.87,8.6,8.74,85763.0
2023-11-27,8.71,8.85,8.61,8.66,210375.0
2023-11-28,8.67,8.74,8.44,8.67,222316.0
2023-11-29,8.79,9.85,8.79,9.58,576869.0
2023-11-30,10.16,10.56,10.1,10.48,599408.0
2023-12-01,10.47,10.75,10.27,10.69,251558.0
2023-12-04,10.67,10.9,9.86,10.19,472519.0
2023-12-05,10.66,10.74,10.12,10.18,314893.0
2023-12-06,10.34,10.4,10.13,10.17,236220.0
2023-12-07,10.17,10.22,10.04,10.14,131277.0
2023-12-08,10.21,10.52,10.1696,10.26,318795.0
2023-12-11,10.16,10.39,9.956,10.18,247475.0
2023-12-12,10.49,10.49,9.88,10.33,339892.0
2023-12-13,10.33,10.88,10.0822,10.85,347675.0
2023-12-14,11.16,11.66,11.14,11.65,419835.0
2023-12-15,11.97,12.2,11.46,11.96,999546.0
2023-12-18,12.04,12.12,11.53,11.79,320437.0
2023-12-19,11.8,12.48,11.54,12.01,297006.0
2023-12-20,11.98,12.55,11.48,12.04,207694.0
2023-12-21,12.23,12.66,12.15,12.65,155451.0
2023-12-22,12.77,13.0,12.31,12.56,282958.0
2023-12-26,12.55,12.56,11.9009,12.53,198373.0
2023-12-27,12.57,13.04,12.57,13.0,181511.0
2023-12-28,13.0,13.149,12.1,13.1,149178.0
2023-12-29,13.01,13.15,12.225,12.24,217619.0
2024-01-02,12.01,12.22,11.6,11.9,321869.0
2024-01-03,11.8,12.28,11.545,11.61,250137.0
2024-01-04,11.68,11.88,11.41,11.57,178308.0
2024-01-05,11.49,11.91,11.41,11.41,184902.0
2024-01-08,11.32,11.48,10.69,10.96,304480.0
2024-01-09,10.85,11.09,10.63,10.64,196706.0
2024-01-10,10.62,10.86,10.39,10.55,231474.0
2024-01-11,10.6,10.76,10.37,10.68,168148.0
2024-01-12,10.75,11.0748,10.35,10.45,137548.0
2024-01-16,10.32,10.74,10.21,10.72,197897.0
2024-01-17,10.49,11.05,10.27,11.0,163619.0
2024-01-18,11.07,11.16,10.6,10.84,110533.0
2024-01-19,10.97,11.09,10.645,10.98,123835.0
2024-01-22,11.06,11.49,11.06,11.47,114610.0
2024-01-23,11.55,11.85,11.465,11.8,196731.0
2024-01-24,12.11,13.48,12.095,12.8,311745.0
2024-01-25,12.81,13.39,12.74,13.01,295197.0
2024-01-26,13.27,13.5,13.045,13.21,262036.0
2024-01-29,13.25,13.29,12.94,13.22,239510.0
2024-01-30,13.12,13.14,12.48,12.8,118949.0
2024-01-31,12.69,12.94,12.53,12.63,134031.0
2024-02-01,13.3,14.29,13.13,13.75,575426.0
2024-02-02,13.7,13.73,13.01,13.56,254992.0
2024-02-05,13.36,13.429,13.13,13.15,152031.0
2024-02-06,13.18,13.46,13.18,13.29,80812.0
2024-02-07,13.36,13.56,13.07,13.46,158537.0
2024-02-08,14.4,14.85,13.92,14.66,532069.0
2024-02-09,14.68,15.83,14.6,15.49,893278.0
2024-02-12,15.35,16.43,15.335,15.58,380701.0
