Date,Open,High,Low,Close,Volume
2023-07-18,7.69,7.84,7.6413,7.79,387761.0
2023-07-19,7.8,7.93,7.65,7.76,338428.0
2023-07-20,7.75,7.855,7.65,7.71,336799.0
2023-07-21,7.8,7.85,7.68,7.75,278152.0
2023-07-24,7.75,7.79,7.61,7.67,166876.0
2023-07-25,7.65,7.7,7.49,7.615,192156.0
2023-07-26,7.62,7.86,7.57,7.85,239134.0
2023-07-27,7.9,7.93,7.685,7.74,212847.0
2023-07-28,7.82,7.925,7.71,7.78,186022.0
2023-07-31,7.86,8.145,7.8,8.06,264980.0
2023-08-01,8.03,8.03,6.13,6.41,3072308.0
2023-08-02,6.31,6.31,5.805,5.9,1940238.0
2023-08-03,5.9,6.28,5.87,6.2,1200183.0
2023-08-04,6.2,6.215,5.835,5.95,1028062.0
2023-08-07,6.06,6.06,5.715,5.82,649613.0
2023-08-08,5.77,6.2,5.67,5.92,1214022.0
2023-08-09,4.75,4.91,4.06,4.23,3873761.0
2023-08-10,4.3,4.54,4.205,4.5,1453119.0
2023-08-11,4.69,4.845,4.47,4.51,1093087.0
2023-08-14,4.47,4.63,4.45,4.51,962802.0
2023-08-15,4.53,4.75,4.5,4.5,670844.0
2023-08-16,4.48,4.55,4.39,4.5,527052.0
2023-08-17,4.56,4.62,4.47,4.5,444189.0
2023-08-18,4.49,4.75,4.41,4.72,564763.0
2023-08-21,4.71,4.77,4.48,4.51,632129.0
2023-08-22,4.56,4.6199,4.47,4.48,623064.0
2023-08-23,4.51,4.705,4.5,4.63,402472.0
2023-08-24,4.61,4.63,4.345,4.38,450709.0
2023-08-25,4.43,4.55,4.39,4.49,403430.0
2023-08-28,4.49,4.601,4.395,4.46,442934.0
2023-08-29,4.48,4.535,4.4,4.41,431530.0
2023-08-30,4.41,4.515,4.33,4.49,544454.0
2023-08-31,4.47,4.55,4.28,4.29,610697.0
2023-09-01,4.36,4.45,4.27,4.42,496685.0
2023-09-05,4.38,4.44,4.285,4.34,595306.0
2023-09-06,4.33,4.37,4.275,4.29,420581.0
2023-09-07,4.24,4.24,4.04,4.11,801907.0
2023-09-08,4.18,4.18,3.9,3.905,853689.0
2023-09-11,3.93,3.93,3.81,3.86,687478.0
2023-09-12,3.86,4.17,3.83,4.16,587212.0
2023-09-13,4.18,4.18,3.8,3.83,957793.0
2023-09-14,3.89,3.89,3.78,3.81,572338.0
2023-09-15,3.685,3.71,3.45,3.46,1920334.0
2023-09-18,3.46,3.475,3.32,3.4,875522.0
2023-09-19,3.39,3.465,3.34,3.36,646615.0
2023-09-20,3.39,3.45,3.34,3.36,533935.0
2023-09-21,3.3,3.345,3.23,3.27,747248.0
2023-09-22,3.27,3.34,3.21,3.31,719722.0
2023-09-25,3.27,3.345,3.17,3.21,641284.0
2023-09-26,3.2,3.35,3.115,3.15,434765.0
2023-09-27,3.17,3.25,3.17,3.23,340797.0
2023-09-28,3.21,3.265,3.145,3.21,353000.0
2023-09-29,3.24,3.375,3.235,3.25,441561.0
2023-10-02,3.23,3.295,3.195,3.26,392307.0
2023-10-03,3.24,3.245,3.06,3.1,367043.0
2023-10-04,3.1,3.13,3.01,3.05,357802.0
2023-10-05,3.03,3.08,2.9,2.91,605482.0
2023-10-06,2.89,3.07,2.88,3.06,579700.0
2023-10-09,3.03,3.17,3.0,3.16,494108.0
2023-10-10,3.17,3.4,3.17,3.37,643659.0
2023-10-11,3.38,3.42,3.1,3.21,560092.0
2023-10-12,3.22,3.24,3.045,3.09,398249.0
2023-10-13,3.09,3.09,2.9,2.93,482758.0
2023-10-16,2.95,3.035,2.89,3.01,409752.0
2023-10-17,2.98,3.08,2.97,3.03,496093.0
2023-10-18,3.03,3.05,2.87,2.87,364718.0
2023-10-19,2.87,2.97,2.86,2.95,645976.0
2023-10-20,2.95,2.95,2.81,2.83,532539.0
2023-10-23,2.8,2.8,2.67,2.67,568800.0
2023-10-24,2.68,2.79,2.65,2.7,658839.0
2023-10-25,2.69,2.7,2.62,2.63,382892.0
2023-10-26,2.64,2.6805,2.56,2.62,375406.0
2023-10-27,2.58,2.68,2.45,2.57,838266.0
2023-10-30,2.62,2.74,2.61,2.61,607901.0
2023-10-31,2.61,2.7,2.59,2.67,387466.0
2023-11-01,2.82,2.84,2.61,2.68,610787.0
2023-11-02,2.74,2.92,2.735,2.91,502682.0
