Date,Open,High,Low,Close,Volume
2023-07-18,159.56,160.05,158.46,158.88,869316.0
2023-07-19,158.54,158.79,156.85,157.92,1075119.0
2023-07-20,157.85,158.22,156.53,157.27,1031251.0
2023-07-21,158.17,158.24,156.5,157.9,770290.0
2023-07-24,157.9,160.0,157.76,159.58,920254.0
2023-07-25,159.41,161.08,159.112,160.98,1055516.0
2023-07-26,160.0,161.195,159.36,160.69,1136548.0
2023-07-27,161.99,163.91,161.02,162.04,1020140.0
2023-07-28,161.8,162.19,159.98,160.94,1022975.0
2023-07-31,160.13,161.62,159.78,161.62,899103.0
2023-08-01,159.65,162.57,159.58,162.21,782275.0
2023-08-02,160.11,160.87,159.3064,159.75,966974.0
2023-08-03,158.14,159.63,157.4,158.7,816259.0
2023-08-04,159.59,160.625,158.435,158.75,678431.0
2023-08-07,160.55,162.425,160.105,161.49,789875.0
2023-08-08,160.48,160.94,158.72,160.72,629371.0
2023-08-09,160.82,160.82,158.93,159.01,638044.0
2023-08-10,159.77,161.66,158.47,158.73,601213.0
2023-08-11,158.83,160.27,158.4225,159.96,554591.0
2023-08-14,158.89,161.54,158.63,161.38,1127081.0
2023-08-15,161.22,161.93,159.25,160.27,815888.0
2023-08-16,160.13,161.77,158.46,159.06,610963.0
2023-08-17,158.82,159.81,155.17,155.54,565451.0
2023-08-18,154.41,155.46,153.615,155.3,1030407.0
2023-08-21,155.26,156.0,153.31,154.55,802365.0
2023-08-22,156.1,156.47,154.91,155.07,714356.0
2023-08-23,154.64,157.63,154.07,157.63,561715.0
2023-08-24,157.41,158.26,154.92,154.98,643208.0
2023-08-25,155.42,156.81,154.47,156.3,775314.0
2023-08-28,156.75,158.745,156.73,157.54,438287.0
2023-08-29,157.36,159.65,156.64,159.64,677111.0
2023-08-30,160.78,162.98,160.47,162.6,579719.0
2023-08-31,163.4,164.0,161.47,161.56,1151529.0
2023-09-01,163.42,163.88,161.46,162.23,1025243.0
2023-09-05,160.26,160.6,156.5,157.45,834435.0
2023-09-06,157.57,157.83,154.91,156.07,911429.0
2023-09-07,155.11,155.17,153.13,153.55,1063261.0
2023-09-08,154.59,155.05,153.5,153.95,693733.0
2023-09-11,154.51,156.22,154.435,156.04,597529.0
2023-09-12,154.9,156.3,153.93,154.39,510084.0
2023-09-13,154.09,155.47,153.37,154.02,744527.0
2023-09-14,153.93,155.33,153.93,155.28,674656.0
2023-09-15,154.47,155.0,153.34,153.5,2009810.0
2023-09-18,153.64,155.04,153.14,153.74,668152.0
2023-09-19,155.05,155.05,152.74,153.95,1007229.0
2023-09-20,154.4,155.42,152.34,152.37,1061188.0
2023-09-21,151.35,151.5183,149.39,149.97,943823.0
2023-09-22,149.72,151.135,149.46,150.56,984125.0
2023-09-25,149.8,151.98,149.59,151.11,1226508.0
2023-09-26,156.73,158.87,154.985,158.25,2689894.0
2023-09-27,159.85,164.065,159.42,163.37,1946232.0
2023-09-28,164.05,170.265,164.05,168.0,1676620.0
2023-09-29,167.9,167.9,164.17,164.47,1601687.0
2023-10-02,164.09,165.3,162.31,163.35,1166688.0
2023-10-03,163.18,163.74,159.54,160.45,1486136.0
2023-10-04,159.66,162.09,159.39,161.87,1336069.0
2023-10-05,161.43,162.9,160.6672,161.2,1159582.0
2023-10-06,161.08,164.16,161.08,163.18,1560091.0
2023-10-09,162.66,166.58,162.01,166.47,1459535.0
2023-10-10,166.89,169.69,166.41,166.84,1723619.0
2023-10-11,166.71,169.73,166.46,169.57,1086023.0
2023-10-12,170.41,171.059,166.87,168.33,1495411.0
2023-10-13,169.19,170.84,167.33,167.74,2135988.0
2023-10-16,166.39,166.55,162.83,164.28,1865354.0
2023-10-17,163.08,168.74,163.08,167.58,1237477.0
2023-10-18,166.01,166.01,159.69,159.83,1179056.0
2023-10-19,158.39,159.2,154.87,155.29,1495392.0
2023-10-20,155.33,155.8975,153.18,153.4,894839.0
2023-10-23,154.0,154.48,152.15,152.35,831065.0
2023-10-24,152.93,153.64,152.24,152.86,1000466.0
2023-10-25,152.31,152.925,151.31,152.19,975096.0
2023-10-26,151.93,153.725,151.63,152.61,1344710.0
2023-10-27,153.17,153.78,151.1201,151.72,723123.0
2023-10-30,152.3,154.59,152.2,153.79,972299.0
2023-10-31,147.68,150.56,147.62,150.2,2321396.0
2023-11-01,149.66,153.73,149.08,153.59,1790928.0
2023-11-02,156.52,157.53,155.39,155.98,1090993.0
2023-11-03,156.77,159.1,156.77,157.28,756947.0
2023-11-06,157.08,157.53,155.945,156.86,617724.0
2023-11-07,156.41,157.04,155.81,156.58,717247.0
2023-11-08,154.7,156.69,154.61,156.47,1427367.0
2023-11-09,157.57,158.54,156.225,156.81,1247426.0
2023-11-10,156.82,160.03,156.395,159.94,912846.0
2023-11-13,159.2,160.87,159.2,160.5,633165.0
2023-11-14,162.61,167.24,162.61,164.81,1134717.0
2023-11-15,164.92,166.71,163.24,163.76,1100968.0
2023-11-16,163.03,165.08,163.03,165.06,1277008.0
2023-11-17,165.18,166.72,164.86,166.48,856960.0
2023-11-20,165.65,166.06,164.22,165.8,1134587.0
2023-11-21,165.51,167.045,165.21,166.68,900905.0
2023-11-22,165.39,167.99,164.9,167.21,884440.0
2023-11-24,167.31,168.6,167.305,167.74,332898.0
2023-11-27,167.77,169.215,167.5924,168.6,860730.0
2023-11-28,168.51,168.72,166.21,167.32,972455.0
2023-11-29,168.4,169.33,167.695,168.68,1323670.0
2023-11-30,167.7,171.53,167.59,171.34,2184507.0
2023-12-01,171.3,173.14,170.29,172.41,1419680.0
2023-12-04,168.24,169.885,167.0901,168.25,1925009.0
2023-12-05,172.79,176.48,171.9042,174.1,1982796.0
2023-12-06,173.96,176.01,173.67,174.68,1478745.0
2023-12-07,175.79,178.72,175.42,178.66,1147168.0
2023-12-08,177.75,181.37,177.75,180.65,1397353.0
2023-12-11,181.38,182.94,181.3,182.5,1519376.0
2023-12-12,182.28,183.46,181.85,182.95,840422.0
2023-12-13,182.99,184.59,180.98,184.02,1004786.0
2023-12-14,185.39,190.1575,185.3,189.06,1412482.0
2023-12-15,187.38,190.5699,186.915,188.91,1628698.0
2023-12-18,189.17,189.5,187.595,188.32,996260.0
2023-12-19,189.83,190.69,188.9825,189.13,1587156.0
2023-12-20,189.12,190.12,186.91,186.92,629447.0
2023-12-21,188.73,190.25,188.12,190.0,603342.0
2023-12-22,190.9,192.23,190.34,192.12,612955.0
2023-12-26,192.66,194.03,192.48,192.61,417688.0
2023-12-27,192.6,193.92,192.44,193.26,466672.0
2023-12-28,194.05,194.05,192.52,193.12,439935.0
2023-12-29,192.3,194.13,191.94,193.07,468622.0
2024-01-02,190.59,190.59,186.93,188.61,1113070.0
2024-01-03,185.93,186.5,183.74,184.06,1063185.0
2024-01-04,186.19,187.26,184.7,186.47,928558.0
2024-01-05,185.53,187.74,184.87,187.15,689802.0
2024-01-08,186.28,187.17,185.61,187.09,1019178.0
2024-01-09,185.05,187.15,184.37,187.14,635666.0
2024-01-10,186.35,187.69,186.17,187.14,608732.0
2024-01-11,187.44,187.8,184.6,186.39,822909.0
2024-01-12,187.84,188.23,185.98,187.17,467563.0
2024-01-16,184.98,187.29,184.53,186.21,815732.0
2024-01-17,184.64,185.49,184.15,184.65,687573.0
2024-01-18,187.27,189.4,187.1,189.35,990793.0
2024-01-19,189.52,189.91,187.85,189.61,682890.0
2024-01-22,189.62,191.58,189.37,191.53,1118034.0
2024-01-23,189.91,190.37,187.9,189.71,1220632.0
2024-01-24,191.01,191.77,186.945,187.05,1107690.0
2024-01-25,187.25,188.99,187.25,188.81,737917.0
2024-01-26,189.56,190.015,187.32,187.92,920727.0
2024-01-29,187.54,189.3,187.54,189.3,1348480.0
2024-01-30,189.62,191.53,189.62,190.86,669459.0
2024-01-31,189.53,190.41,187.48,187.86,969482.0
2024-02-01,189.6,191.7,189.02,191.68,696385.0
2024-02-02,189.95,192.67,189.025,191.96,760986.0
2024-02-05,189.99,189.995,187.63,189.7,632603.0
2024-02-06,190.32,192.91,190.25,192.8,856387.0
2024-02-07,194.03,195.0,193.06,193.82,1085448.0
2024-02-08,194.32,197.89,193.33,197.64,1012070.0
2024-02-09,196.83,199.52,196.77,198.66,1533119.0
2024-02-12,198.81,199.0,197.14,198.0,1119459.0
2024-02-13,192.5,193.77,190.32,191.13,1378441.0
2024-02-14,193.58,193.79,192.01,193.55,938577.0
2024-02-15,194.6,198.59,193.53,198.39,1220842.0
2024-02-16,197.96,200.55,197.67,198.99,1367636.0
2024-02-20,197.5,202.57,197.05,202.07,1785698.0
2024-02-21,201.11,203.45,200.67,201.81,1137284.0
2024-02-22,203.15,207.4815,203.15,207.24,950794.0
2024-02-23,208.05,208.28,205.48,207.56,1075291.0
2024-02-26,208.79,211.06,208.11,210.93,1016627.0
2024-02-27,211.3,211.48,208.9013,209.71,1155968.0
2024-02-28,209.89,212.24,209.75,211.95,1020397.0
2024-02-29,208.67,211.66,207.38,211.45,2441201.0
2024-03-01,212.73,214.77,211.6,214.43,1197192.0
2024-03-04,212.32,217.32,211.73,215.55,1717368.0
2024-03-05,206.7,208.2,200.24,201.07,3068623.0
2024-03-06,203.11,203.92,199.805,201.5,1951160.0
2024-03-07,200.87,202.76,199.61,202.36,1346185.0
2024-03-08,201.09,201.905,198.39,198.75,1809768.0
2024-03-11,198.29,198.99,195.93,198.87,1283947.0
2024-03-12,199.26,205.01,198.64,203.73,1474461.0
2024-03-13,204.57,206.7898,203.34,205.98,1398231.0
2024-03-14,207.81,209.28,203.91,205.87,1099820.0
2024-03-15,207.01,208.09,205.685,207.53,1494602.0
2024-03-18,207.01,209.745,206.6,206.76,946749.0
2024-03-19,208.96,214.85,208.89,214.71,1458451.0
2024-03-20,214.74,217.46,214.5,216.95,945317.0
2024-03-21,216.09,221.7,216.09,221.16,1383015.0
2024-03-22,221.0,222.39,220.67,221.27,749391.0
2024-03-25,220.92,221.95,217.83,217.84,1075826.0
2024-03-26,217.11,220.68,216.46,219.34,910821.0
2024-03-27,221.33,221.56,218.515,218.95,891961.0
2024-03-28,219.29,220.04,218.36,218.43,682152.0
2024-04-01,219.06,219.07,217.09,217.28,580764.0
2024-04-02,215.9,217.65,214.73,216.89,700855.0
2024-04-03,216.13,219.25,215.95,218.53,899663.0
2024-04-04,220.56,223.7,218.85,221.33,2171683.0
2024-04-05,220.83,223.86,220.83,223.85,898003.0
2024-04-08,224.6,224.86,222.91,223.58,1053451.0
2024-04-09,224.15,224.21,219.91,222.05,1635231.0
2024-04-10,217.34,221.97,216.74,220.45,1445957.0
2024-04-11,218.64,219.31,215.775,218.26,1552073.0
2024-04-12,216.34,217.89,215.35,216.32,938978.0
2024-04-15,219.71,220.39,212.91,215.01,2528746.0
2024-04-16,214.01,216.09,213.08,215.4,1273088.0
2024-04-17,216.18,216.18,210.49,211.44,1163797.0
2024-04-18,210.57,213.22,208.86,209.54,813875.0
2024-04-19,210.15,211.19,208.29,208.8,685521.0
2024-04-22,209.16,209.94,207.195,208.19,1134817.0
2024-04-23,210.17,212.8699,209.05,211.9,732585.0
2024-04-24,210.72,213.64,209.07,209.19,1076110.0
2024-04-25,207.43,213.97,205.07,212.83,1216460.0
2024-04-26,213.43,214.585,212.49,213.33,944542.0
2024-04-29,215.23,215.93,212.96,215.16,697342.0
2024-04-30,214.54,215.17,209.87,209.9,1332817.0
2024-05-01,210.52,214.48,209.615,211.43,777135.0
2024-05-02,213.26,213.86,210.84,213.29,1026380.0
2024-05-03,216.38,219.2,215.9,217.17,836882.0
2024-05-06,218.53,219.0,216.73,218.66,703519.0
2024-05-07,218.96,220.31,218.465,218.97,927228.0
2024-05-08,219.59,220.06,218.4701,219.53,613162.0
2024-05-09,220.18,221.815,218.81,220.52,593874.0
2024-05-10,222.41,222.57,220.56,221.53,543604.0
2024-05-13,222.44,222.5,219.67,219.69,636974.0
2024-05-14,218.83,219.27,217.27,218.75,776276.0
2024-05-15,218.6,220.82,218.07,220.73,720551.0
2024-05-16,219.14,220.74,211.71,211.79,1418719.0
2024-05-17,211.66,213.32,210.215,210.7,1120686.0
2024-05-20,211.21,212.905,211.105,212.56,722889.0
2024-05-21,212.34,212.35,210.195,211.91,598114.0
2024-05-22,209.95,211.945,209.25,210.14,1110243.0
2024-05-23,212.01,212.0225,206.41,207.43,943375.0
2024-05-24,208.27,209.5,206.825,208.28,633668.0
2024-05-28,208.57,209.43,204.82,205.39,1254608.0
2024-05-29,203.51,204.27,202.82,203.53,1095647.0
2024-05-30,203.93,205.61,203.445,205.22,1202985.0
2024-05-31,205.83,205.91,201.52,205.74,2771360.0
2024-06-03,207.7,207.7,201.12,202.88,1745296.0
2024-06-04,201.48,204.01,195.22,196.96,2591285.0
2024-06-05,198.81,201.73,198.2,201.54,1157086.0
2024-06-06,201.47,203.54,199.38,199.86,748091.0
2024-06-07,198.58,201.235,198.35,198.68,1098394.0
2024-06-10,197.4,200.25,196.67,200.07,1468082.0
2024-06-11,200.13,201.94,198.425,201.8,1341294.0
2024-06-12,206.71,210.12,206.41,208.81,1332128.0
2024-06-13,207.99,208.85,206.1,208.39,1029712.0
2024-06-14,204.02,204.77,200.05,201.47,1310743.0
2024-06-17,200.67,201.97,199.16,200.92,1117236.0
2024-06-18,201.2,202.97,200.08,202.22,919684.0
2024-06-20,200.54,201.65,195.22,196.37,1283932.0
2024-06-21,194.2,195.98,193.02,195.86,2557188.0
2024-06-24,196.4,197.0,195.04,195.37,885523.0
2024-06-25,192.59,193.04,189.86,192.04,1473774.0
2024-06-26,190.94,191.33,189.905,190.98,1198452.0
2024-06-27,191.1,194.2,189.85,193.46,1471961.0
2024-06-28,193.46,194.99,191.91,193.65,1657065.0
2024-07-01,193.02,193.975,189.26,190.01,1115013.0
2024-07-02,187.79,190.96,187.7,190.83,1116467.0
2024-07-03,190.52,192.265,189.47,189.97,575307.0
2024-07-05,189.48,191.34,188.79,190.82,1311647.0
2024-07-08,191.2,191.9,189.9,190.66,879391.0
2024-07-09,189.88,190.045,187.75,188.0,991235.0
2024-07-10,189.7,191.64,187.89,191.6,999213.0
2024-07-11,196.29,198.17,195.36,195.51,1452290.0
2024-07-12,197.72,204.74,196.93,204.0,2010711.0
2024-07-15,203.73,206.65,203.51,205.74,1312703.0
2024-07-16,207.97,216.32,207.4,216.13,2086010.0
2024-07-17,215.22,215.57,210.535,210.81,1265547.0
2024-07-18,210.16,214.93,208.73,209.64,763632.0
2024-07-19,208.61,209.37,206.46,207.37,718118.0
2024-07-22,208.25,211.44,206.46,210.64,821981.0
2024-07-23,211.29,213.09,211.06,212.2,702581.0
2024-07-24,209.47,213.77,208.31,208.36,1309806.0
2024-07-25,206.55,214.79,206.55,213.15,1130999.0
2024-07-26,215.64,220.96,215.25,218.54,1065715.0
2024-07-29,218.86,219.805,216.14,218.2,848301.0
2024-07-30,217.91,220.0,216.46,218.74,879087.0
2024-07-31,220.68,225.625,219.67,222.65,918250.0
2024-08-01,221.83,223.5875,213.22,216.33,1090964.0
2024-08-02,211.28,212.34,201.94,205.4,1322668.0
2024-08-05,199.77,202.44,195.625,197.27,1458814.0
2024-08-06,195.35,202.88,194.1,199.9,1134557.0
2024-08-07,202.98,203.75,194.49,194.52,1002356.0
2024-08-08,196.76,199.76,196.04,197.35,1342822.0
2024-08-09,196.74,198.69,194.71,198.46,803431.0
2024-08-12,198.09,198.7,193.88,195.83,1259221.0
2024-08-13,196.4,203.66,195.86,203.05,1252514.0
2024-08-14,203.24,205.2,201.705,204.11,845661.0
2024-08-15,206.0,210.63,206.0,209.97,937798.0
2024-08-16,208.53,209.84,206.04,206.07,596172.0
