Date,Open,High,Low,Close,Volume
2023-07-18,8.02,8.39,8.02,8.35,36597.0
2023-07-19,8.37,8.88,7.96,8.15,67877.0
2023-07-20,8.1,8.345,7.81,7.9,30035.0
2023-07-21,7.98,8.21,7.94,8.1,70726.0
2023-07-24,8.14,8.43,7.95,8.25,26000.0
2023-07-25,8.22,8.26,7.5,7.76,45359.0
2023-07-26,7.76,8.4,7.76,8.36,53148.0
2023-07-27,8.54,8.7,7.88,8.08,88469.0
2023-07-28,8.16,9.21,8.0119,9.04,59478.0
2023-07-31,9.19,9.83,9.0186,9.16,80481.0
2023-08-01,9.13,9.5,9.0,9.31,62676.0
2023-08-02,9.21,9.4981,9.11,9.17,52086.0
2023-08-03,9.295,9.47,9.135,9.26,15675.0
2023-08-04,9.32,9.59,9.19,9.21,64033.0
2023-08-07,9.2,9.3,9.06,9.24,52851.0
2023-08-08,9.2,9.28,9.08,9.25,37129.0
2023-08-09,9.24,9.52,9.11,9.44,52742.0
2023-08-10,9.66,9.7924,9.39,9.51,38769.0
2023-08-11,9.39,9.72,9.39,9.71,33662.0
2023-08-14,9.55,9.63,9.065,9.44,27554.0
2023-08-15,9.43,9.97,9.41,9.87,39528.0
2023-08-16,9.85,9.87,8.83,9.0,75482.0
2023-08-17,9.05,9.05,8.61,8.62,26901.0
2023-08-18,8.51,8.62,7.87,7.9,59139.0
2023-08-21,7.84,7.84,7.51,7.51,49280.0
2023-08-22,7.54,7.77,7.255,7.3,53164.0
2023-08-23,7.21,7.45,7.16,7.19,41473.0
2023-08-24,7.12,7.32,6.92,7.1,34141.0
2023-08-25,6.93,7.12,6.7201,7.1,319854.0
2023-08-28,7.19,7.67,7.19,7.54,24805.0
2023-08-29,7.54,7.77,7.44,7.75,38607.0
2023-08-30,7.73,8.095,7.65,7.72,45091.0
2023-08-31,7.73,7.98,7.37,7.57,188430.0
2023-09-01,7.69,7.79,7.5,7.76,30052.0
2023-09-05,7.73,7.94,7.64,7.91,46925.0
2023-09-06,7.94,7.94,7.36,7.53,36185.0
2023-09-07,7.48,7.58,7.17,7.52,169025.0
2023-09-08,7.61,7.61,7.34,7.35,37092.0
2023-09-11,7.42,7.62,7.27,7.57,43347.0
2023-09-12,7.61,7.61,7.25,7.4,106616.0
2023-09-13,7.31,7.43,7.13,7.25,53910.0
2023-09-14,7.135,7.19,6.74,6.82,63464.0
2023-09-15,6.8,6.85,6.33,6.51,105403.0
2023-09-18,6.51,6.6031,6.05,6.07,48629.0
2023-09-19,6.1612,6.27,6.0,6.09,60773.0
2023-09-20,6.07,6.22,6.02,6.08,31846.0
2023-09-21,6.03,6.2894,5.815,5.88,52762.0
2023-09-22,5.89,6.165,5.68,6.05,26670.0
2023-09-25,5.98,6.2,5.8501,6.13,55122.0
2023-09-26,6.09,6.32,5.57,5.58,44893.0
2023-09-27,5.6,6.01,5.6,5.99,41763.0
2023-09-28,6.03,6.13,5.67,5.83,239006.0
2023-09-29,5.92,5.92,4.98,5.0,122238.0
2023-10-02,4.95,4.9911,4.36,4.44,343788.0
2023-10-03,4.4,4.4818,4.11,4.22,108963.0
2023-10-04,4.21,4.255,4.01,4.03,109346.0
2023-10-05,4.12,4.28,4.09,4.25,223283.0
2023-10-06,4.22,4.45,3.98,4.38,164474.0
2023-10-09,4.39,4.39,3.355,3.46,210012.0
2023-10-10,3.48,4.005,3.32,3.8,252556.0
2023-10-11,3.77,3.9,3.38,3.55,162681.0
2023-10-12,3.55,3.57,3.39,3.55,68856.0
2023-10-13,3.56,3.59,3.37,3.49,180629.0
2023-10-16,3.58,3.65,3.45,3.57,61489.0
2023-10-17,3.57,3.81,3.54,3.58,44243.0
2023-10-18,3.56,3.62,3.195,3.195,46369.0
2023-10-19,3.26,3.26,2.98,2.995,41089.0
2023-10-20,3.0,3.17,2.88,2.94,55349.0
2023-10-23,2.9,3.24,2.84,3.09,132687.0
2023-10-24,3.15,3.22,3.05,3.15,24917.0
2023-10-25,3.07,3.36,3.03,3.24,37527.0
2023-10-26,3.26,3.3,3.07,3.12,17424.0
2023-10-27,3.11,3.4,2.93,3.35,131084.0
2023-10-30,3.42,3.72,3.33,3.49,54260.0
2023-10-31,3.48,3.48,3.18,3.35,43083.0
2023-11-01,3.3,3.75,3.201,3.68,217828.0
2023-11-02,3.81,4.29,3.68,3.94,325711.0
2023-11-03,3.93,4.07,3.67,3.83,315624.0
2023-11-06,3.925,4.0,3.41,3.475,38000.0
2023-11-07,3.43,3.68,3.43,3.495,38239.0
2023-11-08,3.5,3.52,3.2,3.48,41008.0
2023-11-09,3.51,3.57,3.35,3.38,25449.0
2023-11-10,3.37,3.38,3.18,3.23,95744.0
2023-11-13,3.19,3.71,3.19,3.62,35099.0
2023-11-14,3.78,4.04,3.71,3.96,55513.0
2023-11-15,3.92,4.43,3.92,4.01,87843.0
2023-11-16,4.03,4.03,3.66,3.78,40233.0
2023-11-17,3.82,4.3,3.82,4.26,42762.0
2023-11-20,4.24,4.56,4.0618,4.11,82105.0
2023-11-21,4.11,4.28,3.99,4.11,442887.0
2023-11-22,4.16,4.43,4.1457,4.36,24420.0
2023-11-24,4.36,4.449,4.25,4.36,15123.0
2023-11-27,4.33,4.42,4.225,4.35,59183.0
2023-11-28,4.27,4.29,4.17,4.2,42759.0
2023-11-29,4.2,4.28,4.01,4.12,88310.0
2023-11-30,4.21,4.26,4.06,4.25,90467.0
2023-12-01,4.15,4.52,4.14,4.49,85140.0
2023-12-04,4.49,4.5999,4.44,4.57,31501.0
2023-12-05,4.57,4.6,4.49,4.54,21535.0
2023-12-06,4.58,4.639,4.41,4.45,51379.0
2023-12-07,4.51,4.93,4.39,4.92,35119.0
2023-12-08,4.865,6.03,4.83,5.63,166258.0
2023-12-11,5.51,5.84,4.7504,4.91,210141.0
2023-12-12,4.96,5.07,4.76,4.82,61106.0
2023-12-13,4.82,5.53,4.81,5.53,68964.0
2023-12-14,5.53,5.925,5.41,5.72,105623.0
2023-12-15,5.79,5.875,5.16,5.29,266428.0
2023-12-18,5.38,5.41,5.01,5.39,138249.0
2023-12-19,5.38,5.87,5.295,5.77,80882.0
2023-12-20,5.76,6.54,5.73,5.98,96599.0
2023-12-21,6.11,6.29,5.9,6.28,40306.0
2023-12-22,6.37,6.88,6.3,6.72,102526.0
2023-12-26,6.7,6.89,6.53,6.64,88766.0
2023-12-27,6.66,6.75,6.4827,6.67,50532.0
2023-12-28,6.61,6.77,6.52,6.76,51413.0
2023-12-29,6.79,6.79,6.335,6.45,47042.0
2024-01-02,6.36,6.695,6.12,6.45,120641.0
2024-01-03,6.45,6.64,5.88,6.01,65950.0
2024-01-04,6.03,6.09,5.42,5.6,99967.0
2024-01-05,5.5,5.9207,5.3601,5.64,228272.0
2024-01-08,5.66,6.05,5.66,6.0,102147.0
2024-01-09,5.84,5.954,5.44,5.45,100713.0
2024-01-10,5.45,5.78,5.15,5.67,83614.0
