Date,Open,High,Low,Close,Volume
2023-07-18,13.29,13.53,13.27,13.43,203117.0
2023-07-19,13.5,13.7767,13.5,13.74,204210.0
2023-07-20,13.6,13.67,13.36,13.6,159124.0
2023-07-21,13.51,13.6558,13.22,13.22,192364.0
2023-07-24,13.2,13.54,13.19,13.51,178949.0
2023-07-25,13.48,13.595,13.4,13.48,141825.0
2023-07-26,13.48,13.69,13.4435,13.56,159714.0
2023-07-27,13.62,13.65,13.15,13.17,174862.0
2023-07-28,13.34,13.439,13.13,13.17,156163.0
2023-07-31,13.2,13.4,13.1725,13.3,142257.0
2023-08-01,13.26,13.36,13.07,13.31,139700.0
2023-08-02,13.25,13.28,13.115,13.15,162191.0
2023-08-03,13.14,13.26,12.97,13.25,133912.0
2023-08-04,13.32,13.37,13.16,13.24,126254.0
2023-08-07,13.22,13.49,13.1063,13.46,184775.0
2023-08-08,13.46,13.46,13.12,13.36,163997.0
2023-08-09,13.39,14.14,13.35,13.945,366248.0
2023-08-10,13.96,14.0216,13.81,13.88,195450.0
2023-08-11,13.79,13.92,13.32,13.84,201427.0
2023-08-14,13.8,13.94,13.6,13.82,113906.0
2023-08-15,13.75,13.85,13.36,13.4,151684.0
2023-08-16,13.44,13.53,13.16,13.185,141050.0
2023-08-17,13.24,13.37,13.16,13.17,154886.0
2023-08-18,13.12,13.1687,12.9501,13.04,155264.0
2023-08-21,13.24,13.24,12.81,12.9,186297.0
2023-08-22,12.8,12.9,12.62,12.84,183366.0
2023-08-23,12.85,13.13,12.821,13.12,151653.0
2023-08-24,13.07,13.345,12.915,13.0,156008.0
2023-08-25,13.07,13.173,12.99,13.08,112790.0
2023-08-28,13.08,13.33,13.08,13.2,161229.0
2023-08-29,13.2,13.34,13.11,13.3,136352.0
2023-08-30,13.27,13.43,13.27,13.36,117105.0
2023-08-31,13.34,13.48,13.14,13.15,219437.0
2023-09-01,13.26,13.36,13.11,13.15,197798.0
2023-09-05,13.1,13.19,12.9908,13.11,196567.0
2023-09-06,13.1,13.12,12.8018,12.93,147479.0
2023-09-07,12.9,13.02,12.785,12.81,197122.0
2023-09-08,12.88,13.28,12.81,13.28,204873.0
2023-09-11,13.35,13.41,13.22,13.37,274152.0
2023-09-12,13.35,13.37,13.02,13.21,246772.0
2023-09-13,13.28,13.36,13.07,13.12,127976.0
2023-09-14,13.18,13.53,13.18,13.52,188916.0
2023-09-15,13.45,13.53,13.12,13.18,468645.0
2023-09-18,13.19,13.29,13.01,13.1,238802.0
2023-09-19,13.15,13.29,13.11,13.17,240835.0
2023-09-20,13.12,13.22,12.97,12.97,213095.0
2023-09-21,12.94,12.94,12.51,12.52,206334.0
2023-09-22,12.52,12.65,12.44,12.45,200403.0
2023-09-25,12.4,12.499,12.23,12.31,215740.0
2023-09-26,12.16,12.28,11.94,11.98,264689.0
2023-09-27,12.07,12.26,12.03,12.07,216774.0
2023-09-28,12.07,12.3891,12.065,12.36,166026.0
2023-09-29,12.51,12.54,12.08,12.16,366952.0
2023-10-02,12.13,12.17,11.86,11.94,224237.0
2023-10-03,11.88,11.88,11.501,11.58,213368.0
2023-10-04,11.65,11.71,11.4401,11.58,180316.0
2023-10-05,11.57,11.76,11.5173,11.73,193303.0
2023-10-06,11.61,11.76,11.41,11.695,180211.0
2023-10-09,11.54,11.97,11.54,11.9,157863.0
