Date,Open,High,Low,Close,Volume
2025-05-12,0.23,0.25,0.23,0.23,301255
2025-05-14,0.23,0.23,0.1751,0.2,239383
2025-05-20,0.3,0.3,0.3,0.3,1000
2025-05-23,0.3,0.3,0.3,0.3,820
2025-05-28,0.25,0.25,0.25,0.25,1120
2025-06-02,0.25,0.28,0.25,0.28,1000
2025-06-09,0.28,0.28,0.28,0.28,5000
2025-06-10,0.3,0.3,0.28,0.28,13100
2025-06-11,0.3,0.3,0.28,0.28,1800
2025-06-12,0.3,0.33,0.3,0.33,36100
2025-06-13,0.33,0.33,0.33,0.33,400
2025-06-16,0.3176,0.3176,0.31,0.31,200
2025-06-17,0.3096,0.3096,0.3096,0.3096,100
2025-06-18,0.3095,0.3095,0.3095,0.3095,100
2025-06-23,0.2811,0.32,0.2811,0.32,200
2025-06-25,0.2816,0.2816,0.2816,0.2816,100
2025-06-26,0.3123,0.3123,0.233,0.233,397
2025-06-27,0.297,0.3299,0.232501,0.281249,3051
2025-07-01,0.3019,0.3019,0.3,0.3018,400
2025-07-02,0.3063,0.33,0.3063,0.33,859
2025-07-07,0.3176,0.3176,0.3,0.3,1142
2025-07-08,0.33,0.33,0.3256,0.3256,300
2025-07-09,0.33,0.33,0.33,0.33,400
2025-07-10,0.3256,0.3256,0.3,0.3255,2450
2025-07-14,0.3238,0.3238,0.242201,0.242201,400
2025-07-15,0.28,0.28,0.243,0.243,365
