Date,Open,High,Low,Close,Volume
2023-07-18,34.67,35.0,34.6,34.8,2806883.0
2023-07-19,35.17,35.335,35.12,35.19,2490290.0
2023-07-20,35.61,35.76,35.5823,35.7,2862975.0
2023-07-21,35.53,35.805,35.47,35.75,3220425.0
2023-07-24,35.56,35.8589,35.53,35.73,3149665.0
2023-07-25,35.56,35.855,35.55,35.7,3574683.0
2023-07-26,35.75,35.98,35.48,35.87,4243195.0
2023-07-27,36.24,36.38,35.86,35.87,2957001.0
2023-07-28,35.72,35.77,35.4,35.44,2866241.0
2023-07-31,35.54,35.64,35.4,35.57,2401719.0
2023-08-01,35.23,35.33,34.88,34.93,2612996.0
2023-08-02,34.65,34.87,34.59,34.63,2174263.0
2023-08-03,34.0,34.305,33.97,34.17,2555235.0
2023-08-04,34.04,34.51,34.04,34.38,3802099.0
2023-08-07,34.5,34.64,34.44,34.64,1985273.0
2023-08-08,34.66,35.01,34.59,34.98,2302272.0
2023-08-09,35.03,35.31,35.025,35.18,1547751.0
2023-08-10,35.18,35.395,35.06,35.08,1693790.0
2023-08-11,34.63,35.55,34.615,35.33,5244055.0
2023-08-14,35.18,35.52,35.02,35.44,5034914.0
2023-08-15,35.26,35.345,35.07,35.26,3432308.0
2023-08-16,34.99,35.265,34.9896,35.05,2841858.0
2023-08-17,34.76,34.975,34.755,34.86,4809960.0
2023-08-18,34.51,34.69,34.43,34.47,3384522.0
2023-08-21,34.56,34.64,34.41,34.55,2819820.0
2023-08-22,34.72,34.8,34.62,34.62,2488324.0
2023-08-23,34.85,34.96,34.65,34.95,2987520.0
2023-08-24,34.84,35.05,34.44,34.47,2788407.0
2023-08-25,34.7,34.855,34.48,34.77,2429077.0
2023-08-28,34.75,35.205,34.75,35.11,3077967.0
2023-08-29,35.43,35.58,35.18,35.51,2568826.0
2023-08-30,35.7,35.795,35.4503,35.49,1809990.0
2023-08-31,35.6,35.615,35.13,35.13,3957640.0
2023-09-01,35.35,35.36,34.953,35.03,1653881.0
2023-09-05,34.97,34.99,34.535,34.56,2375821.0
2023-09-06,34.6,34.62,34.315,34.41,2270478.0
2023-09-07,34.56,34.73,34.47,34.64,2430970.0
2023-09-08,35.56,36.6,35.42,36.55,11780718.0
2023-09-11,36.75,37.16,36.575,37.02,5942843.0
2023-09-12,36.96,36.995,36.57,36.86,3129532.0
2023-09-13,36.72,36.84,36.65,36.76,4165993.0
2023-09-14,37.1,37.39,37.045,37.39,4262092.0
2023-09-15,37.7,37.8,37.37,37.43,4765924.0
2023-09-18,37.7,37.75,37.245,37.35,3366281.0
2023-09-19,37.28,37.48,37.205,37.48,2359735.0
2023-09-20,37.9,38.21,37.85,38.07,4369208.0
2023-09-21,37.88,37.98,37.61,37.62,4353321.0
2023-09-22,37.6,37.745,37.37,37.43,4456468.0
2023-09-25,37.38,37.72,37.155,37.71,5102442.0
2023-09-26,37.63,37.755,37.28,37.28,2930780.0
2023-09-27,37.19,37.29,36.795,37.04,2868857.0
2023-09-28,36.69,36.85,36.3,36.34,8135359.0
2023-09-29,36.53,36.665,36.09,36.25,4209366.0
2023-10-02,36.09,36.155,35.82,36.09,3187743.0
2023-10-03,36.18,36.21,35.77,35.89,2932195.0
2023-10-04,36.18,36.25,35.8425,36.08,3414619.0
2023-10-05,35.94,36.2,35.885,36.16,2399490.0
2023-10-06,36.5,36.8,36.22,36.65,3767692.0
2023-10-09,36.95,37.14,36.71,37.1,2661776.0
2023-10-10,37.25,37.47,37.21,37.34,2095444.0
2023-10-11,37.61,37.7,37.35,37.56,2975651.0
2023-10-12,37.27,37.42,36.99,37.01,4382236.0
2023-10-13,36.9,37.165,36.63,36.68,2423714.0
2023-10-16,36.31,36.665,36.26,36.58,2737138.0
2023-10-17,36.65,36.99,36.49,36.67,3456349.0
2023-10-18,36.62,36.78,36.22,36.29,2696224.0
2023-10-19,35.84,35.86,35.2463,35.39,4049134.0
2023-10-20,35.54,35.7336,35.525,35.58,2816708.0
2023-10-23,35.76,35.97,35.6638,35.8,3782837.0
2023-10-24,35.78,35.99,35.705,35.98,2455930.0
2023-10-25,36.13,36.285,35.83,36.05,2316432.0
2023-10-26,36.12,36.2,35.63,35.68,4358619.0
2023-10-27,35.43,35.43,34.49,34.56,5293963.0
2023-10-30,35.35,35.505,35.18,35.27,3499997.0
2023-10-31,35.39,35.71,35.22,35.7,5726192.0
2023-11-01,34.25,34.9,33.89,34.58,8161330.0
2023-11-02,33.99,34.205,33.675,34.17,5188589.0
2023-11-03,34.33,34.65,34.32,34.44,4686437.0
2023-11-06,34.66,34.945,34.565,34.79,2831327.0
2023-11-07,34.98,35.085,34.905,34.98,2672832.0
2023-11-08,35.14,35.3,34.95,35.06,2780397.0
2023-11-09,35.06,35.07,34.44,34.46,4006510.0
2023-11-10,34.43,34.4699,33.89,34.41,3928144.0
2023-11-13,34.5,34.62,34.325,34.61,4261459.0
2023-11-14,34.65,34.7,34.4,34.48,3426161.0
2023-11-15,34.4,34.7,34.38,34.47,4421114.0
2023-11-16,34.42,34.5,34.29,34.44,4111576.0
2023-11-17,34.8,35.2999,34.7227,35.2,4817105.0
2023-11-20,34.97,35.34,34.97,35.11,2468881.0
2023-11-21,35.29,35.56,35.29,35.38,2758933.0
2023-11-22,35.3,35.37,35.1345,35.2,1712725.0
2023-11-24,35.82,35.96,35.765,35.81,1808018.0
2023-11-27,35.92,35.985,35.52,35.63,2295643.0
2023-11-28,35.45,35.79,35.44,35.64,2368349.0
2023-11-29,35.56,35.63,35.35,35.49,2020470.0
2023-11-30,35.87,36.01,35.605,35.99,2890580.0
2023-12-01,36.03,36.59,35.985,36.57,2547381.0
2023-12-04,36.44,36.74,36.38,36.63,3358901.0
2023-12-05,36.26,36.4,36.139,36.33,2271443.0
2023-12-06,36.32,36.42,36.13,36.17,2330377.0
2023-12-07,36.04,36.08,35.805,36.0,2343680.0
2023-12-08,35.92,36.09,35.84,35.94,1507605.0
2023-12-11,36.23,36.42,36.14,36.37,2684164.0
2023-12-12,36.5,36.55,36.295,36.42,4075345.0
2023-12-13,36.54,36.79,36.38,36.74,2735798.0
2023-12-14,37.02,37.39,36.78,36.98,4002033.0
2023-12-15,36.3,36.41,35.87,35.88,5836302.0
2023-12-18,36.5,36.545,36.29,36.46,2469564.0
2023-12-19,36.32,36.57,36.28,36.5,1839585.0
2023-12-20,36.63,36.68,36.18,36.19,4426029.0
2023-12-21,36.62,36.82,36.555,36.81,2818767.0
2023-12-22,36.9,37.159,36.89,36.99,1768342.0
2023-12-26,36.88,37.055,36.86,37.01,1325823.0
2023-12-27,36.87,37.135,36.815,37.1,1880481.0
2023-12-28,37.15,37.345,37.09,37.09,1709888.0
2023-12-29,36.95,37.175,36.95,37.06,1489015.0
2024-01-02,36.9,37.575,36.82,37.51,3120311.0
2024-01-03,38.11,38.94,38.04,38.92,4902450.0
2024-01-04,38.64,39.18,38.63,39.07,3474304.0
2024-01-05,38.93,39.3099,38.86,39.21,2289341.0
2024-01-08,39.29,39.64,39.24,39.64,2260205.0
2024-01-09,39.9,40.1,39.755,39.76,2967714.0
2024-01-10,39.89,40.05,39.84,39.99,2165164.0
2024-01-11,39.81,39.86,39.465,39.64,2407222.0
2024-01-12,39.98,40.34,39.935,40.1,3568462.0
2024-01-16,40.15,40.18,39.8001,39.88,2356557.0
2024-01-17,39.85,39.89,39.57,39.78,4020988.0
2024-01-18,39.53,39.63,39.2608,39.54,3622772.0
2024-01-19,39.48,39.715,39.37,39.68,3401877.0
2024-01-22,39.41,39.64,39.33,39.53,3399702.0
2024-01-23,39.23,39.38,39.075,39.28,2817211.0
2024-01-24,39.47,39.7295,38.59,39.03,5809870.0
2024-01-25,38.94,38.95,38.56,38.84,3936726.0
2024-01-26,39.37,39.46,39.04,39.07,3061478.0
2024-01-29,39.19,39.21,38.86,39.06,2178606.0
2024-01-30,39.16,39.21,38.93,39.09,2393933.0
2024-01-31,40.67,41.31,39.4,39.44,7553305.0
2024-02-01,39.94,40.685,39.85,40.63,5355049.0
2024-02-02,40.61,40.85,40.41,40.72,3925361.0
2024-02-05,41.765,41.89,41.405,41.57,7985062.0
2024-02-06,41.69,41.77,41.3045,41.75,3671690.0
2024-02-07,41.93,42.21,41.9,42.02,6042880.0
2024-02-08,41.82,41.885,41.445,41.82,4303324.0
2024-02-09,41.955,42.06,41.77,41.91,3503429.0
2024-02-12,41.41,41.41,40.88,41.07,6688824.0
2024-02-13,41.57,41.6,41.08,41.39,7056902.0
2024-02-14,41.76,41.93,41.59,41.8,7442574.0
2024-02-15,41.78,42.02,41.6813,41.77,4144993.0
2024-02-16,42.0,42.23,41.88,41.94,3765798.0
2024-02-20,42.26,42.61,41.99,42.02,4154312.0
2024-02-21,41.82,41.99,41.75,41.94,3661177.0
2024-02-22,41.65,42.24,41.63,42.16,6179571.0
