Date,Open,High,Low,Close,Volume
2023-07-18,23.74,23.85,23.69,23.77,26306
2023-07-19,23.75,24.14,23.75,24.05,28393
2023-07-20,24.12,24.21,23.8433,24.2,38557
2023-07-21,24.2,24.2,23.95,24.05,16373
2023-07-24,24.19,24.1999,23.9,24.0,26651
2023-07-25,24.02,24.1899,23.935,24.0,27795
2023-07-26,24.08,24.19,23.96,23.97,54828
2023-07-27,24.11,24.32,24.0,24.17,85426
2023-07-28,24.2,24.2,23.8584,23.9,18218
2023-07-31,23.9,24.1799,23.85,23.98,47324
2023-08-01,23.96,24.1787,23.85,23.98,12431
2023-08-02,23.87,24.12,23.6,24.04,33962
2023-08-03,24.04,24.04,23.8558,24.02,88120
2023-08-04,23.97,24.18,23.87,24.01,102299
2023-08-07,24.08,24.08,23.9,24.02,18055
2023-08-08,23.92,24.02,23.76,24.02,23854
2023-08-09,24.02,24.099,23.75,24.04,49392
2023-08-10,23.86,24.1528,23.81,23.84,24899
2023-08-11,23.82,24.05,23.75,24.02,48625
2023-08-14,24.0,24.04,23.87,23.99,28865
2023-08-15,23.96,24.05,23.8375,23.95,52605
2023-08-16,24.02,24.21,23.875,24.21,37932
2023-08-17,24.15,24.15,23.9,24.05,35780
2023-08-18,24.05,24.21,23.9633,23.97,52045
2023-08-21,24.09,24.09,23.73,23.73,12005
2023-08-22,23.77,23.88,23.55,23.84,30561
2023-08-23,23.9,24.22,23.9,24.22,23694
2023-08-24,24.08,24.08,23.97,24.08,19513
2023-08-25,24.08,24.08,23.9934,24.06,8905
2023-08-28,24.08,24.2596,23.99,24.06,55423
2023-08-29,24.12,24.15,24.0,24.12,13747
2023-08-30,24.115,24.18,24.0301,24.12,22153
2023-08-31,24.17,24.18,24.0905,24.18,71993
2023-09-01,24.18,24.24,24.0301,24.07,82661
2023-09-05,24.07,24.15,24.02,24.075,10943
2023-09-06,24.05,24.11,24.02,24.08,13510
2023-09-07,24.06,24.2499,24.039,24.22,24104
2023-09-08,24.2,24.5,24.0469,24.48,39205
2023-09-11,24.5,24.79,24.4007,24.79,33121
2023-09-12,24.695,24.79,24.6,24.74,32933
2023-09-13,24.75,24.7991,24.65,24.71,14229
2023-09-14,24.75,24.99,24.75,24.97,15374
2023-09-15,24.95,24.99,24.71,24.99,17281
2023-09-18,24.99,25.0,24.8,24.84,15639
2023-09-19,24.84,25.0,24.82,24.94,15865
2023-09-20,24.95,25.01,24.8848,25.01,12702
2023-09-21,24.89,24.99,24.65,24.75,17734
2023-09-22,24.92,24.99,24.6928,24.99,13640
2023-09-25,24.8,24.9094,23.88,23.88,58586
2023-09-26,23.99,24.4399,23.78,24.0,20392
2023-09-27,24.13,24.354,23.75,23.89,16470
2023-09-28,23.64,23.8689,23.3622,23.78,30933
2023-09-29,23.88,24.09,23.36,23.49,101638
2023-10-02,23.47,23.78,22.92,22.92,29843
2023-10-03,23.1,23.205,22.07,22.17,28613
2023-10-04,22.42,22.5921,22.15,22.5,31984
2023-10-05,22.5,22.6799,22.3244,22.44,27218
