Date,Open,High,Low,Close,Volume
2023-07-18,51.64,53.215,51.64,52.86,340437.0
2023-07-19,52.75,53.2862,52.115,52.53,300656.0
2023-07-20,52.75,52.75,51.955,52.24,134246.0
2023-07-21,52.63,52.63,51.53,51.64,270355.0
2023-07-24,51.82,52.23,51.02,51.44,216172.0
2023-07-25,51.06,51.87,51.06,51.34,176872.0
2023-07-26,51.34,51.96,51.29,51.44,115930.0
2023-07-27,51.78,51.78,51.09,51.4,156518.0
2023-07-28,52.06,52.23,51.385,51.41,183884.0
2023-07-31,51.64,52.13,51.22,51.94,264123.0
2023-08-01,51.68,52.005,51.25,51.42,306422.0
2023-08-02,51.04,51.46,50.62,50.92,224635.0
2023-08-03,50.5,51.34,47.09,48.2,337495.0
2023-08-04,48.36,48.84,47.31,48.09,221890.0
2023-08-07,48.1,48.425,47.595,47.87,194585.0
2023-08-08,47.25,47.41,46.58,47.38,237153.0
2023-08-09,47.42,48.09,46.6633,47.86,201253.0
2023-08-10,48.19,48.49,47.24,47.83,183184.0
2023-08-11,47.72,47.81,47.115,47.27,150261.0
2023-08-14,46.83,46.909,46.36,46.72,206730.0
2023-08-15,46.45,46.53,45.93,45.95,141161.0
2023-08-16,46.01,46.39,45.4,45.47,147008.0
2023-08-17,45.67,45.84,44.65,44.73,229779.0
2023-08-18,44.52,45.305,44.48,44.56,249256.0
2023-08-21,44.58,44.98,44.275,44.76,191361.0
2023-08-22,45.22,45.51,44.975,45.31,211027.0
2023-08-23,45.56,46.6,45.155,46.49,184200.0
2023-08-24,46.19,46.85,46.08,46.21,295284.0
2023-08-25,46.6,47.04,46.2,46.7,137365.0
2023-08-28,46.9,47.68,46.9,47.37,160579.0
2023-08-29,47.23,48.09,47.21,47.95,167854.0
2023-08-30,47.92,48.67,47.8616,48.4,219757.0
2023-08-31,48.48,49.075,48.39,48.44,315825.0
2023-09-01,48.72,49.3,48.51,48.52,180905.0
2023-09-05,47.93,47.94,44.96,45.51,365002.0
2023-09-06,45.78,46.36,45.43,45.8,195782.0
2023-09-07,45.44,45.63,44.29,44.46,253846.0
2023-09-08,44.39,44.615,43.71,43.8,179201.0
2023-09-11,44.22,44.22,42.87,42.91,256395.0
2023-09-12,42.92,43.29,42.62,42.78,185192.0
2023-09-13,42.71,43.33,42.37,43.29,343986.0
2023-09-14,43.52,44.7,43.52,44.41,321333.0
2023-09-15,44.34,44.4,43.44,44.08,901543.0
2023-09-18,44.21,44.71,43.855,43.95,284741.0
2023-09-19,43.72,44.5,43.72,44.31,269583.0
2023-09-20,44.62,44.915,43.625,43.77,188528.0
2023-09-21,43.08,43.31,42.79,42.85,148802.0
2023-09-22,42.82,43.16,42.28,42.34,149876.0
2023-09-25,42.08,42.59,42.01,42.25,257135.0
2023-09-26,42.0,42.43,41.63,42.2,235822.0
2023-09-27,42.57,43.74,42.57,43.14,191021.0
2023-09-28,43.19,43.19,42.24,42.73,403712.0
2023-09-29,43.17,43.17,42.04,42.31,223126.0
2023-10-02,42.13,43.27,41.98,43.2,411171.0
2023-10-03,42.79,43.25,41.72,41.9,207916.0
2023-10-04,41.89,42.32,41.39,42.12,144763.0
