Date,Open,High,Low,Close,Volume
2023-07-18,0.0315,0.0321,0.0292,0.0321,79072
2023-07-19,0.0358,0.0399,0.035599,0.0399,16240
2023-07-20,0.0307,0.0355,0.0303,0.032,33661
2023-07-21,0.0351,0.035201,0.0306,0.035201,2318
2023-07-24,0.0304,0.0305,0.0301,0.0302,119038
2023-07-25,0.035,0.0396,0.0291,0.0291,35062
2023-07-26,0.0392,0.0392,0.0345,0.0345,8767
2023-07-27,0.0295,0.0296,0.0295,0.0296,2112
2023-07-28,0.0376,0.038,0.0376,0.038,5175
2023-07-31,0.0354,0.0377,0.0214,0.0337,140194
2023-08-01,0.032299,0.0323,0.0322,0.0322,11279
2023-08-02,0.0299,0.0318,0.02989,0.0318,56743
2023-08-03,0.0318,0.0324,0.0318,0.032258,14997
2023-08-07,0.0322,0.033501,0.0322,0.0334,1100
2023-08-08,0.0304,0.0346,0.0301,0.0301,61296
2023-08-09,0.032,0.032,0.0301,0.0301,3802
2023-08-10,0.0398,0.0398,0.0256,0.0256,10082
2023-08-11,0.0387,0.0394,0.030109,0.030109,14351
2023-08-14,0.0305,0.0305,0.0264,0.0264,10732
2023-08-15,0.0349,0.039,0.0303,0.0303,39227
2023-08-16,0.039,0.039,0.0302,0.0355,7018
2023-08-18,0.0313,0.0313,0.0309,0.0309,2160
2023-08-21,0.031,0.0358,0.0309,0.0358,3350
2023-08-22,0.036,0.036,0.027,0.027,4288
2023-08-23,0.0324,0.0324,0.0291,0.0291,749
2023-08-25,0.0265,0.029,0.0265,0.0265,11651
2023-08-28,0.0272,0.0272,0.027,0.027,14345
2023-08-29,0.0309,0.0318,0.0271,0.0295,2184
2023-09-01,0.031,0.031,0.031,0.031,2218
2023-09-05,0.0287,0.0287,0.0265,0.0265,4024
2023-09-06,0.0306,0.0309,0.0258,0.029,151120
2023-09-07,0.0261,0.0294,0.0222,0.0222,21316
2023-09-08,0.025,0.025,0.025,0.025,358
2023-09-13,0.0251,0.0252,0.025,0.025,8212
2023-09-14,0.0233,0.0233,0.0233,0.0233,1727
2023-09-15,0.0267,0.0267,0.0267,0.0267,206
2023-09-18,0.0245,0.0245,0.021,0.021,4500
2023-09-19,0.023,0.023,0.021,0.021,4340
2023-09-22,0.02371,0.02371,0.02371,0.02371,1346
2023-09-25,0.025,0.0279,0.0245,0.0279,18413
2023-09-26,0.0246,0.03,0.0246,0.0276,9482
2023-09-27,0.029199,0.029199,0.025348,0.025348,1800
2023-09-29,0.027399,0.0288,0.027399,0.0284,3973
2023-10-02,0.0296,0.0299,0.0225,0.0225,12938
2023-10-03,0.0225,0.0225,0.0225,0.0225,441
2023-10-04,0.0225,0.028799,0.0225,0.028799,24653
2023-10-05,0.0225,0.0257,0.02,0.0257,63432
2023-10-06,0.02,0.024,0.02,0.0239,54970
2023-10-09,0.02,0.0217,0.0181,0.0192,48198
2023-10-10,0.0192,0.02,0.0184,0.02,4496
2023-10-11,0.02,0.02,0.0176,0.02,20841
2023-10-12,0.0221,0.0221,0.0199,0.0199,663
2023-10-13,0.019899,0.025,0.0177,0.018,43455
2023-10-16,0.019,0.019,0.018999,0.018999,366
2023-10-17,0.0176,0.02,0.0176,0.02,19967
2023-10-18,0.02,0.02,0.0177,0.02,2675
2023-10-19,0.019899,0.025,0.019899,0.0249,35664
2023-10-20,0.015501,0.0169,0.015501,0.0169,2150
2023-10-23,0.02,0.023564,0.02,0.0235,7049
2023-10-24,0.0249,0.025,0.02,0.024,60783
2023-10-25,0.02,0.02,0.017,0.02,6227
2023-10-26,0.0163,0.01962,0.015,0.015,113454
2023-10-27,0.0102,0.0197,0.01,0.015,19456
2023-10-30,0.0102,0.015,0.0072,0.015,43418
2023-10-31,0.01,0.0169,0.01,0.0144,8880
2023-11-01,0.0101,0.0135,0.0099,0.0114,46571
2023-11-02,0.0101,0.012,0.01,0.012,15803
2023-11-03,0.0086,0.0086,0.0085,0.0085,37600
2023-11-06,0.009,0.009,0.0089,0.009,55810
2023-11-08,0.017,0.017,0.0099,0.0165,18502
2023-11-09,0.0101,0.0105,0.0101,0.0105,2100
2023-11-10,0.009,0.013,0.0085,0.013,10140
2023-11-13,0.01,0.0101,0.0081,0.0081,14981
2023-11-14,0.0081,0.0099,0.0074,0.0074,9995
2023-11-15,0.011,0.019,0.01095,0.0184,22652
2023-11-16,0.018,0.0195,0.0099,0.0121,80434
2023-11-17,0.017,0.0175,0.0121,0.0121,36525
2023-11-20,0.0175,0.02,0.0122,0.0131,209419
2023-11-21,0.017,0.017,0.0101,0.017,20701
2023-11-22,0.018,0.0189,0.018,0.018,98838
2023-11-24,0.018,0.018,0.01098,0.018,5034
2023-11-27,0.018,0.025,0.014,0.022,50992
2023-11-28,0.0195,0.0251,0.01,0.0251,22002
2023-11-29,0.0251,0.0324,0.0157,0.0203,90171
2023-11-30,0.0161,0.0321,0.013,0.03,26286
2023-12-01,0.0274,0.03,0.0153,0.0194,54338
2023-12-04,0.019,0.0278,0.0177,0.0278,18373
2023-12-05,0.03,0.0358,0.025,0.0321,96848
2023-12-06,0.025,0.034999,0.0152,0.034999,10669
2023-12-07,0.02,0.0305,0.0159,0.0299,23931
2023-12-08,0.02,0.03,0.02,0.028,51674
2023-12-11,0.0201,0.0298,0.0169,0.0279,10592
2023-12-12,0.018,0.02,0.018,0.02,5006
2023-12-13,0.026,0.0335,0.022,0.0245,91258
2023-12-14,0.025,0.0285,0.023,0.0265,42147
2023-12-15,0.025,0.0285,0.025,0.025,15604
2023-12-18,0.025,0.03,0.021,0.0211,79722
2023-12-19,0.025,0.031,0.018,0.031,84232
2023-12-20,0.02,0.031,0.02,0.0207,40595
2023-12-21,0.0202,0.035,0.0202,0.0275,64316
2023-12-22,0.0499,0.0499,0.0225,0.0313,111347
2023-12-26,0.0261,0.0349,0.023,0.023526,19259
2023-12-27,0.0294,0.042,0.0255,0.0418,137310
2023-12-28,0.0266,0.0486,0.0262,0.0314,120413
2023-12-29,0.0398,0.04,0.0281,0.0312,80775
2024-01-02,0.0282,0.045,0.026749,0.0344,112845
2024-01-03,0.033,0.033,0.0259,0.0269,47942
2024-01-04,0.025,0.04,0.0242,0.03091,107697
2024-01-05,0.031,0.0339,0.0272,0.0299,55665
2024-01-08,0.03,0.0368,0.03,0.0368,47477
2024-01-09,0.03,0.0368,0.0272,0.0272,69037
2024-01-10,0.0279,0.0415,0.0279,0.028,371814
2024-01-11,0.0398,0.0398,0.0282,0.0282,15443
2024-01-12,0.0286,0.036,0.0272,0.0287,61319
2024-01-16,0.0288,0.031,0.0263,0.0263,35168
2024-01-17,0.0263,0.0269,0.025,0.025,7762
2024-01-18,0.025,0.0279,0.025,0.0279,36430
2024-01-19,0.031,0.0311,0.0298,0.0298,65176
2024-01-22,0.0298,0.0298,0.0295,0.0295,1539
2024-01-23,0.03,0.03095,0.0257,0.0283,20500
2024-01-24,0.0282,0.0282,0.028,0.028,530
2024-01-25,0.0279,0.0279,0.0279,0.0279,1811
2024-01-26,0.0237,0.0237,0.0237,0.0237,501
2024-01-29,0.026749,0.027799,0.025949,0.025949,1325
2024-01-30,0.0279,0.0284,0.026,0.028,25702
2024-01-31,0.027,0.027,0.024,0.027,13750
2024-02-01,0.0292,0.0292,0.0237,0.0238,1973
2024-02-02,0.0265,0.0284,0.0229,0.0284,30693
2024-02-05,0.0269,0.0269,0.0199,0.0223,131564
2024-02-06,0.0206,0.0206,0.0206,0.0206,292
2024-02-07,0.0212,0.0212,0.018,0.01815,18215
2024-02-08,0.0173,0.0188,0.016,0.0162,13739
2024-02-09,0.019,0.019,0.0151,0.0151,9999
2024-02-12,0.0196,0.0324,0.0155,0.022499,357295
2024-02-13,0.0177,0.0177,0.0177,0.0177,278
2024-02-15,0.02,0.0253,0.02,0.0224,14163
2024-02-16,0.0258,0.027,0.021,0.0265,42386
2024-02-20,0.026,0.027,0.0199,0.0236,35989
2024-02-21,0.026,0.0266,0.021,0.0218,46085
2024-02-22,0.0244,0.0255,0.022999,0.0254,32150
2024-02-23,0.0255,0.02612,0.0215,0.02612,10663
2024-02-27,0.0216,0.0261,0.0216,0.024301,10284
2024-02-28,0.022,0.022799,0.0207,0.022799,4949
2024-02-29,0.0254,0.0254,0.0205,0.0205,3251
2024-03-01,0.0249,0.025,0.02399,0.024,8518
2024-03-04,0.0205,0.0241,0.0205,0.024,4495
2024-03-05,0.0211,0.0211,0.0201,0.0201,6000
2024-03-06,0.024699,0.024699,0.0202,0.0221,11656
2024-03-07,0.02,0.028,0.02,0.026,56392
2024-03-08,0.022,0.0248,0.0155,0.0178,170349
2024-03-11,0.0243,0.0243,0.022,0.022,5245
2024-03-12,0.0246,0.024602,0.0178,0.0178,129540
2024-03-13,0.0245,0.0249,0.015,0.0161,59804
2024-03-14,0.02,0.0247,0.0164,0.0164,11558
2024-03-15,0.023399,0.023399,0.0167,0.0167,17248
2024-03-18,0.0165,0.0222,0.0165,0.0222,5814
2024-03-19,0.0158,0.0197,0.012,0.0146,204827
2024-03-20,0.022,0.022,0.0135,0.014,70596
2024-03-21,0.015399,0.0195,0.015,0.016701,202945
2024-03-22,0.0199,0.0199,0.0199,0.0199,100
2024-03-25,0.014,0.0199,0.014,0.0145,23124
2024-03-26,0.0146,0.0169,0.0146,0.0146,5044
2024-03-27,0.016,0.0195,0.015899,0.017049,9293
2024-03-28,0.017,0.018,0.015849,0.017,7403
2024-04-01,0.0152,0.0175,0.0138,0.0138,51956
2024-04-02,0.016,0.0219,0.016,0.0199,121563
2024-04-03,0.0229,0.03095,0.0189,0.0204,339549
2024-04-04,0.0242,0.0285,0.0179,0.0179,317740
2024-04-05,0.0255,0.0255,0.018,0.0182,298707
2024-04-08,0.015,0.0238,0.015,0.02,169718
2024-04-09,0.021,0.0266,0.0201,0.0266,131120
2024-04-10,0.0268,0.029,0.025,0.025,65389
2024-04-11,0.0223,0.0388,0.021,0.026,232300
2024-04-12,0.035,0.035,0.03,0.03,150357
2024-04-15,0.0389,0.0395,0.021,0.0318,77967
2024-04-16,0.025,0.032151,0.0211,0.03,59989
2024-04-17,0.03,0.03,0.0287,0.0287,9748
2024-04-18,0.032,0.0333,0.024,0.025,73745
2024-04-19,0.032499,0.032499,0.026449,0.026449,3278
2024-04-22,0.0211,0.0296,0.0211,0.0282,6219
2024-04-23,0.0319,0.0344,0.0266,0.0303,116387
2024-04-24,0.0267,0.029,0.0252,0.0252,31853
2024-04-25,0.0216,0.0277,0.0199,0.0277,154065
2024-04-26,0.0277,0.0277,0.0226,0.0226,1968
2024-04-29,0.0225,0.0275,0.0225,0.0266,25339
2024-04-30,0.023799,0.0264,0.023799,0.0255,13864
2024-05-01,0.025,0.0254,0.025,0.0254,5800
2024-05-02,0.0254,0.0254,0.0224,0.023899,15748
2024-05-03,0.0201,0.0239,0.0201,0.0237,4467
2024-05-06,0.0265,0.0265,0.0209,0.0263,60367
2024-05-07,0.0262,0.0262,0.022,0.022,29224
2024-05-08,0.023,0.026751,0.023,0.024,43574
2024-05-09,0.028,0.0287,0.0241,0.0241,49665
2024-05-10,0.022,0.0286,0.022,0.0253,25331
2024-05-13,0.025,0.025,0.0151,0.022699,82276
2024-05-14,0.0243,0.0266,0.0243,0.0262,68161
2024-05-15,0.027899,0.0286,0.025,0.0274,90649
2024-05-16,0.025,0.0354,0.025,0.025,164584
2024-05-17,0.0213,0.0314,0.0213,0.0221,72814
2024-05-20,0.0222,0.03,0.0221,0.03,25045
2024-05-21,0.03,0.03,0.0225,0.0225,19510
2024-05-22,0.0377,0.0377,0.029,0.0301,118479
2024-05-23,0.025,0.0301,0.0225,0.0239,232329
2024-05-24,0.022,0.0327,0.0175,0.024599,97648
2024-05-28,0.0233,0.025,0.02,0.0249,39399
2024-05-29,0.025,0.0265,0.0249,0.0249,9121
2024-05-30,0.0248,0.0249,0.0201,0.0201,33922
2024-05-31,0.021349,0.0247,0.021349,0.022099,31001
2024-06-03,0.0206,0.0245,0.0206,0.0234,19550
2024-06-04,0.0244,0.0246,0.022449,0.023,31100
2024-06-05,0.0246,0.0246,0.020101,0.022899,48331
2024-06-06,0.02329,0.0241,0.020649,0.0232,28682
2024-06-07,0.0247,0.0247,0.023,0.0238,106708
2024-06-10,0.0247,0.0257,0.0216,0.0257,16753
2024-06-11,0.0257,0.03,0.024599,0.024599,56938
2024-06-12,0.0266,0.0266,0.0244,0.0244,26356
2024-06-13,0.023,0.023005,0.0217,0.023,110743
2024-06-14,0.022999,0.0244,0.0205,0.022,45849
2024-06-17,0.011,0.019,0.011,0.017,472727
2024-06-18,0.017,0.0188,0.016,0.0185,75653
2024-06-20,0.0185,0.0239,0.017,0.0181,53840
2024-06-24,0.019,0.0235,0.019,0.02,19745
2024-06-25,0.0227,0.0273,0.0217,0.0273,9528
2024-06-26,0.02245,0.0269,0.0184,0.0207,5868
2024-06-27,0.019976,0.02,0.0199,0.02,6558
2024-06-28,0.02,0.022,0.0192,0.0218,24075
2024-07-01,0.019,0.022,0.019,0.021,17917
2024-07-02,0.0206,0.027,0.020201,0.023601,41392
2024-07-03,0.02255,0.024,0.0203,0.023,25641
2024-07-05,0.0297,0.0297,0.0221,0.0223,63968
2024-07-08,0.022,0.0247,0.0196,0.0217,114214
2024-07-09,0.0263,0.0263,0.0201,0.0242,27114
2024-07-10,0.02,0.0259,0.02,0.0255,17715
2024-07-11,0.0249,0.0249,0.0213,0.0245,70904
2024-07-12,0.0239,0.0275,0.0239,0.0275,52522
2024-07-15,0.0191,0.027,0.0191,0.027,3720
2024-07-16,0.0264,0.0269,0.026,0.026,11405
2024-07-17,0.0256,0.0299,0.0256,0.029,50300
2024-07-18,0.018,0.0298,0.018,0.0296,11951
2024-07-19,0.0298,0.0298,0.029,0.029,6557
2024-07-22,0.029,0.0296,0.029,0.0296,20135
2024-07-24,0.03,0.03,0.0296,0.0299,878
2024-07-25,0.0298,0.0298,0.0298,0.0298,1239
2024-07-26,0.0211,0.0299,0.02,0.0297,151458
2024-07-29,0.0215,0.0274,0.018,0.0273,56198
2024-07-30,0.020401,0.026,0.020279,0.0259,10900
2024-07-31,0.023849,0.0255,0.023849,0.0243,985
2024-08-01,0.0273,0.0289,0.022,0.0289,78954
2024-08-02,0.029,0.029,0.025,0.029,1660
2024-08-05,0.029,0.029,0.0211,0.029,5893
2024-08-12,0.0242,0.0289,0.0171,0.0289,10100
2024-08-13,0.0282,0.0282,0.01731,0.028,637
2024-08-14,0.027999,0.028,0.0236,0.0264,2313
2024-08-15,0.022,0.022,0.019,0.022,81780
2024-08-16,0.0225,0.0264,0.0175,0.0261,18223
2024-08-19,0.02175,0.02175,0.018,0.0181,44105
2024-08-20,0.018,0.0182,0.018,0.0182,11162
2024-08-21,0.0249,0.028,0.0209,0.028,76578
2024-08-23,0.028,0.0288,0.0257,0.0288,22554
2024-08-27,0.0201,0.0262,0.02,0.0262,11142
2024-08-28,0.021,0.0263,0.021,0.0263,202
2024-08-29,0.0211,0.0262,0.0211,0.0262,1180
2024-08-30,0.0246,0.0261,0.0201,0.026,2325
2024-09-03,0.025799,0.025799,0.025799,0.025799,206
2024-09-04,0.0249,0.0249,0.0249,0.0249,497
2024-09-06,0.0248,0.0248,0.0201,0.0248,84953
2024-09-12,0.0248,0.0248,0.0228,0.0228,9349
2024-09-13,0.0262,0.03,0.0196,0.03,114361
2024-09-16,0.0197,0.024,0.0195,0.0239,15141
2024-09-17,0.0239,0.0239,0.0239,0.0239,903
2024-09-24,0.0279,0.0279,0.024,0.024,6068
2024-09-25,0.0277,0.0279,0.0241,0.0241,10004
2024-09-26,0.0207,0.0281,0.0207,0.0281,5134
2024-09-27,0.0279,0.0279,0.0244,0.0244,210
2024-09-30,0.0263,0.0274,0.020812,0.0274,80628
2024-10-01,0.024299,0.0272,0.024299,0.0272,1460
2024-10-03,0.0271,0.027301,0.0271,0.0272,8543
2024-10-07,0.0273,0.0273,0.0273,0.0273,175
2024-10-08,0.0251,0.0251,0.025,0.025,7236
2024-10-09,0.0297,0.0297,0.0297,0.0297,200
2024-10-10,0.0295,0.0297,0.0295,0.0297,3285
2024-10-11,0.027349,0.029599,0.027349,0.029599,1000
2024-10-14,0.0297,0.0297,0.0296,0.0296,2495
2024-10-15,0.0258,0.0258,0.0258,0.0258,2500
2024-10-16,0.0296,0.0297,0.0222,0.0296,21075
2024-10-17,0.0296,0.0296,0.0287,0.0288,935
2024-10-21,0.0288,0.0288,0.0201,0.0288,225726
2024-10-22,0.0286,0.0286,0.0285,0.0285,1601
2024-10-23,0.0257,0.0283,0.0257,0.0283,300
2024-10-24,0.0207,0.0286,0.0207,0.0268,6800
2024-10-25,0.0286,0.0286,0.028599,0.028599,689
2024-10-28,0.0288,0.0288,0.019072,0.023,342140
2024-10-29,0.0283,0.0283,0.0272,0.0272,6332
2024-10-30,0.0201,0.027,0.0201,0.027,400
2024-10-31,0.022,0.0268,0.022,0.025,740
2024-11-01,0.025,0.025,0.0191,0.0248,98961
2024-11-04,0.0195,0.0247,0.0195,0.0247,5511
2024-11-05,0.0191,0.023,0.0191,0.023,615
2024-11-06,0.02075,0.023,0.0195,0.023,26900
2024-11-07,0.022,0.022,0.0195,0.022,700
2024-11-08,0.0264,0.0264,0.0191,0.0262,21751
2024-11-11,0.0263,0.0263,0.0239,0.0239,9854
2024-11-12,0.0239,0.0239,0.022051,0.022051,5167
2024-11-13,0.022,0.0264,0.022,0.022,3101
2024-11-14,0.0201,0.0264,0.0201,0.0264,200
2024-11-19,0.025,0.0257,0.023,0.0239,4094
2024-11-21,0.023899,0.023899,0.0201,0.0201,1400
2024-11-22,0.0201,0.0201,0.015088,0.0201,162765
2024-11-25,0.0205,0.0205,0.0205,0.0205,136
2024-11-26,0.0201,0.0248,0.0201,0.0248,2000
2024-11-27,0.0214,0.0214,0.0214,0.0214,935
2024-11-29,0.0205,0.0213,0.0186,0.0213,42737
2024-12-03,0.0191,0.0201,0.0156,0.0183,72762
2024-12-04,0.02,0.02,0.0183,0.02,4531
2024-12-05,0.0162,0.018,0.0162,0.017999,4392
2024-12-06,0.019499,0.019499,0.018,0.018,5103
2024-12-09,0.0163,0.017501,0.0163,0.017501,20245
2024-12-10,0.0185,0.0197,0.0167,0.0172,27712
2024-12-11,0.0168,0.0194,0.016,0.0194,33272
2024-12-12,0.0155,0.0155,0.015178,0.0155,20659
2024-12-13,0.0155,0.0155,0.0151,0.0151,9635
2024-12-16,0.015,0.0151,0.015,0.015,18544
2024-12-17,0.01505,0.0151,0.015,0.015,3335
2024-12-18,0.015,0.015,0.015,0.015,20297
2024-12-19,0.015,0.015,0.015,0.015,21157
2024-12-20,0.015,0.015,0.015,0.015,1189
2024-12-23,0.0155,0.0155,0.0129,0.0155,49770
2024-12-24,0.013,0.0155,0.011,0.0155,60285
2024-12-26,0.0155,0.0155,0.0155,0.0155,43927
2024-12-27,0.0155,0.016,0.0117,0.016,30831
2024-12-30,0.0157,0.0158,0.01,0.01,105856
2024-12-31,0.0151,0.0152,0.0108,0.013001,22997
2025-01-02,0.013,0.015,0.013,0.0133,18372
2025-01-03,0.014,0.014,0.0139,0.014,29443
2025-01-06,0.0141,0.0149,0.014,0.0149,439597
2025-01-07,0.0149,0.0155,0.0145,0.0155,50492
2025-01-08,0.014999,0.015,0.0149,0.015,4932
2025-01-10,0.0149,0.0149,0.0123,0.0149,12485
2025-01-13,0.0149,0.015,0.0131,0.015,14407
2025-01-14,0.0169,0.0169,0.015,0.0164,59233
2025-01-15,0.014,0.0162,0.0116,0.0162,22648
2025-01-17,0.0159,0.016,0.0159,0.016,2300
2025-01-21,0.015999,0.0162,0.0159,0.016,2799
2025-01-22,0.016,0.0162,0.0151,0.016,5091
2025-01-23,0.015,0.0162,0.0137,0.0162,3500
2025-01-24,0.016099,0.0163,0.0138,0.0145,17738
2025-01-27,0.0145,0.019029,0.0139,0.0189,35837
2025-01-28,0.0187,0.0187,0.0141,0.0148,4404
2025-01-29,0.0187,0.0187,0.0187,0.0187,100
2025-01-30,0.0185,0.0185,0.0179,0.018031,22376
2025-01-31,0.0143,0.0178,0.0143,0.0178,3227
2025-02-03,0.0165,0.0165,0.0164,0.0164,1201
2025-02-04,0.01565,0.01565,0.01565,0.01565,122
2025-02-05,0.015,0.0158,0.014,0.0158,2516
2025-02-06,0.015,0.015,0.014,0.014,4774
2025-02-07,0.013,0.0158,0.013,0.0158,1694
2025-02-10,0.0158,0.0199,0.0158,0.0189,846345
2025-02-11,0.0187,0.0194,0.0187,0.0188,28610
2025-02-12,0.019,0.0264,0.019,0.025,162572
2025-02-13,0.0253,0.0456,0.025,0.0455,194156
2025-02-14,0.042,0.042,0.039,0.039,5479
2025-02-18,0.035,0.04,0.035,0.039,179479
2025-02-19,0.0389,0.0395,0.035,0.0394,16360
2025-02-20,0.035,0.035,0.02,0.03,9206
2025-02-21,0.0206,0.03,0.0206,0.0253,44047
2025-02-24,0.0298,0.0298,0.0251,0.0254,6812
2025-02-25,0.0201,0.0252,0.0151,0.0252,77819
2025-02-26,0.025,0.025,0.0249,0.0249,6295
2025-02-27,0.0215,0.026,0.0196,0.02,24102
2025-02-28,0.02,0.02,0.0159,0.02,4715
2025-03-03,0.019499,0.019501,0.019,0.019,4714
2025-03-06,0.0165,0.0199,0.0165,0.0199,4102
2025-03-07,0.019899,0.0199,0.0198,0.0199,8717
2025-03-10,0.0199,0.02,0.0166,0.02,9247
2025-03-11,0.02,0.02,0.017,0.02,63238
2025-03-12,0.02,0.0242,0.02,0.0216,104686
2025-03-13,0.0245,0.0294,0.0182,0.0183,47298
2025-03-14,0.0265,0.0299,0.023,0.0298,63562
2025-03-17,0.0298,0.0374,0.0298,0.035,49275
2025-03-18,0.0372,0.039,0.0202,0.0202,11592
2025-03-19,0.02421,0.0355,0.02421,0.0355,5737
2025-03-20,0.039,0.0399,0.0316,0.0398,66617
2025-03-21,0.0385,0.0399,0.0279,0.0282,50787
2025-03-24,0.036,0.036,0.0281,0.0316,24969
2025-03-25,0.0377,0.0377,0.0355,0.0356,16688
2025-03-26,0.035,0.035,0.0315,0.0331,4877
2025-03-27,0.035,0.0377,0.0345,0.0345,98561
2025-03-28,0.0344,0.0345,0.0283,0.0283,65354
2025-03-31,0.029,0.0345,0.0284,0.0345,13789
2025-04-01,0.0345,0.0345,0.0339,0.034,1185
2025-04-02,0.0344,0.034499,0.03425,0.03425,3233
2025-04-03,0.03,0.031,0.03,0.0301,2669
2025-04-04,0.0345,0.0345,0.0267,0.029958,18929
2025-04-07,0.0266,0.0269,0.0166,0.026899,21836
2025-04-09,0.027,0.0299,0.0269,0.0299,33296
2025-04-10,0.0298,0.0345,0.0166,0.03,16910
2025-04-11,0.0265,0.0298,0.0265,0.0298,10102
2025-04-14,0.0297,0.0297,0.026,0.028,18408
2025-04-15,0.028,0.028,0.025,0.0266,30736
2025-04-16,0.025,0.0278,0.017801,0.0232,30942
2025-04-17,0.0232,0.0232,0.0232,0.0232,480
2025-04-21,0.025,0.025,0.0235,0.0246,7880
2025-04-22,0.025,0.025,0.018,0.025,19365
2025-04-23,0.025,0.025,0.018,0.022784,9444
2025-04-24,0.0249,0.025,0.0191,0.024949,27649
2025-04-25,0.0249,0.025,0.0249,0.025,59283
2025-04-28,0.0247,0.0247,0.0245,0.0247,861
2025-04-29,0.0242,0.0244,0.0242,0.0244,514
2025-04-30,0.021,0.021,0.02,0.02,7641
2025-05-01,0.0245,0.0245,0.0209,0.0244,5063
2025-05-02,0.0209,0.0209,0.0209,0.0209,142
2025-05-05,0.0211,0.0211,0.0181,0.0181,7380
2025-05-06,0.0237,0.0237,0.0236,0.0236,4726
2025-05-07,0.0204,0.0217,0.0101,0.0199,423523
2025-05-08,0.0198,0.0198,0.0163,0.0197,21331
2025-05-09,0.0196,0.0196,0.0169,0.0169,1937
2025-05-12,0.0194,0.0198,0.016601,0.0193,26371
2025-05-13,0.0195,0.0198,0.0164,0.0164,2398
2025-05-14,0.0185,0.0185,0.017916,0.0183,1454
2025-05-15,0.0185,0.0198,0.0163,0.0163,8103
2025-05-16,0.0163,0.0166,0.0162,0.0166,10013
2025-05-19,0.0183,0.0186,0.0129,0.0129,18248
2025-05-20,0.0196,0.0196,0.0126,0.015,66292
2025-05-21,0.0151,0.0151,0.0126,0.013,28951
2025-05-22,0.016219,0.0199,0.016219,0.01907,106543
2025-05-23,0.016501,0.0228,0.0103,0.0106,85062
2025-05-27,0.0198,0.0226,0.0115,0.0175,39366
2025-05-28,0.0175,0.0175,0.0129,0.0141,19524
2025-05-29,0.0149,0.0149,0.0125,0.014586,9009
2025-05-30,0.0148,0.016,0.0146,0.0148,14573
2025-06-02,0.016,0.018,0.0159,0.017999,127273
2025-06-03,0.0165,0.01825,0.0165,0.0181,2901
2025-06-04,0.0166,0.017558,0.0166,0.017558,2891
2025-06-05,0.0137,0.0204,0.0137,0.0195,28357
2025-06-06,0.0191,0.0198,0.0139,0.0198,18439
2025-06-09,0.02,0.0249,0.0198,0.0219,107841
2025-06-10,0.024,0.024,0.0209,0.0217,31680
2025-06-11,0.021699,0.0217,0.0138,0.0198,23200
2025-06-12,0.0197,0.02,0.0137,0.02,53173
2025-06-13,0.0137,0.017899,0.0115,0.017899,16000
2025-06-16,0.0193,0.0198,0.0135,0.0175,72253
2025-06-17,0.0132,0.0153,0.0131,0.0153,12808
2025-06-18,0.017877,0.02,0.013301,0.0173,20013
2025-06-20,0.0154,0.0199,0.0154,0.0162,65163
2025-06-23,0.0162,0.0198,0.0162,0.0185,67692
2025-06-24,0.019,0.0198,0.0127,0.019,84055
2025-06-25,0.0198,0.0199,0.0131,0.0138,53611
2025-06-26,0.0138,0.0181,0.0138,0.018,19442
2025-06-27,0.018,0.0259,0.0135,0.0214,162420
2025-06-30,0.0192,0.0192,0.0175,0.0175,1383
2025-07-01,0.0135,0.0189,0.0135,0.0189,8541
2025-07-02,0.0188,0.0188,0.0188,0.0188,433
2025-07-03,0.0184,0.0184,0.0184,0.0184,200
2025-07-07,0.0139,0.01806,0.0139,0.0168,2462
2025-07-08,0.016,0.0168,0.0135,0.0136,3931
2025-07-09,0.014304,0.0147,0.0131,0.0131,2178
2025-07-10,0.0146,0.0146,0.0131,0.0131,3583
2025-07-11,0.0144,0.0144,0.0131,0.0135,23041
2025-07-14,0.013,0.0139,0.013,0.0131,2531
2025-07-15,0.0143,0.0147,0.0133,0.0134,222499
2025-07-16,0.0134,0.0156,0.0134,0.014,1426
