Date,Open,High,Low,Close,Volume
2023-07-18,23.34,24.0799,23.34,23.73,147381.0
2023-07-19,23.75,24.08,23.5,23.72,149288.0
2023-07-20,23.74,24.06,23.55,24.0,127997.0
2023-07-21,24.13,24.1399,23.69,23.7,148528.0
2023-07-24,23.81,24.075,23.3,23.38,93951.0
2023-07-25,23.43,23.45,23.05,23.23,111229.0
2023-07-26,23.23,23.53,23.05,23.11,77936.0
2023-07-27,23.12,23.64,23.1,23.24,101150.0
2023-07-28,23.3,23.53,23.2205,23.27,78973.0
2023-07-31,23.27,23.86,23.27,23.72,136157.0
2023-08-01,23.71,23.71,22.96,23.03,86893.0
2023-08-02,22.9,23.1415,22.7553,22.83,108806.0
2023-08-03,22.85,23.22,22.81,23.17,86141.0
2023-08-04,23.09,23.61,23.05,23.08,84421.0
2023-08-07,23.01,23.58,22.95,23.53,98565.0
2023-08-08,23.29,24.4699,23.11,24.38,132523.0
2023-08-09,24.32,24.53,24.01,24.33,64762.0
2023-08-10,24.32,24.83,24.23,24.72,128698.0
2023-08-11,24.72,24.76,24.21,24.49,123239.0
2023-08-14,24.39,24.82,24.125,24.25,99446.0
2023-08-15,24.16,24.43,23.96,24.36,91554.0
2023-08-16,24.31,24.4761,24.14,24.16,74034.0
2023-08-17,24.21,24.21,23.53,23.65,106396.0
2023-08-18,23.48,23.75,23.14,23.69,154554.0
2023-08-21,23.63,23.63,22.98,23.3,117118.0
2023-08-22,23.23,23.405,23.08,23.39,72058.0
2023-08-23,23.42,23.85,23.27,23.83,65507.0
2023-08-24,23.82,24.03,23.6,23.63,58314.0
2023-08-25,23.61,23.73,23.24,23.65,62120.0
2023-08-28,23.64,23.64,23.18,23.32,129966.0
2023-08-29,23.28,23.87,23.28,23.75,62816.0
2023-08-30,23.71,24.03,23.65,23.83,73631.0
2023-08-31,23.88,23.91,23.37,23.38,80813.0
2023-09-01,23.36,23.42,22.88,23.01,102482.0
2023-09-05,22.89,23.565,22.64,23.43,134934.0
2023-09-06,23.47,23.62,23.12,23.6,113591.0
2023-09-07,23.53,23.7199,23.01,23.11,118483.0
2023-09-08,23.03,23.14,22.39,22.79,135008.0
2023-09-11,22.96,23.35,22.85,23.1,102187.0
2023-09-12,23.17,23.36,23.03,23.19,78949.0
2023-09-13,23.0,23.4,23.0,23.15,142481.0
2023-09-14,23.32,23.5,23.06,23.15,132201.0
2023-09-15,23.1,23.25,22.435,22.86,217041.0
2023-09-18,22.87,23.15,22.27,23.11,149907.0
2023-09-19,23.06,23.06,22.47,22.7,156975.0
2023-09-20,22.82,23.015,22.6052,22.71,122573.0
2023-09-21,22.63,22.82,22.48,22.48,79248.0
2023-09-22,22.5,22.73,22.2958,22.34,88071.0
2023-09-25,22.29,22.51,22.0819,22.38,79307.0
2023-09-26,22.22,22.43,21.95,21.96,74268.0
2023-09-27,22.04,22.19,21.95,22.12,98503.0
2023-09-28,22.18,22.6694,22.11,22.23,82266.0
2023-09-29,22.38,22.44,21.99,22.05,83863.0
2023-10-02,22.08,22.22,21.85,21.98,94420.0
2023-10-03,21.92,27.4,21.64,26.74,1132553.0
2023-10-04,27.0,28.09,26.7846,26.96,402288.0
2023-10-05,26.72,28.17,26.72,26.99,336761.0
2023-10-06,27.2,27.47,26.75,27.16,226258.0
2023-10-09,27.0,27.1,26.7,26.86,192901.0
2023-10-10,27.04,27.7771,26.81,27.1,180145.0
2023-10-11,27.05,27.57,26.73,27.37,204184.0
2023-10-12,27.61,27.61,26.66,26.77,341551.0
2023-10-13,26.77,29.4167,26.61,28.6,326592.0
2023-10-16,28.53,29.34,28.5,29.18,162761.0
2023-10-17,29.25,29.78,29.0,29.62,175375.0
2023-10-18,29.44,29.6,28.84,29.49,110207.0
2023-10-19,29.6,30.38,29.475,29.68,165140.0
2023-10-20,29.68,29.68,28.89,28.9,139992.0
2023-10-23,28.69,28.95,27.48,27.62,149736.0
2023-10-24,27.89,28.33,27.5,27.66,157227.0
2023-10-25,27.42,27.94,27.4118,27.61,110937.0
2023-10-26,27.66,28.12,27.5674,27.93,94727.0
2023-10-27,27.8,27.95,27.65,27.79,78174.0
2023-10-30,27.85,28.2538,27.8,27.91,75502.0
2023-10-31,27.93,28.7,27.84,28.05,81249.0
2023-11-01,28.06,28.87,28.05,28.6,97577.0
2023-11-02,28.6,28.95,28.46,28.81,79507.0
2023-11-03,29.14,29.26,28.79,28.93,83753.0
2023-11-06,28.93,28.93,28.42,28.8,56077.0
2023-11-07,28.83,28.95,28.27,28.7,114300.0
2023-11-08,28.85,28.85,27.7109,27.82,61115.0
2023-11-09,27.77,28.23,27.645,27.94,109187.0
2023-11-10,27.8,28.27,27.65,28.17,69462.0
2023-11-13,27.9,28.46,27.9,28.38,58037.0
2023-11-14,28.95,28.97,28.52,28.77,91774.0
2023-11-15,28.69,28.89,28.51,28.54,93178.0
2023-11-16,28.4,28.56,28.06,28.17,63811.0
2023-11-17,28.21,28.47,28.06,28.1,105560.0
2023-11-20,28.16,28.73,27.93,28.73,85511.0
2023-11-21,28.68,28.82,28.5,28.62,76882.0
2023-11-22,28.61,29.0,28.49,28.63,53240.0
2023-11-24,28.74,28.89,28.5,28.61,45139.0
2023-11-27,28.71,29.71,28.45,29.69,95142.0
2023-11-28,29.69,29.855,28.79,28.89,146409.0
