Date,Open,High,Low,Close,Volume
2024-09-26,4.0,4.41,3.6,4.02,879948
2024-09-27,4.54,4.79,4.12,4.39,278948
2024-09-30,4.51,4.93,4.39,4.6001,109777
2024-10-01,4.43,4.8,4.31,4.6756,88330
2024-10-02,4.5503,4.7,4.33,4.65,77021
2024-10-03,4.54,4.79,4.54,4.77,2380
2024-10-04,4.8,4.99,4.52,4.87,118134
2024-10-07,4.89,5.6,4.8314,5.07,303461
2024-10-08,5.28,5.72,5.28,5.62,111106
2024-10-09,5.79,6.25,5.62,5.75,156964
2024-10-10,5.88,6.13,5.55,5.75,85163
2024-10-11,5.89,5.905,5.72,5.77,49630
2024-10-14,5.89,5.9436,5.74,5.77,32813
2024-10-15,5.81,5.9,5.7203,5.82,18623
2024-10-16,5.75,5.91,5.6,5.82,45776
2024-10-17,5.76,6.27,5.71,5.98,119497
2024-10-18,6.0,6.2,5.7802,5.94,101726
2024-10-21,5.88,6.1,5.71,5.89,54725
2024-10-22,5.94,6.149,5.37,5.66,72757
2024-10-23,5.61,5.74,4.74,5.05,98680
2024-10-24,5.41,6.2333,5.11,5.29,21236
2024-10-25,5.31,5.4899,5.03,5.26,77323
2024-10-28,5.34,5.75,4.85,4.89,58628
2024-10-29,5.04,5.35,4.92,5.08,86784
2024-10-30,5.18,5.4,5.0,5.06,68220
2024-10-31,5.15,5.29,5.05,5.29,34576
2024-11-01,5.07,5.6,5.07,5.48,78976
2024-11-04,5.45,5.5041,4.98,5.3,53716
2024-11-05,5.17,5.45,5.02,5.33,38139
2024-11-06,5.65,5.65,5.104,5.59,48869
2024-11-07,5.43,5.66,5.3315,5.65,33751
2024-11-08,5.7,6.0,5.6,5.98,55333
2024-11-11,5.92,5.92,5.51,5.67,19861
2024-11-12,5.77,5.9,5.5456,5.7,47601
2024-11-13,5.72,5.75,5.53,5.6604,23541
2024-11-14,5.8,5.8,5.5944,5.6,49825
2024-11-15,6.9,7.83,6.31,6.52,294289
2024-11-18,6.58,6.9,6.34,6.41,118011
2024-11-19,6.4,6.5,6.0,6.325,76273
2024-11-20,6.2,7.75,6.2,7.4,174881
2024-11-21,7.5,7.59,7.1,7.57,101612
2024-11-22,7.52,8.0,7.34,7.93,114486
2024-11-25,8.0,8.05,7.225,7.5,95532
