Date,Open,High,Low,Close,Volume
2023-07-19,11.01,11.04,10.92,11.01,112210
2023-07-20,10.96,10.9887,10.82,10.84,110071
2023-07-21,10.92,10.98,10.87,10.92,73375
2023-07-24,10.97,11.0,10.85,10.86,106362
2023-07-25,10.88,10.89,10.82,10.88,117826
2023-07-26,10.9,10.97,10.8503,10.91,107031
2023-07-27,10.94,10.98,10.86,10.87,111519
2023-07-28,10.96,11.09,10.8959,11.05,222314
2023-07-31,11.17,11.43,11.13,11.43,725302
2023-08-01,11.43,11.56,11.38,11.53,325881
2023-08-02,11.49,11.64,11.37,11.54,371165
2023-08-03,11.47,11.52,11.35,11.4,342897
2023-08-04,11.42,11.55,11.4,11.49,270033
2023-08-07,11.52,11.52,11.27,11.28,267346
2023-08-08,11.32,11.38,11.21,11.28,248760
2023-08-09,11.3,11.48,11.28,11.45,218626
2023-08-10,11.48,11.48,11.32,11.35,186144
2023-08-11,11.39,11.54,11.34,11.48,120427
2023-08-14,11.42,11.54,11.33,11.5,124400
2023-08-15,11.49,11.51,11.42,11.49,88455
2023-08-16,11.49,11.54,11.4,11.43,115018
2023-08-17,11.42,11.4595,11.2719,11.28,117266
2023-08-18,11.27,11.345,11.25,11.26,129925
2023-08-21,11.22,11.27,11.13,11.13,136459
2023-08-22,11.19,11.2092,11.06,11.06,112197
2023-08-23,11.09,11.2,11.09,11.18,146249
2023-08-24,11.21,11.21,11.01,11.01,133017
2023-08-25,11.01,11.0561,10.97,11.0,122405
2023-08-28,11.09,11.09,10.91,10.91,193276
2023-08-29,10.95,11.05,10.95,11.0,161537
2023-08-30,11.01,11.11,10.97,10.98,99998
2023-08-31,11.01,11.05,10.97,11.01,125610
2023-09-01,11.03,11.14,11.03,11.12,111404
2023-09-05,11.12,11.12,11.05,11.09,77618
2023-09-06,11.13,11.15,11.04,11.1,90185
2023-09-07,11.12,11.12,11.0,11.0,97640
2023-09-08,11.02,11.0699,10.97,10.98,95242
2023-09-11,11.02,11.09,10.98,11.01,111587
2023-09-12,10.96,11.0,10.88,10.9,126334
2023-09-13,10.9,10.99,10.9,10.99,107190
2023-09-14,10.95,10.95,10.85,10.89,120336
2023-09-15,10.93,10.93,10.75,10.83,118012
2023-09-18,10.83,10.8696,10.73,10.77,138288
2023-09-19,10.77,10.8381,10.66,10.68,135762
2023-09-20,10.7,10.7796,10.61,10.64,175415
2023-09-21,10.61,10.61,10.42,10.46,195713
2023-09-22,10.45,10.53,10.38,10.41,342966
2023-09-25,10.35,10.35,9.87,10.03,555711
2023-09-26,10.05,10.05,9.77,9.8,298525
2023-09-27,9.86,9.86,9.67,9.7,243085
2023-09-28,9.7,9.79,9.63,9.73,237154
2023-09-29,9.84,9.9,9.64,9.69,415143
2023-10-02,9.75,9.86,9.66,9.69,295074
2023-10-03,9.66,9.83,9.66,9.72,347669
2023-10-04,9.79,9.84,9.68,9.75,225083
2023-10-05,9.76,9.76,9.61,9.67,147236
2023-10-06,9.6,9.71,9.55,9.63,192500
2023-10-09,9.61,9.68,9.59,9.67,93418
2023-10-10,9.63,9.71,9.6,9.63,191366
2023-10-11,9.71,9.76,9.66,9.71,190056
2023-10-12,9.66,9.68,9.41,9.48,244283
2023-10-13,9.55,9.64,9.53,9.63,176764
2023-10-16,9.62,9.65,9.35,9.36,259284
2023-10-17,9.27,9.3365,9.12,9.21,260602
2023-10-18,9.15,9.1736,9.05,9.1,212920
2023-10-19,9.11,9.11,8.88,8.94,280301
2023-10-20,8.93,9.0,8.86,8.91,177312
2023-10-23,8.85,9.0047,8.8493,8.85,308058
2023-10-24,8.95,9.02,8.87,8.94,196073
2023-10-25,8.83,8.86,8.62,8.64,395175
2023-10-26,8.63,8.72,8.57,8.62,398001
2023-10-27,8.6,8.67,8.521,8.62,211886
2023-10-30,8.62,8.73,8.5993,8.63,223976
2023-10-31,8.65,8.69,8.58,8.67,351900
2023-11-01,8.66,8.94,8.62,8.87,480307
2023-11-02,8.97,9.17,8.97,9.07,328410
2023-11-03,9.16,9.3099,9.15,9.18,338017
2023-11-06,9.15,9.2111,9.01,9.02,292280
2023-11-07,9.09,9.25,9.05,9.22,420625
2023-11-08,9.25,9.46,9.188,9.43,389315
2023-11-09,9.39,9.47,9.23,9.33,326491
2023-11-10,9.42,9.51,9.3,9.42,284744
2023-11-13,9.4,9.44,9.33,9.42,187871
2023-11-14,9.49,9.67,9.49,9.63,279295
2023-11-15,9.63,9.7809,9.58,9.68,341599
2023-11-16,9.73,9.97,9.71,9.91,310604
2023-11-17,9.95,10.0,9.77,9.94,399614
2023-11-20,9.88,9.94,9.76,9.92,316303
2023-11-21,9.95,10.06,9.88,9.95,273464
2023-11-22,9.99,10.01,9.83,9.92,200763
2023-11-24,9.92,9.9773,9.86,9.93,66247
2023-11-27,9.89,9.96,9.85,9.85,233073
2023-11-28,9.85,10.01,9.8,9.9,257094
2023-11-29,9.9,10.08,9.9,9.97,353090
2023-11-30,9.94,10.0095,9.86,9.93,239367
2023-12-01,9.97,10.19,9.93,10.15,355797
2023-12-04,10.13,10.15,10.01,10.06,360749
2023-12-05,10.1,10.3,10.07,10.13,287363
2023-12-06,10.16,10.21,9.97,9.99,385578
2023-12-07,10.0,10.1,9.97,10.06,378858
2023-12-08,10.03,10.07,9.91,10.05,195863
2023-12-11,10.0,10.07,9.97,10.02,377002
2023-12-12,9.98,10.089,9.93,9.98,371532
2023-12-13,9.98,10.207,9.92,10.19,289761
2023-12-14,10.22,10.375,10.1903,10.27,415278
2023-12-15,10.29,10.3089,10.13,10.17,559220
2023-12-18,10.1,10.18,10.04,10.11,648298
2023-12-19,10.12,10.14,10.03,10.05,635011
2023-12-20,10.05,10.1,9.97,10.02,605594
2023-12-21,10.05,10.09,9.9315,9.96,422839
2023-12-22,9.97,10.0589,9.96,9.99,475444
2023-12-26,10.0,10.03,9.92,9.97,566396
2023-12-27,9.98,10.07,9.97,10.01,468960
2023-12-28,9.98,10.04,9.895,9.91,517627
2023-12-29,9.9,9.98,9.88,9.97,554186
2024-01-02,9.95,10.04,9.9,9.99,248399
2024-01-03,9.99,10.09,9.97,10.07,229788
2024-01-04,10.04,10.09,10.03,10.03,203508
2024-01-05,10.02,10.1,9.97,10.0,273468
2024-01-08,10.0,10.13,10.0,10.13,431093
2024-01-09,10.09,10.15,10.08,10.08,120230
2024-01-10,10.07,10.12,10.02,10.02,183913
2024-01-11,10.01,10.0209,9.92,10.02,215859
2024-01-12,10.01,10.07,10.01,10.02,141067
2024-01-16,9.99,10.02,9.87,9.89,236194
2024-01-17,9.88,9.88,9.78,9.83,221547
2024-01-18,9.85,9.85,9.75,9.78,150727
2024-01-19,9.76,9.8,9.655,9.79,191010
2024-01-22,9.84,9.92,9.84,9.89,146796
2024-01-23,9.89,9.94,9.86,9.89,181831
2024-01-24,9.89,10.0,9.87,9.9,241871
2024-01-25,9.9,9.94,9.89,9.92,180431
2024-01-26,9.92,9.9787,9.89,9.96,211403
2024-01-29,9.95,10.18,9.95,10.16,305508
2024-01-30,10.16,10.2,10.09,10.2,236550
2024-01-31,10.2,10.25,10.08,10.2,377375
2024-02-01,10.24,10.3913,10.24,10.34,233247
2024-02-02,10.12,10.25,10.12,10.25,230291
2024-02-05,10.18,10.18,10.0666,10.17,190609
2024-02-06,10.18,10.23,10.14,10.22,209949
2024-02-07,10.25,10.275,10.19,10.2,170854
2024-02-08,10.2,10.2,10.1,10.19,376084
2024-02-09,10.22,10.255,10.16,10.19,152052
2024-02-12,10.21,10.3,10.21,10.29,123561
2024-02-13,10.22,10.25,10.1587,10.19,278188
2024-02-14,10.18,10.24,10.15,10.22,137807
2024-02-15,10.21,10.44,10.21,10.32,176364
2024-02-16,10.29,10.37,10.2754,10.31,153345
2024-02-20,10.29,10.36,10.26,10.32,185805
2024-02-21,10.36,10.41,10.337,10.39,113535
2024-02-22,10.44,10.45,10.39,10.4,227551
2024-02-23,10.47,10.51,10.42,10.44,70965
2024-02-26,10.45,10.4999,10.39,10.41,75123
2024-02-27,10.41,10.4599,10.4,10.41,130055
2024-02-28,10.42,10.45,10.34,10.42,238879
