Date,Open,High,Low,Close,Volume
2023-07-19,0.87,1.06,0.8613,0.8801,51942.0
2023-07-20,0.9207,0.93,0.91,0.92,747.0
2023-07-21,0.9276,0.98,0.9151,0.97,27815.0
2023-07-24,0.98,1.0,0.97,0.97,5689.0
2023-07-25,0.96,1.03,0.94505,1.01,47797.0
2023-07-26,0.9461,0.97,0.9405,0.95,17568.0
2023-07-28,0.9999,1.01,0.9999,1.0099,8276.0
2023-07-31,1.02,1.05,1.0,1.02,28048.0
2023-08-01,1.04,1.04,0.9601,1.04,29650.0
2023-08-02,1.03,1.03,0.97,0.97,53810.0
2023-08-03,1.04,1.06,0.8672,1.01,9138.0
2023-08-04,0.8921,1.1773,0.89,1.0,10561.0
2023-08-07,1.0,1.04,0.93,1.0,4085.0
2023-08-08,1.07,1.11,1.07,1.07,13671.0
2023-08-09,1.21,1.22,1.15,1.15,2798.0
2023-08-10,1.11,1.475,1.09,1.475,11612.0
2023-08-11,1.5,1.5,1.03,1.16,12312.0
2023-08-15,1.09,1.3,1.09,1.17,7480.0
2023-08-16,1.14,1.41,1.14,1.4,36533.0
2023-08-21,1.41,1.42,1.35,1.35,1130.0
2023-08-22,1.32,1.32,1.285,1.285,5673.0
2023-08-23,1.3,1.31,1.21,1.25,2071.0
2023-08-24,1.21,1.23,1.07,1.15,30333.0
2023-08-25,1.29,1.29,1.19,1.215,2286.0
2023-08-28,1.21,1.21,1.2006,1.2006,203.0
2023-08-29,1.255,1.26,1.155,1.16,105198.0
2023-08-30,1.2451,1.2689,1.18,1.18,771.0
2023-08-31,1.16,1.18,1.16,1.1799,1310.0
2023-09-01,1.1999,1.2,1.1301,1.2,3850.0
2023-09-05,1.2,1.296,1.2,1.25,901.0
2023-09-06,1.3,1.3054,1.26,1.26,10202.0
2023-09-08,1.06,1.21,1.05,1.21,12300.0
2023-09-11,1.16,1.16,1.16,1.16,320.0
2023-09-12,1.14,1.14,1.14,1.14,214.0
2023-09-13,1.12,1.12,1.0301,1.0301,1029.0
2023-09-14,1.15,1.15,1.12,1.12,308.0
2023-09-15,1.16,1.18,1.1406,1.1406,328.0
2023-09-18,1.16,1.16,1.0501,1.1446,1608.0
2023-09-19,1.12,1.12,1.1,1.1019,414.0
2023-09-21,1.02,1.07,0.93,0.9533,49730.0
2023-09-22,1.04,1.0913,0.9502,0.9702,6147.0
2023-09-25,1.006,1.006,0.8301,0.9209,69907.0
2023-09-26,1.05,1.18,1.04,1.1,102360.0
2023-09-28,1.1193,1.12,1.08,1.12,13900.0
2023-09-29,1.27,1.27,1.0456,1.0456,1300.0
2023-10-02,1.11,1.11,1.1,1.1,717.0
2023-10-04,1.07,1.07,1.055,1.07,6307.0
2023-10-09,1.0188,1.0188,1.0182,1.0182,10100.0
2023-10-10,1.06,1.08,1.045,1.055,42464.0
2023-10-11,0.99,0.99,0.99,0.99,101.0
2023-10-13,0.96,0.96,0.9303,0.9303,3800.0
2023-10-16,0.9501,1.01,0.9412,0.97,3471.0
2023-10-17,1.01,1.01,1.01,1.01,151.0
2023-10-20,0.98,0.98,0.98,0.98,100.0
2023-10-23,0.9,0.9,0.8833,0.89,3500.0
2023-10-25,0.86,0.86,0.85,0.85,1200.0
2023-10-26,0.86,0.86,0.8051,0.8101,22640.0
2023-10-27,0.79,0.79,0.7286,0.77,4688.0
2023-10-30,0.8499,0.8499,0.76,0.76,200.0
2023-10-31,0.78,0.78,0.7401,0.7401,4599.0
2023-11-01,0.71,0.72,0.6602,0.68,30100.0
2023-11-02,0.69,0.69,0.665,0.6651,1800.0
2023-11-03,0.7125,0.7125,0.7076,0.71,5500.0
2023-11-06,0.6901,0.6901,0.68,0.68,2016.0
2023-11-08,0.7901,0.7901,0.7901,0.7901,169.0
2023-11-09,0.7,0.7,0.61,0.66,13274.0
2023-11-10,0.6598,0.6598,0.6532,0.6532,500.0
2023-11-14,0.6825,0.69125,0.68,0.6806,4319.0
2023-11-16,0.66,0.66,0.66,0.66,200.0
2023-11-17,0.66,0.66,0.6533,0.6599,2886.0
2023-11-20,0.6533,0.66,0.6523,0.6523,18600.0
2023-11-27,0.6,0.6,0.4845,0.51,468825.0
2023-11-28,0.515,0.515,0.45,0.45,13288.0
2023-11-29,0.63,0.63,0.58,0.59,300.0
2023-11-30,0.59,0.59,0.58,0.58,251.0
2023-12-01,0.63,0.63,0.63,0.63,100.0
2023-12-07,0.61,0.658651,0.6,0.658651,500.0
2023-12-08,0.650101,0.69014,0.650001,0.69014,998.0
2023-12-11,0.659,0.710851,0.659,0.71,25832.0
2023-12-12,0.6326,0.6326,0.6326,0.6326,104.0
2023-12-13,0.7171,0.7171,0.71,0.7171,6425.0
2023-12-14,0.78,0.8199,0.78,0.8199,7586.0
2023-12-20,0.8118,0.82,0.8118,0.82,3300.0
2023-12-21,0.82,0.88,0.82,0.88,4053.0
2023-12-26,0.88,0.8822,0.87,0.87,1660.0
2023-12-27,0.891,0.9,0.891,0.8999,506.0
2023-12-28,0.830201,0.962375,0.830201,0.962375,12692.0
2023-12-29,0.98,1.03,0.98,1.03,12950.0
2024-01-03,1.105,1.11,1.08,1.08,8434.0
2024-01-04,1.15,1.16,1.14,1.16,1200.0
2024-01-10,1.02,1.02,1.02,1.02,170.0
2024-01-11,1.13,1.13,1.1,1.1,570.0
2024-01-29,1.19,1.19,1.1,1.1,6000.0
2024-01-31,1.25,1.25,1.15,1.15,3000.0
2024-02-02,1.14,1.19,1.14,1.19,1000.0
2024-02-05,1.0,1.16,1.0,1.16,4464.0
2024-02-07,1.05,1.05,0.96,0.96,10100.0
2024-02-08,1.03,1.03,1.0,1.0,10202.0
2024-02-16,1.1,1.23,1.09,1.1783,3258.0
2024-02-20,1.16,1.17,1.16,1.17,203.0
2024-02-23,1.0999,1.1,1.055,1.0715,1601.0
2024-02-26,1.0248,1.0248,1.01,1.01,8728.0
2024-02-27,1.05,1.26,1.05,1.25,25830.0
2024-02-29,1.08,1.39,0.954,0.954,19122.0
2024-03-01,0.99,1.0,0.98,1.0,600.0
2024-03-04,1.01,1.02,0.91,0.91,1240.0
2024-03-05,0.89,0.89,0.8601,0.8601,1043.0
2024-03-06,0.9501,0.9501,0.9501,0.9501,360.0
2024-03-07,1.01,1.01,1.01,1.01,521.0
2024-03-11,0.95,0.95,0.95,0.95,14001.0
2024-03-12,0.9499,0.9499,0.79,0.79,3983.0
2024-03-13,0.81,0.81,0.81,0.81,100.0
2024-03-14,0.81,0.85,0.8,0.85,1300.0
2024-03-15,0.85,0.85,0.7526,0.7999,26620.0
2024-03-18,0.73,0.75,0.73,0.73,911.0
2024-03-19,0.8013,0.8013,0.705499,0.721,19140.0
2024-03-20,0.8,0.8131,0.69,0.7302,58236.0
2024-03-21,0.67,0.6997,0.5925,0.619,99853.0
2024-03-22,0.6425,0.723,0.605,0.64,15003.0
2024-03-25,0.700101,0.7962,0.6801,0.6801,22615.0
2024-03-26,0.6999,0.7315,0.6337,0.65,40258.0
2024-03-27,0.6999,0.7543,0.6277,0.6301,29175.0
2024-03-28,0.7,0.7599,0.6325,0.7025,6310.0
2024-04-01,0.7234,0.7899,0.6475,0.6475,8949.0
2024-04-02,0.7008,0.7467,0.6812,0.6812,734.0
2024-04-03,0.7469,0.7469,0.6051,0.6655,3000.0
2024-04-04,0.7658,0.7658,0.67,0.67,1432.0
2024-04-05,0.615,0.69,0.615,0.66,3225.0
2024-04-09,0.6601,0.6601,0.65,0.65,4103.0
2024-04-12,0.62,0.6796,0.6117,0.6403,6370.0
2024-04-15,0.61,0.61,0.61,0.61,1500.0
2024-04-16,0.61,0.61,0.58,0.58,3623.0
2024-04-18,0.5426,0.5498,0.5007,0.501,8007.0
2024-04-19,0.5499,0.5499,0.5238,0.5259,2300.0
2024-04-23,0.5443,0.55,0.52,0.52,24107.0
2024-04-24,0.586017,0.586017,0.53,0.53,4128.0
2024-04-25,0.55,0.55,0.55,0.55,100.0
2024-04-26,0.55,0.56,0.5,0.55,23100.0
2024-04-29,0.5888,0.65,0.5782,0.6,8300.0
2024-04-30,0.6262,0.6262,0.6188,0.6188,655.0
2024-05-02,0.578101,0.58,0.4801,0.5799,27036.0
2024-05-03,0.62,0.6243,0.62,0.6243,1001.0
2024-05-08,0.58,0.6052,0.5026,0.51,7499.0
2024-05-10,0.5346,0.57,0.49,0.57,4500.0
2024-05-13,0.58,0.580016,0.5077,0.579,17800.0
2024-05-17,0.6162,0.62,0.5899,0.5899,5266.0
2024-05-20,0.56,0.56,0.5001,0.5001,17000.0
2024-05-21,0.55,0.55,0.55,0.55,10000.0
2024-05-29,0.6,0.6,0.6,0.6,101.0
2024-05-31,0.5999,0.5999,0.5999,0.5999,1000.0
2024-06-03,0.6,0.65,0.6,0.65,26611.0
2024-06-04,0.56,0.56,0.56,0.56,1500.0
2024-06-05,0.5544,0.56,0.535099,0.535099,1801.0
2024-06-07,0.6435,0.69,0.5301,0.5913,3499.0
2024-06-13,0.6099,0.6099,0.6097,0.6097,5225.0
2024-06-14,0.5125,0.52,0.48,0.52,4602.0
2024-06-17,0.5799,0.59,0.5799,0.59,5000.0
2024-06-18,0.59,0.59,0.5841,0.59,5000.0
2024-06-20,0.5318,0.5799,0.4801,0.4975,14150.0
2024-06-21,0.4859,0.5,0.45,0.45,10821.0
2024-06-24,0.45,0.45,0.4238,0.425,8021.0
2024-06-25,0.41,0.4101,0.3499,0.3801,20516.0
2024-06-26,0.39,0.39,0.39,0.39,5001.0
2024-06-27,0.3957,0.4499,0.39,0.4299,10811.0
2024-06-28,0.4573,0.4573,0.4573,0.4573,112.0
2024-07-01,0.3939,0.4199,0.39,0.39,14000.0
2024-07-02,0.350724,0.378,0.321099,0.378,34076.0
2024-07-03,0.35,0.3501,0.35,0.35,3277.0
2024-07-05,0.3499,0.36,0.306,0.36,1845.0
2024-07-10,0.4257,0.4257,0.4257,0.4257,200.0
2024-07-11,0.57,0.57,0.372,0.372,19358.0
2024-07-12,0.4598,0.4598,0.4598,0.4598,100.0
2024-07-15,0.49,0.49,0.49,0.49,111.0
2024-07-16,0.4696,0.4696,0.4696,0.4696,100.0
2024-07-22,0.4494,0.4494,0.4494,0.4494,200.0
2024-07-24,0.4275,0.4275,0.4275,0.4275,273.0
2024-07-25,0.5799,0.5799,0.5799,0.5799,105.0
2024-07-29,0.47,0.5042,0.4275,0.5041,7868.0
2024-07-31,0.47,0.47,0.454,0.46,1953.0
2024-08-02,0.44,0.44,0.44,0.44,415.0
2024-08-05,0.4001,0.4003,0.4,0.4,6496.0
2024-08-08,0.3742,0.3989,0.335,0.3989,34568.0
2024-08-12,0.3761,0.38,0.37,0.38,10001.0
2024-08-13,0.429,0.4405,0.429,0.4348,1547.0
2024-08-15,0.4222,0.4222,0.4222,0.4222,102.0
2024-08-21,0.41,0.41,0.41,0.41,493.0
2024-08-27,0.398,0.3999,0.36,0.3642,9083.0
2024-08-30,0.4635,0.4635,0.4399,0.4399,590.0
2024-09-06,0.365,0.365,0.275,0.36,1106937.0
2024-09-09,0.4024,0.4024,0.4024,0.4024,101.0
2024-09-10,0.379899,0.379899,0.379899,0.379899,301.0
2024-09-11,0.384,0.384,0.384,0.384,993.0
2024-09-12,0.3825,0.3825,0.3651,0.3651,2815.0
2024-09-18,0.42,0.4201,0.415,0.42,49183.0
2024-09-23,0.3915,0.3915,0.3762,0.38,21994.0
2024-09-25,0.3761,0.38,0.3761,0.38,5015.0
2024-09-27,0.36,0.404951,0.36,0.404951,2400.0
2024-10-07,0.321,0.34,0.32,0.32,27404.0
2024-10-08,0.31,0.345,0.31,0.345,9004.0
2024-10-09,0.3,0.3,0.3,0.3,148499.0
2024-10-10,0.33,0.33,0.32,0.325,4002.0
2024-10-11,0.3276,0.33,0.2963,0.33,22800.0
2024-10-14,0.3,0.3,0.3,0.3,148505.0
2024-10-15,0.33,0.33,0.33,0.33,1000.0
2024-10-16,0.33,0.33,0.32,0.322976,541500.0
2024-10-17,0.33,0.33,0.32,0.325,509832.0
2024-10-21,0.33,0.33,0.33,0.33,24952.0
2024-10-23,0.325,0.325,0.325,0.325,988.0
2024-10-24,0.305,0.32,0.285,0.299,17886.0
2024-10-25,0.299,0.299,0.28,0.29,56575.0
2024-10-28,0.2351,0.32,0.2351,0.2901,47286.0
2024-10-31,0.3,0.3499,0.3,0.3,3505.0
2024-11-01,0.3201,0.3225,0.3201,0.3225,700.0
2024-11-05,0.37,0.385628,0.33,0.3312,7995.0
2024-11-06,0.39,0.4499,0.39,0.3925,5460.0
2024-11-11,0.4157,0.4199,0.4157,0.4198,1926.0
2024-11-13,0.345,0.345,0.3424,0.3425,5415.0
2024-11-14,0.3924,0.3984,0.3924,0.3924,870.0
2024-11-15,0.335,0.335,0.335,0.335,200.0
2024-11-18,0.3,0.303,0.24,0.292,7479.0
2024-11-19,0.292,0.295,0.235,0.295,3020.0
2024-11-20,0.3,0.3,0.2999,0.2999,1283.0
2024-11-21,0.3075,0.3075,0.285,0.285,1588.0
2024-11-26,0.3,0.3381,0.285,0.3381,257746.0
2024-11-29,0.3004,0.3004,0.3004,0.3004,200.0
2024-12-02,0.3004,0.3004,0.3004,0.3004,205.0
2024-12-03,0.32,0.32,0.32,0.32,1201.0
2024-12-04,0.3005,0.3525,0.3004,0.3005,16123.0
2024-12-09,0.34,0.34,0.3001,0.3001,1544.0
2024-12-10,0.33,0.33,0.33,0.33,500.0
2024-12-11,0.356,0.356,0.35,0.35,1300457.0
2024-12-12,0.34,0.345,0.3168,0.34,457630.0
2024-12-13,0.3205,0.3441,0.3205,0.329,302154.0
2024-12-16,0.3205,0.3205,0.3205,0.3205,527.0
2024-12-17,0.34,0.34,0.34,0.34,118.0
2024-12-18,0.3399,0.3401,0.3399,0.34,20860.0
2025-01-07,0.42,0.43,0.42,0.43,4500.0
2025-01-08,0.3205,0.4525,0.305,0.3205,1600.0
2025-01-10,0.3205,0.45,0.3205,0.4475,2502.0
2025-01-17,0.36,0.37,0.36,0.37,8484.0
2025-01-22,0.4332,0.4375,0.4332,0.4375,1800.0
2025-01-28,0.383092,0.383092,0.383092,0.383092,382.0
2025-01-30,0.4011,0.4011,0.4011,0.4011,160.0
2025-01-31,0.4175,0.4175,0.3901,0.395,1149.0
2025-02-05,0.363,0.363,0.363,0.363,266.0
2025-02-12,0.3805,0.45015,0.3805,0.4375,6106.0
2025-02-13,0.4375,0.4925,0.38,0.44,2833.0
2025-02-14,0.449,0.46,0.42,0.44055,2118.0
2025-02-18,0.495,0.495,0.3725,0.43,130273.0
2025-02-19,0.4375,0.4375,0.37,0.4243,4091.0
2025-02-20,0.39,0.52,0.3703,0.52,92679.0
