Date,Open,High,Low,Close,Volume
2025-04-22,4.0,4.4,3.24,3.35,916015.0
2025-04-23,3.25,3.45,3.1,3.21,182827.0
2025-04-24,3.15,3.33,3.0,3.115,95853.0
2025-04-25,3.07,3.2276,3.02,3.02,43052.0
2025-04-28,3.02,3.161,3.02,3.11,11223.0
2025-04-29,3.04,3.16,3.04,3.11,18797.0
2025-04-30,3.15,3.2406,3.04,3.18,29848.0
2025-05-01,3.15,3.24,3.15,3.15,5813.0
2025-05-02,3.2,3.25,3.18,3.18,8874.0
2025-05-05,3.1116,3.1273,3.03,3.0426,10359.0
2025-05-06,3.03,3.188,3.03,3.1,17531.0
2025-05-07,3.07,3.25,3.05,3.17,19645.0
2025-05-08,3.25,3.53,3.1673,3.28,55854.0
2025-05-09,3.1001,3.5,3.1,3.1289,16341.0
2025-05-12,3.19,3.29,3.1,3.1676,9446.0
2025-05-13,3.25,3.3428,3.05,3.22,19892.0
2025-05-14,3.06,3.34,3.06,3.17,7449.0
2025-05-15,3.08,3.24,3.05,3.23,12073.0
2025-05-16,3.05,3.39,3.05,3.23,5893.0
2025-05-19,3.21,3.3,3.0834,3.0834,1084.0
2025-05-20,3.0501,3.28,3.05,3.1449,8120.0
2025-05-21,3.09,3.25,3.05,3.05,4901.0
2025-05-22,3.13,3.4,3.1122,3.1601,32885.0
2025-05-23,3.16,3.39,3.03,3.25,30760.0
2025-05-27,3.2,3.2948,3.05,3.12,14685.0
2025-05-28,3.1,3.155,2.58,2.58,22712.0
2025-05-29,2.6241,2.685,1.7001,2.13,103777.0
2025-05-30,2.1501,2.3,2.025,2.3,39676.0
2025-06-02,2.18,2.7,2.07,2.7,25727.0
2025-06-03,2.8,2.8257,2.04,2.65,22647.0
2025-06-04,2.66,2.88,2.61,2.7105,11066.0
2025-06-05,2.31,2.9,2.31,2.7,9593.0
2025-06-06,2.5354,2.7515,2.5354,2.65,5065.0
2025-06-09,2.68,2.81,2.51,2.735,15425.0
2025-06-10,2.67,2.805,2.615,2.65,6168.0
2025-06-11,2.51,2.89,2.51,2.63,14639.0
2025-06-12,2.6408,2.831,2.4,2.6908,25232.0
2025-06-13,2.61,2.7,2.5,2.51,2621.0
2025-06-16,2.52,2.7,1.9,2.33,29756.0
2025-06-17,2.41,2.585,2.1629,2.32,21214.0
2025-06-18,2.38,2.4619,2.37,2.42,5035.0
2025-06-20,2.43,2.525,2.43,2.525,2995.0
2025-06-23,2.5007,2.68,2.5007,2.6799,4104.0
2025-06-24,2.66,2.66,2.2,2.31,29546.0
2025-06-25,2.31,2.49,2.15,2.36,15774.0
2025-06-26,2.36,2.37,2.125,2.25,15199.0
2025-06-27,2.39,2.47,2.18,2.32,12771.0
2025-06-30,2.1,2.61,2.1,2.3671,23580.0
2025-07-01,2.38,2.58,2.3486,2.43,5898.0
2025-07-02,1.89,1.92,1.5733,1.79,3726632.0
2025-07-03,1.68,1.732,1.5801,1.64,99641.0
2025-07-07,1.59,1.77,1.55,1.76,74079.0
2025-07-08,1.66,1.9,1.6301,1.79,143840.0
2025-07-09,1.77,1.8777,1.66,1.72,35992.0
2025-07-10,1.68,1.9,1.6506,1.78,50146.0
2025-07-11,1.73,1.8291,1.7,1.71,11784.0
2025-07-14,1.71,1.8199,1.63,1.7153,69093.0
2025-07-15,1.73,1.8497,1.7011,1.8,58343.0
2025-07-16,1.91,2.17,1.8207,2.11,72114.0
2025-07-17,2.1195,2.2524,1.99,2.02,100069.0
