Date,Open,High,Low,Close,Volume
2023-07-19,3.7,3.8229,3.65,3.67,60347
2023-07-20,3.65,3.7194,3.65,3.65,28463
2023-07-21,3.65,3.68,3.59,3.61,94757
2023-07-24,3.56,3.7299,3.5525,3.65,27757
2023-07-25,3.62,3.76,3.62,3.69,38392
2023-07-26,3.769,3.77,3.69,3.71,33759
2023-07-27,3.74,3.79,3.68,3.69,25848
2023-07-28,3.75,3.85,3.66,3.81,60158
2023-07-31,3.83,3.83,3.52,3.62,218604
2023-08-01,3.6,3.62,3.39,3.49,115111
2023-08-02,3.49,3.57,3.35,3.4,187907
2023-08-03,3.39,3.54,3.39,3.44,80132
2023-08-04,3.44,3.6,3.44,3.6,24624
2023-08-07,3.6,3.73,3.51,3.55,43631
2023-08-08,3.52,3.5799,3.48,3.49,34370
2023-08-09,3.5,3.6165,3.48,3.52,50146
2023-08-10,3.49,3.52,3.45,3.45,46992
2023-08-11,3.47,3.56,3.47,3.55,17165
2023-08-14,3.46,3.63,3.46,3.54,19958
2023-08-15,3.49,3.64,3.49,3.55,9973
2023-08-16,3.55,3.65,3.5,3.52,15304
2023-08-17,3.58,3.64,3.53,3.6,19338
2023-08-18,3.61,3.7,3.56,3.66,35440
2023-08-21,3.67,3.7,3.5564,3.56,18980
2023-08-22,3.56,3.57,3.515,3.53,9638
2023-08-23,3.52,3.63,3.42,3.42,19060
2023-08-24,3.42,3.46,3.42,3.42,20594
2023-08-25,3.42,3.52,3.41,3.43,18901
2023-08-28,3.48,3.53,3.45,3.46,24165
2023-08-29,3.41,3.5725,3.41,3.42,24450
2023-08-30,3.42,3.65,3.4,3.65,49305
2023-08-31,3.57,3.64,3.44,3.46,17858
2023-09-01,3.42,3.55,3.42,3.46,21231
2023-09-05,3.55,3.55,3.25,3.4,40488
2023-09-06,3.45,3.45,3.32,3.35,45315
2023-09-07,3.31,3.4299,3.3,3.32,50087
2023-09-08,3.3,3.5,3.3,3.46,29722
2023-09-11,3.41,3.5197,3.345,3.36,39231
2023-09-12,3.335,3.4672,3.335,3.36,23126
2023-09-13,3.3659,3.3659,3.27,3.29,21237
2023-09-14,3.3898,3.5,3.36,3.5,68134
2023-09-15,3.5,3.6,3.4763,3.6,49716
2023-09-18,3.59,3.7,3.57,3.7,73735
2023-09-19,3.66,3.7299,3.64,3.64,56615
2023-09-20,3.68,3.7,3.665,3.67,10700
2023-09-21,3.67,3.7,3.59,3.59,55074
2023-09-22,3.69,3.9,3.69,3.78,178164
2023-09-25,3.8,3.86,3.53,3.73,272421
2023-09-26,3.68,3.87,3.68,3.87,45386
2023-09-27,3.87,3.96,3.84,3.84,23016
2023-09-28,3.85,3.9099,3.73,3.76,19609
2023-09-29,3.73,3.83,3.72,3.72,28159
2023-10-02,3.77,3.77,3.64,3.66,75376
2023-10-03,3.61,3.75,3.6,3.73,52450
2023-10-04,3.73,3.74,3.63,3.65,25965
2023-10-05,3.64,3.745,3.63,3.74,12662
2023-10-06,3.75,3.75,3.63,3.66,8175
2023-10-09,3.64,3.8,3.64,3.75,37075
2023-10-10,3.8,3.8337,3.7804,3.82,18822
2023-10-11,3.84,3.8599,3.8042,3.83,14728
2023-10-12,3.86,3.99,3.8398,3.93,62023
2023-10-13,3.91,3.98,3.9,3.98,31435
2023-10-16,3.99,3.99,3.89,3.89,45022
2023-10-17,3.88,3.94,3.87,3.87,26837
2023-10-18,3.93,3.93,3.825,3.83,23772
2023-10-19,3.85,3.8911,3.79,3.79,32454
2023-10-20,3.762,3.87,3.762,3.83,12505
2023-10-23,3.85,3.9,3.8117,3.86,14960
2023-10-24,3.86,3.9073,3.8011,3.89,12618
2023-10-25,3.84,3.8793,3.8,3.8,13167
2023-10-26,3.76,3.8,3.72,3.72,33228
2023-10-27,3.73,3.91,3.73,3.89,48728
2023-10-30,3.9,3.982,3.805,3.85,46217
2023-10-31,3.8,3.875,3.8,3.8415,17260
