Date,Open,High,Low,Close,Volume
2023-07-19,5.22,5.61,5.22,5.5,290707.0
2023-07-20,5.5,5.54,5.34,5.43,160395.0
2023-07-21,5.52,5.62,5.3,5.31,157658.0
2023-07-24,5.28,5.375,5.16,5.16,100540.0
2023-07-25,5.14,5.27,5.1,5.22,103517.0
2023-07-26,5.19,5.27,5.16,5.2,77850.0
2023-07-27,5.21,5.41,5.19,5.26,126142.0
2023-07-28,5.32,5.42,5.27,5.32,94502.0
2023-07-31,5.31,5.399,5.19,5.31,98541.0
2023-08-01,5.27,5.3,5.15,5.19,70484.0
2023-08-02,5.16,5.21,5.09,5.14,58959.0
2023-08-03,5.19,5.2,5.0601,5.12,80106.0
2023-08-04,5.17,5.25,5.1,5.16,74047.0
2023-08-07,5.21,5.335,5.2,5.27,101119.0
2023-08-08,5.25,5.25,5.07,5.21,93175.0
2023-08-09,5.15,5.28,5.15,5.17,100457.0
2023-08-10,5.16,5.3,5.16,5.2,136667.0
2023-08-11,5.17,5.27,5.15,5.2,146527.0
2023-08-14,5.22,5.425,5.175,5.38,191653.0
2023-08-15,5.3,5.59,5.3,5.41,210996.0
2023-08-16,5.45,5.7,5.42,5.54,164177.0
2023-08-17,5.59,5.59,5.34,5.39,152349.0
2023-08-18,5.27,5.38,5.27,5.35,168360.0
2023-08-21,5.29,5.5653,5.29,5.36,138422.0
2023-08-22,5.53,5.58,5.36,5.5,165747.0
2023-08-23,5.55,5.55,5.43,5.46,122689.0
2023-08-24,5.42,5.58,5.38,5.41,130514.0
2023-08-25,5.46,5.51,5.38,5.46,86063.0
2023-08-28,5.4,5.74,5.4,5.73,176189.0
2023-08-29,5.74,5.78,5.65,5.72,189386.0
2023-08-30,5.69,5.94,5.67,5.91,150922.0
2023-08-31,5.94,6.015,5.85,5.91,161616.0
2023-09-01,5.95,5.97,5.8561,5.95,202017.0
2023-09-05,5.92,5.95,5.8,5.82,190975.0
2023-09-06,5.87,5.89,5.5,5.59,402768.0
2023-09-07,5.58,5.62,5.35,5.52,395393.0
2023-09-08,5.51,5.6,5.49,5.54,130447.0
2023-09-11,5.54,5.85,5.5296,5.77,281151.0
2023-09-12,5.79,5.83,5.44,5.54,188050.0
2023-09-13,5.56,5.77,5.52,5.63,245270.0
2023-09-14,5.72,5.77,5.63,5.76,156080.0
2023-09-15,5.76,5.88,5.61,5.81,562799.0
2023-09-18,5.88,5.88,5.76,5.8,185031.0
2023-09-19,5.81,5.83,5.61,5.63,110875.0
2023-09-20,5.67,5.7,5.44,5.45,160617.0
2023-09-21,5.38,5.42,5.26,5.28,108881.0
2023-09-22,5.3,5.34,5.16,5.18,146881.0
2023-09-25,5.16,5.23,5.09,5.185,118766.0
2023-09-26,5.24,5.24,5.1,5.15,124589.0
2023-09-27,5.16,5.49,5.16,5.35,226872.0
2023-09-28,5.44,5.44,5.22,5.25,90715.0
2023-09-29,5.3,5.35,5.03,5.09,162382.0
2023-10-02,5.05,5.14,4.95,4.98,126420.0
2023-10-03,5.03,5.04,4.89,4.93,114643.0
2023-10-04,4.95,5.07,4.79,4.8,161670.0
2023-10-05,4.8,4.96,4.58,4.85,210082.0
2023-10-06,4.87,4.975,4.75,4.96,167928.0
2023-10-09,4.89,5.0,4.81,4.99,71755.0
2023-10-10,5.02,5.14,4.945,4.96,131011.0
2023-10-11,4.96,4.98,4.72,4.82,125397.0
2023-10-12,4.88,4.88,4.685,4.7,108755.0
2023-10-13,4.79,4.79,4.56,4.61,120059.0
2023-10-16,4.54,4.77,4.47,4.72,134746.0
2023-10-17,4.63,4.8,4.63,4.73,95189.0
2023-10-18,4.7,4.75,4.5974,4.73,94982.0
2023-10-19,4.74,4.77,4.58,4.59,103503.0
2023-10-20,4.58,4.615,4.52,4.57,172774.0
2023-10-23,4.53,4.65,4.49,4.49,116981.0
2023-10-24,4.56,4.7,4.4671,4.68,136099.0
2023-10-25,4.59,4.78,4.59,4.74,111305.0
2023-10-26,4.81,4.85,4.57,4.66,116833.0
2023-10-27,4.7,4.71,4.55,4.57,87832.0
2023-10-30,4.69,4.69,4.51,4.6,96402.0
2023-10-31,4.64,4.76,4.57,4.73,107234.0
2023-11-01,4.75,4.75,4.41,4.47,148751.0
2023-11-02,4.45,4.71,4.45,4.7,121148.0
2023-11-03,4.75,5.015,4.68,4.93,209969.0
2023-11-06,4.93,4.96,4.82,4.86,112628.0
2023-11-07,4.73,5.02,4.73,4.9,100581.0
2023-11-08,4.87,4.9,4.81,4.87,73896.0
2023-11-09,4.87,4.97,4.8301,4.85,88112.0
2023-11-10,4.89,4.89,4.705,4.76,135455.0
2023-11-13,4.69,4.81,4.6414,4.71,69449.0
2023-11-14,4.84,5.13,4.75,5.11,197062.0
2023-11-15,5.07,5.2,5.01,5.01,105988.0
2023-11-16,4.96,5.03,4.9,4.95,89185.0
2023-11-17,4.97,5.04,4.96,5.02,124635.0
2023-11-20,5.07,5.07,4.95,4.96,56139.0
2023-11-21,4.96,5.0,4.8,4.81,86889.0
2023-11-22,4.84,4.95,4.77,4.95,62558.0
2023-11-24,4.98,5.05,4.9,4.94,61098.0
2023-11-27,4.89,4.89,4.81,4.83,95078.0
2023-11-28,4.88,4.88,4.7,4.74,103020.0
2023-11-29,4.75,4.865,4.69,4.75,224059.0
2023-11-30,4.82,4.82,4.69,4.7,151611.0
2023-12-01,4.6601,4.74,4.66,4.68,207639.0
