Date,Open,High,Low,Close,Volume
2023-07-19,16.06,16.48,15.83,15.91,297534.0
2023-07-20,16.15,16.2504,15.78,15.89,268710.0
2023-07-21,16.06,16.13,15.7879,16.03,229612.0
2023-07-24,16.05,16.57,16.05,16.4,319745.0
2023-07-25,16.34,16.76,16.34,16.6,289026.0
2023-07-26,16.54,16.82,16.4639,16.63,225108.0
2023-07-27,16.73,16.76,16.31,16.4,282720.0
2023-07-28,16.53,16.83,16.43,16.69,286707.0
2023-07-31,16.87,17.19,16.76,17.08,493260.0
2023-08-01,16.87,17.14,16.79,17.12,263037.0
2023-08-02,16.99,17.1,16.52,16.64,268285.0
2023-08-03,16.74,17.015,16.02,16.48,361229.0
2023-08-04,16.71,16.76,16.19,16.2,301481.0
2023-08-07,16.29,16.5984,16.04,16.44,292577.0
2023-08-08,16.14,16.48,15.91,16.46,264652.0
2023-08-09,16.86,17.16,16.68,16.78,435770.0
2023-08-10,16.7,16.87,16.49,16.62,204933.0
2023-08-11,16.45,16.69,16.44,16.57,170572.0
2023-08-14,16.33,16.41,16.14,16.34,183937.0
2023-08-15,16.1,16.23,15.91,15.98,232471.0
2023-08-16,15.99,16.17,15.75,15.76,215977.0
2023-08-17,16.01,16.11,15.852,16.0,251783.0
2023-08-18,15.79,16.16,15.786,16.0,361170.0
2023-08-21,16.13,16.328,15.915,16.02,169519.0
2023-08-22,16.02,16.17,15.81,15.83,188449.0
2023-08-23,15.67,15.8,15.4,15.64,255421.0
2023-08-24,15.48,15.66,15.38,15.43,245798.0
2023-08-25,15.45,15.71,15.27,15.53,289375.0
2023-08-28,15.66,15.935,15.57,15.75,198502.0
2023-08-29,15.76,15.95,15.52,15.81,246330.0
2023-08-30,15.83,16.0,15.79,15.99,191739.0
2023-08-31,16.14,16.14,15.92,15.99,207690.0
2023-09-01,16.17,16.46,16.09,16.41,260958.0
2023-09-05,16.46,16.6,16.26,16.26,216897.0
2023-09-06,16.3,16.43,16.0,16.28,244448.0
2023-09-07,16.28,16.41,16.185,16.23,335625.0
2023-09-08,16.33,16.59,16.23,16.58,236931.0
2023-09-11,16.63,16.65,16.15,16.23,224612.0
2023-09-12,16.46,16.92,16.36,16.8,248772.0
2023-09-13,16.88,16.88,16.38,16.48,220450.0
2023-09-14,16.65,16.8325,16.1,16.24,562506.0
2023-09-15,16.12,16.22,15.71,15.78,827361.0
2023-09-18,15.76,15.93,15.505,15.54,331875.0
2023-09-19,15.71,15.85,15.42,15.5,224171.0
2023-09-20,15.41,15.6885,15.37,15.42,255171.0
2023-09-21,15.35,15.41,15.09,15.24,410460.0
2023-09-22,15.43,15.54,15.24,15.25,251009.0
2023-09-25,15.24,15.49,15.21,15.43,317940.0
2023-09-26,15.23,15.5525,15.23,15.34,274849.0
2023-09-27,15.62,15.96,15.5,15.82,383762.0
2023-09-28,15.82,16.0,15.77,15.81,361183.0
2023-09-29,15.84,15.84,15.579,15.66,272697.0
2023-10-02,15.56,15.66,14.85,14.98,388074.0
2023-10-03,14.78,15.11,14.68,15.08,340382.0
2023-10-04,14.85,14.9402,14.5,14.6,434103.0
2023-10-05,14.48,14.7699,14.44,14.68,376119.0
2023-10-06,14.79,15.2,14.47,15.02,399542.0
2023-10-09,15.46,15.78,15.39,15.76,307261.0
2023-10-10,15.77,15.89,15.68,15.78,154119.0
2023-10-11,15.62,15.8,15.5401,15.66,399992.0
2023-10-12,15.83,15.83,15.58,15.7,208010.0
2023-10-13,15.97,16.33,15.97,16.26,318494.0
2023-10-16,16.41,16.505,16.22,16.31,308111.0
2023-10-17,16.31,16.56,16.31,16.44,189461.0
2023-10-18,16.5,16.59,16.38,16.49,168252.0
2023-10-19,16.37,16.5999,16.3283,16.44,196998.0
2023-10-20,16.4,16.45,16.21,16.26,246191.0
2023-10-23,16.07,16.17,15.92,15.98,213916.0
2023-10-24,16.1,16.1,15.81,15.83,198604.0
2023-10-25,15.77,16.01,15.7,15.83,184851.0
2023-10-26,15.69,15.934,15.54,15.89,296165.0
2023-10-27,15.9,15.92,15.65,15.89,181489.0
2023-10-30,15.85,16.0335,15.55,15.65,159925.0
2023-10-31,15.78,15.85,15.59,15.85,188545.0
2023-11-01,15.85,15.94,15.69,15.86,172976.0
2023-11-02,16.08,16.1974,15.86,16.01,272897.0
2023-11-03,16.07,16.2391,15.94,16.12,198094.0
2023-11-06,16.12,16.12,15.395,15.46,352404.0
2023-11-07,14.96,15.0799,14.6,14.64,791692.0
2023-11-08,14.49,14.63,14.18,14.19,332781.0
2023-11-09,14.25,14.54,14.25,14.25,258549.0
2023-11-10,14.28,14.44,14.025,14.29,334156.0
2023-11-13,14.4,14.73,14.23,14.69,359262.0
2023-11-14,14.79,15.02,14.72,15.0,435039.0
2023-11-15,14.94,15.07,14.85,14.88,323288.0
2023-11-16,14.63,14.65,14.26,14.35,406384.0
2023-11-17,14.47,14.74,14.4,14.47,374499.0
2023-11-20,14.52,14.7,14.45,14.59,303824.0
2023-11-21,14.6,14.75,14.395,14.48,281524.0
2023-11-22,14.25,14.46,14.15,14.42,408778.0
2023-11-24,14.37,14.64,14.36,14.5,263653.0
2023-11-27,14.37,14.4,14.09,14.15,350675.0
2023-11-28,14.12,14.29,14.0,14.01,366320.0
2023-11-29,14.14,14.21,13.86,13.9,292373.0
2023-11-30,14.07,14.19,13.78,13.81,847159.0
2023-12-01,13.76,14.1,13.76,13.99,430034.0
2023-12-04,13.9,13.93,13.7,13.83,499111.0
2023-12-05,13.9,13.9587,13.56,13.6,365984.0
2023-12-06,13.61,13.8,13.33,13.39,460292.0
