Date,Open,High,Low,Close,Volume
2023-07-19,1.45,1.58,1.44,1.465,2975328.0
2023-07-20,1.5,1.5285,1.42,1.425,1387783.0
2023-07-21,1.43,1.45,1.35,1.39,1368578.0
2023-07-24,1.38,1.43,1.315,1.32,1260809.0
2023-07-25,1.33,1.365,1.3,1.35,1119530.0
2023-07-26,1.36,1.36,1.32,1.34,688999.0
2023-07-27,1.36,1.36,1.21,1.21,1274700.0
2023-07-28,1.23,1.335,1.225,1.32,1141470.0
2023-07-31,1.33,1.38,1.305,1.315,898440.0
2023-08-01,1.29,1.35,1.265,1.28,1361245.0
2023-08-02,1.28,1.28,1.22,1.24,1108986.0
2023-08-03,1.22,1.24,1.19,1.2,1817917.0
2023-08-04,1.2,1.24,1.18,1.18,598060.0
2023-08-07,1.19,1.19,1.14,1.17,1087698.0
2023-08-08,1.16,1.17,1.12,1.14,1086919.0
2023-08-09,1.11,1.12,1.045,1.05,2296420.0
2023-08-10,1.07,1.115,1.06,1.08,1226036.0
2023-08-11,1.06,1.11,1.06,1.08,823886.0
2023-08-14,1.06,1.06,0.9705,1.02,2734110.0
2023-08-15,1.05,1.0601,1.01,1.01,1194718.0
2023-08-16,0.9961,1.0099,0.9136,0.9261,1641779.0
2023-08-17,0.93,0.9497,0.9001,0.9194,916694.0
2023-08-18,0.92,0.9499,0.9,0.9166,764529.0
2023-08-21,0.91,0.9359,0.88,0.9232,776304.0
2023-08-22,0.965,0.9675,0.9025,0.9087,524526.0
2023-08-23,0.93,0.9586,0.9,0.9072,499558.0
2023-08-24,0.9053,0.9285,0.8703,0.88,634120.0
2023-08-25,0.8802,0.8916,0.77,0.7701,2400238.0
2023-08-28,0.8,0.97645,0.8,0.834,3634433.0
2023-08-29,0.8512,0.92,0.8201,0.92,1177657.0
2023-08-30,0.9,0.9498,0.8992,0.948,727423.0
2023-08-31,0.9518,0.9776,0.92,0.9693,1047181.0
2023-09-01,0.98,0.9997,0.9508,0.9826,973401.0
2023-09-05,0.98,0.99,0.95,0.9641,1106663.0
2023-09-06,0.96,1.02,0.94,1.0,908582.0
2023-09-07,1.0,1.03,0.94,0.9523,1763119.0
2023-09-08,0.944,0.9588,0.88,0.8842,655895.0
2023-09-11,0.9007,0.9407,0.88,0.9301,533348.0
2023-09-12,0.9319,1.01,0.9079,0.9935,823859.0
2023-09-13,1.02,1.15,1.01,1.06,1627005.0
2023-09-14,1.06,1.07,1.0,1.0,559907.0
2023-09-15,1.0,1.08,0.9825,0.9993,1382914.0
2023-09-18,0.99,0.99,0.84,0.8675,3761705.0
2023-09-19,0.8701,0.9,0.83,0.8456,650403.0
2023-09-20,0.8412,0.883099,0.84,0.8416,398110.0
2023-09-21,0.82,0.8201,0.78,0.8106,601229.0
2023-09-22,0.7967,0.8298,0.7625,0.7715,656909.0
2023-09-25,0.7829,0.7829,0.66015,0.6933,2086409.0
2023-09-26,0.6633,0.75,0.6516,0.6768,8170245.0
2023-09-27,0.673,0.72,0.5982,0.5993,1962803.0
2023-09-28,0.601,0.6289,0.56,0.5773,3144859.0
2023-09-29,0.6,0.6482,0.58,0.5998,2471007.0
2023-10-02,0.6,0.63,0.57,0.6,2491309.0
2023-10-03,0.5994,0.6018,0.5612,0.5715,1600055.0
2023-10-04,0.5817,0.592,0.5349,0.5385,1771396.0
2023-10-05,0.54,0.562,0.5006,0.5147,11344929.0
2023-10-06,0.5197,0.5618,0.5126,0.55,3507122.0
2023-10-09,0.584,0.584,0.4946,0.52,5753670.0
2023-10-10,0.528,0.5698,0.5202,0.5476,3982310.0
2023-10-11,0.5474,0.58495,0.5474,0.569,1779393.0
2023-10-12,0.56,0.5601,0.495,0.495,2558123.0
2023-10-13,0.5163,0.5789,0.5095,0.56,3902846.0
2023-10-16,0.5701,0.58,0.52,0.5589,1548303.0
2023-10-17,0.56,0.59,0.555,0.5773,704475.0
2023-10-18,0.5793,0.58969,0.53,0.536,1021994.0
2023-10-19,0.535,0.5475,0.5,0.5314,795049.0
2023-10-20,0.53,0.5565,0.5107,0.5154,702496.0
2023-10-23,0.5,0.5397,0.485,0.4863,1161330.0
2023-10-24,0.495,0.5272,0.4803,0.4856,1128794.0
2023-10-25,0.4972,0.52,0.4721,0.48,2728502.0
2023-10-26,0.474,0.4952,0.4637,0.4735,1068848.0
2023-10-27,0.488,0.4959,0.4655,0.4658,861832.0
2023-10-30,0.4829,0.53,0.455,0.5268,1252036.0
2023-10-31,0.524,0.64,0.518,0.6302,2425587.0
2023-11-01,0.65,0.66,0.54,0.5908,1498388.0
2023-11-02,0.5445,0.5599,0.4446,0.46,2669853.0
2023-11-03,0.455,0.4905,0.455,0.46,1979380.0
2023-11-06,0.455,0.4692,0.42,0.4416,2093372.0
2023-11-07,0.427,0.4499,0.4168,0.42,2028770.0
2023-11-08,0.425,0.4408,0.38,0.38,2027818.0
2023-11-09,0.3779,0.399,0.315,0.3291,5251242.0
2023-11-10,0.335,0.335,0.2957,0.2971,3254428.0
2023-11-13,0.3003,0.3129,0.2911,0.3023,2102925.0
2023-11-14,0.31,0.3401,0.305,0.3369,3009280.0
2023-11-15,0.3426,0.422,0.3413,0.3652,2953431.0
2023-11-16,0.3675,0.3864,0.3324,0.3507,2009215.0
2023-11-17,0.3627,0.3894,0.35,0.3847,2686019.0
2023-11-20,0.3855,0.451,0.382,0.415,2310259.0
2023-11-21,0.42,0.441,0.37,0.3738,1220439.0
2023-11-22,0.3738,0.3932,0.35,0.3583,1080107.0
2023-11-24,0.36,0.3947,0.36,0.3821,664257.0
2023-11-27,0.4,0.405,0.3552,0.3735,875373.0
2023-11-28,0.3861,0.4043,0.362,0.3917,928148.0
2023-11-29,0.3998,0.4299,0.39,0.4112,1007792.0
2023-11-30,0.4149,0.5,0.4112,0.43,3260186.0
2023-12-01,0.4596,0.4669,0.43,0.4541,1189507.0
2023-12-04,0.4434,0.52,0.44,0.4848,1226731.0
2023-12-05,0.49,0.5089,0.4421,0.4509,829874.0
2023-12-06,0.47,0.4915,0.4411,0.4481,774212.0
2023-12-07,0.4481,0.5,0.41,0.4575,857895.0
2023-12-08,0.4438,0.5461,0.4337,0.485,1473940.0
2023-12-11,0.4704,0.5,0.43,0.4501,983033.0
2023-12-12,0.4502,0.4739,0.4333,0.4362,648627.0
2023-12-13,0.44,0.4499,0.39,0.4378,1120725.0
2023-12-14,0.421,0.47,0.421,0.43,1212741.0
2023-12-15,0.4463,0.4884,0.39815,0.4151,3247824.0
2023-12-18,0.42,0.441,0.37,0.3822,1455734.0
2023-12-19,0.39,0.4095,0.3798,0.3964,2140414.0
2023-12-20,0.4,0.42,0.3601,0.3624,1193198.0
2023-12-21,0.365,0.3968,0.3462,0.3875,1268148.0
2023-12-22,0.3883,0.438,0.3883,0.4204,1552717.0
2023-12-26,0.4,0.485,0.3951,0.4756,1535631.0
2023-12-27,0.4774,0.5499,0.47,0.537,2342715.0
2023-12-28,0.55,0.65,0.54,0.599,3337107.0
2023-12-29,0.6289,0.64,0.54,0.5433,1838071.0
2024-01-02,0.5424,0.593,0.5329,0.5563,1385734.0
2024-01-03,0.5552,0.6003,0.53,0.5348,1036145.0
2024-01-04,0.5378,0.55,0.4801,0.4946,1886865.0
2024-01-05,0.48,0.4946,0.42465,0.454,1867268.0
2024-01-08,0.4624,0.52,0.4441,0.5148,1600905.0
2024-01-09,0.52,0.5929,0.51,0.5661,2385861.0
2024-01-10,0.56,0.63,0.5332,0.55,1438233.0
2024-01-11,0.5572,0.5755,0.5008,0.5048,1159942.0
2024-01-12,0.5007,0.5576,0.5007,0.5156,1101405.0
2024-01-16,0.5139,0.5349,0.4601,0.4673,1165551.0
2024-01-17,0.46,0.48,0.43595,0.4446,1013566.0
2024-01-18,0.4321,0.4508,0.39,0.4157,1433336.0
2024-01-19,0.4374,0.4418,0.4,0.4321,1045185.0
2024-01-22,0.44,0.468,0.421,0.4547,1518884.0
2024-01-23,0.47,0.4837,0.4321,0.4542,646921.0
2024-01-24,0.46,0.479,0.4212,0.4418,846401.0
2024-01-25,0.4489,0.46914,0.43,0.4523,420002.0
2024-01-26,0.4476,0.4495,0.411,0.4235,1091469.0
2024-01-29,0.43,0.456,0.4113,0.4464,1208617.0
2024-01-30,0.45,0.4699,0.423,0.459,808704.0
2024-01-31,0.4785,0.5,0.43,0.457,1554773.0
2024-02-01,0.4765,0.5018,0.45,0.5,2429564.0
2024-02-02,0.5195,0.5195,0.485,0.4916,1441669.0
2024-02-05,0.51,0.575,0.51,0.56,3179735.0
2024-02-06,0.57,0.59,0.4906,0.5207,2538658.0
2024-02-07,0.53,0.5393,0.483,0.4847,1059256.0
2024-02-08,0.507,0.5691,0.47,0.55,1789319.0
2024-02-09,0.54,0.5909,0.5398,0.5744,1601556.0
2024-02-12,0.623,0.847,0.6105,0.805,8501560.0
2024-02-13,0.8,0.805,0.65,0.6701,3801267.0
2024-02-14,0.72,0.828,0.670201,0.7538,2633605.0
2024-02-15,0.77,1.095,0.75,1.05,6718761.0
2024-02-16,1.1,1.48,0.98,1.38,13559752.0
2024-02-20,1.36,1.37,1.15,1.18,5547890.0
2024-02-21,1.1,1.25,1.02,1.235,2971009.0
2024-02-22,1.29,1.29,1.08,1.1,2509268.0
2024-02-23,1.15,1.21,1.05,1.13,2330099.0
2024-02-26,1.14,1.15,1.02,1.12,2292897.0
2024-02-27,1.15,1.32,1.11,1.13,2946575.0
2024-02-28,1.13,1.2,1.06,1.07,2474176.0
2024-02-29,1.11,1.19,1.08,1.16,2435481.0
2024-03-01,1.15,1.17,1.06,1.11,1670666.0
2024-03-04,1.11,1.12,0.99,1.02,2511817.0
2024-03-05,0.9896,1.04,0.97,1.03,1423077.0
2024-03-06,1.05,1.05,0.98,1.01,1351802.0
2024-03-07,1.04,1.04,0.8951,0.9193,2220836.0
2024-03-08,0.9193,0.99,0.878,0.9061,1391209.0
2024-03-11,0.91,0.94,0.8608,0.8824,847726.0
2024-03-12,0.85,0.8822,0.84,0.8611,1188607.0
2024-03-13,0.88,0.92,0.777,0.7851,2866521.0
2024-03-14,0.84,0.92,0.7763,0.78,2373888.0
2024-03-15,0.8417,0.8654,0.777,0.78,3225773.0
2024-03-18,0.7649,0.8662,0.76,0.851,2089347.0
2024-03-19,0.87,0.9198,0.7631,0.77,2363074.0
2024-03-20,0.7882,0.8275,0.76,0.8161,1075021.0
2024-03-21,0.84,0.9782,0.8398,0.9703,2557942.0
2024-03-22,0.92,0.925,0.7,0.703,6598653.0
2024-03-25,0.73,0.75,0.6417,0.6417,2855904.0
2024-03-26,0.6612,0.6699,0.591,0.6034,2282595.0
2024-03-27,0.6057,0.6444,0.591,0.6247,2650625.0
2024-03-28,0.625,0.6734,0.62,0.6702,1264612.0
2024-04-01,0.6702,0.6938,0.592,0.6076,2499388.0
2024-04-02,0.6105,0.6198,0.57,0.5814,2062683.0
2024-04-03,0.5814,0.63,0.555,0.61,1413360.0
2024-04-04,0.6003,0.6214,0.57,0.5747,2133510.0
2024-04-05,0.571,0.5979,0.5411,0.5612,1173782.0
2024-04-08,0.587,0.5918,0.5521,0.5654,1377316.0
2024-04-09,0.582,0.5942,0.55,0.5624,1284188.0
2024-04-10,0.55,0.5575,0.521,0.524,2045887.0
2024-04-11,0.5212,0.5747,0.5085,0.5452,2720229.0
2024-04-12,0.5452,0.57,0.5234,0.5434,1350251.0
2024-04-15,0.56,0.57,0.5383,0.5551,1708055.0
2024-04-16,0.5569,0.559,0.531,0.542,992597.0
2024-04-17,0.54,0.549,0.51,0.516,1169195.0
2024-04-18,0.5172,0.5299,0.481,0.4851,1744218.0
