Date,Open,High,Low,Close,Volume
2023-07-19,202.0,206.0,200.02,204.0,464.605
2023-07-20,200.0,206.0,198.66,200.0,361.62
2023-07-21,200.0,202.0,188.0,192.0,1142.165
2023-07-24,199.52,202.0,188.0,188.0,578.79
2023-07-25,196.0,196.0,167.4,177.0,1193.705
2023-07-26,180.5,182.0,174.96,179.82,261.12
2023-07-27,185.74,190.0,177.18,178.0,289.515
2023-07-28,184.0,189.0,174.06,181.0,910.305
2023-07-31,179.4896,187.98,176.0,180.02,534.24
2023-08-01,176.0,185.98,176.0,182.0,431.465
2023-08-02,184.0,185.0096,178.0,180.02,366.97
2023-08-03,177.82,186.0,174.42,182.98,368.48
2023-08-04,182.98,182.98,164.12,171.5,1559.07
2023-08-07,171.48,171.48,162.22,168.0,540.845
2023-08-08,164.0,170.0,162.94,169.92,598.095
2023-08-09,168.0,169.0,162.0,163.18,311.19
2023-08-10,162.0,168.0,158.02,163.14,511.415
2023-08-11,160.0,165.96,156.8,165.3,507.255
2023-08-14,162.0,176.0,161.1,174.0,952.6
2023-08-15,171.0,174.0,164.0,164.02,241.425
2023-08-16,164.0,166.0992,158.0,158.0,448.38
2023-08-17,170.0,170.0,154.02,156.08,593.225
2023-08-18,159.98,160.0,150.0,150.5,358.97
2023-08-21,152.0,156.0,150.0,152.0,520.57
2023-08-22,155.98,156.0,148.0,148.0,288.83
2023-08-23,151.98,151.98,144.18,146.12,579.995
2023-08-24,144.18,150.0,142.8,143.06,230.67
2023-08-25,142.98,142.98,136.0,141.02,678.52
2023-08-28,141.52,141.98,131.3,139.9,567.685
2023-08-29,145.16,152.0,130.26,148.0,5433.97
2023-08-30,149.3,159.98,146.0,152.0,1808.385
2023-08-31,160.0,161.86,140.94,147.98,1072.03
2023-09-01,146.0,158.4,146.0,154.84,717.755
2023-09-05,157.56,160.5,150.08,159.0,366.36
2023-09-06,155.98,155.98,141.52,145.16,434.8
2023-09-07,141.8,145.12,103.7,135.0,1807.63
2023-09-08,130.96,139.0,130.0,139.0,434.245
2023-09-11,139.0,155.8,132.22,140.0,1819.995
2023-09-12,136.0,150.0,136.0,140.0,231.11
2023-09-13,142.4,148.0,136.0,140.02,407.29
2023-09-14,140.4,145.06,130.0,135.5,577.75
2023-09-15,136.0,142.6,128.0,142.6,744.585
2023-09-18,138.8,140.0,122.0,132.0,1252.305
2023-09-19,131.86,144.0,125.02,133.04,354.33
2023-09-20,130.36,134.0,126.1,127.24,521.715
2023-09-21,126.16,134.0,124.0,127.5,341.08
2023-09-22,132.0,132.0,114.16,120.0,453.5
2023-09-25,127.52,131.72,115.28,118.9,1877.6
2023-09-26,126.0,136.0,118.02,120.0,2900.3
2023-09-27,120.0,122.0,110.0,111.0,934.76
2023-09-28,114.0,119.42,112.54,117.02,97.44
2023-09-29,116.0,122.0,114.4,122.0,119.05
2023-10-02,123.98,126.0,110.02,115.44,476.25
2023-10-03,118.72,118.72,98.0,102.0,1577.9
2023-10-04,106.1,107.8,99.0,106.9,214.835
2023-10-05,104.58,107.0904,101.36,102.0,102.23
2023-10-06,96.0,118.0,96.0,110.16,1303.04
2023-10-09,106.6,114.96,100.22,114.0,255.645
2023-10-10,109.98,125.0,109.98,118.02,313.025
2023-10-11,115.64,123.96,112.7,118.64,340.17
2023-10-12,118.64,129.0,118.64,127.1,350.395
2023-10-13,126.56,133.8,124.0,124.0,529.06
2023-10-16,120.0,130.0,118.02,122.0,326.725
2023-10-17,122.0,130.02,119.14,120.0,90.94
2023-10-18,120.0,123.0,118.0,118.0,80.915
2023-10-19,114.0,122.0,104.02,116.7,521.98
2023-10-20,112.0,121.02,108.68,116.02,62.115
2023-10-23,116.5,124.0,105.72,105.72,98.67
2023-10-24,108.0,113.4,84.0,98.0,2458.69
2023-10-25,102.0,102.5,90.0,100.0,365.25
2023-10-26,92.1,100.0,92.08,98.4,176.21
2023-10-27,99.98,99.98,96.64,98.4,26.625
2023-10-30,98.0,100.0,91.2,95.4,1030.215
2023-10-31,98.5,103.9,90.36,93.8,875.105
2023-11-01,92.42,96.0,84.2,96.0,574.045
2023-11-02,90.0,103.96,90.0,100.0,219.78
2023-11-03,101.0,106.0,99.0,100.04,371.84
2023-11-06,100.02,102.0,94.46,102.0,77.345
2023-11-07,98.0,104.0,97.04,99.86,131.29
2023-11-08,98.4,103.0,90.02,102.7,332.465
2023-11-09,98.0,102.0,96.0,99.98,142.18
2023-11-10,100.0,100.0,95.22,96.16,130.895
2023-11-13,95.2,101.0,95.2,100.44,119.605
2023-11-14,101.5,104.0,95.62,99.98,353.32
2023-11-15,100.0,104.8,96.82,101.9,134.225
2023-11-16,105.0,105.0,96.94,102.9,168.87
2023-11-17,92.6,100.4,92.6,97.0,111.665
2023-11-20,104.0,104.0,96.0,100.0488,168.19
2023-11-21,100.0,102.8,96.24,99.6,78.045
2023-11-22,101.04,102.46,97.22,100.02,65.89
2023-11-24,94.66,102.0,94.66,102.0,80.185
2023-11-27,105.1,105.1,98.48,99.0,62.545
2023-11-28,99.38,101.0,94.88,97.56,73.94
2023-11-29,100.0,100.0,97.06,97.12,87.29
2023-11-30,97.02,100.0,91.66,99.98,243.41
2023-12-01,98.02,102.0,96.08,100.02,76.455
2023-12-04,96.02,100.0,96.0,96.04,182.145
2023-12-05,97.7,102.0,96.0,98.0,167.24
2023-12-06,99.5304,104.0,96.02,103.0,525.685
2023-12-07,100.0,104.0,97.9,100.0,582.97
2023-12-08,100.34,104.0,98.0,99.98,245.69
