Date,Open,High,Low,Close,Volume
2023-07-19,7.575,8.0625,6.225,7.5938,945.7893
2023-07-20,6.375,7.4625,6.375,7.4625,450.9733
2023-07-21,7.4625,7.4625,6.375,7.0331,1333.7973
2023-07-24,7.05,7.1813,7.05,7.05,81.7333
2023-07-25,7.1419,7.1419,7.125,7.125,96.2667
2023-07-26,7.3125,7.3125,4.5,6.7125,3029.36
2023-07-27,6.5438,6.5438,6.5438,6.5438,3.1467
2023-07-28,6.5625,6.6375,6.5625,6.6375,402.6667
2023-07-31,6.6375,6.6375,6.525,6.5625,613.3333
2023-08-01,6.6375,7.4625,6.6,7.4625,1225.3413
2023-08-02,6.915,7.275,6.6,7.275,498.6293
2023-08-03,7.0125,7.5,7.0125,7.5,706.6667
2023-08-07,7.5,7.6875,7.5,7.5,1042.672
2023-08-08,7.5,8.0625,7.125,7.125,623.6427
2023-08-09,7.5,7.875,7.3313,7.875,166.8
2023-08-10,7.3313,7.5,6.75,7.5,1585.3467
2023-08-11,6.9638,6.9638,6.9638,6.9638,13.7333
2023-08-14,7.0875,7.0875,7.0875,7.0875,0.8
2023-08-15,6.75,7.1719,6.5625,7.1719,594.6667
2023-08-16,7.5,7.5,5.925,5.925,114.0693
2023-08-17,7.125,7.125,7.125,7.125,32.0
2023-08-18,6.375,6.375,6.375,6.375,173.3333
2023-08-21,7.125,7.125,6.9375,6.9375,189.192
2023-08-22,6.9375,6.9375,6.9375,6.9375,146.6667
2023-08-23,6.75,6.75,6.375,6.375,56.0
2023-08-24,7.125,7.875,6.375,6.375,2303.5493
2023-08-25,6.7875,7.5,6.7875,6.9375,1008.6667
2023-08-28,7.875,7.875,6.7875,6.9375,369.28
2023-08-29,7.875,8.55,6.9563,6.9563,4556.3733
2023-08-30,7.5,7.5,6.525,6.525,371.4133
2023-08-31,6.9188,7.4625,6.9188,7.4625,39.896
2023-09-01,6.375,6.9188,6.375,6.5438,124.64
2023-09-05,8.5125,8.55,6.45,7.125,589.4373
2023-09-06,7.125,7.4625,6.4125,7.425,184.5627
2023-09-07,7.4625,7.4625,7.2938,7.2938,114.2133
2023-09-08,7.125,7.875,6.4125,7.4625,352.2907
2023-09-11,7.725,7.725,7.2375,7.2375,150.9627
2023-09-12,5.55,8.4375,5.55,7.5,1424.4773
2023-09-13,7.5,8.1375,7.5,8.1375,117.3333
2023-09-14,7.875,7.875,7.125,7.3875,1313.6
2023-09-15,7.9125,7.9125,7.6313,7.6313,19.144
2023-09-18,7.3875,7.6688,7.3875,7.6688,3.44
2023-09-19,7.9688,8.4375,7.125,7.4625,479.3653
2023-09-20,7.3875,7.575,4.7063,4.725,443.5707
2023-09-21,8.4375,8.4375,5.6625,7.5,180.8187
2023-09-22,7.4813,7.6875,7.4813,7.6875,26.6667
2023-09-25,6.5625,7.6875,5.7,5.7375,512.0
2023-09-26,6.5625,7.6875,6.375,6.75,471.9973
2023-09-27,8.4375,8.4375,7.5,7.5375,139.4667
2023-09-28,7.5,7.5,7.0875,7.0875,305.536
2023-09-29,7.0875,7.9125,6.375,7.9125,944.8027
2023-10-02,7.9125,9.3,6.4875,9.3,727.472
2023-10-03,7.5,8.0438,6.9375,7.5,629.2427
