Date,Open,High,Low,Close,Volume
2023-07-19,4.03,4.0899,4.03,4.0781,11876
2023-07-20,4.05,4.05,4.0101,4.03,6668
2023-07-21,4.0,4.03,3.9999,4.0,9869
2023-07-24,4.03,4.14,4.025,4.1,16943
2023-07-25,4.13,4.1327,4.08,4.08,5624
2023-07-26,4.0501,4.0651,4.0101,4.0499,9308
2023-07-27,4.08,4.08,3.99,3.99,6029
2023-07-28,4.0,4.04,3.97,4.02,6413
2023-07-31,3.95,4.1,3.95,3.98,20449
2023-08-01,3.95,4.0799,3.95,4.0,8763
2023-08-02,4.03,4.1,4.0,4.07,14927
2023-08-03,4.0201,4.1299,4.0201,4.1,18791
2023-08-04,4.061,4.16,4.0569,4.08,24033
2023-08-07,4.12,4.1644,4.0354,4.05,12092
2023-08-08,4.0108,4.11,4.0108,4.0785,5716
2023-08-09,3.99,4.11,3.95,3.9982,21787
2023-08-10,3.96,4.02,3.92,3.9305,10445
2023-08-11,3.95,4.01,3.91,3.9117,8322
2023-08-14,3.9,3.95,3.8,3.845,16594
2023-08-15,3.81,3.87,3.8,3.812,42946
2023-08-16,3.76,3.85,3.75,3.8,4383
2023-08-17,3.7788,3.8,3.76,3.76,3803
2023-08-18,3.81,3.81,3.76,3.78,17625
2023-08-21,3.78,3.78,3.72,3.72,3644
2023-08-22,3.7,3.7199,3.62,3.6799,14815
2023-08-23,3.6,3.6701,3.58,3.58,10365
2023-08-24,3.58,3.6699,3.58,3.585,10794
2023-08-25,3.5614,3.6689,3.5,3.51,32034
2023-08-28,3.51,3.63,3.51,3.6199,18613
2023-08-29,3.57,3.66,3.57,3.57,8335
2023-08-30,3.57,3.64,3.57,3.6,7025
2023-08-31,3.6093,3.65,3.5428,3.57,8890
2023-09-01,3.5597,3.6161,3.53,3.55,10681
2023-09-05,3.6,3.6399,3.52,3.53,10040
2023-09-06,3.53,3.5443,3.5099,3.51,10853
2023-09-07,3.57,3.5759,3.47,3.485,8546
2023-09-08,3.54,3.57,3.415,3.415,8963
2023-09-11,3.41,3.5599,3.41,3.52,5786
2023-09-12,3.49,3.57,3.48,3.5,5150
2023-09-13,3.55,3.57,3.47,3.47,11996
2023-09-14,3.43,3.55,3.43,3.5,12488
2023-09-15,3.5193,3.6,3.45,3.6,39839
2023-09-18,3.51,3.59,3.5,3.5,17528
2023-09-19,3.5243,3.55,3.5,3.5,17835
2023-09-20,3.5525,3.5899,3.5,3.5899,9661
2023-09-21,3.5,3.58,3.5,3.54,9308
2023-09-22,3.5322,3.59,3.52,3.58,6459
2023-09-25,3.51,3.58,3.51,3.53,4623
2023-09-26,3.51,3.53,3.51,3.5199,5385
2023-09-27,3.54,3.58,3.5102,3.56,18019
2023-09-28,3.57,3.59,3.56,3.56,2999
2023-09-29,3.5505,3.58,3.53,3.53,1938
2023-10-02,3.51,3.541,3.51,3.54,5197
2023-10-03,3.52,3.5699,3.5,3.5,2878
2023-10-04,3.52,3.6,3.52,3.5727,14603
2023-10-05,3.59,3.6,3.551,3.56,7042
2023-10-06,3.59,3.6,3.54,3.54,10336
2023-10-09,3.5,3.5549,3.5,3.5548,13227
2023-10-10,3.55,3.6273,3.55,3.6238,14974
2023-10-11,3.64,3.7047,3.63,3.63,8038
2023-10-12,3.56,3.68,3.56,3.6252,3385
2023-10-13,3.67,3.71,3.67,3.6703,5265
2023-10-16,3.73,3.73,3.6,3.6,16918
2023-10-17,3.6336,3.65,3.6,3.6,7745
2023-10-18,3.6,3.62,3.55,3.62,1708
2023-10-19,3.62,3.6399,3.55,3.6399,3266
2023-10-20,3.61,3.65,3.56,3.56,6500
2023-10-23,3.56,3.6464,3.5202,3.534,8325
2023-10-24,3.585,3.64,3.54,3.61,3020
2023-10-25,3.57,3.62,3.5313,3.5313,2836
2023-10-26,3.53,3.63,3.53,3.53,6112
2023-10-27,3.53,3.57,3.5,3.5428,4085
2023-10-30,3.54,3.54,3.46,3.47,6439
2023-10-31,3.52,3.52,3.371,3.4001,17242
2023-11-01,3.41,3.4999,3.38,3.38,4917
2023-11-02,3.37,3.54,3.37,3.4,34386
2023-11-03,3.4328,3.5323,3.43,3.43,3876
2023-11-06,3.52,3.54,3.4486,3.48,8315
2023-11-07,3.43,3.4725,3.43,3.44,3520
2023-11-08,3.39,3.55,3.39,3.52,11119
2023-11-09,3.5,3.512,3.45,3.45,3348
2023-11-10,3.48,3.48,3.44,3.4533,3750
2023-11-13,3.4201,3.54,3.4,3.45,5861
2023-11-14,3.45,3.5,3.42,3.5,4154
2023-11-15,3.51,3.51,3.41,3.42,5277
2023-11-16,3.4197,3.4197,3.39,3.39,3612
2023-11-17,3.37,3.46,3.35,3.36,7165
2023-11-20,3.35,3.405,3.35,3.405,3130
2023-11-21,3.33,3.39,3.33,3.34,7419
2023-11-22,3.353,3.434,3.332,3.43,5307
2023-11-24,3.32,3.43,3.32,3.43,5338
2023-11-27,3.31,3.41,3.31,3.36,6658
2023-11-28,3.37,3.4,3.35,3.375,9215
2023-11-29,3.34,3.4,3.34,3.38,5078
2023-11-30,3.3944,3.4063,3.3501,3.3501,4549
2023-12-01,3.3914,3.4036,3.35,3.36,11421
2023-12-04,3.4,3.43,3.3602,3.405,11087
2023-12-05,3.42,3.42,3.3677,3.385,4008
2023-12-06,3.42,3.42,3.3644,3.3644,5835
2023-12-07,3.46,3.46,3.36,3.41,10592
2023-12-08,3.44,3.44,3.37,3.37,4660
2023-12-11,3.45,3.45,3.375,3.375,5964
2023-12-12,3.38,3.4,3.35,3.35,12363
2023-12-13,3.43,3.43,3.3301,3.34,10222
2023-12-14,3.35,3.426,3.3301,3.42,17800
2023-12-15,3.4,3.5,3.4,3.44,6960
2023-12-18,3.45,3.4951,3.4106,3.46,9785
2023-12-19,3.4703,3.53,3.4703,3.5,7232
2023-12-20,3.535,3.56,3.5,3.56,3896
2023-12-21,3.5537,3.59,3.52,3.59,7346
2023-12-22,3.6,3.608,3.4,3.4,24887
2023-12-26,3.5799,3.5799,3.4101,3.49,15476
2023-12-27,3.5,3.5335,3.44,3.46,17110
2023-12-28,3.46,3.4991,3.4403,3.47,6976
2023-12-29,3.47,3.5299,3.47,3.5299,14294
2024-01-02,3.54,3.54,3.45,3.48,17434
2024-01-03,3.47,3.5499,3.46,3.4999,15892
2024-01-04,3.49,3.5399,3.46,3.51,7820
2024-01-05,3.5,3.5186,3.45,3.46,8967
2024-01-08,3.49,3.55,3.35,3.38,62841
2024-01-09,3.44,3.44,3.1818,3.22,50323
2024-01-10,3.31,3.3394,3.18,3.2,54231
2024-01-11,3.19,3.28,3.09,3.1199,74033
2024-01-12,3.1,3.198,3.07,3.12,57129
2024-01-16,3.22,3.23,3.07,3.09,45406
2024-01-17,3.12,3.21,3.05,3.1611,21725
2024-01-18,3.19,3.2052,3.16,3.16,7882
2024-01-19,3.21,3.25,3.16,3.19,14012
2024-01-22,3.17,3.26,3.17,3.19,16256
2024-01-23,3.23,3.2373,3.2,3.2,8803
2024-01-24,3.21,3.32,3.2,3.2,12594
2024-01-25,3.269,3.285,3.12,3.17,25316
2024-01-26,3.2,3.24,3.1,3.2,23843
2024-01-29,3.15,3.23,3.15,3.21,33745
2024-01-30,3.21,3.25,3.2,3.224,8826
2024-01-31,3.2,3.23,3.15,3.17,23317
2024-02-01,3.21,3.21,3.15,3.15,6881
2024-02-02,3.1899,3.1901,3.18,3.19,6651
2024-02-05,3.24,3.32,3.1629,3.19,41280
2024-02-06,3.215,3.24,3.16,3.21,25100
2024-02-07,3.21,3.2501,3.2003,3.228,10824
2024-02-08,3.22,3.27,3.18,3.18,32820
2024-02-09,3.23,3.25,3.23,3.23,4859
2024-02-12,3.26,3.3382,3.26,3.27,11783
2024-02-13,3.33,3.34,3.215,3.23,5631
2024-02-14,3.22,3.32,3.22,3.31,19548
2024-02-15,3.21,3.29,3.21,3.24,9339
2024-02-16,3.15,3.28,3.15,3.2343,32224
2024-02-20,3.25,3.2752,3.1807,3.27,13065
2024-02-21,3.2,3.27,3.2,3.2303,3803
2024-02-22,3.19,3.27,3.19,3.22,18830
2024-02-23,3.18,3.31,3.18,3.22,5970
2024-02-26,3.21,3.3,3.2,3.23,22883
2024-02-27,3.22,3.31,3.22,3.25,4769
2024-02-28,3.2,3.31,3.2,3.22,3513
2024-02-29,3.254,3.254,3.225,3.24,6518
2024-03-01,3.28,3.3,3.24,3.24,15808
2024-03-04,3.22,3.29,3.22,3.29,9021
2024-03-05,3.3,3.3,3.2226,3.23,9656
2024-03-06,3.2808,3.3199,3.25,3.25,9963
2024-03-07,3.2701,3.2701,3.22,3.22,2051
2024-03-08,3.23,3.29,3.22,3.22,8761
2024-03-11,3.22,3.24,3.22,3.22,7198
2024-03-12,3.23,3.27,3.22,3.22,5008
2024-03-13,3.26,3.2999,3.16,3.17,17437
2024-03-14,3.1999,3.27,3.195,3.22,10133
2024-03-15,3.2333,3.2333,3.13,3.13,16213
2024-03-18,3.2,3.2098,3.15,3.17,8430
2024-03-19,3.17,3.18,3.15,3.15,4277
2024-03-20,3.15,3.17,3.13,3.17,5262
2024-03-21,3.16,3.179,3.1502,3.17,5862
2024-03-22,3.1718,3.2,3.15,3.2,8080
2024-03-25,3.19,3.23,3.1802,3.22,11232
2024-03-26,3.1933,3.2499,3.1704,3.2399,14932
2024-03-27,3.225,3.26,3.2,3.26,7838
2024-03-28,3.26,3.26,3.22,3.2597,5894
2024-04-01,3.28,3.3,3.25,3.25,16831
2024-04-02,3.27,3.27,3.16,3.2,21583
2024-04-03,3.2,3.22,3.15,3.15,6669
2024-04-04,3.18,3.2255,3.16,3.19,2863
2024-04-05,3.22,3.2367,3.19,3.192,22988
2024-04-08,3.23,3.24,3.19,3.2,7277
2024-04-09,3.17,3.23,3.17,3.17,13880
2024-04-10,3.15,3.21,3.15,3.15,3709
2024-04-11,3.16,3.24,3.15,3.15,6463
2024-04-12,3.22,3.22,3.18,3.18,1867
2024-04-15,3.15,3.18,3.15,3.15,9474
2024-04-16,3.15,3.18,3.14,3.14,4420
2024-04-17,3.14,3.1694,3.13,3.13,3120
2024-04-18,3.13,3.16,3.13,3.13,2146
2024-04-19,3.15,3.17,3.13,3.13,4045
2024-04-22,3.1433,3.17,3.12,3.17,20663
2024-04-23,3.14,3.175,3.14,3.16,2977
2024-04-24,3.1701,3.18,3.17,3.18,6751
2024-04-25,3.18,3.2,3.16,3.16,11197
2024-04-26,3.19,3.19,3.17,3.17,4644
2024-04-29,3.2,3.21,3.17,3.19,6078
2024-04-30,3.15,3.17,3.13,3.1501,2414
2024-05-01,3.2008,3.21,3.16,3.16,4769
2024-05-02,3.16,3.1877,3.15,3.15,2663
2024-05-03,3.1502,3.18,3.14,3.14,2818
2024-05-06,3.11,3.2,3.1,3.15,43680
2024-05-07,3.145,3.19,3.13,3.13,24862
2024-05-08,3.1759,3.18,3.155,3.1572,1401
2024-05-09,3.1497,3.18,3.135,3.17,7005
2024-05-10,3.1799,3.19,3.16,3.1799,32106
2024-05-13,3.19,3.2,3.15,3.17,11028
2024-05-14,3.189,3.1898,3.16,3.16,2756
2024-05-15,3.1858,3.21,3.18,3.195,20282
2024-05-16,3.16,3.16,2.87,2.87,101231
2024-05-17,3.02,3.0599,2.9,2.97,14853
2024-05-20,2.97,2.9973,2.9032,2.92,14545
2024-05-21,2.96,2.9897,2.9205,2.93,6217
2024-05-22,2.95,2.9696,2.9009,2.9696,16297
2024-05-23,2.96,2.96,2.89,2.9,10540
2024-05-24,2.89,2.9308,2.89,2.9298,23681
2024-05-28,2.9255,2.9255,2.91,2.91,3686
2024-05-29,2.8994,2.93,2.89,2.93,7110
2024-05-30,2.9,2.94,2.9,2.91,19060
2024-05-31,2.92,2.9239,2.89,2.89,9996
2024-06-03,2.89,2.93,2.88,2.91,7291
2024-06-04,2.887,2.9,2.88,2.8801,5127
2024-06-05,2.9,2.9,2.86,2.8784,6685
2024-06-06,2.85,2.88,2.85,2.8741,17694
2024-06-07,2.85,2.8501,2.75,2.805,13412
2024-06-10,2.8,2.83,2.7606,2.79,18401
2024-06-11,2.8291,2.83,2.77,2.79,6117
2024-06-12,2.82,2.8416,2.8001,2.84,6130
2024-06-13,2.87,2.89,2.8,2.8134,4728
2024-06-14,2.78,2.89,2.68,2.69,23118
2024-06-17,2.74,2.74,2.62,2.68,30115
2024-06-18,2.7,2.76,2.65,2.65,13792
2024-06-20,2.67,2.7,2.62,2.7,8468
2024-06-21,2.65,2.67,2.62,2.65,12171
2024-06-24,2.62,2.68,2.57,2.6363,10125
2024-06-25,2.664,2.664,2.62,2.62,3733
2024-06-26,2.6216,2.69,2.6216,2.6597,19006
2024-06-27,2.65,2.69,2.62,2.69,9804
2024-06-28,2.65,2.6913,2.64,2.65,16736
2024-07-01,2.71,2.74,2.6497,2.7299,13496
2024-07-02,2.74,2.74,2.68,2.69,6248
2024-07-03,2.66,2.71,2.64,2.685,9304
2024-07-05,2.66,2.72,2.66,2.71,6653
2024-07-08,2.69,2.7399,2.69,2.7036,3207
2024-07-09,2.68,2.749,2.68,2.735,17062
2024-07-10,2.74,2.855,2.74,2.84,14927
2024-07-11,2.85,2.9,2.84,2.87,13595
2024-07-12,2.8762,2.95,2.81,2.91,13056
2024-07-15,2.91,2.9484,2.85,2.85,6328
2024-07-16,2.85,2.9699,2.8,2.9414,10447
2024-07-17,2.9341,2.97,2.9341,2.94,5480
2024-07-18,2.98,3.0,2.9401,2.97,11979
2024-07-19,2.9999,2.9999,2.91,2.91,3412
2024-07-22,2.96,2.964,2.93,2.93,5737
2024-07-23,2.94,2.9493,2.92,2.9387,4389
2024-07-24,2.94,2.95,2.88,2.91,11238
2024-07-25,2.88,2.89,2.78,2.8,57730
2024-07-26,2.85,2.9099,2.85,2.85,10563
2024-07-29,2.9099,2.91,2.87,2.87,12181
2024-07-30,2.94,2.94,2.8702,2.91,16227
2024-07-31,2.92,2.95,2.9038,2.931,4739
2024-08-01,2.95,2.9799,2.862,2.91,9926
2024-08-02,2.9001,2.9001,2.82,2.8729,27910
2024-08-05,2.8,2.84,2.75,2.7605,46498
2024-08-06,2.83,2.83,2.75,2.7899,8370
2024-08-07,2.89,2.89,2.7701,2.7701,11161
2024-08-08,2.84,2.87,2.83,2.835,7365
2024-08-09,2.89,2.89,2.79,2.79,9802
2024-08-12,2.85,2.85,2.78,2.8256,11578
2024-08-13,2.8194,2.832,2.81,2.82,2364
2024-08-14,2.81,2.85,2.81,2.84,6840
2024-08-15,2.85,2.91,2.84,2.91,12845
2024-08-16,2.81,2.93,2.81,2.905,8230
2024-08-19,2.9216,2.94,2.9,2.9399,8934
2024-08-20,2.93,2.9368,2.91,2.91,1087
2024-08-21,2.925,2.9389,2.91,2.92,6411
2024-08-22,2.91,2.93,2.88,2.92,13179
2024-08-23,2.89,2.93,2.8847,2.93,7693
2024-08-26,2.885,2.93,2.8249,2.8993,16047
2024-08-27,2.83,2.92,2.7817,2.915,20326
2024-08-28,2.9399,2.9399,2.8501,2.9007,8907
2024-08-29,2.92,2.94,2.9,2.93,6299
2024-08-30,2.93,2.95,2.9,2.915,8873
2024-09-03,2.92,2.92,2.86,2.8856,6756
2024-09-04,2.86,2.89,2.86,2.89,2793
2024-09-05,2.86,2.865,2.86,2.865,5752
2024-09-06,2.87,2.89,2.85,2.87,8923
2024-09-09,2.85,2.85,2.81,2.83,3186
2024-09-10,2.81,2.82,2.77,2.82,4059
2024-09-11,2.82,2.82,2.76,2.81,4867
2024-09-12,2.82,2.9,2.81,2.81,1696
2024-09-13,2.82,2.86,2.79,2.82,9009
2024-09-16,2.84,2.855,2.7666,2.81,17895
2024-09-17,2.82,2.8995,2.79,2.85,5416
2024-09-18,2.85,2.85,2.81,2.81,8466
2024-09-19,2.86,2.87,2.82,2.87,11430
2024-09-20,2.83,2.9,2.83,2.9,17250
2024-09-23,2.8705,2.89,2.85,2.88,10215
2024-09-24,2.9,2.9,2.85,2.85,5589
2024-09-25,2.858,2.8855,2.85,2.85,2322
2024-09-26,2.86,2.9,2.85,2.89,8249
2024-09-27,2.8999,2.91,2.891,2.91,5251
2024-09-30,2.91,2.929,2.9,2.91,3038
2024-10-01,2.9,2.9571,2.9,2.9501,7980
2024-10-02,3.0,3.0,2.9304,2.96,11593
2024-10-03,2.98,2.98,2.93,2.955,1395
2024-10-04,2.936,2.936,2.91,2.91,1732
2024-10-07,2.9,2.935,2.89,2.89,2325
2024-10-08,2.95,2.95,2.895,2.895,1218
2024-10-09,2.92,2.93,2.8301,2.92,2295
2024-10-11,2.8802,2.91,2.86,2.9088,4280
2024-10-14,2.85,2.8899,2.85,2.85,2747
2024-10-15,2.88,2.89,2.88,2.88,1738
2024-10-16,2.8805,2.905,2.87,2.89,5195
2024-10-17,2.87,2.8701,2.8588,2.8588,2004
2024-10-18,2.9,2.9434,2.9,2.91,1578
2024-10-21,2.88,2.9,2.8727,2.875,3282
2024-10-22,2.8601,2.94,2.84,2.86,9854
2024-10-23,2.81,2.87,2.81,2.8574,5137
2024-10-24,2.82,2.92,2.73,2.82,15548
2024-10-25,2.81,2.83,2.77,2.8,21939
2024-10-28,2.83,2.8499,2.8,2.84,8439
2024-10-29,2.87,2.9099,2.84,2.8902,9623
2024-10-30,2.8976,2.91,2.84,2.84,8673
2024-10-31,2.82,2.8361,2.8,2.82,6098
2024-11-01,2.84,2.8697,2.8,2.82,5399
2024-11-04,2.89,2.9,2.82,2.82,10074
2024-11-05,2.83,2.9199,2.83,2.84,1829
2024-11-06,2.82,2.9199,2.82,2.8678,1999
2024-11-07,2.8927,2.921,2.8301,2.85,24889
2024-11-08,2.85,2.94,2.85,2.88,4769
2024-11-11,2.84,2.94,2.84,2.86,5808
2024-11-12,2.86,3.05,2.81,2.85,57240
2024-11-13,2.82,2.88,2.82,2.838,7902
2024-11-14,2.91,3.0,2.8814,2.9013,6450
2024-11-15,2.9,2.9,2.785,2.785,4990
2024-11-18,2.77,2.85,2.7395,2.77,30559
2024-11-19,2.7001,2.7362,2.63,2.64,32669
2024-11-20,2.66,2.66,2.52,2.605,58391
2024-11-21,2.62,2.64,2.5741,2.64,63249
2024-11-22,2.64,2.64,2.56,2.565,24990
2024-11-25,2.54,2.7002,2.52,2.67,45057
2024-11-26,2.67,2.72,2.63,2.7042,7589
2024-11-27,2.74,2.7442,2.6601,2.74,18133
2024-11-29,2.73,2.73,2.66,2.7001,5640
2024-12-02,2.7,2.74,2.66,2.7,15320
2024-12-03,2.66,2.68,2.63,2.66,21535
2024-12-04,2.7,2.7,2.632,2.69,9243
2024-12-05,2.6804,2.6804,2.61,2.62,6389
2024-12-06,2.6388,2.64,2.58,2.6246,12200
2024-12-09,2.5843,2.6922,2.5843,2.66,29446
2024-12-10,2.65,2.65,2.63,2.64,8042
2024-12-11,2.64,2.69,2.63,2.65,18055
2024-12-12,2.64,2.66,2.63,2.64,4155
2024-12-13,2.66,2.68,2.62,2.68,3294
2024-12-16,2.68,2.68,2.63,2.645,4771
2024-12-17,2.63,2.6542,2.61,2.61,12930
2024-12-18,2.61,2.6567,2.57,2.57,18929
2024-12-19,2.5781,2.6168,2.56,2.59,4517
2024-12-20,2.6054,2.61,2.58,2.61,17177
2024-12-23,2.6,2.608,2.56,2.56,5025
2024-12-24,2.56,2.6,2.56,2.585,2322
2024-12-26,2.56,2.65,2.56,2.56,45247
2024-12-27,2.5601,2.58,2.56,2.57,25542
2024-12-30,2.57,2.59,2.56,2.585,37010
2024-12-31,2.57,2.615,2.56,2.5757,9902
