Date,Open,High,Low,Close,Volume
2023-07-19,5.82,5.9,5.7488,5.805,32576.0
2023-07-20,5.75,5.915,5.64,5.84,36563.0
2023-07-21,5.86,5.86,5.7141,5.75,22557.0
2023-07-24,5.73,5.7965,5.6,5.76,24548.0
2023-07-25,5.72,5.78,5.64,5.64,17469.0
2023-07-26,5.65,5.76,5.65,5.76,8412.0
2023-07-27,5.77,5.801,5.6663,5.755,25835.0
2023-07-28,5.89,5.89,5.7,5.75,23033.0
2023-07-31,5.73,5.7748,5.53,5.73,40715.0
2023-08-01,5.74,5.74,5.59,5.61,12644.0
2023-08-02,5.59,5.66,5.5463,5.55,19812.0
2023-08-03,5.6472,5.75,5.55,5.7,24336.0
2023-08-04,5.73,5.78,5.65,5.75,10341.0
2023-08-07,5.67,5.7613,5.54,5.61,49994.0
2023-08-08,5.59,5.703,5.49,5.66,16374.0
2023-08-09,5.5266,5.7,5.48,5.54,18775.0
2023-08-10,5.585,5.585,5.3328,5.51,24753.0
2023-08-11,5.49,5.6,5.37,5.6,29813.0
2023-08-14,5.54,5.57,5.34,5.41,18127.0
2023-08-15,5.435,5.435,5.34,5.34,8714.0
2023-08-16,5.35,5.37,5.26,5.28,31454.0
2023-08-17,5.38,5.38,5.22,5.22,17020.0
2023-08-18,5.17,5.24,5.14,5.24,25478.0
2023-08-21,5.22,5.295,5.02,5.09,49207.0
2023-08-22,5.1399,5.19,4.95,5.01,41256.0
2023-08-23,5.02,5.11,4.89,4.99,66574.0
2023-08-24,5.07,5.46,5.04,5.4,70688.0
2023-08-25,5.4196,5.58,5.351,5.57,19700.0
2023-08-28,5.59,5.6,5.365,5.38,12950.0
2023-08-29,5.48,5.6,5.4,5.6,13655.0
2023-08-30,5.6,5.7,5.6,5.6,28523.0
2023-08-31,5.6,5.74,5.52,5.56,30004.0
2023-09-01,5.57,5.57,5.41,5.42,18183.0
2023-09-05,5.41,5.5765,5.35,5.44,15747.0
2023-09-06,5.52,5.5299,5.363,5.49,17172.0
2023-09-07,5.57,5.5882,5.35,5.36,65774.0
2023-09-08,5.3601,5.52,5.3601,5.43,7176.0
2023-09-11,5.5,5.58,5.35,5.35,14920.0
2023-09-12,5.4,5.49,5.36,5.39,13673.0
2023-09-13,5.42,5.42,5.25,5.25,11202.0
2023-09-14,5.25,5.41,5.25,5.4,11743.0
2023-09-15,5.41,5.483,5.34,5.34,47616.0
2023-09-18,5.36,5.36,5.2,5.2,5205.0
2023-09-19,5.26,5.4,5.1037,5.18,16853.0
2023-09-20,5.195,5.49,5.14,5.16,25266.0
2023-09-21,5.11,5.295,5.11,5.17,9246.0
