Date,Open,High,Low,Close,Volume
2023-07-19,20.46,20.57,20.28,20.45,235716.0
2023-07-20,20.62,20.7,20.39,20.63,306521.0
2023-07-21,20.11,20.2478,19.91,19.91,165404.0
2023-07-24,19.78,20.02,19.67,19.67,128282.0
2023-07-25,19.71,19.91,19.62,19.72,103870.0
2023-07-26,19.69,20.0,19.69,19.76,109854.0
2023-07-27,19.98,19.98,19.72,19.74,111338.0
2023-07-28,19.61,19.89,19.6,19.6,109013.0
2023-07-31,19.71,19.94,19.68,19.91,228682.0
2023-08-01,19.99,20.1044,19.64,19.96,129853.0
2023-08-02,19.97,20.1,19.66,19.94,137304.0
2023-08-03,19.79,20.24,19.7852,20.02,133454.0
2023-08-04,20.19,20.29,19.82,19.86,201904.0
2023-08-07,19.84,20.23,19.82,20.07,125314.0
2023-08-08,19.88,20.23,19.84,20.18,77554.0
2023-08-09,20.14,20.42,20.14,20.34,86277.0
2023-08-10,20.33,20.55,20.1198,20.2,62702.0
2023-08-11,20.28,20.445,20.1301,20.36,46394.0
2023-08-14,20.33,20.4,20.06,20.14,47238.0
2023-08-15,20.17,20.2,19.75,19.95,77221.0
2023-08-16,19.91,20.2,19.82,20.0,95556.0
2023-08-17,20.12,20.55,20.0,20.36,115692.0
2023-08-18,20.15,20.81,20.15,20.79,117914.0
2023-08-21,20.88,20.98,20.59,20.68,104010.0
2023-08-22,20.8,20.8,20.51,20.7,78620.0
2023-08-23,20.8,20.9,20.51,20.62,119150.0
2023-08-24,20.77,20.89,20.65,20.67,56830.0
2023-08-25,20.76,20.78,20.44,20.57,77315.0
2023-08-28,20.55,20.95,20.5201,20.84,94708.0
2023-08-29,20.83,20.99,20.73,20.97,58816.0
2023-08-30,21.0,21.7499,20.97,21.62,314522.0
2023-08-31,21.6,22.09,21.22,21.22,519808.0
2023-09-01,21.55,21.87,21.3778,21.59,226425.0
2023-09-05,21.69,21.92,21.6,21.71,125272.0
2023-09-06,21.8,21.88,21.6,21.7,72310.0
2023-09-07,21.7,22.17,21.62,22.05,165229.0
2023-09-08,22.0,22.2915,21.81,21.86,107382.0
2023-09-11,22.07,22.445,21.88,22.25,157590.0
2023-09-12,22.2,22.75,22.2,22.51,116756.0
2023-09-13,22.66,22.7,22.36,22.36,57263.0
2023-09-14,22.61,22.8122,22.5001,22.63,77676.0
2023-09-15,22.63,22.63,21.9001,22.13,294381.0
2023-09-18,22.18,22.5331,22.18,22.21,78290.0
2023-09-19,22.34,22.4981,21.9609,22.16,52184.0
2023-09-20,22.27,22.76,22.2514,22.49,101428.0
2023-09-21,22.68,22.73,22.12,22.17,71038.0
2023-09-22,22.36,23.0,22.2042,22.29,387208.0
2023-09-25,22.56,22.82,22.22,22.5,196566.0
2023-09-26,22.36,22.52,22.02,22.13,86718.0
2023-09-27,22.39,22.675,22.08,22.6,134518.0
2023-09-28,23.08,26.4,23.0,25.41,1667987.0
2023-09-29,24.91,25.0,23.59,23.86,730268.0
2023-10-02,23.79,23.79,23.0201,23.43,330035.0
2023-10-03,23.4,23.905,23.06,23.81,245671.0
2023-10-04,23.62,24.03,23.33,23.82,293472.0
2023-10-05,23.61,24.79,23.575,24.79,422964.0
2023-10-06,24.65,25.62,24.6161,25.36,512351.0
2023-10-09,25.5,26.22,25.295,25.77,473561.0
2023-10-10,25.91,26.09,25.56,25.59,316641.0
2023-10-11,25.74,25.97,25.485,25.72,402574.0
2023-10-12,25.73,25.855,25.16,25.65,300207.0
