Date,Open,High,Low,Close,Volume
2023-07-19,6.98,7.2,6.94,7.17,42752.0
2023-07-20,7.16,7.24,7.12,7.22,56204.0
2023-07-21,7.3,7.39,7.12,7.16,97031.0
2023-07-24,7.14,7.3008,7.14,7.21,42704.0
2023-07-25,7.18,7.29,7.13,7.19,32707.0
2023-07-26,7.2,7.38,7.2,7.28,58273.0
2023-07-27,7.33,7.41,7.11,7.18,63433.0
2023-07-28,7.28,7.29,7.06,7.12,154649.0
2023-07-31,7.15,7.34,7.1401,7.28,49425.0
2023-08-01,7.25,7.3499,7.165,7.24,45152.0
2023-08-02,7.2,7.28,7.11,7.18,40266.0
2023-08-03,7.13,7.36,7.13,7.33,59349.0
2023-08-04,7.36,7.45,7.295,7.38,127613.0
2023-08-07,7.41,7.85,7.41,7.83,73105.0
2023-08-08,7.81,8.0334,7.46,8.02,87416.0
2023-08-09,7.73,8.78,7.71,7.94,175908.0
2023-08-10,8.01,8.26,8.01,8.16,91157.0
2023-08-11,8.16,8.47,8.1193,8.45,448386.0
2023-08-14,8.48,8.62,8.37,8.4,71735.0
2023-08-15,8.39,8.67,8.3,8.36,50028.0
2023-08-16,8.36,8.52,8.2561,8.43,43643.0
2023-08-17,8.43,8.465,8.21,8.29,61522.0
2023-08-18,8.2,8.23,7.88,7.94,208207.0
2023-08-21,7.97,8.085,7.79,7.85,68216.0
2023-08-22,7.88,8.13,7.7436,8.0,97249.0
2023-08-23,7.98,8.12,7.94,8.09,72279.0
2023-08-24,8.03,8.16,8.01,8.11,62879.0
2023-08-25,8.13,8.27,7.86,7.89,90168.0
2023-08-28,7.84,8.11,7.84,8.07,94136.0
2023-08-29,8.08,8.19,7.85,7.96,42817.0
2023-08-30,7.91,8.05,7.91,7.96,61660.0
2023-08-31,7.96,8.1,7.915,7.97,49493.0
2023-09-01,7.995,8.15,7.995,8.04,68846.0
2023-09-05,8.03,8.05,7.7,7.72,80497.0
2023-09-06,7.71,8.01,7.71,7.9,80853.0
2023-09-07,7.96,8.1,7.855,8.06,284307.0
2023-09-08,8.05,8.57,7.98,8.44,228605.0
2023-09-11,8.57,8.64,8.46,8.61,104051.0
2023-09-12,8.59,8.9,8.53,8.56,235191.0
2023-09-13,8.6,8.7,8.42,8.45,90519.0
2023-09-14,8.46,8.5541,8.27,8.45,62068.0
2023-09-15,8.4,8.51,8.24,8.47,332119.0
2023-09-18,8.52,8.59,8.28,8.39,57935.0
2023-09-19,8.4,8.48,8.3448,8.43,57269.0
2023-09-20,8.5,8.59,8.46,8.5,84562.0
2023-09-21,8.42,8.62,8.38,8.44,88056.0
2023-09-22,8.43,8.51,8.28,8.35,75897.0
2023-09-25,8.33,8.62,8.28,8.56,74258.0
2023-09-26,8.5,8.73,8.5,8.52,61549.0
2023-09-27,8.57,8.81,8.54,8.65,198428.0
2023-09-28,8.65,8.81,8.5,8.75,88659.0
2023-09-29,8.74,8.74,8.29,8.38,64762.0
2023-10-02,8.355,8.45,8.3,8.38,61179.0
2023-10-03,8.3,8.55,8.23,8.44,74247.0
2023-10-04,8.38,8.58,8.13,8.51,135634.0
2023-10-05,8.47,8.53,8.35,8.4,83906.0
2023-10-06,8.4,8.5501,8.35,8.47,45044.0
2023-10-09,8.39,8.415,8.33,8.37,44012.0
2023-10-10,8.42,8.59,8.42,8.44,48002.0
2023-10-11,8.41,8.53,8.32,8.45,105385.0
2023-10-12,8.5,8.71,8.36,8.64,80839.0
2023-10-13,8.7,8.72,8.35,8.38,44886.0
2023-10-16,8.53,8.6,8.4,8.45,53281.0
2023-10-17,8.46,8.58,8.344,8.41,98747.0
2023-10-18,8.4,8.4,8.19,8.29,63299.0
2023-10-19,8.15,8.33,8.11,8.12,126887.0
2023-10-20,8.13,8.13,7.92,7.98,72517.0
2023-10-23,7.97,8.16,7.78,8.02,37440.0
