Date,Open,High,Low,Close,Volume
2023-07-19,27.0,27.77,26.67,26.88,633545.0
2023-07-20,26.64,26.8125,26.32,26.37,651209.0
2023-07-21,26.64,26.91,26.37,26.41,639458.0
2023-07-24,26.41,26.52,25.965,26.35,325237.0
2023-07-25,26.3,27.14,26.3,26.91,615581.0
2023-07-26,26.85,27.51,26.835,27.42,634421.0
2023-07-27,27.81,28.475,27.42,28.0,2283017.0
2023-07-28,28.28,28.33,27.37,28.03,911615.0
2023-07-31,28.15,28.85,28.15,28.7,1243375.0
2023-08-01,32.52,32.55,29.795,31.91,3605396.0
2023-08-02,31.59,31.77,30.39,30.55,1655720.0
2023-08-03,30.55,30.98,29.85,30.26,1044346.0
2023-08-04,30.14,30.67,29.65,29.79,926563.0
2023-08-07,29.79,30.4,29.1,30.4,729862.0
2023-08-08,30.06,30.855,29.41,30.79,1068609.0
2023-08-09,30.73,31.15,30.43,30.53,1019467.0
2023-08-10,30.76,31.16,30.36,30.88,1068829.0
2023-08-11,30.73,30.9,30.47,30.57,625291.0
2023-08-14,30.39,30.76,30.26,30.6,926753.0
2023-08-15,30.34,31.085,30.34,30.59,720399.0
2023-08-16,30.39,30.72,30.25,30.31,608468.0
2023-08-17,30.32,30.32,29.5,29.69,704712.0
2023-08-18,29.25,29.95,29.25,29.77,499476.0
2023-08-21,29.87,30.17,29.555,29.73,385194.0
2023-08-22,29.81,29.86,29.455,29.68,443935.0
2023-08-23,29.68,30.47,29.495,30.23,502181.0
2023-08-24,30.14,30.265,29.65,29.66,421414.0
2023-08-25,29.74,31.128,29.67,30.94,1247626.0
2023-08-28,31.0,31.58,30.78,31.27,840237.0
2023-08-29,31.18,31.88,30.94,31.65,696637.0
2023-08-30,31.51,31.9,31.46,31.86,662446.0
2023-08-31,32.0,32.64,31.91,31.93,1124830.0
2023-09-01,32.03,32.5,32.0,32.24,863501.0
2023-09-05,31.88,32.379,31.72,32.07,820156.0
2023-09-06,32.02,32.08,31.49,31.64,683171.0
2023-09-07,31.32,31.41,30.985,30.99,581788.0
2023-09-08,30.99,31.11,30.34,30.56,686890.0
2023-09-11,30.76,31.72,30.76,31.57,635770.0
2023-09-12,31.19,31.46,30.99,31.08,416424.0
2023-09-13,31.07,31.18,30.82,31.09,624880.0
2023-09-14,31.25,31.7,31.16,31.58,698480.0
2023-09-15,31.46,31.46,30.78,30.85,1871362.0
2023-09-18,30.79,31.78,30.66,31.56,504394.0
2023-09-19,31.44,31.57,30.9,31.4,441435.0
2023-09-20,31.48,32.28,31.26,31.61,660542.0
2023-09-21,31.56,31.56,30.25,30.4,643888.0
2023-09-22,30.56,30.93,30.45,30.54,592895.0
2023-09-25,30.32,30.77,30.23,30.34,626865.0
2023-09-26,30.12,30.45,29.63,29.9,497433.0
2023-09-27,29.94,30.45,29.91,30.18,497463.0
2023-09-28,30.02,30.66,29.805,30.5,605077.0
2023-09-29,30.82,31.06,30.48,30.54,607005.0
2023-10-02,30.43,30.605,30.15,30.35,571009.0
2023-10-03,30.0,30.25,29.47,29.82,480859.0
2023-10-04,29.92,30.46,29.91,30.0,396550.0
2023-10-05,29.92,30.145,29.6,29.95,665826.0
2023-10-06,29.65,30.97,29.65,30.95,579566.0
2023-10-09,30.55,30.8898,30.1,30.76,505712.0
2023-10-10,30.56,30.96,30.3,30.32,741972.0
2023-10-11,30.44,30.66,30.13,30.43,503792.0
2023-10-12,30.46,30.51,29.745,30.04,637073.0
2023-10-13,31.09,31.09,30.07,30.58,1179071.0
2023-10-16,32.03,33.04,32.0,32.63,2342423.0
2023-10-17,32.68,33.955,32.63,33.85,2043422.0
2023-10-18,33.8,34.17,32.9,33.03,1203646.0
2023-10-19,33.17,33.53,32.72,33.0,791795.0
2023-10-20,33.0,33.0,31.81,32.22,1150834.0
2023-10-23,32.03,32.23,31.39,31.88,877809.0
2023-10-24,32.34,32.7,32.01,32.54,725211.0
2023-10-25,32.43,32.66,31.16,31.38,998604.0
2023-10-26,31.46,31.83,30.89,31.09,865086.0
2023-10-27,31.63,31.64,31.14,31.51,1218464.0
2023-10-30,31.76,31.88,31.03,31.5,1553713.0
2023-10-31,32.98,34.61,31.56,33.64,3188058.0
2023-11-01,33.64,34.06,33.14,33.57,1181782.0
2023-11-02,33.0,33.5,32.26,33.34,1429157.0
2023-11-03,33.5,34.64,33.23,34.39,1342904.0
2023-11-06,34.26,34.455,33.54,33.97,1036851.0
2023-11-07,34.38,35.44,34.17,35.26,1555565.0
2023-11-08,35.26,35.38,34.6601,35.36,1315846.0
2023-11-09,35.56,35.83,35.085,35.31,1025830.0
2023-11-10,35.36,35.86,35.11,35.56,1250411.0
2023-11-13,35.23,35.937,34.95,35.88,756899.0
2023-11-14,37.09,37.94,36.675,37.93,1464137.0
2023-11-15,38.0,38.47,37.725,38.05,1361464.0
2023-11-16,38.0,38.12,37.49,37.87,1277380.0
2023-11-17,37.77,38.92,36.8719,38.66,1426714.0
2023-11-20,38.68,39.49,38.46,39.21,1771458.0
2023-11-21,38.85,39.53,38.62,39.49,1318086.0
2023-11-22,39.73,40.08,39.3054,39.54,885148.0
2023-11-24,39.72,40.0,39.5593,39.97,431186.0
2023-11-27,39.67,40.64,39.67,40.35,1644479.0
2023-11-28,40.24,40.64,40.1,40.28,1027128.0
2023-11-29,40.84,41.49,40.84,41.47,2564820.0
2023-11-30,41.5,41.96,40.48,41.89,2402009.0
2023-12-01,41.8,43.38,41.29,43.08,2146013.0
2023-12-04,42.98,44.06,42.61,44.0,1895274.0
2023-12-05,43.62,44.57,43.58,44.42,1323804.0
2023-12-06,44.69,45.03,43.52,43.54,1468511.0
2023-12-07,43.46,43.74,42.85,43.5,1065173.0
2023-12-08,43.34,43.67,43.0,43.62,1017218.0
2023-12-11,43.71,44.43,43.34,44.24,1379378.0
2023-12-12,44.18,45.04,43.99,44.56,1617212.0
2023-12-13,44.6,45.09,43.85,44.47,1098394.0
2023-12-14,44.92,45.22,43.775,44.31,1604369.0
2023-12-15,45.08,45.35,44.23,44.26,2913383.0
2023-12-18,44.58,45.554,44.44,45.31,1013381.0
2023-12-19,45.52,45.64,45.09,45.46,938207.0
2023-12-20,45.26,45.67,44.63,44.64,801806.0
2023-12-21,45.01,45.28,44.45,45.04,959147.0
2023-12-22,45.45,45.48,44.84,45.09,686301.0
2023-12-26,45.23,45.56,44.89,45.43,414377.0
2023-12-27,45.35,45.585,44.9,45.41,610931.0
2023-12-28,45.4,45.81,45.12,45.66,416390.0
2023-12-29,45.57,45.7,45.0,45.28,692341.0
2024-01-02,44.67,44.78,43.432,44.52,1211812.0
2024-01-03,44.2,44.49,42.87,42.99,949482.0
2024-01-04,43.63,43.995,42.6,42.76,1311392.0
2024-01-05,42.6,42.99,42.26,42.52,883310.0
2024-01-08,42.78,43.94,42.4,43.74,983350.0
2024-01-09,43.22,45.19,43.09,44.77,979759.0
2024-01-10,45.07,45.46,44.4,45.39,1062080.0
2024-01-11,45.27,46.73,45.15,46.69,1351793.0
2024-01-12,47.14,47.29,46.15,46.54,746833.0
2024-01-16,46.26,46.67,45.67,45.93,976999.0
2024-01-17,45.39,45.68,44.44,45.36,791545.0
2024-01-18,45.15,45.66,43.98,44.41,1181109.0
2024-01-19,44.75,44.92,43.94,44.6,1366514.0
2024-01-22,45.62,45.9382,45.055,45.45,1448423.0
2024-01-23,45.72,45.805,44.51,45.23,918280.0
2024-01-24,45.93,45.95,45.165,45.23,1115289.0
2024-01-25,45.97,46.43,45.17,45.52,2884276.0
2024-01-26,45.71,45.91,45.0,45.24,1556761.0
2024-01-29,45.24,46.15,45.11,46.02,1178346.0
2024-01-30,46.19,46.74,45.9,46.43,1308707.0
2024-01-31,45.68,46.125,44.66,44.88,1278332.0
2024-02-01,45.07,46.27,44.92,45.82,1872219.0
2024-02-02,45.46,45.895,45.15,45.41,1021815.0
2024-02-05,45.25,45.86,44.76,45.54,2575725.0
2024-02-06,50.14,50.6,47.4119,48.6,5146654.0
2024-02-07,49.13,49.7,48.13,48.45,1569611.0
2024-02-08,48.27,51.24,47.63,50.69,2539634.0
2024-02-09,51.05,52.3,50.845,51.98,1454678.0
2024-02-12,51.69,51.83,49.7,49.96,1448521.0
2024-02-13,48.47,49.53,47.74,48.39,1863770.0
2024-02-14,49.14,50.42,48.76,49.92,1258810.0
2024-02-15,50.36,50.36,49.58,49.94,822843.0
2024-02-16,49.75,49.75,48.66,49.49,888577.0
2024-02-20,49.0,49.09,47.9,48.25,929363.0
2024-02-21,46.28,47.35,45.45,47.09,1560014.0
2024-02-22,47.82,49.26,47.82,49.02,1707145.0
2024-02-23,49.21,49.57,48.66,49.01,1090714.0
2024-02-26,48.95,51.49,48.78,50.45,1329417.0
2024-02-27,50.85,51.27,49.775,50.92,1663874.0
2024-02-28,50.43,50.66,49.92,50.35,678627.0
2024-02-29,50.74,51.24,49.99,50.8,1051316.0
2024-03-01,50.8,51.245,50.0,51.11,777853.0
2024-03-04,51.31,52.88,50.355,50.49,1343828.0
2024-03-05,49.72,49.72,48.105,48.74,1099944.0
2024-03-06,49.9,50.575,48.62,49.77,1083409.0
2024-03-07,50.005,50.59,49.485,50.24,693830.0
2024-03-08,50.5,51.07,49.4122,49.81,733654.0
2024-03-11,49.41,49.93,48.58,49.64,682160.0
2024-03-12,49.53,49.955,49.22,49.55,811442.0
2024-03-13,49.65,50.78,48.78,50.01,955265.0
2024-03-14,49.92,49.99,48.385,49.07,1128866.0
2024-03-15,48.57,49.15,48.39,48.91,1803130.0
2024-03-18,49.1,49.63,48.75,49.15,898488.0
2024-03-19,48.72,48.9,47.27,48.85,1743954.0
2024-03-20,49.02,49.79,48.56,49.19,780573.0
2024-03-21,49.65,49.92,49.0,49.06,946455.0
2024-03-22,49.21,49.21,47.9,47.97,740143.0
2024-03-25,48.0,48.05,47.57,47.6,502631.0
2024-03-26,47.9,47.9,46.66,46.7,1019892.0
2024-03-27,47.28,47.31,46.41,47.31,699646.0
2024-03-28,47.2,48.51,46.9785,47.17,1285899.0
2024-04-01,47.12,47.33,46.19,46.81,905432.0
2024-04-02,45.99,46.34,45.28,45.55,1030568.0
2024-04-03,45.06,46.5625,44.72,46.47,1090435.0
2024-04-04,47.0,47.92,46.61,46.73,1188669.0
2024-04-05,46.36,48.24,46.36,47.81,1048691.0
2024-04-08,48.12,48.135,47.31,47.5,831097.0
2024-04-09,47.69,47.7,46.44,46.63,919196.0
2024-04-10,45.65,46.36,45.38,45.57,871716.0
2024-04-11,45.98,46.095,45.22,45.71,930363.0
2024-04-12,45.19,45.385,44.14,44.52,617405.0
2024-04-15,44.72,44.87,42.79,42.93,1156107.0
2024-04-16,42.77,45.27,42.57,43.96,1729714.0
2024-04-17,44.16,44.33,43.23,43.51,703862.0
2024-04-18,43.74,43.85,43.0,43.18,755752.0
2024-04-19,43.04,43.41,42.69,43.34,778844.0
2024-04-22,43.79,44.38,43.21,44.03,742673.0
2024-04-23,44.15,45.2,44.15,44.79,633598.0
2024-04-24,45.17,45.62,44.58,44.87,649976.0
2024-04-25,44.03,45.02,43.86,44.84,592613.0
2024-04-26,45.43,45.8,45.2,45.33,609115.0
2024-04-29,45.3,45.58,44.46,44.89,833568.0
2024-04-30,44.51,44.845,43.45,43.75,994823.0
2024-05-01,43.96,44.76,43.26,43.44,871897.0
2024-05-02,43.84,44.22,43.12,44.19,723487.0
2024-05-03,44.91,44.94,43.62,43.77,968377.0
2024-05-06,43.68,44.7092,43.64,44.59,2098230.0
2024-05-07,44.16,46.65,43.23,45.0,2650939.0
2024-05-08,44.77,45.93,44.54,45.64,1489563.0
2024-05-09,45.65,45.69,44.75,45.19,1057147.0
2024-05-10,45.17,45.42,44.28,44.51,903220.0
2024-05-13,44.6,44.7199,43.76,44.11,803691.0
2024-05-14,44.25,44.57,43.735,43.79,941903.0
2024-05-15,44.4,44.67,44.11,44.57,1049913.0
2024-05-16,44.61,44.7,43.24,43.49,962873.0
2024-05-17,43.66,43.7539,43.0,43.13,850712.0
2024-05-20,43.13,44.23,43.01,44.15,1128668.0
2024-05-21,43.94,44.27,43.49,43.74,753193.0
2024-05-22,43.85,45.55,43.85,44.82,1884072.0
2024-05-23,45.2,45.34,44.105,44.55,1104953.0
2024-05-24,44.54,45.6,44.27,45.07,1189926.0
2024-05-28,45.16,45.77,44.88,45.72,956328.0
2024-05-29,45.19,45.805,44.64,44.82,723966.0
2024-05-30,44.92,44.92,42.93,43.42,1512097.0
2024-05-31,43.54,43.93,42.145,42.96,1407966.0
2024-06-03,43.11,43.31,41.65,42.16,1178935.0
2024-06-04,42.2,42.365,41.13,41.5,1029953.0
2024-06-05,41.93,42.92,41.53,42.85,1257097.0
2024-06-06,42.99,43.1,42.26,42.27,552747.0
