Date,Open,High,Low,Close,Volume
2023-07-19,92.95,93.38,91.17,92.87,159211.0
2023-07-20,92.97,92.97,91.02,92.37,86553.0
2023-07-21,93.18,93.18,91.05,91.28,129985.0
2023-07-24,91.36,92.61,91.22,91.53,170654.0
2023-07-25,91.03,92.48,90.03,91.41,267178.0
2023-07-26,91.02,94.75,91.02,93.62,135398.0
2023-07-27,94.7,94.7,89.54,90.29,195580.0
2023-07-28,91.5,92.37,90.52,90.75,100569.0
2023-07-31,90.95,92.26,90.66,90.98,140247.0
2023-08-01,90.43,91.08,89.28,90.53,71726.0
2023-08-02,89.0,90.35,88.4901,89.73,154207.0
2023-08-03,88.35,88.8,82.47,87.19,291636.0
2023-08-04,87.7,90.53,87.51,87.8,168674.0
2023-08-07,88.14,88.525,87.32,87.58,144210.0
2023-08-08,85.05,86.0,83.4968,85.94,198565.0
2023-08-09,85.39,85.45,82.35,83.37,192126.0
2023-08-10,84.0,86.92,83.92,86.86,230106.0
2023-08-11,86.23,88.54,86.23,88.51,152999.0
2023-08-14,87.65,88.65,86.21,88.51,153158.0
2023-08-15,87.42,87.79,86.68,87.03,125395.0
2023-08-16,86.09,86.865,84.0,84.15,160009.0
2023-08-17,84.26,85.07,83.36,83.84,343783.0
2023-08-18,82.84,85.71,82.84,85.2,152658.0
2023-08-21,84.82,84.945,83.135,83.2,120955.0
2023-08-22,83.81,84.89,82.76,82.79,117041.0
2023-08-23,82.78,84.91,82.34,84.8,116732.0
2023-08-24,84.5,85.5,83.96,84.07,134410.0
2023-08-25,84.57,85.147,82.23,82.54,88437.0
2023-08-28,83.15,84.935,83.15,84.59,78322.0
2023-08-29,84.45,86.0,83.55,85.9,130525.0
2023-08-30,85.36,86.26,84.98,85.19,96757.0
2023-08-31,84.92,85.91,84.72,85.34,136742.0
2023-09-01,86.19,86.83,84.14,84.87,175491.0
2023-09-05,84.34,85.95,83.62,84.84,230251.0
2023-09-06,84.82,85.275,82.0,82.26,177124.0
2023-09-07,81.97,82.055,81.0,81.19,142202.0
2023-09-08,81.22,81.695,79.83,81.15,167088.0
2023-09-11,81.73,83.26,81.45,83.01,167721.0
2023-09-12,82.77,84.25,81.8688,83.37,100288.0
2023-09-13,83.44,83.44,80.71,80.73,182014.0
2023-09-14,81.74,82.955,80.66,82.51,236280.0
2023-09-15,81.78,83.49,81.3,82.36,508176.0
2023-09-18,81.81,82.21,80.8513,81.46,132917.0
2023-09-19,81.64,82.165,80.41,80.47,91570.0
2023-09-20,80.82,81.16,78.72,78.73,90486.0
2023-09-21,77.79,77.79,75.96,76.4,254125.0
2023-09-22,76.39,76.39,73.86,75.59,417268.0
2023-09-25,75.11,76.39,74.4802,75.43,87704.0
2023-09-26,74.83,75.25,74.11,74.7,123917.0
2023-09-27,74.7,76.085,73.5,74.26,172764.0
2023-09-28,74.47,76.11,73.79,74.64,204795.0
2023-09-29,75.18,75.9418,73.945,74.24,140922.0
2023-10-02,74.14,74.14,71.245,72.12,204511.0
2023-10-03,70.98,71.33,67.78,69.93,670109.0
2023-10-04,69.93,69.93,68.01,68.83,285716.0
2023-10-05,68.59,70.87,68.59,70.61,227584.0
2023-10-06,70.09,72.44,68.655,72.09,162538.0
2023-10-09,71.38,72.47,70.98,71.6,173484.0
2023-10-10,71.79,72.8,71.66,71.67,91744.0
2023-10-11,71.67,72.55,71.21,71.88,91133.0
2023-10-12,71.69,71.69,69.14,69.85,94088.0
2023-10-13,70.05,70.05,67.81,68.53,147267.0
2023-10-16,69.4,70.41,68.82,69.31,151697.0
2023-10-17,68.35,70.65,68.35,70.0,173612.0
2023-10-18,68.96,69.0161,67.67,68.36,119839.0
2023-10-19,68.04,69.96,67.99,68.13,200583.0
2023-10-20,68.18,68.18,66.31,66.48,181203.0
2023-10-23,66.01,67.63,65.5825,66.23,160567.0
2023-10-24,66.56,67.43,66.1,67.34,168411.0
2023-10-25,66.42,67.2,65.06,65.13,206787.0
2023-10-26,65.41,65.44,62.51,64.47,280654.0
2023-10-27,64.76,65.82,63.78,64.91,152146.0
2023-10-30,65.61,65.68,63.92,64.05,126517.0
2023-10-31,64.11,65.05,63.4119,64.8,185042.0
2023-11-01,64.77,65.59,63.51,65.35,161317.0
2023-11-02,66.74,70.55,66.365,70.15,249616.0
2023-11-03,72.19,76.96,72.19,76.8,400742.0
2023-11-06,76.96,77.175,74.33,74.39,226818.0
2023-11-07,73.78,74.045,71.85,72.15,187744.0
2023-11-08,72.15,72.95,71.12,72.2,178078.0
2023-11-09,72.71,73.0,69.29,69.82,223463.0
2023-11-10,70.15,71.775,68.88,71.48,209115.0
2023-11-13,70.5,73.98,69.62,73.62,248160.0
2023-11-14,77.36,80.98,77.21,80.44,322265.0
2023-11-15,80.82,83.66,80.8,83.02,245749.0
2023-11-16,83.0,83.0,81.58,82.19,218514.0
2023-11-17,82.93,83.61,82.22,83.48,187137.0
2023-11-20,83.8,84.28,82.38,82.97,131856.0
2023-11-21,82.49,82.49,81.14,81.63,171963.0
2023-11-22,81.64,83.34,81.32,82.55,156193.0
2023-11-24,82.31,83.5916,82.13,82.3,52453.0
2023-11-27,81.42,83.9,81.24,83.3,153393.0
2023-11-28,83.17,83.17,81.735,82.29,218265.0
2023-11-29,83.5,85.17,83.35,84.43,244016.0
2023-11-30,84.52,85.16,83.24,84.02,245926.0
2023-12-01,83.44,90.13,83.44,89.87,267172.0
2023-12-04,89.45,92.13,89.45,90.66,257011.0
2023-12-05,90.66,91.725,89.23,91.6,270866.0
2023-12-06,92.72,94.29,90.77,91.02,295935.0
2023-12-07,91.59,92.93,90.75,92.93,162746.0
2023-12-08,92.9,93.8575,90.36,93.43,269036.0
2023-12-11,94.0,95.98,93.79,95.84,203762.0
2023-12-12,95.77,97.87,95.58,96.68,262685.0
2023-12-13,94.85,102.45,94.765,101.26,369258.0
2023-12-14,103.81,108.8,102.2,105.91,483161.0
2023-12-15,105.96,106.0999,103.27,104.82,748612.0
2023-12-18,104.47,104.47,102.9875,103.79,174017.0
2023-12-19,105.0,106.38,104.53,104.67,178249.0
2023-12-20,104.74,107.69,103.8,103.89,213339.0
2023-12-21,105.3,106.48,104.5,106.4,213635.0
2023-12-22,107.57,108.67,106.65,107.77,191796.0
2023-12-26,107.68,110.64,107.68,110.34,216834.0
2023-12-27,110.79,113.19,110.64,113.15,233585.0
2023-12-28,112.21,113.67,111.94,113.13,219090.0
2023-12-29,112.77,113.5699,111.01,111.01,278339.0
2024-01-02,110.24,112.315,107.52,108.45,386643.0
2024-01-03,106.41,106.41,101.45,102.55,409700.0
2024-01-04,102.55,103.015,100.04,100.4,449544.0
2024-01-05,99.59,101.415,98.56,99.27,208683.0
