Date,Open,High,Low,Close,Volume
2025-02-21,4.35,4.38,3.3001,3.81,396051.0
2025-02-24,3.5,3.85,3.03,3.03,121011.0
2025-02-25,3.06,3.3,2.32,2.73,153999.0
2025-02-26,2.815,2.95,2.35,2.76,107494.0
2025-02-27,2.7,3.07,2.51,2.97,146801.0
2025-02-28,2.86,3.005,2.7,2.7,43054.0
2025-03-03,2.8,3.05,2.58,2.7,116936.0
2025-03-04,2.73,2.88,2.5101,2.78,104207.0
2025-03-05,2.57,2.97,2.57,2.9,58697.0
2025-03-06,2.8025,2.98,2.7,2.9,21566.0
2025-03-07,2.71,2.9871,2.63,2.87,52253.0
2025-03-10,2.8,2.9435,2.66,2.66,11251.0
2025-03-11,2.7,2.7756,2.4,2.54,52868.0
2025-03-12,2.4,2.98,2.4,2.89,132887.0
2025-03-13,2.74,3.0,2.5,2.67,152471.0
2025-03-14,2.75,2.96,2.74,2.9,89120.0
2025-03-17,2.81,3.63,2.8,3.49,85420.0
2025-03-18,3.5,4.21,3.19,4.0,53029.0
2025-03-19,3.95,4.17,3.45,3.98,61797.0
2025-03-20,4.17,4.75,3.64,4.735,857167.0
2025-03-21,5.16,5.69,4.15,4.96,965843.0
2025-03-24,5.34,5.34,3.91,3.95,414810.0
2025-03-25,3.73,4.35,3.73,4.19,128228.0
2025-03-26,4.07,4.5,3.88,3.95,106320.0
2025-03-27,4.0,4.3106,3.771,3.87,120307.0
2025-03-28,3.63,4.0907,3.5237,3.82,99621.0
2025-03-31,3.72,4.48,3.55,4.32,153471.0
2025-04-01,4.46,4.57,4.0,4.57,107312.0
2025-04-02,4.61,4.8,4.1,4.56,83917.0
2025-04-03,4.35,4.57,4.2,4.51,32850.0
2025-04-04,4.39,4.55,4.11,4.11,54775.0
2025-04-07,4.0,4.4938,3.88,3.94,104877.0
2025-04-08,4.19,4.53,3.68,3.82,115032.0
2025-04-09,4.21,4.36,3.68,4.3,366301.0
2025-04-10,4.63,4.7,3.68,3.91,348901.0
2025-04-11,3.92,4.0,2.75,2.89,405123.0
2025-04-14,3.01,4.14,2.99,3.83,448343.0
2025-04-15,3.67,3.96,3.61,3.94,47361.0
2025-04-16,3.81,4.2,3.56,3.67,144065.0
2025-04-17,3.62,3.95,3.09,3.29,149087.0
2025-04-21,3.275,3.45,3.0701,3.1,51500.0
2025-04-22,3.15,3.525,3.15,3.495,64242.0
2025-04-23,3.55,4.1999,3.5238,4.17,143934.0
2025-04-24,4.18,4.27,3.87,4.27,42436.0
2025-04-25,4.01,4.23,3.84,3.95,49294.0
2025-04-28,4.01,4.3519,3.63,3.94,32677.0
2025-04-29,3.85,4.02,3.65,4.02,68481.0
2025-04-30,4.0,4.4,3.255,4.34,107656.0
2025-05-01,4.25,4.48,4.06,4.3,62705.0
2025-05-02,4.26,4.58,4.0597,4.46,60282.0
2025-05-05,4.43,4.6348,4.31,4.57,22326.0
2025-05-06,4.57,4.57,4.336,4.54,15620.0
2025-05-07,4.37,4.6232,4.12,4.32,24345.0
2025-05-08,6.6,7.04,2.84,3.0,12585552.0
2025-05-09,2.82,2.85,2.3,2.71,691282.0
2025-05-12,2.84,2.93,2.4561,2.56,415125.0
2025-05-13,2.57,2.665,2.08,2.1,316945.0
2025-05-14,2.12,2.1482,1.41,1.79,344008.0
2025-05-15,1.87,2.6,1.87,2.33,1081804.0
2025-05-16,2.39,2.43,2.21,2.36,152133.0
2025-05-19,2.3,2.75,2.2921,2.68,164636.0
2025-05-20,3.0,3.0,2.6,2.66,188345.0
2025-05-21,2.62,2.66,2.19,2.26,193538.0
2025-05-22,2.31,2.5,2.3,2.48,59207.0
2025-05-23,2.47,2.5,2.25,2.36,76150.0
2025-05-27,2.4,2.5,2.35,2.5,118300.0
2025-05-28,2.55,2.55,2.29,2.32,43400.0
2025-05-29,2.42,2.56,2.32,2.33,43938.0
2025-05-30,2.34,2.37,2.0,2.01,119789.0
2025-06-02,2.05,2.05,1.77,1.88,106512.0
2025-06-03,1.92,2.01,1.85,1.87,91742.0
2025-06-04,1.93,2.0717,1.92,1.96,85653.0
2025-06-05,2.02,2.0948,1.71,1.74,150182.0
2025-06-06,1.78,1.9,1.42,1.69,165310.0
2025-06-09,1.7,1.82,1.7,1.76,65997.0
2025-06-10,1.73,1.735,1.42,1.42,274978.0
2025-06-11,1.4,1.56,1.4,1.42,244346.0
2025-06-12,1.42,1.4997,1.35,1.41,89818.0
2025-06-13,1.48,1.48,1.3,1.33,136243.0
2025-06-16,1.33,1.45,1.33,1.38,63862.0
2025-06-17,1.4,1.4142,1.28,1.31,42929.0
2025-06-18,1.33,1.38,1.17,1.22,151866.0
2025-06-20,1.23,1.2843,1.2,1.21,70257.0
2025-06-23,1.2,1.24,1.03,1.07,132591.0
2025-06-24,1.07,1.0995,0.972,1.01,163499.0
2025-06-25,1.0,1.025,0.9,0.92,172583.0
2025-06-26,0.9311,1.19,0.9301,1.11,290912.0
2025-06-27,1.2,1.26,1.01,1.01,1396766.0
2025-06-30,1.05,1.08,0.96,0.9686,288540.0
2025-07-01,0.94,0.96,0.8687,0.8997,284097.0
2025-07-02,0.93,0.999,0.8997,0.913,259031.0
2025-07-03,0.92,0.9747,0.8801,0.91,85399.0
2025-07-07,0.9477,0.953,0.92,0.94,124676.0
2025-07-08,0.9388,0.9453,0.82,0.8842,234966.0
2025-07-09,0.91,0.915,0.84,0.8611,151100.0
2025-07-10,0.8939,1.01,0.85,1.0,414796.0
2025-07-11,1.01,1.03,0.86,0.912,321052.0
2025-07-14,0.912,0.979,0.852,0.8612,220320.0
2025-07-15,0.86,0.890549,0.7514,0.809,224865.0
2025-07-16,0.8,0.85,0.782,0.8496,96660.0
2025-07-17,0.869,0.98,0.85,0.92,317425.0
