Date,Open,High,Low,Close,Volume
2023-07-19,10.5,12.0,10.22,11.62,446386
2023-07-20,11.44,11.76,10.39,11.26,148497
2023-07-21,11.31,11.31,10.68,10.76,75714
2023-07-24,10.53,10.91,10.35,10.45,149604
2023-07-25,10.29,10.57,9.88,9.89,67598
2023-07-26,9.91,11.04,9.9,10.7,125595
2023-07-27,10.89,10.9899,10.1,10.13,100154
2023-07-28,10.02,10.799,10.02,10.49,78551
2023-07-31,10.38,11.3,10.38,10.98,77150
2023-08-01,10.93,11.376,10.71,11.18,48698
2023-08-02,11.27,11.27,10.35,10.59,83963
2023-08-03,10.46,10.8999,10.46,10.58,46509
2023-08-04,10.77,10.88,10.2,10.36,45402
2023-08-07,10.52,10.52,10.06,10.12,41172
2023-08-08,10.2,10.4699,10.0,10.12,54698
2023-08-09,10.13,10.13,8.36,8.69,315236
2023-08-10,8.86,8.86,7.85,7.96,161000
2023-08-11,7.95,8.2,7.83,8.13,65478
2023-08-14,8.13,8.181,7.75,8.0,32425
2023-08-15,7.95,7.95,7.73,7.86,45542
2023-08-16,7.77,7.9171,7.7,7.701,18301
2023-08-17,7.71,7.91,7.6056,7.64,22892
2023-08-18,7.61,7.61,7.4,7.56,40612
2023-08-21,7.51,7.6464,7.326,7.6,47323
2023-08-22,7.41,7.49,7.27,7.4,117547
2023-08-23,7.39,7.39,7.02,7.07,48878
2023-08-24,7.05,7.08,6.87,6.9,54785
2023-08-25,6.91,7.25,6.89,7.05,32537
2023-08-28,7.01,7.1381,6.9,6.95,30323
2023-08-29,6.96,7.259,6.96,7.16,26357
2023-08-30,7.02,7.28,7.02,7.14,18122
2023-08-31,7.17,7.31,7.06,7.15,23367
2023-09-01,7.19,7.3685,7.08,7.12,19044
2023-09-05,7.02,7.19,6.9701,7.12,19856
2023-09-06,7.08,7.21,6.96,7.03,47390
2023-09-07,6.99,7.0,6.82,7.0,30640
2023-09-08,7.0,7.0397,6.8,6.8,32693
2023-09-11,6.82,7.44,6.82,7.26,53986
2023-09-12,7.25,7.36,7.0,7.1,25176
2023-09-13,7.04,7.15,6.85,6.95,29509
2023-09-14,6.96,7.21,6.9358,7.19,47586
2023-09-15,7.08,7.17,6.95,6.99,25145
2023-09-18,6.96,6.96,6.685,6.72,45416
2023-09-19,6.67,6.77,6.64,6.77,29135
2023-09-20,6.75,6.8496,6.71,6.71,26141
2023-09-21,6.65,6.72,6.58,6.61,36792
2023-09-22,6.64,6.674,6.4603,6.54,36188
2023-09-25,6.54,6.5759,6.34,6.39,30188
2023-09-26,6.35,6.4255,6.1201,6.19,38985
2023-09-27,6.27,6.32,6.05,6.12,39894
2023-09-28,6.11,6.11,5.965,6.04,59428
2023-09-29,6.11,6.2,6.02,6.06,16197
2023-10-02,5.92,6.08,5.85,5.915,42965
2023-10-03,5.84,5.9241,5.81,5.84,32268
2023-10-04,5.83,5.87,5.7,5.83,42699
2023-10-05,5.75,5.78,5.63,5.68,48391
2023-10-06,5.66,5.7,5.59,5.69,32756
2023-10-09,5.73,5.73,5.63,5.68,15846
2023-10-10,5.66,5.84,5.65,5.69,35002
2023-10-11,5.69,5.7,5.51,5.54,86281
2023-10-12,5.54,5.54,5.14,5.262,143400
2023-10-13,5.3,5.49,5.25,5.38,25469
2023-10-16,5.42,5.5225,5.29,5.49,12513
2023-10-17,5.46,5.82,5.46,5.82,38193
2023-10-18,5.83,5.83,5.591,5.76,20140
2023-10-19,5.68,5.7,5.53,5.57,13945
2023-10-20,5.5426,5.5445,5.34,5.388,20829
2023-10-23,5.31,5.47,5.19,5.19,59202
2023-10-24,5.1701,5.39,5.17,5.29,20444
2023-10-25,5.24,5.3233,5.1,5.25,14985
2023-10-26,5.17,5.27,5.095,5.27,22100
2023-10-27,5.12,5.3,4.9,4.95,76090
2023-10-30,5.09,5.13,4.98,5.03,15485
2023-10-31,5.04,5.1799,5.0,5.09,35100
2023-11-01,5.19,5.23,5.0405,5.17,38733
2023-11-02,5.26,5.67,5.2105,5.59,49545
2023-11-03,5.68,5.82,5.65,5.68,76525
2023-11-06,5.63,6.28,5.63,6.11,75368
2023-11-07,5.76,6.21,5.68,6.2,42752
2023-11-08,5.92,6.36,5.73,6.29,61255
2023-11-09,6.28,6.3,5.97,6.09,34431
2023-11-10,6.32,6.32,5.84,6.03,37784
2023-11-13,5.98,5.9999,5.76,5.79,39112
2023-11-14,5.87,6.02,5.8,5.92,98381
2023-11-15,5.98,6.55,5.98,6.55,57355
2023-11-16,6.6,6.6,6.1,6.46,69331
2023-11-17,6.52,6.74,6.4,6.73,37018
2023-11-20,6.75,7.25,6.75,7.19,94402
2023-11-21,7.18,7.19,6.9,7.05,36831
2023-11-22,7.01,7.12,6.82,7.02,36763
2023-11-24,6.9,6.97,6.8,6.96,17900
2023-11-27,6.97,6.97,6.8,6.85,14726
2023-11-28,6.9,7.253,6.85,7.2,44322
2023-11-29,7.2,7.68,7.2,7.58,65367
2023-11-30,7.64,7.64,7.15,7.21,43507
2023-12-01,7.12,7.565,7.12,7.55,26642
2023-12-04,7.64,7.86,7.4597,7.69,47609
2023-12-05,7.62,7.7928,7.36,7.36,21819
2023-12-06,7.46,7.6,7.39,7.39,12053
2023-12-07,7.34,7.4,6.94,7.12,28785
2023-12-08,7.04,7.1342,6.85,6.9,23387
2023-12-11,6.86,6.925,6.75,6.83,15709
2023-12-12,6.71,6.97,6.6,6.97,46350
2023-12-13,6.9,6.97,6.61,6.88,57787
2023-12-14,6.9,7.64,6.9,7.59,71031
2023-12-15,7.64,7.64,7.17,7.22,19870
2023-12-18,7.07,7.38,6.82,7.05,40094
2023-12-19,7.11,7.34,6.955,7.02,67361
2023-12-20,7.3,7.3,6.96,7.08,54104
2023-12-21,7.09,7.3,7.09,7.19,53887
2023-12-22,7.21,7.38,7.03,7.04,41668
2023-12-26,7.1,7.25,7.0511,7.07,44234
2023-12-27,7.11,7.11,6.89,6.89,75160
2023-12-28,6.9,7.0,6.7,6.73,62117
2023-12-29,6.82,6.83,6.5,6.62,103081
2024-01-02,6.62,6.6983,6.53,6.58,25743
2024-01-03,6.52,6.66,6.35,6.41,48156
2024-01-04,6.41,6.411,6.06,6.2183,38748
2024-01-05,6.07,6.33,6.07,6.3,18346
2024-01-08,6.32,6.4015,6.3099,6.39,12601
2024-01-09,6.34,6.455,6.2951,6.4,16122
2024-01-10,6.46,6.46,6.11,6.13,35989
2024-01-11,6.21,6.21,5.95,6.1,36412
2024-01-12,6.26,6.26,6.0,6.0,21542
2024-01-16,6.08,6.15,5.9,5.9,43852
2024-01-17,5.81,6.0099,5.75,5.8,20875
2024-01-18,5.88,5.88,5.7001,5.78,44083
2024-01-19,5.72,5.99,5.63,5.83,54553
2024-01-22,5.93,5.97,5.75,5.75,34593
2024-01-23,5.77,5.8772,5.6712,5.75,9759
2024-01-24,5.82,5.845,5.51,5.62,51797
2024-01-25,5.59,5.65,5.52,5.57,17283
2024-01-26,5.66,6.1824,5.5642,6.0108,139393
2024-01-29,6.25,6.69,6.22,6.5804,97217
2024-01-30,6.58,6.58,6.35,6.39,28054
2024-01-31,6.43,6.51,6.27,6.31,23894
2024-02-01,6.37,6.5,6.01,6.02,42817
2024-02-02,6.02,6.057,5.93,5.97,35443
2024-02-05,5.93,5.93,5.76,5.76,32919
2024-02-06,5.79,5.79,5.71,5.76,27643
2024-02-07,5.79,5.8,5.655,5.7,29455
2024-02-08,5.64,5.9765,5.64,5.95,22102
2024-02-09,5.96,5.983,5.8,5.85,14683
2024-02-12,5.55,5.87,5.55,5.8,29187
2024-02-13,5.7,5.78,5.59,5.65,19901
2024-02-14,5.74,5.8,5.6,5.8,24130
2024-02-15,5.8,5.8266,5.66,5.75,20646
2024-02-16,5.78,5.84,5.66,5.79,25451
2024-02-20,5.79,5.8,5.7,5.8,36069
2024-02-21,5.74,5.92,5.74,5.86,32481
2024-02-22,5.87,5.97,5.77,5.97,25888
2024-02-23,5.97,5.97,5.76,5.76,20156
2024-02-26,5.77,6.26,5.77,6.25,83748
2024-02-27,6.28,6.85,6.26,6.62,112658
2024-02-28,6.63,6.69,6.16,6.2399,40234
2024-02-29,6.23,6.435,6.1571,6.2,27816
2024-03-01,6.22,6.3529,6.16,6.22,41172
2024-03-04,6.11,6.22,5.73,5.73,49972
2024-03-05,5.72,5.844,5.65,5.7,28729
2024-03-06,5.71,5.8699,5.675,5.7,33601
2024-03-07,5.82,5.82,5.43,5.57,88566
2024-03-08,5.59,5.72,5.5,5.56,30096
2024-03-11,5.92,6.65,5.8,6.65,191653
2024-03-12,6.68,6.68,6.41,6.42,82347
2024-03-13,6.38,6.43,6.135,6.25,49279
2024-03-14,6.19,6.21,6.0,6.04,48810
2024-03-15,6.0,6.11,5.95,5.97,24051
2024-03-18,6.0,6.0,5.8999,5.98,18554
2024-03-19,5.92,6.04,5.9144,6.0159,27578
2024-03-20,6.06,6.14,6.02,6.07,30174
2024-03-21,6.1,6.155,5.99,6.06,29865
2024-03-22,6.06,6.4993,6.0049,6.3,48439
2024-03-25,6.3,7.41,6.3,7.24,362925
2024-03-26,6.06,7.24,6.06,6.82,256902
2024-03-27,6.93,7.14,6.71,6.8,70760
2024-03-28,6.85,6.89,6.49,6.74,99830
2024-04-01,6.74,6.74,6.495,6.61,42479
2024-04-02,6.66,6.66,6.39,6.65,40058
2024-04-03,6.63,6.68,6.53,6.64,53566
2024-04-04,6.6,6.69,6.25,6.26,77086
2024-04-05,6.25,6.29,6.05,6.17,35107
2024-04-08,6.15,6.5,6.09,6.205,34934
2024-04-09,6.28,6.3518,6.1506,6.21,7901
2024-04-10,6.11,6.2294,5.97,6.05,30707
2024-04-11,6.05,6.05,5.76,5.89,60981
2024-04-12,5.9518,6.11,5.76,5.86,74607
2024-04-15,5.85,5.86,5.7,5.79,37212
2024-04-16,5.8,5.89,5.63,5.7,58501
2024-04-17,5.67,5.8,5.67,5.715,38156
2024-04-18,5.7,5.75,5.62,5.68,39784
2024-04-19,5.6,5.74,5.5927,5.74,18603
2024-04-22,5.96,6.02,5.62,5.83,39383
2024-04-23,5.8,5.95,5.76,5.85,51023
2024-04-24,5.86,5.86,5.57,5.62,40610
2024-04-25,5.56,5.68,5.56,5.645,20417
2024-04-26,5.67,5.6996,5.53,5.69,48041
2024-04-29,5.69,5.82,5.6501,5.68,59820
2024-04-30,5.65,5.7,5.45,5.45,38188
2024-05-01,5.45,5.47,5.21,5.21,48016
2024-05-02,5.3,5.89,5.22,5.76,150415
2024-05-03,5.73,5.84,5.31,5.33,92979
2024-05-06,5.35,6.11,5.35,6.01,79069
2024-05-07,6.13,6.25,6.0,6.11,34284
2024-05-08,6.02,6.1676,5.88,5.93,52551
2024-05-09,5.77,6.02,5.55,5.6,85336
2024-05-10,5.68,5.88,5.64,5.81,42117
2024-05-13,5.99,5.99,5.55,5.75,43300
2024-05-14,5.78,6.1,5.7506,6.1,36313
2024-05-15,6.04,6.2,5.95,6.15,40520
2024-05-16,6.2,6.31,6.14,6.275,40268
2024-05-17,6.19,6.31,6.18,6.31,10192
2024-05-20,6.28,6.3525,6.22,6.32,14666
2024-05-21,6.31,6.31,6.16,6.17,16137
2024-05-22,6.13,6.13,5.84,5.89,13431
2024-05-23,5.93,6.019,5.6501,5.73,23554
2024-05-24,5.73,5.81,5.6691,5.78,13901
2024-05-28,5.71,5.87,5.66,5.66,24070
2024-05-29,5.67,5.89,5.48,5.5,41081
2024-05-30,5.54,5.66,5.48,5.4901,65885
2024-05-31,5.53,5.57,5.39,5.39,41213
2024-06-03,5.39,5.535,5.39,5.53,35246
2024-06-04,5.54,6.39,5.5,6.34,177291
2024-06-05,6.45,6.6,6.22,6.55,65500
2024-06-06,6.44,6.5,6.36,6.37,17695
2024-06-07,6.21,6.43,6.21,6.24,28286
2024-06-10,6.21,6.21,6.08,6.17,10741
2024-06-11,6.12,6.18,6.0546,6.06,21771
2024-06-12,6.06,6.21,5.9,6.05,19300
2024-06-13,6.03,6.12,5.96,6.05,12176
2024-06-14,5.97,6.08,5.9685,6.046,4797
2024-06-17,5.96,5.969,5.9001,5.9558,5660
2024-06-18,5.94,5.94,5.8326,5.93,25138
2024-06-20,5.65,5.9,5.6,5.615,86568
2024-06-21,5.65,5.72,5.55,5.705,8400
2024-06-24,5.72,5.81,5.6,5.6,14553
2024-06-25,5.58,5.61,5.55,5.56,25063
2024-06-26,5.55,5.78,5.44,5.45,69386
2024-06-27,5.52,5.58,5.45,5.54,32510
2024-06-28,5.52,5.62,5.48,5.57,15943
2024-07-01,5.6,5.6,5.46,5.48,24943
2024-07-02,5.46,5.65,5.4,5.645,35520
2024-07-03,5.65,5.79,5.5001,5.66,38062
2024-07-05,5.75,5.92,5.66,5.86,31453
2024-07-08,5.92,5.9799,5.75,5.805,37401
2024-07-09,5.75,5.81,5.6,5.8,25143
2024-07-10,5.79,6.0,5.66,5.975,62245
2024-07-11,6.05,6.35,6.05,6.32,46981
2024-07-12,6.35,6.35,6.215,6.215,26723
2024-07-15,6.21,6.32,6.16,6.26,25184
2024-07-16,6.31,6.5,6.1521,6.44,39115
2024-07-17,6.4365,6.4899,6.35,6.37,14935
2024-07-18,6.36,6.496,6.09,6.1,23229
2024-07-19,6.1,6.1,5.93,5.95,10430
2024-07-22,6.04,6.235,5.98,6.1,10232
2024-07-23,6.1,6.105,5.9,5.9,15844
2024-07-24,5.9,6.08,5.84,5.97,21167
2024-07-25,5.9699,6.0159,5.8805,5.9496,9691
2024-07-26,6.0,6.05,5.9735,6.03,14732
2024-07-29,6.08,6.08,5.98,5.98,4115
2024-07-30,5.98,6.0799,5.9,5.9,6588
2024-07-31,5.92,5.99,5.8701,5.98,5036
2024-08-01,5.99,5.99,5.88,5.89,17382
2024-08-02,5.75,5.83,5.55,5.69,56759
2024-08-05,5.55,5.795,5.55,5.58,27915
2024-08-06,5.62,5.8199,5.54,5.541,15716
2024-08-07,6.15,6.15,5.57,5.58,14751
2024-08-08,5.58,5.7,5.5,5.61,32621
2024-08-09,5.65,5.66,5.53,5.56,10459
2024-08-12,5.6,5.65,5.52,5.645,11846
2024-08-13,5.68,5.905,5.6177,5.64,27852
2024-08-14,6.07,6.07,5.52,5.6,15691
2024-08-15,5.52,5.84,5.52,5.78,21260
2024-08-16,5.71,5.8399,5.7,5.78,9347
2024-08-19,5.84,5.84,5.75,5.82,11886
2024-08-20,5.83,5.94,5.73,5.88,21643
2024-08-21,5.9,6.11,5.85,6.02,23545
2024-08-22,6.08,6.08,5.96,6.01,12112
2024-08-23,6.03,6.2,6.03,6.08,31683
2024-08-26,6.02,6.09,5.99,6.085,6506
2024-08-27,6.08,6.08,6.0,6.04,11820
2024-08-28,6.01,6.0499,5.8635,5.89,20464
2024-08-29,5.92,5.92,5.7,5.76,17050
2024-08-30,5.77,5.81,5.6,5.71,25367
2024-09-03,5.7,5.71,5.52,5.58,33756
2024-09-04,5.59,5.6292,5.36,5.41,67438
2024-09-05,5.41,5.53,5.41,5.52,24037
2024-09-06,5.55,5.585,5.408,5.4501,32163
2024-09-09,5.51,5.51,5.36,5.37,21182
2024-09-10,5.52,5.72,5.2,5.27,42302
2024-09-11,5.29,5.35,5.17,5.18,37137
2024-09-12,5.26,5.33,5.21,5.26,19974
2024-09-13,5.25,5.415,5.22,5.3,60448
2024-09-16,5.05,5.24,4.86,4.92,207545
2024-09-17,4.94,5.05,4.82,4.86,148629
2024-09-18,4.89,4.9,4.55,4.5999,175446
2024-09-19,4.67,4.81,4.65,4.69,65958
2024-09-20,4.65,4.705,4.5912,4.61,46140
2024-09-23,4.65,4.6779,4.57,4.61,47755
2024-09-24,4.65,4.65,4.5501,4.59,38509
2024-09-25,4.6,4.6,4.46,4.49,58761
2024-09-26,4.48,4.5101,4.42,4.44,48838
2024-09-27,4.43,4.5899,4.43,4.51,34696
2024-09-30,4.55,4.63,4.5,4.59,60336
