Date,Open,High,Low,Close,Volume
2023-04-18,89.13,90.54,88.74,89.85,10227555.0
2023-04-19,87.1409,90.7,86.5,90.45,13886156.0
2023-04-20,89.85,91.82,89.72,90.43,6776077.0
2023-04-21,90.48,91.34,89.17,91.12,6530957.0
2023-04-24,91.23,91.48,89.55,90.2,5004416.0
2023-04-25,89.64,89.83,87.885,88.06,5806698.0
2023-04-26,88.15,89.79,87.91,88.44,6410111.0
2023-04-27,89.41,90.96,88.885,90.26,6375752.0
2023-04-28,89.45,90.33,89.155,89.97,6374592.0
2023-05-01,90.19,90.52,87.83,87.93,7745447.0
2023-05-02,87.57,87.57,85.33,86.29,6319059.0
2023-05-03,86.4,87.18,84.565,84.75,6546482.0
2023-05-04,84.17,84.45,81.61,82.61,10359176.0
2023-05-05,83.79,85.02,83.62,84.88,8287968.0
2023-05-08,85.48,85.57,84.32,84.43,5825326.0
2023-05-09,84.0,84.905,83.695,84.37,4381352.0
2023-05-10,85.07,85.22,82.8,83.72,4884945.0
2023-05-11,82.78,82.82,81.62,82.63,6717818.0
2023-05-12,83.0,83.27,81.67,82.39,5197682.0
2023-05-15,82.67,83.38,82.2486,82.95,5032104.0
2023-05-16,82.72,83.07,81.81,81.86,6858571.0
2023-05-17,82.535,83.92,82.5,83.91,8216745.0
2023-05-18,83.7,84.55,83.02,84.49,5367747.0
2023-05-19,83.79,84.42,82.23,82.24,11183550.0
2023-05-22,82.25,83.16,81.905,82.27,5519979.0
2023-05-23,82.0,83.57,81.89,82.64,5521191.0
2023-05-24,82.01,82.23,80.74,81.22,6827807.0
2023-05-25,81.21,83.13,80.98,83.0,6962803.0
2023-05-26,82.97,84.64,82.83,83.9,7411581.0
2023-05-30,84.16,84.57,83.11,83.42,5876752.0
2023-05-31,83.06,83.275,81.13,81.76,9559219.0
2023-06-01,82.58,82.84,81.47,82.07,6857451.0
2023-06-02,82.94,84.68,82.94,84.35,6197489.0
2023-06-05,84.4,84.7583,83.22,83.74,7167917.0
2023-06-06,83.6,86.23,83.27,85.86,6903876.0
2023-06-07,86.05,87.01,85.78,86.5,7410772.0
2023-06-08,86.4,86.91,85.18,86.31,6796210.0
2023-06-09,86.74,86.9585,85.66,86.21,6284031.0
2023-06-12,86.2,87.635,86.01,87.44,7055035.0
2023-06-13,87.84,88.98,87.59,88.28,6089183.0
2023-06-14,88.6,89.49,87.64,87.98,5772521.0
2023-06-15,87.63,89.325,87.4,89.05,8603207.0
2023-06-16,89.62,89.65,87.94,88.09,13136582.0
2023-06-20,87.1,87.21,86.25,86.73,7384929.0
2023-06-21,86.56,87.28,86.3,86.34,6343133.0
2023-06-22,85.52,85.63,84.355,84.5,6214845.0
2023-06-23,83.26,83.915,82.6,83.58,10026628.0
2023-06-26,83.56,84.24,83.245,83.59,6377449.0
2023-06-27,83.91,84.87,83.375,84.43,6639866.0
2023-06-28,84.54,84.56,83.64,83.99,4781571.0
2023-06-29,85.34,86.06,84.63,85.24,9066524.0
2023-06-30,86.02,86.49,85.4,85.4,6191660.0
2023-07-03,86.34,87.655,85.84,86.41,5839318.0
2023-07-05,85.95,86.275,85.35,85.92,6735040.0
2023-07-06,84.85,84.92,83.02,83.33,8551212.0
2023-07-07,83.01,84.035,82.9,83.36,8217718.0
2023-07-10,83.42,84.39,83.18,83.4,6141199.0
2023-07-11,83.9,85.43,83.62,84.96,11057708.0
2023-07-12,86.68,87.71,85.6,85.77,8602310.0
2023-07-13,86.23,86.64,85.74,86.21,6026483.0
2023-07-14,87.41,87.42,85.56,85.78,7732694.0
2023-07-17,85.68,86.9,85.68,86.37,7909953.0
2023-07-18,87.54,92.56,87.1,91.94,21633927.0
2023-07-19,91.43,93.86,91.33,93.16,12004302.0
2023-07-20,93.11,94.14,92.86,93.8,9541752.0
2023-07-21,94.27,94.4,93.06,94.01,6298629.0
2023-07-24,94.01,95.4,93.7,94.67,7259774.0
2023-07-25,94.7,95.57,94.41,94.42,7760115.0
2023-07-26,94.4,95.15,93.285,93.54,7201113.0
2023-07-27,93.65,94.71,92.55,92.75,8427846.0
2023-07-28,92.46,92.6,91.09,91.57,5799077.0
2023-07-31,91.895,92.195,91.04,91.56,5232039.0
2023-08-01,91.2,91.43,90.63,90.94,4468883.0
2023-08-02,89.52,90.14,88.79,89.32,6412103.0
