Date,Open,High,Low,Close,Volume
2023-04-18,30.2,30.39,30.0519,30.16,4022404.0
2023-04-19,29.93,30.085,29.87,30.08,3800429.0
2023-04-20,29.82,29.83,29.53,29.83,5165277.0
2023-04-21,29.85,29.98,29.585,29.93,3903360.0
2023-04-24,29.93,30.43,29.76,30.33,4571362.0
2023-04-25,30.19,30.22,29.873,29.93,4029334.0
2023-04-26,29.73,29.96,29.23,29.44,5513609.0
2023-04-27,29.41,29.875,29.32,29.81,6626312.0
2023-04-28,29.76,30.435,29.705,30.26,5428366.0
2023-05-01,30.0,30.51,30.0,30.36,4671966.0
2023-05-02,30.1,30.13,28.92,29.3,7298531.0
2023-05-03,29.03,29.5,28.95,28.96,6094020.0
2023-05-04,29.26,29.74,28.83,29.1,10485788.0
2023-05-05,29.62,30.4,29.43,30.18,9884129.0
2023-05-08,30.44,30.48,29.45,29.56,5642185.0
2023-05-09,29.3,29.67,29.22,29.45,5122668.0
2023-05-10,29.76,29.76,28.87,29.16,6260883.0
2023-05-11,28.89,29.16,28.76,29.0,4746290.0
2023-05-12,29.24,29.39,29.055,29.28,4245034.0
2023-05-15,29.37,29.38,28.68,29.1,9341012.0
2023-05-16,29.1,29.27,28.525,28.65,9360010.0
2023-05-17,28.97,29.095,28.69,28.95,6372882.0
2023-05-18,28.75,29.245,28.67,29.21,6379452.0
2023-05-19,29.34,29.485,29.1,29.24,5158206.0
2023-05-22,29.19,29.46,28.97,29.23,5575766.0
2023-05-23,29.21,29.5985,29.155,29.38,5559483.0
2023-05-24,29.43,29.45,28.99,29.27,5658857.0
2023-05-25,28.98,29.13,28.625,29.08,8775661.0
2023-05-26,29.15,29.23,28.625,28.75,5960191.0
2023-05-30,28.5,28.705,28.38,28.56,6014964.0
2023-05-31,28.28,28.725,28.27,28.66,12283243.0
2023-06-01,28.71,29.25,28.57,29.11,8113886.0
2023-06-02,29.5,30.53,29.37,30.23,11369082.0
2023-06-05,30.6,30.66,30.13,30.14,5606484.0
2023-06-06,29.88,30.4,29.86,30.35,5664035.0
2023-06-07,30.58,31.41,30.52,31.4,11279165.0
2023-06-08,31.4,31.72,31.03,31.7,9968071.0
2023-06-09,31.17,31.2,30.38,30.39,8944096.0
2023-06-12,30.15,30.66,30.1,30.56,8073928.0
2023-06-13,30.6,30.99,30.44,30.48,9090141.0
2023-06-14,30.64,30.735,30.19,30.2,6328361.0
2023-06-15,30.28,30.85,30.22,30.57,7153217.0
2023-06-16,30.69,30.78,30.51,30.53,14134909.0
2023-06-20,30.47,30.67,30.24,30.64,7009891.0
2023-06-21,30.54,31.04,30.43,30.82,5718484.0
2023-06-22,30.87,30.905,30.445,30.57,6707319.0
2023-06-23,30.36,30.635,30.26,30.59,11263881.0
2023-06-26,30.62,31.24,30.59,31.07,7466915.0
2023-06-27,31.01,31.57,30.9,31.37,8499688.0
2023-06-28,31.54,32.21,31.45,32.02,15800902.0
2023-06-29,32.02,32.55,31.98,32.53,8949998.0
2023-06-30,32.73,32.76,32.425,32.63,7552551.0
2023-07-03,32.65,32.915,32.57,32.72,2930338.0
2023-07-05,32.74,32.74,32.33,32.46,10043663.0
2023-07-06,32.32,32.47,32.2,32.37,6686203.0
2023-07-07,32.32,33.045,32.28,32.73,6676054.0
2023-07-10,32.65,33.04,32.54,32.91,7988686.0
2023-07-11,32.98,33.59,32.83,33.55,10205962.0
2023-07-12,33.81,34.2,33.64,34.11,13714744.0
2023-07-13,34.1,34.29,34.05,34.26,11050631.0
2023-07-14,34.05,34.05,33.14,33.38,6643422.0
2023-07-17,33.18,33.395,33.0,33.01,5001231.0
2023-07-18,33.05,33.595,32.97,33.34,5126578.0
2023-07-19,33.355,33.58,33.1925,33.32,5400537.0
2023-07-20,33.65,33.66,33.265,33.6,4864342.0
2023-07-21,33.75,33.965,33.5311,33.85,4344748.0
2023-07-24,33.99,34.265,33.95,33.96,5640626.0
2023-07-25,33.94,34.11,33.73,33.98,4576013.0
2023-07-26,33.8,34.34,33.69,34.07,4586973.0
2023-07-27,34.05,34.41,33.91,34.05,7468088.0
2023-07-28,34.22,34.22,33.773,34.06,5400316.0
2023-07-31,34.25,34.64,34.13,34.45,6831232.0
2023-08-01,34.49,34.49,33.8,34.1,5523458.0
2023-08-02,33.91,33.93,33.27,33.68,6001481.0
2023-08-03,34.03,34.84,33.97,34.44,8534670.0
2023-08-04,34.53,35.07,34.35,34.36,7617893.0
2023-08-07,34.54,34.8,34.32,34.47,4119755.0
2023-08-08,34.11,34.84,34.0,34.83,5682212.0
2023-08-09,34.97,35.46,34.97,35.26,8472602.0
2023-08-10,35.3,35.45,34.8701,35.06,5949589.0
2023-08-11,35.09,35.41,35.05,35.38,4572195.0
2023-08-14,35.39,35.425,34.98,35.03,5002266.0
2023-08-15,34.85,34.915,34.62,34.76,4711842.0
2023-08-16,34.65,34.76,34.445,34.47,6196859.0
2023-08-17,34.7,35.05,34.61,34.61,4924550.0
2023-08-18,34.32,34.9,34.27,34.77,4328438.0
2023-08-21,34.82,34.98,34.4943,34.83,5960593.0
2023-08-22,34.97,35.135,34.62,34.63,5780839.0
2023-08-23,34.48,34.76,34.155,34.7,6137041.0
2023-08-24,34.55,34.9875,34.51,34.52,4446687.0
2023-08-25,34.73,34.96,34.55,34.67,4247516.0
2023-08-28,34.8,35.11,34.635,34.87,4003773.0
2023-08-29,34.89,34.95,34.64,34.88,3932049.0
2023-08-30,34.95,35.01,34.8,35.0,4164178.0
2023-08-31,35.03,35.065,34.525,34.53,10242315.0
2023-09-01,34.88,35.065,34.56,34.69,5250200.0
2023-09-05,34.7,34.865,34.42,34.44,6534685.0
2023-09-06,34.29,34.33,33.55,33.84,8081677.0
2023-09-07,33.87,34.36,33.82,34.19,6450211.0
2023-09-08,33.86,34.155,33.79,33.82,6115107.0
2023-09-11,34.02,34.15,33.545,33.69,5282472.0
2023-09-12,33.79,34.19,33.73,34.16,4599155.0
2023-09-13,34.21,34.3,33.945,34.26,4134922.0
2023-09-14,34.53,34.835,34.445,34.72,4744169.0
2023-09-15,34.36,34.83,34.29,34.34,10848773.0
2023-09-18,34.48,34.54,34.09,34.43,4554950.0
2023-09-19,34.69,34.69,34.09,34.29,5110473.0
2023-09-20,34.19,34.53,34.19,34.29,4624518.0
2023-09-21,34.39,34.415,33.3606,33.45,5504398.0
2023-09-22,33.6,33.885,33.485,33.62,5599801.0
2023-09-25,33.52,34.025,33.4941,33.96,4870995.0
2023-09-26,33.68,33.87,33.4925,33.58,7772826.0
2023-09-27,33.81,34.2799,33.7,34.1,5592287.0
2023-09-28,34.15,34.66,34.13,34.41,5824398.0
2023-09-29,34.42,34.46,33.5,33.69,7513517.0
2023-10-02,33.54,33.67,32.825,32.93,6753161.0
2023-10-03,32.8,32.98,32.495,32.97,7948348.0
2023-10-04,32.95,33.19,32.585,32.93,8409900.0
2023-10-05,32.64,33.5,32.63,33.36,6924191.0
2023-10-06,33.22,33.89,32.92,33.68,5788483.0
2023-10-09,34.24,34.455,34.035,34.36,4680431.0
2023-10-10,34.33,34.56,34.165,34.42,4625184.0
2023-10-11,34.24,34.71,34.185,34.69,4290639.0
2023-10-12,34.89,34.945,34.565,34.8,4564203.0
2023-10-13,35.09,35.395,34.94,35.19,5212220.0
2023-10-16,35.41,35.89,35.245,35.73,6400102.0
2023-10-17,35.73,36.215,35.66,35.9,8399330.0
2023-10-18,35.93,36.0,35.2,35.65,7404860.0
2023-10-19,35.68,36.09,35.47,35.57,5424129.0
2023-10-20,35.5,35.52,34.775,34.92,9725819.0
2023-10-23,34.67,34.98,34.47,34.84,4343781.0
2023-10-24,35.0,35.05,34.345,34.46,8846970.0
2023-10-25,34.51,34.785,34.435,34.46,5239768.0
2023-10-26,34.19,34.76,34.12,34.58,5014167.0
2023-10-27,34.5,34.53,33.89,34.05,5468837.0
2023-10-30,34.25,34.435,33.725,34.23,5000412.0
2023-10-31,34.4,34.575,34.13,34.4,6446929.0
2023-11-01,34.52,35.08,34.293,34.72,6094663.0
2023-11-02,34.67,35.82,33.8,35.79,8445111.0
2023-11-03,36.0,36.205,35.75,36.08,5508154.0
2023-11-06,36.26,36.32,35.665,35.75,4660035.0
2023-11-07,35.5,35.5,35.14,35.3,6088811.0
2023-11-08,35.28,35.44,34.925,35.12,5837183.0
2023-11-09,35.25,35.375,34.82,34.84,6702854.0
2023-11-10,35.15,35.2,34.7,34.88,6033574.0
2023-11-13,34.84,35.07,34.625,34.93,4202776.0
2023-11-14,35.0,35.51,34.985,35.29,5335886.0
2023-11-15,35.34,35.77,35.25,35.38,9133263.0
2023-11-16,35.21,35.46,34.65,34.75,7646166.0
2023-11-17,35.02,35.668,34.88,35.43,9538039.0
2023-11-20,35.48,35.84,35.38,35.61,4795401.0
2023-11-21,35.6,35.97,35.32,35.95,5281811.0
2023-11-22,35.59,36.25,35.46,36.23,4168341.0
2023-11-24,36.24,36.49,36.03,36.32,2022474.0
2023-11-27,36.24,36.4,36.125,36.39,4607549.0
2023-11-28,36.51,36.686,36.33,36.33,5705072.0
2023-11-29,36.43,36.64,36.275,36.44,5032310.0
2023-11-30,36.56,37.07,36.45,36.79,13200847.0
2023-12-01,36.74,37.45,36.68,37.28,6282328.0
2023-12-04,37.0,37.315,36.9,36.99,5203867.0
2023-12-05,36.96,37.0,36.18,36.26,6247588.0
2023-12-06,36.07,36.4275,35.75,35.84,7445827.0
2023-12-07,35.55,35.66,34.63,34.93,9664772.0
2023-12-08,35.11,35.65,35.06,35.52,5501603.0
2023-12-11,35.42,35.46,34.665,34.89,8260379.0
2023-12-12,34.71,34.78,34.25,34.41,8969872.0
2023-12-13,34.44,34.675,34.01,34.66,7446753.0
2023-12-14,35.0,35.15,34.62,34.66,10269397.0
2023-12-15,34.5,34.665,34.09,34.62,19467066.0
2023-12-18,35.03,35.33,34.66,34.7,6104807.0
2023-12-19,34.75,35.15,34.59,35.07,5047662.0
2023-12-20,34.97,35.3,34.61,34.67,5585214.0
2023-12-21,34.81,34.99,34.555,34.97,5959208.0
2023-12-22,35.17,35.38,35.06,35.14,5505967.0
2023-12-26,35.23,35.38,35.08,35.12,3461880.0
2023-12-27,35.03,35.28,34.895,35.03,4289193.0
2023-12-28,35.0,35.21,34.82,34.93,4064111.0
2023-12-29,35.03,35.03,34.74,34.83,3686636.0
2024-01-02,34.95,35.52,34.94,35.52,6379166.0
2024-01-03,35.52,36.535,35.39,36.31,8678457.0
2024-01-04,36.6,36.69,35.73,35.82,5408918.0
2024-01-05,35.89,35.96,35.265,35.55,6265702.0
2024-01-08,35.2,35.675,34.72,35.65,6595985.0
2024-01-09,35.54,35.67,35.075,35.42,10481717.0
2024-01-10,35.4,35.505,35.135,35.23,6185545.0
2024-01-11,35.25,35.3,34.38,34.78,7040831.0
2024-01-12,35.25,35.46,34.76,34.92,6629137.0
2024-01-16,34.82,34.935,34.495,34.57,7966620.0
2024-01-17,34.23,34.61,33.95,33.99,7429733.0
2024-01-18,33.94,34.09,33.61,33.85,7417389.0
2024-01-19,34.06,34.06,33.48,33.86,7492127.0
2024-01-22,33.86,34.065,33.66,33.97,6714503.0
2024-01-23,33.91,34.105,33.72,33.95,4441920.0
2024-01-24,34.11,34.27,33.97,34.03,5475976.0
2024-01-25,34.27,34.44,33.98,34.44,6070413.0
2024-01-26,34.45,34.91,34.39,34.87,6289594.0
2024-01-29,34.82,34.89,34.4,34.81,6037699.0
2024-01-30,34.66,35.21,34.66,35.2,4792421.0
2024-01-31,35.32,35.39,34.64,34.66,5998490.0
2024-02-01,34.76,35.21,34.62,34.87,4693087.0
2024-02-02,34.73,34.95,34.25,34.8,5021676.0
2024-02-05,34.56,34.7,34.19,34.43,5766673.0
2024-02-06,34.52,34.58,34.195,34.3,4966758.0
2024-02-07,34.37,34.46,34.1,34.29,7186633.0
2024-02-08,34.17,34.28,33.89,34.04,7085978.0
2024-02-09,34.02,34.265,33.85,34.03,6003647.0
2024-02-12,34.03,34.59,34.01,34.55,6092783.0
2024-02-13,34.56,34.69,33.76,34.04,9527803.0
2024-02-14,34.15,34.15,32.65,33.05,15469846.0
2024-02-15,33.03,34.28,33.03,34.19,10586718.0
2024-02-16,34.24,34.51,33.925,34.31,7773348.0
2024-02-20,34.45,34.48,33.85,34.11,7615211.0
2024-02-21,34.3,34.69,34.13,34.68,8076590.0
2024-02-22,34.45,35.295,34.26,34.9,9328561.0
2024-02-23,34.8,35.07,34.67,34.94,5749550.0
2024-02-26,34.85,35.195,34.68,34.72,5804151.0
2024-02-27,34.89,35.0775,34.545,35.04,8672781.0
2024-02-28,35.09,35.335,34.9,35.26,8243142.0
2024-02-29,35.41,36.23,35.38,35.94,12156716.0
2024-03-01,36.08,36.41,35.9,36.4,8114568.0
2024-03-04,36.4,36.53,36.02,36.37,7064434.0
2024-03-05,36.39,37.06,36.27,36.69,6770822.0
