Date,Open,High,Low,Close,Volume
2025-07-07,5e-07,7.501e-07,4.361e-07,4.626e-07,20483212414.870605
2025-07-08,4.827e-07,5.5e-07,4.38e-07,4.461e-07,33611856886.611923
2025-07-09,4.742e-07,5.228e-07,4.366e-07,5.196e-07,28750055438.69263
2025-07-10,5.195e-07,5.45e-07,4.801e-07,4.974e-07,8339089128.11077
2025-07-11,5.236e-07,5.999e-07,5.065e-07,5.537e-07,30568143520.592094
2025-07-12,5.175e-07,5.9e-07,4.977e-07,5.183e-07,9929723449.264715
2025-07-13,5.285e-07,6.109e-07,5.16e-07,5.842e-07,69414507427.92854
2025-07-14,5.842e-07,6.4e-07,5.463e-07,5.463e-07,16144202491.13964
2025-07-15,5.655e-07,6.146e-07,5.23e-07,5.68e-07,9595996645.48036
2025-07-16,5.741e-07,6.381e-07,5.53e-07,6.15e-07,47250524713.440994
2025-07-17,5.933e-07,7e-07,5.506e-07,6.359e-07,36437528972.22972
2025-07-18,6.404e-07,7.323e-07,6.236e-07,6.29e-07,43205578053.20449
2025-07-19,6.289e-07,7e-07,5.954e-07,6.581e-07,28415284856.116806
2025-07-20,6.581e-07,9.346e-07,6.351e-07,7.235e-07,51715261270.7705
