Date,Open,High,Low,Close,Volume
2025-01-24,2.602,2.657,2.421,2.48,439200.9490200139
2025-01-25,2.41,3.097,2.261,2.739,1433018.403370062
2025-01-26,2.816,2.882,2.378,2.392,813868.287420081
2025-01-27,2.44,2.698,2.271,2.585,853243.9688701202
2025-01-28,2.672,2.678,2.255,2.311,1581674.2551200527
2025-01-29,2.304,2.385,2.179,2.236,429835.8845100192
2025-01-30,2.236,2.308,2.109,2.111,1833571.4752000652
2025-01-31,2.113,2.142,1.909,1.932,418229.2326200098
2025-02-01,1.959,1.959,1.565,1.577,1361504.2760700278
2025-02-02,1.575,1.774,1.457,1.568,2883460.3042300153
2025-02-03,1.577,1.583,1.231,1.493,2413403.10315001
2025-02-04,1.496,1.769,1.387,1.635,2187949.6676100204
2025-02-05,1.639,1.797,1.586,1.625,585431.6315000454
2025-02-06,1.617,1.637,1.453,1.469,330372.0072100065
2025-02-07,1.472,1.556,1.443,1.485,218070.87367
2025-02-08,1.49,1.513,1.451,1.491,186328.97481
2025-02-09,1.491,1.531,1.399,1.457,228093.6392
2025-02-10,1.459,1.5,1.418,1.434,167294.74337
2025-02-11,1.432,1.506,1.393,1.404,214536.45286
2025-02-12,1.406,1.453,1.371,1.431,249631.25643
2025-02-13,1.434,1.477,1.36,1.402,381676.1377000056
2025-02-14,1.401,1.621,1.4,1.445,969354.6185700678
2025-02-15,1.442,1.455,1.306,1.336,431730.3595500074
2025-02-16,1.335,1.354,1.288,1.301,151832.35789
2025-02-17,1.305,1.311,1.245,1.276,540754.7571600096
2025-02-18,1.275,1.3,1.206,1.246,399412.5238500099
2025-02-19,1.246,1.264,1.199,1.224,215704.10483
2025-02-20,1.227,1.273,1.222,1.271,254442.4119200002
2025-02-21,1.275,1.451,1.217,1.252,236245.99509
2025-02-22,1.253,1.28,1.253,1.274,134117.2702
2025-02-23,1.276,1.294,1.238,1.25,91065.19457
2025-02-24,1.252,1.261,0.963,1.0,766905.6904500332
2025-02-25,0.997,1.052,0.889,0.941,701965.2172100456
2025-02-26,0.948,0.948,0.839,0.869,250755.43873
2025-02-27,0.87,0.904,0.839,0.856,177745.09659
2025-02-28,0.857,0.872,0.795,0.865,284014.3334400008
2025-03-01,0.863,0.911,0.839,0.852,117739.75294
2025-03-02,0.854,0.942,0.837,0.924,449295.9131300098
