Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-10,7.876,7.924,7.537,7.726,149083.7403621795,8.040049999999999,8.059876516786407,-0.04428757222582469,41.600528715338996,-0.1280000000000001,8.516536913721003,7.563563086278995,0.5132857142857143,164118.47378752503,-566885.126637924,7.878,7.938,7.854
2023-08-11,7.73,7.86,7.621,7.654,54112.33292625009,7.990799999999998,8.021221610425796,-0.05902370966208448,37.74445858642607,-0.3930000000000007,8.406345602032339,7.575254397967658,0.46821428571428575,155483.21955385266,-620997.4595641741,7.726,7.882,8.047
2023-08-12,7.66,7.717,7.623,7.665,53498.71206677023,7.93865,7.987295742766197,-0.06899145605934631,38.99537306944136,-0.28300000000000036,8.213029126872211,7.664270873127789,0.44578571428571434,146849.55087941122,-567498.7474974039,7.654,7.917,7.948
2023-08-13,7.664,8.143,7.581,7.695,116960.60525533967,7.915899999999999,7.95945805297894,-0.07386587121783972,43.20557449137421,-0.41199999999999903,8.191941110591955,7.639858889408042,0.4551428571428571,134831.4668437075,-450538.14224206423,7.665,8.109,8.107
2023-08-14,7.685,7.936,7.506,7.555,106407.8739079795,7.893950000000001,7.9209382384095175,-0.08640443323301739,40.28589956854931,-0.42799999999999994,8.210662371586254,7.577237628413749,0.42371428571428565,130428.70286138244,-556946.0161500437,7.695,7.878,7.983
2023-08-15,7.55,7.7,7.101,7.214,253488.75410505975,7.8534999999999995,7.85361078713242,-0.11884031340665668,25.311203109450588,-0.7239999999999993,8.286217484107853,7.420782515892145,0.41642857142857137,132552.01299134802,-810434.7702551035,7.555,7.726,7.938
2023-08-16,7.222,8.149,6.9,7.119,273304.21370422945,7.81045,7.7836478550245705,-0.1493678586089322,25.371360454427162,-0.7629999999999999,8.348640525841233,7.272259474158767,0.44199999999999984,139654.8640902195,-1083738.983959333,7.214,7.654,7.882
2023-08-17,7.088,7.432,6.857,7.192,286453.33120979124,7.76855,7.727300440260326,-0.16623333949180363,21.352535817823778,-0.7249999999999996,8.36237771735137,7.174722282648632,0.45457142857142846,147454.3270277386,-797285.6527495418,7.119,7.665,7.917
2023-08-18,7.217,8.082,7.0,7.891,412448.88077269227,7.7632,7.742890874521247,-0.12746458510595637,47.8821359712938,-0.21799999999999997,8.350212633236243,7.176187366763758,0.5022142857142857,162884.92051902614,-384836.77197684953,7.192,7.695,8.109
2023-08-19,7.9,8.432,7.709,7.767,192906.19624926007,7.75705,7.7451869817097,-0.10467234076526832,46.20168785125563,-0.11099999999999977,8.341038635433764,7.1730613645662356,0.5177142857142858,165192.69793331472,-577742.9682261096,7.891,7.555,7.878
2023-08-20,7.767,7.974,7.67,7.724,91033.82772686971,7.75055,7.743169173927823,-0.08878752538140766,46.47006226515602,-0.0019999999999997797,8.332886663343194,7.168213336656805,0.5256428571428573,163729.3959838637,-668776.7959529794,7.767,7.214,7.726
2023-08-21,7.74,7.888,7.37,7.478,153195.54562547978,7.7221,7.717914966887078,-0.09334407614548379,41.03715778908934,-0.17600000000000016,8.299027214236178,7.1451727857638225,0.5340714285714288,159234.72886954717,-821972.3415784591,7.724,7.119,7.654
2023-08-22,7.489,7.525,7.098,7.39,123276.7127568295,7.6942,7.68668497004069,-0.10230220065790441,34.66950938790059,-0.27500000000000036,8.279044594742912,7.109355405257088,0.5386428571428572,155162.06602263357,-945249.0543352886,7.478,7.192,7.665
2023-08-23,7.39,7.964,7.333,7.717,139695.58961775972,7.6747,7.6895721157511,-0.08390743278335844,46.70217097344105,0.021999999999999353,8.226675628752613,7.1227243712473856,0.5585714285714286,155357.23708370252,-805553.4647175289,7.39,7.891,7.695
2023-08-24,7.757,7.968,7.358,7.481,80338.8217609803,7.6495999999999995,7.669708104727186,-0.08613043446437896,45.148514601156755,-0.07399999999999984,8.18803570695703,7.111164293042969,0.5745000000000001,152318.55965713956,-885892.2864785092,7.717,7.767,7.555
2023-08-25,7.468,7.515,7.11,7.269,117268.45426007896,7.61615,7.631545428086501,-0.10274326052636251,42.776735234943985,0.054999999999999716,8.162215457807513,7.070084542192488,0.5863571428571428,153010.46555674402,-1003160.7407385882,7.481,7.724,7.214
