Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-10,15.92,16.13,15.51,15.7,1001.654,15.622,15.66183951202017,-0.029596014964512918,51.55131247691684,0.02999999999999936,16.60043268869953,14.64356731130047,0.8364285714285715,3021.3062000000027,-10220.462000000016,15.9,15.0,15.67
2023-08-11,15.79,16.02,15.43,15.66,1352.071999999999,15.579500000000001,15.661664320399202,-0.01718682443584818,47.19387738247083,0.16999999999999993,16.464949038623907,14.694050961376094,0.8378571428571429,2940.281800000003,-11572.534000000014,15.7,14.95,15.49
2023-08-12,15.64,15.74,15.43,15.59,737.1069999999999,15.5585,15.65483914702785,-0.012070049171354569,43.23607410999864,0.5199999999999996,16.420572777487035,14.696427222512966,0.8221428571428572,2686.9714500000023,-12309.641000000014,15.66,14.94,15.07
2023-08-13,15.6,15.9,15.37,15.46,1618.0859999999973,15.549499999999998,15.636283037787102,-0.016790591682861233,38.482384677844635,0.3000000000000007,16.41174859036066,14.687251409639337,0.8035714285714287,2627.360150000002,-13927.727000000012,15.59,16.11,15.16
2023-08-14,15.46,15.46,14.55,15.05,3573.3490000000365,15.514,15.580446557997854,-0.048444980242198454,41.040462261685995,0.21000000000000085,16.397948081352247,14.630051918647753,0.767857142857143,2732.6185000000037,-17501.07600000005,15.46,15.9,14.84
2023-08-15,14.88,15.07,14.5,14.53,2621.775,15.449000000000002,15.480404028664726,-0.10863385440207551,37.36842091495844,-0.47000000000000064,16.421828756500183,14.476171243499822,0.7514285714285716,2768.3607500000035,-20122.85100000005,15.05,15.7,15.0
2023-08-16,14.57,14.9,14.17,14.17,2408.956999999995,15.379,15.35560364498237,-0.17949268933067586,37.96791429637679,-0.7799999999999994,16.504641805231227,14.253358194768774,0.7614285714285716,2813.4367500000035,-22531.808000000045,14.53,15.66,14.95
2023-08-17,14.21,14.36,12.95,13.59,8573.645000000051,15.264500000000002,15.18745091688881,-0.2737159191896712,31.442080274186978,-1.3499999999999996,16.618316826605433,13.910683173394569,0.8435714285714286,3054.228850000006,-31105.453000000096,14.17,15.59,14.94
2023-08-18,13.63,13.77,12.83,13.19,4850.392000000001,15.119,14.997217496232732,-0.3725962007880952,30.858468577257867,-2.92,16.701002728056736,13.536997271943264,0.8785714285714287,3220.6856000000057,-35955.845000000096,13.59,15.46,16.11
2023-08-19,13.33,13.68,12.84,13.07,4663.652000000001,14.956999999999999,14.813672972781996,-0.4540631741691481,27.400468294237342,-2.83,16.682536987356936,13.231463012643061,0.8450000000000001,3353.290600000006,-40619.4970000001,13.19,15.05,15.9
2023-08-20,13.07,13.28,12.8,13.09,1713.786000000002,14.827999999999998,14.649513642040853,-0.5109387293587364,28.066037643178177,-2.6099999999999994,16.707950727237847,12.948049272762148,0.8221428571428572,3076.0282500000053,-38905.7110000001,13.07,14.53,15.7
2023-08-21,13.11,13.13,12.25,12.48,2419.0040000000013,14.6775,14.44289329517982,-0.5940541524382379,24.58677678838535,-3.1799999999999997,16.80052539836557,12.554474601634432,0.8492857142857143,3067.093550000005,-41324.7150000001,13.09,14.17,15.66
2023-08-22,12.49,12.59,11.93,12.36,5821.400000000005,14.542000000000002,14.244522505162694,-0.660957061459742,0.5277044835387983,-3.2300000000000004,16.89321111008998,12.190788889910024,0.7485714285714288,3287.8323500000056,-47146.11500000011,12.48,13.59,15.59
2023-08-23,12.29,12.47,11.77,12.3,3083.0120000000015,14.399000000000001,14.05932988562339,-0.710056929404244,0.5494505473372584,-3.16,16.932754443300965,11.865245556699035,0.7264285714285715,3387.8418000000056,-50229.12700000011,12.36,13.19,15.46
2023-08-24,12.33,12.59,11.91,12.04,4091.488999999999,14.258999999999997,13.867012753659257,-0.7596129990980227,0.540540538495236,-3.0100000000000016,16.991763398004608,11.526236601995386,0.7307142857142859,3472.170450000006,-54320.61600000011,12.3,13.07,15.05
2023-08-25,12.0,12.09,11.72,11.78,1408.381,14.097999999999999,13.668249634263137,-0.8090729538642698,0.5102040798104781,-2.75,17.01982062924364,11.176179370756358,0.7150000000000001,3337.748150000006,-55728.99700000011,12.04,13.09,14.53
2023-08-26,11.78,12.01,11.78,11.96,1023.2950000000006,13.9485,13.505559192904743,-0.8249098292139507,4.9627791390871465,-2.209999999999999,16.990281161027035,10.906718838972965,0.7092857142857144,3227.3960500000057,-54705.702000000114,11.78,12.48,14.17
2023-08-27,11.96,12.27,11.92,12.21,1214.7280000000003,13.812000000000001,13.38217260310429,-0.8089276908169545,10.843373457395856,-1.379999999999999,16.910920694965306,10.713079305034698,0.6964285714285714,3160.507700000005,-53490.97400000011,11.96,12.36,13.59
2023-08-28,12.2,12.2,11.8,12.04,1207.8010000000004,13.608499999999998,13.254346640903883,-0.800015991261068,11.508951365441106,-1.1500000000000004,16.604871665513933,10.61212833448606,0.6599999999999999,2832.3389000000043,-54698.77500000011,12.21,12.3,13.19
2023-08-29,12.09,12.59,11.91,12.35,2096.528,13.431000000000001,13.168218389389228,-0.7602535269013373,20.540540462819607,-0.7200000000000006,16.272399951469446,10.589600048530558,0.6678571428571427,2774.0056500000046,-52602.24700000011,12.04,12.04,13.07
2023-08-30,12.34,12.39,11.84,11.89,803.7299999999999,13.2405,13.046483304685491,-0.7555440173631194,19.99999992631581,-1.1999999999999993,15.94915649354067,10.531843506459332,0.6549999999999999,2764.1094500000045,-53405.977000000115,12.35,11.78,13.09
2023-08-31,11.84,12.03,11.39,11.46,1760.8370000000014,13.0305,12.895389656620207,-0.7761439702507165,20.821917728354308,-1.0199999999999996,15.596844728043745,10.464155271956255,0.5999999999999998,2784.5477000000046,-55166.814000000115,11.89,11.96,12.48
2023-09-01,11.5,11.78,11.26,11.56,2085.8029999999985,12.828999999999999,12.768209689323044,-0.7756851198578403,25.671641683760328,-0.7999999999999989,15.1723390481825,10.485660951817497,0.5699999999999997,2851.9825000000046,-53081.011000000115,11.46,12.21,12.36
2023-09-02,11.55,11.67,11.33,11.41,776.7140000000005,12.6265,12.638856385577991,-0.7779981878535676,25.443786876860074,-0.8900000000000006,14.696570174249128,10.556429825750872,0.534285714285714,2809.9139000000046,-53857.725000000115,11.56,12.04,12.3
2023-09-03,11.48,11.87,11.33,11.58,2121.839999999999,12.453,12.53801292028485,-0.7577600578449228,28.611897903522234,-0.4599999999999991,14.228530758304187,10.677469241695812,0.5385714285714284,2737.338450000003,-51735.88500000012,11.41,12.35,12.04
2023-09-04,11.58,11.8,11.39,11.53,2293.103999999999,12.303,12.44201168978153,-0.7371089865953184,34.00673384643291,-0.25,13.829083394286116,10.776916605713886,0.5049999999999998,2720.9049000000027,-54028.98900000012,11.58,11.89,11.78
2023-09-05,11.47,11.69,11.34,11.5,1530.0829999999987,12.1695,12.352296290754717,-0.7148291542003822,35.069444273968,-0.46000000000000085,13.456282605448276,10.882717394551722,0.4828571428571426,2676.961200000003,-55559.07200000012,11.53,11.46,11.96
2023-09-06,11.47,11.51,11.17,11.28,2046.550000000001,12.053999999999998,12.250172834492362,-0.7063151623423085,33.22368405752252,-0.9300000000000015,13.212190966891695,10.895809033108302,0.4571428571428568,2350.60645,-57605.62200000012,11.5,11.56,12.21
2023-09-07,11.25,11.52,10.93,11.46,3738.3520000000026,11.9675,12.174918278826423,-0.6775398735784073,40.20270251255483,-0.5799999999999983,13.022251155486474,10.912748844513525,0.45071428571428535,2295.004450000001,-53867.27000000012,11.28,11.41,12.04
2023-09-08,11.4,11.47,11.11,11.11,1159.139,11.8695,12.073497490366764,-0.6745794961876328,39.016393263531334,-1.2400000000000002,12.854876764705313,10.884123235294688,0.4499999999999998,2119.7788000000005,-55026.40900000012,11.46,11.58,12.35
2023-09-09,11.12,11.24,11.1,11.16,785.0020000000001,11.773,11.986497729379453,-0.6606389837066917,36.301369688966055,-0.7300000000000004,12.623958592597695,10.922041407402304,0.4435714285714284,2073.3396000000002,-54241.40700000012,11.11,11.53,11.89
2023-09-10,11.14,11.4,11.04,11.16,1315.0600000000004,11.707,11.907783659914744,-0.6421692486221513,30.337078492614594,-0.3000000000000007,12.531419412933197,10.882580587066805,0.44428571428571423,2018.1424000000006,-54241.40700000012,11.16,11.5,11.46
2023-09-11,11.19,11.19,10.41,10.67,4886.283000000001,11.622499999999999,11.789899501827625,-0.6587895992987729,27.090300876500308,-0.8900000000000006,12.509194037303477,10.73580596269652,0.4714285714285714,1971.38655,-59127.690000000126,11.16,11.28,11.56
2023-09-12,10.69,11.04,10.58,10.88,780.917,11.551499999999999,11.70324240641547,-0.647792486450669,24.567473929430975,-0.5299999999999994,12.437182014934827,10.665817985065171,0.4557142857142856,1856.2818,-58346.773000000125,10.67,11.46,11.41
2023-09-13,10.93,11.0,10.33,10.74,3263.3320000000017,11.4865,11.6115050343759,-0.6427844948755421,27.62645899347457,-0.8399999999999999,12.41118543726762,10.56181456273238,0.46428571428571414,1814.8739500000004,-61610.10500000013,10.88,11.11,11.58
2023-09-14,10.77,11.1,10.64,10.83,1216.419,11.439,11.537075983482957,-0.6244378615744655,35.874439236662724,-0.6999999999999993,12.39719786990726,10.48080213009274,0.45142857142857135,1805.2758500000004,-60393.686000000125,10.74,11.16,11.53
2023-09-15,10.88,10.97,10.53,10.78,2558.861999999998,11.38,11.464973508865533,-0.6068748704425246,32.1100915369077,-0.7200000000000006,12.348384438667159,10.411615561332843,0.44571428571428573,1882.0542,-62952.548000000126,10.83,11.16,11.5
2023-09-16,10.81,10.87,10.33,10.41,2583.0510000000004,11.290000000000001,11.36449984135453,-0.6153628339803063,29.166666496527824,-0.8699999999999992,12.268118494597543,10.311881505402459,0.45999999999999996,1950.4703500000003,-65535.599000000126,10.78,10.67,11.28
2023-09-17,10.45,10.67,10.28,10.42,2615.9609999999984,11.209,11.274547475511241,-0.6141979830596309,24.10714270647327,-1.040000000000001,12.193894330426033,10.224105669573966,0.44928571428571434,2020.8783500000002,-62919.63800000013,10.41,10.88,11.46
2023-09-18,10.41,12.57,10.3,11.43,22799.30599999996,11.163,11.289352477843504,-0.5265035614627998,48.43749978808595,0.3200000000000003,11.998050581512459,10.327949418487542,0.5821428571428572,3056.017249999998,-40120.33200000017,10.42,10.74,11.11
2023-09-19,11.38,12.15,10.56,11.85,12925.764000000036,11.161,11.342747479953648,-0.41860046165438547,54.87465159658908,0.6899999999999995,11.98887998113131,10.333120018868689,0.6707142857142857,3662.11895,-27194.568000000134,11.43,10.83,11.16
2023-09-20,11.84,16.89,11.76,14.03,61398.88200000108,11.2895,11.598676291386633,-0.1568688855598772,74.7747745861537,2.869999999999999,12.815905823115918,9.763094176884083,1.012857142857143,6644.021200000054,34204.314000000944,11.85,10.78,11.16
2023-09-21,14.08,14.63,12.6,12.67,22415.204000000045,11.345,11.700707120778382,-0.05767780763224728,58.98959868858033,2.0,12.98900665896976,9.700993341030241,1.1157142857142859,7660.4912500000555,11789.1100000009,14.03,10.41,10.67
2023-09-22,12.65,13.7,12.15,12.92,11428.105,11.4205,11.816830252132823,0.04048385511938868,63.65007528037692,2.039999999999999,13.209383509490316,9.631616490509685,1.2007142857142858,8193.060800000056,23217.2150000009,12.67,10.42,10.88
2023-09-23,12.91,13.73,12.68,13.35,4635.306000000007,11.508999999999999,11.962846418596364,0.15099265828391495,65.62054195168508,2.6099999999999994,13.495341784338883,9.522658215661114,1.2657142857142856,8318.734100000056,27852.521000000906,12.92,11.43,10.74
2023-09-24,13.31,13.98,13.0,13.29,7998.726999999983,11.597,12.089241997777663,0.23108728000643985,65.06364909322615,2.459999999999999,13.737241993203979,9.45675800679602,1.3100000000000003,8604.015250000057,19853.794000000926,13.35,11.85,10.83
2023-09-25,13.27,14.59,12.91,14.44,6765.338000000012,11.744,12.313123712275027,0.38240586857611625,74.38551086139752,3.66,14.231826360500275,9.256173639499725,1.3742857142857143,8865.778000000055,26619.132000000936,13.29,14.03,10.78
2023-09-26,14.49,14.88,13.64,13.98,7359.512000000017,11.879000000000001,12.4718738349155,0.46009133486538367,69.42355877544739,3.5700000000000003,14.54729257450489,9.210707425495112,1.43,9131.426100000057,19259.62000000092,14.44,12.67,10.41
2023-09-27,13.97,14.26,13.3,13.46,3131.0279999999966,11.979000000000001,12.565981088733071,0.4744287266278491,66.26794247275704,3.040000000000001,14.72980772826724,9.228192271732762,1.4507142857142858,9101.059900000057,16128.592000000923,13.98,12.92,10.42
2023-09-28,13.47,14.36,13.45,14.05,2618.0580000000023,12.126,12.707316223139445,0.5270998731272893,68.17155745435646,2.620000000000001,14.99304248862464,9.258957511375359,1.4828571428571427,9174.005850000056,18746.650000000926,13.46,13.35,11.43
2023-09-29,14.02,14.24,13.05,13.6,6506.5660000000125,12.248,12.792333725697594,0.5266082916817236,65.22678175883641,1.75,15.149415988244726,9.346584011755272,1.5364285714285715,9460.084050000058,12240.084000000912,14.05,13.29,11.85
2023-09-30,13.5,13.85,13.02,13.36,3561.788999999995,12.358,12.84639718039306,0.501148189869296,66.15553111432887,-0.6699999999999999,15.252543687335665,9.463456312664336,1.557142857142857,9572.420500000057,8678.295000000917,13.6,14.44,14.03
2023-10-01,13.37,13.79,13.08,13.44,3204.488000000001,12.496500000000001,12.902930782260388,0.48184585434120564,66.41304337719754,0.7699999999999996,15.315049645697794,9.677950354302208,1.5799999999999998,9488.330750000056,11882.783000000918,13.36,13.98,12.67
2023-10-02,13.51,14.5,13.11,13.4,6973.690000000011,12.6225,12.950270707759397,0.45804939993781524,61.968408157040386,0.4800000000000004,15.360950387776962,9.88404961222304,1.5171428571428573,9797.969400000058,4909.093000000907,13.44,13.46,12.92
2023-10-03,13.14,13.47,12.78,12.93,1887.643999999999,12.732000000000001,12.948340164163264,0.39680793128932734,56.52173903486662,-0.41999999999999993,15.324772139703189,10.139227860296813,1.4528571428571428,9729.185000000058,3021.4490000009073,13.4,14.05,13.35
2023-10-04,12.93,13.03,12.56,12.65,1405.654999999999,12.822999999999999,12.919926815195334,0.322032866919125,39.18495289207063,-0.6399999999999988,15.257628254342352,10.388371745657645,1.1199999999999999,9738.646800000057,1615.7940000009082,12.93,13.6,13.29
2023-10-05,12.73,12.84,12.38,12.5,1405.7999999999995,12.909,12.87993378517673,0.247845260804878,48.355899288784805,-1.9399999999999995,15.153890338430573,10.664109661569428,1.0078571428571428,9680.993700000057,209.99400000090873,12.65,13.36,14.44
