Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-10,0.0186,0.0194,0.0176,0.0188,61463.72959024,0.018565,0.018604613874536897,-3.263253220472939e-05,53.06114868815493,9.99999999999994e-05,0.019709828187523076,0.017420171812476928,0.0015357142857142857,45305.7477270085,-39106.700649419996,0.0178,0.0191,0.0187
2023-08-11,0.0184,0.0206,0.0184,0.019,77867.80558533999,0.018555,0.018642269696009572,4.184517086849859e-06,49.45047337289811,0.0011000000000000003,0.01967979237850229,0.017430207621497707,0.0015928571428571426,47051.776172054495,38761.10493591999,0.0188,0.019,0.0179
2023-08-12,0.0196,0.022,0.019,0.019,146829.82287775,0.018545,0.018676339248770567,3.263880907510355e-05,47.727196797641454,0.000899999999999998,0.019649011822972542,0.017440988177027456,0.0017285714285714283,52831.688676885,38761.10493591999,0.019,0.0179,0.0181
2023-08-13,0.0196,0.021,0.0187,0.0201,65279.540291410005,0.01863,0.018811925986982895,0.0001290512859343472,58.88879728409311,0.002599999999999998,0.01993117355936053,0.01732882644063947,0.0017928571428571425,52795.49104095499,104040.64522733,0.019,0.0186,0.0175
2023-08-14,0.0201,0.0221,0.0185,0.0185,130278.15565443004,0.01864,0.01878221875012738,9.241445741983018e-05,49.03839552523678,-0.0009000000000000015,0.01993354673587572,0.01734645326412428,0.001907142857142857,57735.605662359005,-26237.510427100045,0.0201,0.0178,0.0194
2023-08-15,0.0181,0.0188,0.0179,0.0188,55191.15084454,0.01867,0.0187839122024962,8.36893867032576e-05,54.54537741057741,-0.0002999999999999982,0.01994832126758413,0.017391678732415868,0.0018142857142857142,59504.378209161005,28953.640417439958,0.0185,0.0188,0.0191
2023-08-16,0.018,0.0183,0.0173,0.0183,62325.50627262,0.018675,0.01873782532606799,4.0808328507637576e-05,50.98032218387151,-0.0006999999999999992,0.01994634408775661,0.017403655912243392,0.0018142857142857142,60943.2856637535,-33371.86585518004,0.0188,0.019,0.019
2023-08-17,0.0175,0.0185,0.0172,0.0172,7747.542,0.01858,0.018591365771204373,-7.104920747247681e-05,48.59806725486526,-0.0006999999999999992,0.01999361797861858,0.01716638202138142,0.0018071428571428568,57791.227291498995,-41119.40785518004,0.0183,0.019,0.0179
2023-08-18,0.018,0.018,0.0165,0.0175,19146.73098156,0.018484999999999998,0.018487426173946813,-0.00013598839413029098,39.560378698318495,-0.0010999999999999968,0.019921772699306912,0.017048227300693084,0.0017642857142857141,56929.70957653799,-21972.676873620043,0.0172,0.0201,0.0186
2023-08-19,0.017,0.0177,0.017,0.0171,6672.64362695,0.018415,0.01835529034785664,-0.0002139092421571398,39.130375236385525,-0.0006999999999999992,0.0199794403741308,0.0168505596258692,0.0017285714285714283,54788.024307431,-28645.320500570044,0.0175,0.0185,0.0178
2023-08-20,0.0167,0.0167,0.0167,0.0167,6417.03805,0.018315,0.018197643648060768,-0.00030130839798906545,37.89468099731222,-0.002100000000000001,0.02004920693234992,0.016580793067650083,0.001607142857142857,50932.6918759135,-35062.35855057005,0.0171,0.0188,0.0188
2023-08-21,0.0173,0.0173,0.0168,0.0169,10628.421468,0.018265,0.018074058538721648,-0.0003514512855677526,44.1859745809716,-0.002100000000000001,0.020104078716726332,0.016425921283273668,0.0015214285714285714,49186.8101944,-24433.937082570046,0.0167,0.0183,0.019
2023-08-22,0.0168,0.0168,0.0168,0.0168,1309.0,0.0182,0.017952719630271965,-0.00039392554502400146,38.74993218761868,-0.0022000000000000006,0.020152056944812178,0.016247943055187824,0.0014357142857142856,47400.764654085,-25742.937082570046,0.0169,0.0172,0.019
2023-08-23,0.0182,0.0182,0.0166,0.0177,31314.87068814,0.018209999999999997,0.017928651094055587,-0.00035592723349211,49.382630696687684,-0.0023999999999999994,0.02014896336926936,0.016271036630730634,0.0014571428571428572,48020.095081151005,5571.933605569953,0.0168,0.0175,0.0201
2023-08-24,0.0171,0.0173,0.0167,0.0172,25401.86496592,0.018099999999999998,0.01785925575176458,-0.000359342649828856,39.47361149597882,-0.001299999999999999,0.020004012383860646,0.01619598761613935,0.0013714285714285716,47193.915510454,-19829.931360350045,0.0177,0.0171,0.0185
2023-08-25,0.0173,0.0184,0.0166,0.0173,44687.85053534999,0.018009999999999998,0.01780599329921557,-0.00035038767805758986,38.66659448902363,-0.0015000000000000013,0.01988493157769893,0.016135068422301068,0.0013428571428571428,48326.811293721505,24857.919174999948,0.0172,0.0167,0.0188
2023-08-26,0.0173,0.0173,0.0164,0.017,36571.76323126999,0.01791,0.017729232032623613,-0.00036190864016373905,37.17942044719409,-0.001299999999999999,0.019775927171817344,0.016044072828182654,0.0011928571428571429,48427.956432007006,-11713.844056270045,0.0173,0.0169,0.0183
2023-08-27,0.017,0.0174,0.017,0.0174,4776.5277663100005,0.017885,0.017697876600945173,-0.00033654644067665496,30.985854394089927,0.0001999999999999988,0.019764837618967173,0.01600516238103283,0.001057142857142857,44902.170513066,-6937.316289960045,0.017,0.0168,0.0172
2023-08-28,0.0167,0.0179,0.0166,0.0167,58003.74997258001,0.01779,0.01760284073418849,-0.00036591941643050047,35.483790843052944,-0.0008000000000000021,0.01970932005504141,0.01587067994495859,0.0008928571428571424,45375.734739715495,-64941.06626254005,0.0174,0.0177,0.0175
2023-08-29,0.0173,0.0175,0.0166,0.0175,10489.29437325,0.017775000000000003,0.01759304637855149,-0.00032380386533830893,40.29842325702603,0.00040000000000000105,0.019698675210577252,0.015851324789422753,0.0008928571428571424,43120.15043878301,-54451.77188929005,0.0167,0.0172,0.0171
2023-08-30,0.0175,0.018,0.017,0.0174,37605.03039171,0.017705,0.017574661009165635,-0.00029476181102175425,42.85704761925925,0.0006999999999999992,0.019572703346217923,0.015837296653782074,0.0008928571428571422,41927.2154788565,-92056.80228100005,0.0175,0.0173,0.0167
2023-08-31,0.0176,0.0183,0.0167,0.0167,78150.41289428,0.01759,0.01749135996067367,-0.00032229270051043965,45.76260327517867,-0.0001999999999999988,0.019404444963705355,0.015775555036294648,0.0009142857142857137,41941.345844303505,-170207.21517528006,0.0174,0.017,0.0169
2023-09-01,0.0166,0.0175,0.0159,0.0175,62441.57713922001,0.017515,0.017492182821561893,-0.000278656896928086,49.99989062523926,0.0007000000000000027,0.019203693048048174,0.015826306951951825,0.0009214285714285711,37721.93355737701,-107765.63803606005,0.0167,0.0174,0.0168
2023-09-02,0.0162,0.0168,0.013,0.0152,234152.21135030003,0.01727,0.017273879695698855,-0.0004185824663920819,38.5541518363704,-0.0025000000000000005,0.01879329283219986,0.01574670716780014,0.0011428571428571423,46165.5671103215,-341917.8493863601,0.0175,0.0167,0.0177
2023-09-03,0.0155,0.0162,0.0147,0.0153,114118.86115798,0.017109999999999997,0.017085891153251345,-0.0005156202400732335,41.249927812626325,-0.0019000000000000006,0.018756559411238084,0.015463440588761907,0.0012499999999999996,45357.602385499005,-227798.9882283801,0.0152,0.0175,0.0172
2023-09-04,0.0152,0.0166,0.0148,0.0154,42577.033630850005,0.01694,0.01692533009103693,-0.0005779546251778421,40.50625733068323,-0.001899999999999999,0.01855362618771637,0.015326373812283628,0.0013428571428571424,44726.896524814496,-185221.9545975301,0.0153,0.0174,0.0173
2023-09-05,0.0159,0.0159,0.0152,0.0154,8826.87843328,0.016795,0.016780060558557224,-0.000620152297132498,41.02556739000726,-0.0016000000000000007,0.018415233901242868,0.015174766098757134,0.0013928571428571425,42051.9651328475,-185221.9545975301,0.0154,0.0167,0.017
2023-09-06,0.0155,0.0159,0.0154,0.0154,5457.8330167700005,0.016705,0.016648626219647012,-0.0006461022647443367,33.33326570062033,-0.0019999999999999983,0.018427269005212493,0.01498273099478751,0.0013142857142857138,41937.479683686004,-185221.9545975301,0.0154,0.0175,0.0174
2023-09-07,0.0153,0.0158,0.0147,0.0147,32440.455059270003,0.016565,0.01646304277015682,-0.000713588072406051,32.39430232109402,-0.002,0.018461561986443067,0.014668438013556934,0.0013499999999999999,42602.16588757151,-217662.4096568001,0.0154,0.0152,0.0167
2023-09-08,0.0154,0.0155,0.0147,0.0147,23270.23663,0.016444999999999998,0.01629513393490379,-0.0007582819402512028,31.42850857155429,-0.002800000000000002,0.01849641799482053,0.014393582005179468,0.0012785714285714286,43432.045537724,-217662.4096568001,0.0147,0.0153,0.0175
2023-09-09,0.0155,0.0159,0.0149,0.0149,9412.32370794,0.016355,0.016162264036341523,-0.0007689788889180017,34.78253812238643,-0.0024999999999999988,0.018514410250873775,0.014195589749126228,0.0012857142857142859,43581.809820621,-208250.0859488601,0.0147,0.0154,0.0174
2023-09-10,0.0148,0.0166,0.0148,0.0158,45971.85564138,0.0163,0.01612776269954709,-0.0006980880443126745,39.189115047620206,-0.000899999999999998,0.018456995961736403,0.014143004038263596,0.0013857142857142857,45348.98152929001,-162278.2303074801,0.0149,0.0154,0.0167
2023-09-11,0.0164,0.0175,0.0154,0.0156,32850.52523177001,0.016239999999999997,0.016077499585304512,-0.0006502684705987569,42.02890023121693,-0.0019000000000000024,0.018405178976435843,0.014074821023564152,0.001442857142857143,46926.057790878505,-195128.7555392501,0.0158,0.0154,0.0175
2023-09-12,0.0153,0.016,0.0148,0.0159,23652.23976979,0.01615,0.01606059486289456,-0.0005818274190441397,37.499917968929466,0.000700000000000001,0.018206568424392996,0.014093431575607005,0.0014642857142857146,46542.926244961,-171476.5157694601,0.0156,0.0147,0.0152
2023-09-13,0.0151,0.0155,0.0148,0.0155,4971.73717439,0.016065000000000003,0.01600720487595222,-0.0005530160955248831,35.82082067291206,0.00020000000000000052,0.018078925206367374,0.014051074793632632,0.001442857142857143,45521.419855384505,-176448.2529438501,0.0159,0.0147,0.0153
2023-09-14,0.0149,0.0158,0.0144,0.0151,105492.62135794,0.015955000000000004,0.01592080441157582,-0.0005556107687216573,37.499917968929466,-0.0002999999999999999,0.017924744840542007,0.013985255159458,0.0014285714285714288,48561.658396514,-281940.8743017901,0.0155,0.0149,0.0154
2023-09-15,0.0153,0.0153,0.0144,0.0148,9550.1412967,0.015845,0.015814061134282884,-0.0005749317743946585,27.11857971862443,-0.0005999999999999998,0.017814744840542004,0.013875255159458,0.0013785714285714289,47210.5772997855,-291491.0155984901,0.0151,0.0158,0.0154
2023-09-16,0.0152,0.0153,0.0144,0.015,64884.25783392,0.015725,0.01573653150244642,-0.0005677325795247785,47.368246538039074,-0.00040000000000000105,0.017585248992954758,0.013864751007045241,0.0011714285714285717,50215.96380316601,-226606.75776457007,0.0148,0.0156,0.0154
2023-09-17,0.0144,0.0158,0.0144,0.015,19113.10402239,0.01564,0.01566638564507057,-0.0005556120628655934,45.94577209707856,0.0002999999999999999,0.017467739472393995,0.013812260527606006,0.001164285714285715,48271.4315056565,-226606.75776457007,0.015,0.0159,0.0147
2023-09-18,0.0152,0.0152,0.0147,0.0152,41874.86887406,0.015525,0.01562196796458766,-0.0005239791487784348,47.368246538039074,0.0005000000000000004,0.017136635325082052,0.013913364674917949,0.001071428571428572,49840.710230697005,-184731.88889051008,0.015,0.0155,0.0147
2023-09-19,0.0146,0.015,0.0146,0.015,1763.07148,0.015404999999999999,0.015562732920341216,-0.0005090267378700039,44.999842500551246,9.99999999999994e-05,0.016766848588847916,0.014043151411152083,0.0010500000000000004,48048.6122851115,-186494.9603705101,0.0152,0.0151,0.0149
2023-09-20,0.0144,0.0153,0.0144,0.0144,16817.427809999997,0.015290000000000002,0.01545199645173729,-0.0005389610628380725,39.13031569034356,-0.001400000000000002,0.01657783784530086,0.014002162154699144,0.001078571428571429,44981.9630308975,-203312.38818051008,0.015,0.0148,0.0158
2023-09-22,0.0149,0.0169,0.0144,0.0148,85258.16402769,0.015154999999999998,0.015389901551571834,-0.0005246037367884239,51.16262412168892,-0.0007999999999999986,0.015932242087870672,0.014377757912129325,0.0011785714285714286,46122.792375321,-118054.22415282008,0.0144,0.015,0.0156
2023-09-23,0.0156,0.0158,0.0147,0.0155,10807.29592,0.01517,0.015400387118088802,-0.0004519372511847877,57.99983760045472,-0.00040000000000000105,0.01596233166898962,0.014377668331010379,0.0012000000000000001,34955.546603806004,-107246.92823282008,0.0148,0.015,0.0159
2023-09-24,0.0148,0.0152,0.0145,0.0152,7414.31986,0.015165000000000001,0.015381302630651773,-0.00041362448331476974,52.941031142267455,-0.0002999999999999999,0.015955136563812457,0.014374863436187548,0.0011785714285714286,29620.319538906995,-114661.24809282008,0.0155,0.0152,0.0155
2023-09-25,0.0153,0.0156,0.0142,0.0144,48898.96922478,0.015115,0.015287845237256367,-0.0004423105848178205,35.99989920028224,-0.000700000000000001,0.015966685635109747,0.014263314364890253,0.0011500000000000002,29936.4163186035,-163560.2173176001,0.0152,0.015,0.0151
2023-09-26,0.0145,0.0147,0.0133,0.0133,34623.09218711,0.015009999999999999,0.015098526643231951,-0.0005469801700034808,30.508402183452446,-0.0015000000000000013,0.016174202912319104,0.013845797087680895,0.0011,31226.227006295005,-198183.30950471008,0.0144,0.0144,0.0148
2023-09-27,0.0133,0.0141,0.0131,0.0134,80052.74652966001,0.014910000000000001,0.014936762201019384,-0.0006148069988254519,28.07010649447527,-0.001599999999999999,0.0162616461698317,0.013558353830168306,0.0010857142857142858,34955.9726819395,-118130.56297505007,0.0133,0.0148,0.015
2023-09-28,0.0135,0.0141,0.0135,0.0141,2058.5789999999997,0.01488,0.014857070562827063,-0.0006053685862855047,38.33324388909759,-0.0008999999999999998,0.016277139935725708,0.013482860064274292,0.0010785714285714285,33436.878878976,-116071.98397505007,0.0134,0.0155,0.015
2023-09-29,0.0143,0.0143,0.0139,0.014,10406.47163134,0.014845000000000002,0.014775444794938771,-0.0005990109758630471,40.35077808580821,-0.0011999999999999997,0.016295190550092844,0.013394809449907159,0.001007142857142857,32793.690629043,-126478.45560639007,0.0141,0.0152,0.0152
2023-09-30,0.0143,0.0146,0.0138,0.0146,15850.03949,0.014830000000000001,0.014758735766849366,-0.0005395394431087566,48.3332205558187,-0.0003999999999999993,0.01628399630782115,0.013376003692178855,0.001,33115.576418146,-110628.41611639007,0.014,0.0144,0.015
2023-10-01,0.0145,0.0148,0.0134,0.0136,34682.70630579,0.01472,0.014648379979530378,-0.0005662529932552052,39.70580060570463,-0.0008000000000000004,0.016197693793506638,0.013242306206493363,0.0010357142857142859,32551.118951366498,-145311.12242218008,0.0146,0.0133,0.0144
2023-10-02,0.0143,0.015,0.0133,0.014,278735.29250605,0.01464,0.01458662950528939,-0.0005489320339246238,43.05547183658255,-0.0008000000000000004,0.016090081667391485,0.013189918332608514,0.001057142857142857,44845.357315080495,133424.17008386995,0.0136,0.0134,0.0148
2023-10-03,0.0138,0.0155,0.0136,0.0139,50707.81122455,0.01454,0.014521236219071353,-0.0005370533434060736,40.84498988311854,-0.0016000000000000007,0.015897086662864945,0.013182913337135055,0.001157142857142857,46198.1358878185,82716.35885931994,0.014,0.0141,0.0155
2023-10-04,0.0134,0.0147,0.0134,0.014,26578.93199005,0.014465,0.01447159467439789,-0.0005136714303106381,42.85705714302858,-0.0011999999999999997,0.01576321740130543,0.013166782598694571,0.0012214285714285714,47278.4956286015,109295.29084936994,0.0139,0.014,0.0152
2023-10-05,0.0136,0.0144,0.0131,0.0132,30910.0664689,0.014369999999999999,0.01435049041969333,-0.00055312947651588,41.666585648305684,-0.0011999999999999997,0.015748175758403916,0.012991824241596082,0.0012499999999999998,43549.3678841495,78385.22438046994,0.014,0.0146,0.0144
2023-10-06,0.0141,0.0141,0.0133,0.0133,21008.9884208,0.014294999999999999,0.01425044371305587,-0.0005697807638202785,39.130355387684716,0.0,0.015736453944350557,0.012853546055649442,0.0011285714285714287,44122.3102403545,99394.21280126994,0.0132,0.0136,0.0133
2023-10-07,0.0133,0.0156,0.0133,0.0147,53386.53995792001,0.014279999999999998,0.01429325859752674,-0.00046492645580766337,44.736759695442665,0.001299999999999999,0.01569659339335775,0.012863406606642246,0.0012142857142857142,43547.4243465545,152780.75275918996,0.0133,0.014,0.0134
2023-10-08,0.0147,0.0158,0.0139,0.0142,147459.27756903,0.01424,0.014284376826333716,-0.00041727231491952427,43.58966535188271,0.00010000000000000113,0.015615576434195989,0.01286442356580401,0.0013000000000000002,49964.7330238865,5321.475190159952,0.0147,0.0139,0.0141
2023-10-09,0.0141,0.0152,0.0135,0.014,82270.88242495,0.014179999999999998,0.014257293319063839,-0.00039110111722315787,47.22213040141312,0.0,0.015481982294325231,0.012878017705674765,0.0013214285714285717,51984.533701431,-76949.40723479005,0.0142,0.014,0.014
2023-10-10,0.0143,0.0144,0.0139,0.014,7037.894035089999,0.01413,0.01423278919343871,-0.00036613873804425094,55.737576995724936,-0.0005999999999999998,0.01537494768437941,0.01288505231562059,0.0012571428571428575,52248.2748291855,-76949.40723479005,0.014,0.0132,0.0146
2023-10-11,0.0141,0.0142,0.0134,0.0134,11823.97931636,0.01408,0.014153475936920738,-0.0003901840399384033,49.999893939618914,-0.0001999999999999988,0.0153591444509184,0.012800855549081601,0.0012428571428571432,51998.6024045035,-88773.38655115005,0.014,0.0133,0.0136
2023-10-12,0.0132,0.014,0.0131,0.0131,4409.31643,0.013995000000000002,0.014053144895309238,-0.0004284660106548561,41.93538917815348,-0.0008999999999999998,0.015298396373043404,0.0126916036269566,0.0012642857142857145,47956.16002461901,-93182.70298115005,0.0134,0.0147,0.014
2023-10-13,0.014,0.014,0.0138,0.0139,17392.58327347,0.013915,0.01403855966718455,-0.0003898564137643241,49.27526234004741,0.0,0.015009050898459747,0.012820949101540254,0.00125,48285.4243922925,-75790.11970768005,0.0131,0.0142,0.0139
2023-10-14,0.0139,0.0143,0.0128,0.0134,69494.24795308,0.013825,0.01397774446078602,-0.00039499178476182055,41.17638581332332,-0.0005999999999999998,0.01475830200448647,0.012891697995513532,0.0013000000000000002,51389.420796946506,-145284.36766076006,0.0139,0.014,0.014
2023-10-15,0.0134,0.0134,0.013,0.013,3674.98281604,0.013755,0.013884625940711161,-0.0004263789292980897,45.161188345703735,-0.00020000000000000052,0.014716303939010656,0.012793696060989344,0.001228571428571429,49128.221476509505,-148959.35047680006,0.0134,0.014,0.0132
2023-10-16,0.0131,0.0138,0.0128,0.013,35637.64089413,0.013739999999999999,0.013800375851119623,-0.00044610960058709924,41.37921046397473,-0.0002999999999999999,0.014739789451518631,0.012740210548481366,0.0011785714285714286,49178.948911860505,-148959.35047680006,0.013,0.0134,0.0133
2023-10-17,0.013,0.0133,0.0128,0.0129,16645.78218923,0.013715,0.013714625770060612,-0.0004644511001835241,41.379210463974744,-0.0017999999999999995,0.01477384743695036,0.01265615256304964,0.0010785714285714285,46008.600694839006,-165605.13266603005,0.013,0.0131,0.0147
2023-10-18,0.0128,0.0128,0.0122,0.0128,40815.03921407,0.013649999999999999,0.013627518553864362,-0.00048149594265785127,39.65507669464246,-0.0014000000000000002,0.014767327638891596,0.012532672361108402,0.0010285714285714286,47946.423705542504,-206420.17188010004,0.0129,0.0139,0.0142
