Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-10,29.48,29.87,29.345,29.42,8449.477000190016,29.9685,29.924058413209487,-0.17166196288854252,42.531356762727725,-0.9089999999999989,31.38888149063812,28.548118509361878,0.929571428571429,14689.680622143493,43190.7842854,29.5,29.28,30.329
2023-08-11,29.41,29.81,29.27,29.61,11206.900137379997,29.883500000000005,29.894148088141918,-0.15436173346036242,36.84210513388731,-0.9269999999999996,31.162269721255555,28.604730278744455,0.9081428571428576,14309.098682105992,54397.684422779996,29.42,29.342,30.537
2023-08-12,29.61,29.79,29.07,29.19,12325.449719140017,29.752499999999998,29.827086365461735,-0.16730047257004443,35.25179844279968,-0.47499999999999787,30.69212668958979,28.812873310410204,0.9224285714285718,13989.980856714494,42072.23470363998,29.61,29.175,29.665
2023-08-13,29.24,30.82,29.11,29.94,17025.096621389963,29.75555,29.83784004494157,-0.124398226595126,50.01126364042405,0.26000000000000156,30.69729920675361,28.81380079324639,0.9231428571428576,13995.177565754992,59097.33132502994,29.19,29.55,29.68
2023-08-14,29.91,30.096,29.37,29.635,24132.981617489982,29.746850000000002,29.818521945423324,-0.11057650742263903,42.03031681478537,0.5850000000000009,30.68973432622013,28.803965673779874,0.918071428571429,14848.115966423491,34964.34970753996,29.94,29.5,29.05
2023-08-15,29.57,29.609,26.207,28.11,23069.900794559977,29.65535,29.655805569668722,-0.20452409004883165,28.601657485377643,-1.1700000000000017,30.842777342929597,28.4679226570704,1.0627142857142862,15523.26992682499,11894.44891297998,29.635,29.42,29.28
2023-08-16,28.1,28.14,25.95,26.68,14475.755560750056,29.485599999999998,29.372395515414556,-0.37567028627315935,26.039492636931598,-2.661999999999999,31.25062409704737,27.720575902952625,1.096785714285715,15857.667593131995,-2581.306647770076,28.11,29.61,29.342
2023-08-17,26.7,27.085,21.71,24.39,23700.85989098025,29.1721,28.897881656803648,-0.6669475058588077,18.89698962081866,-4.785,31.978783819591712,26.36541618040829,1.4333571428571434,16144.905872180509,-26282.166538750324,26.68,29.19,29.175
2023-08-18,24.37,25.01,24.18,24.38,10949.037289800068,28.8701,28.46760721329854,-0.8870066252051068,20.38305425096867,-5.170000000000002,32.33422865325695,25.40597134674305,1.4183571428571435,16487.78445440151,-37231.203828550395,24.39,29.94,29.55
2023-08-19,24.38,25.12,24.3,24.89,8488.552554560038,28.617650000000005,28.126882716793915,-1.011624509960118,23.113669730084325,-4.609999999999999,32.468143298540504,24.767156701459506,1.4312142857142864,16400.91973822201,-28742.651273990356,24.38,29.635,29.5
2023-08-20,24.87,25.5,24.673,25.1,10792.627956630013,28.356199999999994,27.838608172337352,-1.0819153806076223,24.48267560842669,-4.32,32.42153326658726,24.290866733412727,1.4411428571428577,16044.417673635002,-17950.02331736034,24.89,28.11,29.42
